,Question,Answer
0,公司的发展战略是什么， 是否公司未来发展的主打方向？  以前没怎么听到这方面的动向， 能否详细讲解一下主要是面对哪些品种和市场？ 谢谢！,公司的产品主要是LAMP和SMD封装产品，主要应用于LED照明、显示屏等应用领域
1,请问老总公司今年净利润同比增长多少？而管理费用去用比去年同期的增长了多少呢？,公司2016年净利润同比增长85.27%，管理费用同比增长36.83%
2,请问公司的分配预案达到承诺的分红比例吗？,公司2016年分红金额达到8981.57万元，超过截至2016年年底可分配利润的20%
3,公司募投项目，预期如何？是否谨慎？,公司募投项目正按期建设中，已投产的目前效益良好
4,公司的前5名供应商是什么，与公司存不存在关联关系？,公司第五大供应商为淮安澳洋顺昌光电技术公司，为公司与澳洋顺昌的合资公司，与公司存在关联关系
5,公司去年主打产品的销量是多少？,年报中有明确的收入构成，请关注。谢谢
6,公司的前5大客户是哪些？,这个涉及到公司及客户的商业机密，按年报规则可以不披露。谢谢
7,请问今年预计主要产品的销售目标是多少？净利润是多少？,我们将在规则规定的时间公布对全年数据的预测，请关注公告
8,公司是否会计划多元化发展？,个人认为一个好的企业，必须是主页突出的企业，市场上很多所谓多元化发展的企业，更多是主业萎缩，然后尝试其他行业，更有一些是炒作概念的。LED是一个规模达数千亿的庞大消费市场，木林森未来将继续聚焦于LED这个主业，谢谢
9,公司目前主要的研发方面是什么？,主要集中在LED封装产品和LED配件产品
10,请问开完股东会后，如果送股通过几日内会送股？,公司2016年年度分配没有送红股的计划。谢谢
11,公司高级管理人员的考评及激励情况怎样，有没有股权激励制度？,公司目前没有拟定股权激励计划
12,请问老总， 2016年存货是多少，存货增加的内容是哪些？,2016年年底存货金额约为8.6亿，保持在正常水平。绝对值和公司销售规模的增长保持大致相当的比例
13,要实现公司的发展目标，请问信心来自哪里。,信心来自公司每个员工脚踏实地的工作和努力
14,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,考虑之中，谢谢！
15,公司截至目前为止都有哪些子公司和参股公司？,请参考公司年报，里面有详细描述
16,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,公司设有研发部进行产品研发，未来公司一方面继续提升LED封装的技术研发，强化公司在LED封装领域的领先优势，另一方面公司将加大对LED配件领域的研发投入
17,能简单的介绍下新项目的情况吗？,公司目前的新项目主要是新余的LED配件生产基地建设，目前正在建设期，建成后将提升公司的经营业绩
18,公司2016年管理费用较上年同期相比如何，原因是什么？2017年会下降吗？,2016年管理费用较上年同期相比增长主要是公司整体收入规模增大，相应的费用同比增大。2017年预计保持8-10%的占比。谢谢
19,请问2017年全年预计销售目标是多少亿元？实现净利润的目标是多少亿元？,我们的半年报将披露上述数据，请关注公告。谢谢
20,公司未来五年的目标是多少？能够实现吗？,公司未来五年计划销售突破百亿，公司上下将一致为这一目标奋斗。谢谢
21,公司截止目前的股东总人数是多少？,截止2017年3月31日，公司股东总人数为18233人。谢谢！
22,未来几年， 公司如何定位， 哪些市场更适合公司产品的长远发展？,公司未来几年还是会立足于LED行业，强化公司在LED封装产品的领先优势，同时向LED配件及LED灯具领域的拓展。公司认为LED通用照明是LED主要的应用市场，也是公司业务拓展的重点
23,公司截止至今的产品有多少个种类？,公司产品主要包括：LAMP、SMD封装产品；LED配件产品；LED成品
24,请问公司拟进入的什么新的细分领域吗？这一领域与公司现有业务的相关性？,公司深耕于LED这个有着数千亿规模的市场，目前主要考虑在LED行业上下游产业链的拓展，暂无进入其他行业的计划
25,公司今年的财务费用会有多少？,从历史来看，公司的财务费用较低，占营业收入的比重不到1%。17年因资本性支出增加，预计17年的财务费用比重会有所上升
26,公司在税收方面有没有相关的优惠政策？具体税率是多少？,木林森股份有限公司及吉安木林森电子有限公司为高新技术企业，享受15%的所得税税收优惠。谢谢！
27,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,"您好！
    2017年一季度业绩同比增长87.36%，半年报预计同比增长70.36%---116.23%。谢谢！"
28,请问：公司已经投产的募投项目及超募项目，2017年是否可以完全投产并且贡献效益？这部分的折旧和费用对利润影响大吗？谢谢,公司IPO募投项目已全部投产，2015年非公开发行募投项目大部分也已投产，项目所产生利润足以覆盖折旧和摊销。谢谢
