,Question,Answer
0,公司上市以来业绩提升迅猛，尤其是EPC项目对企业业绩提升贡献巨大，那么企业2018年乃至2019年业绩规划是否是以设计为切入口大力发展EPC或PPP项目呢？,您好，公司会利用设计业务较强的核心竞争力，充分发挥设计在整个产业的入口优势，以设计、施工总承包（EPC）业务模式为载体，积极向产业链下游拓展业务，提高公司设计业务和生态业务的协同效应。谢谢！ 
1,为何公司财报没有存货，在建工程不计入么？,"您好，公司所承接EPC项目中的工程施工业务部分，在资产负债表日建造合同的结果能够可靠地估计的，采用完工百分比法确认合同收入和成本。公司按照累计实际发生的合同成本占合同预计总成本的比例确定合同完工进度。
工程施工业务的期末应保留的工程存货金额=累计已发生成本+累计已确认毛利-预计损失-已办理结算的金额，截止本报告期末，根据公司项目施工进度及已结算情况，公司所承接EPC业务所形成的工程存货余额为零。"
2,公司在环境保护和修复领域是否有新的人才和技术涉及？这方面公司未来有何计划,您好，公司目前的业务类型中已包含环境保护和修复领域，如生态湿地类项目。公司未来也将持续培养和引进高素质的人才，加强该领域的技术和人才储备。未来，环境保护和修复领域也将是公司业务的重要组成部分，谢谢！
3,吕总：您好！我是杭州园林的忠实粉丝！公司上市以来就一直关注企业的发展！有几个问题想请教您！1、公司去年包括今年一季度参与了海南多个项目也包括公司第一个EPC样板项目，取得的社会好评！那么海南建自贸区对企业来说是否是利好？未来企业会在海南设立分院吗？海南业务的比重是否会大幅增加？,您好，公司未来会根据整体经营战略以及业务发展的实际情况制定分公司开设计划，并将履行相应的审议程序，及时向投资者公告。公司不排除未来在海南设立分、子公司，开拓周边市场业务。 谢谢！
4,公司对下游全产业链是否有计划？是否有兼并优秀施工企业的计划？,您好，公司会利用设计业务较强的核心竞争力，充分发挥设计在整个产业的入口优势，以设计、施工总承包（EPC）业务模式为载体，积极向产业链下游拓展业务。在适当的时候会考虑产业链的并购机会，谢谢！ 
5,公司如何培养留住人才？,您好，公司一直注重人才的引进和培养，已经制定了具有市场竞争力的薪酬考核体系，未来，公司将根据发展情况适时推出员工持股计划等多种方式，增强公司对人才的吸引力。谢谢！
6,公司去年和多加银行签订授信意向书！金额达100亿元！今年这些意向授信是否会陆续落地？如果落地是否有兼并下游优秀施工企业的计划？,您好，公司与相关银行签订的意向性授信和融资额度，包括项目贷款、流动资金贷款、并购基金、产业基金、并购融资等业务，支持公司产业链延伸、业务类型拓展等，做大做强，实现战略目标。公司会根据具体的经营发展情况，进行项目资金配套和并购等。谢谢！
7,公司之前参与的G20设计和厦门峰会以及博鳌论坛景观设计是否均是应邀招标？,您好，公司获取G20设计和厦门峰会以及博鳌论坛景观设计等项目时均履行了相应的审批程序。谢谢！ 
8,公司一直以人才引进为抓手！未来是否有进一步的员工持股计划？,"您好，公司一直注重人才的引进和培养，已经制定了具有市场竞争力的薪酬考核体系，未来，公司将根据发展情况适时推出员工持股计划等多种方式，增强公司对人才的吸引力。谢谢！
"
9,去年7月雄安新区陈刚书记带团考察杭州！重点去了公司参与设计的西溪湿地和西湖！作为主要设计单位公司董事长或者高管是否参与陪同？讲解相关设计理念？,您好，去年，河北省委常委、雄安新区党工委书记、管委会主任陈刚率代表团来杭州考察。双方就加强城市规划建设管理等方面作了深入交流，暂未涉及企业层面的交流活动，谢谢！
