,Question,Answer
0,公司的汽轮机生产技术在国内能排名第几，国际上处于什么水平？谢谢,您好，公司目前处于国内领先，国际先进水平。
1,请问公司准备如何解决和集团公司之间的同业竞争关系？谢谢,您好，公司与集团公司不存在同业竞争。
2,如果这次燃气轮机的研发，国家和省市级不下拨研发经费，集团是否也愿意受让未可辨识的技术？,您好，此次转让是为了更好地获取国家及各级政府的支持和投入。
3,杭汽轮地块搬迁建设是杭州市政府重大项目，由市政府主导实施。但是这土地也有小股东的份，难道不尊重一下小股东，就強迁吗》至今，小股东都未见评估报告，这是否合理？,您好，请见前述。
4,2017-62的关联交易是经审计的，那么请问董事长，审计公司有没有把研发的无形资产也审计进去了？纯从资金角度审计有失公允。,您好，此次交易不涉及无形资产转让。
5,没有评估报告，就出让土地，这于情于理都不符合逻辑，不符合规范，集团如此处置土地，难道股份公司就没有想法？股份公司可不是全部是集团的，里面还有流通股东的份。股份公司是否可以反对集团转让土地的协议？,您好，公司大股东与中小股东的利益是一致的。
6,征迁补偿费用：18.15 亿元，是不是就是指搬迁的费用？有关土地资产的后续补偿还会有后续金额吗？,您好，请见前述。
7,公司自开始投入燃气轮机的研发，至今已经投入近7个亿，如果当初不涉及这个领域，直接由集团去做，那么杭汽轮股份公司的业绩可以增厚到每股1元，现在你们把这个所谓的未可辨识转让给了集团，是不是把7亿的利润也转过去了？,您好，请见前述。
8,您好，土地详细的评估尚在进行中。 那么18亿土地打包转让款是怎么出来的？没有评估的土地，能转让吗？如何说服我们小股东？,您好，请关注公司关于该事项的后续公告。
9,燃气轮机的研发自014年以来，一直由股份公司主导，集团的轮汽机资产也全部在股份公司，研发能力远超集团的中央研究院，现在这个节骨眼上匆忙转让，是否有利益输送？,您好，不存在利益输送。
10,杭汽轮地块搬迁建设是杭州市政府重大项目，由市政府主导实施。但是这土地也有小股东的份，难道不尊重一下小股东，就強迁吗》至今，小股东都未见评估报告，这里面是否存在腐败？,您好，请见前述。
11,杭汽轮地块搬迁建设是杭州市政府重大项目，由市政府主导实施。但是这土地也有小股东的份，难道不尊重一下小股东，就強迁吗》至今，小股东都未见评估报告，这里面是否存在腐败？,您好，评估正在进行中。
12,请教公司三个问题:（1）《杭汽轮B:关于控股股东与杭州市下城区政府做地主体签署征迁补偿协议的公告》中为什么没有资产评估及资产评估机构？经查看发现所有的上市公司该类公告均有资产评估和资产评估机构。 （2） 《杭州市人民政府关于积极鼓励盘活存量土地促进土地节约和集约利用的意见（试行）杭政（2005）2号经《杭政办函（2016）88号》确认为有效文件，文中明确指出“对经市发改委、规划局认定符合优用条件的经营性用地，由政府收购储备的，按新的规划用途基准地价的45%（土地开发费用部分）作为收购补偿标准。  请问这个45%标准对杭汽轮地块是否有效？ （3）公司个别董事和前高管在今年股东大会上就公司搬迁问题发表的几个论点如“文件已废止”、“没有文件可执行”、“一厂一策，双方坐下来面对面谈”、“我们是上级任命的，不好讨价还价”，请教这些论点是否有依据？是否是上级部门刻意要卡杭汽轮？,您好，请见前述。
13,除了公告的18亿元搬迁费，后期是否还有土地补偿费？,您好，公告中已说明搬迁费的构成。
