,Question,Answer
0,谢谢许总的解答，希望公司早日拿到定增批文，《报废汽车回收管理办法》尽快出台助力公司汽车拆解业务大爆发，最后祝许总及公司全体员工身体健康、工作顺利！,谢谢您的支持！也祝福您与家人安好！
1,您好，请问下您对未来两年四氧化三钴，三元前驱体和正极材料等钴产品的价格有何看法？,总体来讲，未来钴产品需求增长强劲。三元前驱体和正极材料等钴产品将愈来愈集中化，钴的供应总体偏紧，新增产能在2年后逐步释放，钴的增量也会在2年后开始显现。未来三年，钴价将高位运行。
2,公司有哪些同业竞争对手？相比有何优势？,作为一家技术型专业废物处理企业，在废物回收利用领域，尤其是钴镍钨与废旧电池回收利用领域，公司的回收网络、循环技术、废物管理等方面优势明显，国内还没有完成形成正面冲击的竞争对手。在新能源材料制造方面，是一个“技术+质量+绿色管理”的行业，是技术实力与资金实力的组合，国内有厦门钨业、金和、当升、杉杉、邦普等一批优势企业，国外有优美科、住友金属、日亚、户田、ECOPRO、L&F等一批国际竞争对手，公司经过10多年的努力，形成了“资源回收、原料再造、前驱体再造、三元材料制造”的全产业链体系，有强大的竞争优势，面对各种竞争，公司将从打造核心竞争力入手，聚焦“原料战略+前驱体制造”的核心业务，通过技术创新，建成世界最具竞争力的前驱体原料与前驱体材料制造企业，在三元材料产业链中找到公司的核心地位。
3,年报中提到“在湖北、湖南、江西、河南、天津、江苏、浙江、山西和内蒙古等省市和南非德班市建成十六大循环产业园”，请介绍下南非德班产业园目前的营运情况。谢谢！,非常感谢您的问题。南非德班产业园是公司海外投资的第一个项目，当前运行很好。当前主要是生产钴粉，格林美通过德班产业园生产的钴粉进入美国肯纳金属、欧洲三特维克等全球顶端市场，推进格林美钴粉从国内优质品牌到全球优质品牌。2017年，德班生产销售钴粉600余吨，实现净利润1000余万元人民币，海外投资首战告捷。
4,汽车拆解与动力电池回收产业空间广阔，公司对此有何布局？,从2006年起，公司就在国内率先布局废旧电池回收网络，当前在100余个城市布局了电池回收网络，运行良好，回收的小型电池占中国总量10%以上。从2013年起，公司就战略的布局报废汽车回收产业，先后在武汉、天津、江西、河南等布局了6个报废汽车处理基地，建成了世界领先的报废汽车整体资源化回收处置工厂，有了报废汽车领域的先发优势和技术优势。“报废汽车+动力电池”是一个整体链回收，是无法分割的整体，公司的强大报废汽车回收处置体系将促进公司对动力电池的回收与市场占有率提升。中国正在进入车轮上的国家，汽车成为全中国人民的必需品，新能源汽车在中国方兴未艾，因此，报废汽车与动力电池回收产业前景广阔，只有技术与回收网络优势企业才能掌控先机，获得良好的收益。
5,去年政府补贴有多少？,感谢您的关注。2017年实际收到政府补贴并进入损益中的有6000万左右。
6,电池材料收入占比多少？,感谢您的提问。2017年电池材料板块营收55.3亿，占比51.45%
7,日前，国轩高科加码电池回收利用，公司与其相比，核心竞争力是？,非常感谢您的问题。电池制造回收电池也是其社会责任需要。格林美是专业的废物回收与资源化公司，有着覆盖中国纵横3000公里的庞大回收网络，有着世界领先的全部元素资源化回收技术，有着世界先进的从原料再造到材料再造的全产业链技术和产业，有着报废汽车、报废电池与各种重金属的全牌照废物回收与管理技术和经营，作为一家世界领先的废旧电池和钴镍金属回收企业，格林美有信心和实力做好回收，与行业电池厂和汽车厂一道把中国的动力电池和报废汽车回收好、安全处置好。
8,公司与哪些大型车企、电池企业等签订了车用动力电池回收处理协议？,谢谢您的提问。公司继续围绕打造“电池回收—原料再造—材料再造—电池包再造—新能源汽车服务”新能源全生命周期循环价值链，积极构建“1+N”废旧电池回收利用网络，先后与三星、东风等60多家车企、电池企业签订了电池回收处理协议。随着国家动力电池回收政策的逐渐实施与推广，未来与公司签署动力电池回收协议的企业将越来越多。
9,您好，麻烦问下电子废弃物板块毛利率大幅下降4.94%的原因是什么？,谢谢您的提问！电子废弃物拆解业务是一个消除污染的利国利民环保业务，但是，当前，国家下拨电子废弃物拆解补贴周期较长。自2016年起，从公司申报电子废弃物拆解量到财政部发放电子废弃物拆解补贴需历时24个月以上的时间，占用大量的经营性流动资金。因此，在公司运营资金有限的情况下，为了更大程度保护了投资者权益，从2017年起，公司主动下调了电子废弃物的拆解规模，将有限的运营资金投入到资金流转更快、市场空间更大的新能源材料业务板块和产品中，拆解规模的下降导致电子废弃物板块毛利率下降。
10,国家大环境下，对环境保护的要求日益严苛，给公司业务造成了什么影响？,格林美是一家绿色循环公司，格林美的初心就是“消除污染，再造资源”，国家环保要求的日益严苛，也是格林美绿色使命使然。国家日益严格的环保制度，一直给格林美带来良好的产业机遇与挑战，格林美也在国家严格的环保制度中一步一个台阶，实现了循环产业的创新升级，实现了循环产业规模与效益的大幅增长，实现了绿色技术的全球认同。公司坚决拥护与遵守国家严格的环境管理法规，并在“生态优先、绿色发展”的浪潮中，坚守“不环保，不生产”的环保观，通过技术提升、环保设施投入，全面打造绿色化工厂，担起保护环境、绿色发展的企业责任。
