,Question,Answer
0,请问公司股票上市时期价格多少，现在多少，还具有投资价值吗？,您好！楚天科技适合长期投资，谢谢！
1,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好！公司目前在建项目系3月份已通过证监会审核通过的非公开发行募投项目，包括100台套智能后包装机器人生产线和50台套智能仓储物流系统，公司用自由资金已先期投入，完成了购地、厂房主体工程、部分工程设施与设备购置等投入，所需资金与非公开发行募投方案一致，详细数据请查看公司公告。谢谢！
2,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,您好！公司2016年度财务费用与管理费用均在合理区间，具体数据请查看公司年度报告。2017年折旧费用预计基本与2016年持平，因为在建工程项目预计今年不能完工转固。2017年的管理费用预计也与2016年基本持平。谢谢！
3,请问截至到目前公司的营销有没有什么新进展，有看点吗？,您好！营销每天都有新进展，谢谢！
4,请问贵司今后有新增多少产能？下游客户能吸收的完吗？,您好！本次已过会的非公开发行项目达产后的新增年产能是100台套后包工业机器人，50台套智能仓储物流系统。均系市场迫切所需，下游客户能吸收。谢谢！
5,投资者担心的心情更多，请问贵公司对此怎样给予更好的鼓励，加油,您好！公司将持续做好经营管理，回报投资者，谢谢！
6,周叔叔好，介绍一下公司的主营业务。,"您好！公司主营业务为水剂类制药装备的研发、设计、生产、销售和服务。已利用自动化与信息化技术成功研制了部分智能医药生产机器人及其生产线，正向打造医药工业4.0智慧工厂整体解决方案的EPC服务商转型。自成立以来，公司一直致力于为制药企业提供专业化、个性化的制药装备解决方案。公司是国内领先的制药装备制造商，是我国替代进口制药装备产品的代表企业，报告期内水剂类制药装备产销量居国内行业前列。
全资子公司楚天华通是一家专业从事纯蒸汽发生器、多效蒸馏水机、纯化水制备系统等产品的研发、制造的制药装备生产企业，其主要服务对象是制药公司、医药工程设计公司、化妆品生产企业、高端食品饮料生产企业等。经过多年的技术创新和市场开拓，在客户中的市场认知度和信誉度较高，华通品牌受到客户的认可，并已发展成为国内领先的制药用水设备制造企业。
全资子公司四川医药设计院从事医药工程设计服务，属于专业技术服务行业。主要从事医药行业（生化、生物药、化学原料药、中成药、药物制剂、医疗器械）工程设计及资质范围内的相应工程前期咨询、项目管理和认证咨询服务。公司自成立至今承接了工程设计咨询等项目千余项，积累了丰富的工程设计咨询及项目管理经验，在四川及周边地区的工程设计咨询市场具有较高的市场占有率，被四川省建委列为全省十七家大、中型设计单位之一，被四川省人民政府评为“勘察设计单位20强”之一，公司现为中国医药工程设计协会副会长单位，在全国同行中享有较高的知名度和美誉度。
 新设子公司楚天机器人经营范围：医药医疗机器人的研发、生产、销售与服务等。承担国家发改委和国开基金支持项目：年产300台套高端生物智能装备及医疗机器人建设，国家工信部智能制造新模式应用项目等等。
增资控股的子公司朗利维（北京）科技有限公司经营范围为技术开发、技术咨询、技术转让、技术服务；销售机械电器设备；货物进出口，技术进出口，代理进出口；生产制药设备。朗利维主营业务为压片机制造、销售，压片机属于制剂机械装备中的固体制剂机械装备。
谢谢！"
7,请问公司今年营收的增长能超过行业增速20%吗？,您好！2017年度公司计划实现实现净利润2.08亿元，较上年增长约45%。预计明年在2017年的基础上增长约20%。谢谢！ 
8,您认为目前公司面临的最大问题是什么？,您好！任何一家有责任的上市公司都应该时刻保持危机意识。公司当前面临的问题包括：如何不断提升核心竞争力？如何应对国内、国际市场激励竞争的局面？以及内部管理升级与国际化等等。谢谢！ 
9,对公司未来有前景吗？,您好！有前景，谢谢！
10,公司目前面临的最大问题是什么？,您好！任何一家有责任的上市公司都应该时刻保持危机意识。公司当前面临的问题包括：如何不断提升核心竞争力？如何应对国内、国际市场激励竞争的局面？以及内部管理升级与国际化等等。谢谢！
11,请问具体联系证券代表的电话是多少？,您好！0731-87938220，谢谢！
12,我对贵公司是长期投资的，请问预计今年上半年会盈利多少？,您好！公司将按照2017年度的经营计划执行与落实，具体数据届时请关注公司的半年度财报公告。谢谢！
13,请问公司目前产能多少？,您好！公司系个性化订制的生产模式，产能具有较强的柔性，目前公司的产能能支撑近20亿的营收。谢谢！
14,公司历次新增产能均能及时消化，公司一直保持了较高的产能利用率与产销率   这是过去，将来还会是这样吗？,您好！公司将一直保持较高的产能利用率与产销率。公司高的产销率系订单式生产模式所决定，高的产能利用率系公司的每次扩能均系为了满足市场业务发展所迫切所需。谢谢！
15,请问公司明年净利润能做到多少？, 您好！2017年度公司计划实现实现净利润2.08亿元，较上年增长约45%。预计明年在2017年的基础上增长约20%。谢谢！
16,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,您好！公司合并报表总负债额为12.1亿，其中有息负债（银行贷款）1.28亿，每年负债的利息约557万元。谢谢！
17,公司领导怎么看现在公司的股价，对我们这些看好公司的小散有什么忠告。谢谢,您好！股市有风险，投资需谨慎。谢谢！
18,请问净利润的增长率和销售收入增长同步吗？,您好！公司净利润的增长与销售收入增长基本同步，但2016年度因股权激励增加的当期成本费用，导致在销售收入略有增长的情况下，净利润却略有下降。谢谢！
19,董事长，您好！作为股民，我支持公司尽量在不扩大股本的情况下做大做强！,您好！感谢您的支持与建议，谢谢！
20,公司新项目何时能对公司贡献利润？预计每年可实现净利润多少？,"您好！2016年非公开发行项目：项目建设期为2016年8月1日 到2018年12月31日，生产期第1年生产能力达50%设计能力，第2年达到80%设计能力，第3年达到100%设计能力。项目达产后正常年不含税销售收入为58,000万元，利润总额11,801万元。项目的全部投资财务内部收益率为20.68%（所得税后），项目投资回收期（所得税后、含建设期）为6.67年。谢谢！"
21,"请问董事长,关于公司最新项目今年或以后有什么战略规划吗,如果有今年能进展到什么程度?","您好！2016年非公开发行项目：项目建设期为2016年8月1日 到2018年12月31日，生产期第1年生产能力达50%设计能力，第2年达到80%设计能力，第3年达到100%设计能力。项目达产后正常年不含税销售收入为58,000万元，利润总额11,801万元。项目的全部投资财务内部收益率为20.68%（所得税后），项目投资回收期（所得税后、含建设期）为6.67年。谢谢！"
22,公司有没有股权激励计划？,您好！公司已于2015年实施了股权激励计划，谢谢！
23,请问公司今年是否有对外扩张的打算？在环渤海地区是否有意向？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,您好！并购重组的相关情况届时请及时关注公司公告，市场开拓方面继续加强海外市场拓展，国内市场巩固。谢谢！
24,在做项目之前是否对项目进行严谨的可行性研究？,您好！有的，谢谢！
25,截至目前公司的同比销售额有增长吗？,您好！请关注公司2017年一季度报告。谢谢！
