,Question,Answer
0,国内哪些地区是公司的优势市场？,公司先进基础材料的市场主要集中在长三角、珠三角等主要消费集散地，高端装备和军工新材料没有明显的区域特征。谢谢！
1,请分析下2018国际铜价的预期走势及国内市场的趋势。,"您好。
公司是一个实体制造企业，更加关注的是市场供求、客户需求，国际铜价走势受宏观经济、国际贸易等很多因素影响，走势很难预测。公司一直采取长期战略客户合作、上下游客户订单对锁和期货套期保值等方式，回避铜价波动风险。
国内市场方面，我们的看法是，铜基材料一直具备刚性需求和稳定增长空间，而且随着新能源等新兴应用领域快速发展，对铜基材料的需求还会进一步扩大。国内经过近几年的充分竞争和供给侧改革，供求格局明显改善，发展态势良性，龙头企业在盈利和发展上都会有更多机会。
谢谢。"
2,13.请问公司2018年一季度实现净利润1.02亿元，为什么扣非净利润只有0.49亿元？,"尊敬的投资者，您好！
    公司扣非净利润减少主要是由于公司下属楚江再生无为分公司属于再生循环企业，其业务具有特殊性，政策因素造成了公司经营利润减少和政府补助上升，详细情况如下：
    楚江再生无为分公司属于再生资源回收循环利用行业，主营业务为向个人投售者收购废杂铜。再生行业的共同特点是向个人投售者采购时无法获得进项发票，但向材料产品生产企业销售时要开具增值税发票，需按照销售额全额缴纳增值税，税负率非常高。再生循环企业所在地方政府为支持再生资源利用企业的经营和发展，成立专项政府扶持奖励基金，并依据再生资源企业经营合规性、经营规模和贡献程度，给予一定的政府基金扶持。再生行业企业以政府扶持奖励政策为基础，制定废旧物资收购价格，参与市场竞争，扩大采购渠道，获得预期业绩。
    2018年一季度，楚江再生无为分公司实现营业毛利-2695万元，虽有地方财政扶持资金奖励进行补偿，但依据会计准则规定地方财政奖励资金按照政府补助项目计入了非经常性损益，由此减少了扣非后净利润2021万元。      本公司铜基金属材料生产企业废杂铜原料采购渠道有两种：一是直接向外部产废、拆解或再生回收企业采购，二是向内部楚江再生采购。采购价格均按照市场定价，内外部采购价格基本一致。 一季度，公司铜基金属材料生产企业累计实现营业利润9438万元，净利润7821万元，较上年同期增长24%。向外部企业采购废杂铜和向楚江再生采购废杂铜对铜基金属材料生产企业营业利润不产生差异影响。
    综上所述，从公司所属的铜基材料制造企业来看，营业利润均随其产品的规模和附加值上升而稳健上升，扣除再生无为分公司政策影响因素，2017年公司铜基金属材料生产制造年度营业利润为 33794万元，2018年一季度铜基金属材料生产制造营业利润为9438万元，继续保持增长。谢谢！"
3,顶立科技2017年业绩承诺完成情况？,"答：尊敬的投资者，您好！感谢您对本公司的关注！
根据公司与顶立科技原股东签订的《发行股份及支付现金购买资产之框架协议书》、《补充协议书》和《业绩补偿协议书》，业绩承诺方承诺2015年顶立科技实现的净利润不低于4,000万元，2016年顶立科技实现的净利润不低于5,000万元，2017年顶立科技实现的净利润不低于6,000万元。顶立科技2017年度经审计的净利润为7,329.35万元，按照业绩承诺口径（按变更前的固定资产折旧年限）及扣除募集资金产生的收益后计算的净利润为6,270.29万元，净利润完成比率104.50%，达到业绩承诺。谢谢！
"
4,请介绍一下公司2017年产品产销情况。,"尊敬的投资者，您好！感谢您对本公司的关注！
    2017年度产量情况：公司年度实现金属材料产品总产量44.65万吨，较上年增长6.72%。其中：高精度铜合金板带产品产量16.84万吨，较上年增长10.38%，占国内市场份额的9.65%，稳居全国第一位，与第二位差距进一步拉大，并进入全球前三位；精密铜合金线材产品销量3.58万吨，增长5.62%；铜导体材料产品产量7.78万吨，增长11.09%；特种钢材产品产量16.45万吨，增加1.62%。
高端热工装备及新材料产量实现132台套。
    2017年销售情况：年度实现金属材料产品总销量44.61万吨，较上年增长6.75%。其中：高精度铜合金板带产品销量16.72万吨，增长9.87%；精密铜合金线材产品销量3.61万吨，增长5.32%；铜导体材料产品销量7.80万吨，增长11.37%；特种钢材产品销量16.48万吨，增加2.12%。高端热工装备及新材料实现销售收入2.04亿元，较上年增长35.90%。
谢谢！
"
5,公司有取得最新的行业认证资质吗？,"您好。
公司是国家三级保密单位，2017年获得资质证书。
顶立科技2017年7月获得武器装备承制许可证，目前军工四证齐全，具备了更好的进军军工和军民融合资质条件。
谢谢！"
6,热工装备及特种复合材料项目进展咋样了？什么时候能量产？,"尊敬的投资者，您好！
公司“智能热工装备及特种复合材料产业化项目”2017年按计划投入资金1,711.02万元，占该项目预计总投入金额的5.21%。公司正积极按照项目投资计划推进项目建设工作。
谢谢！"
7,请问公司有美国进口材料吗？,"尊敬的投资者，您好！
公司两大主业为先进铜基材料和高端热工装备及新材料，年营业收入110.44亿元，年度消耗原材料成本98.32亿元，原材料主要在国内采购，少量来自包括美国在内的国外进口。
谢谢！"
8,公司2016年非公开发行募资6亿用于布局顶立科技的新材料领域，截至目前募投项目进展如何？2018年能顺利投产吗？,"您好。
公司两个新材料项目，包括锂电负极材料项目和特种复合材料项目，均立足顶立装备和工艺技术优势，将采取新建和并购相结合的方式推进，为更有效用好募集资金，发挥更好的经济效益，公司在2017年做了大量的方案优化和项目储备工作，2018年将坚定目标、加速实施，实施方式和实施内容若有变化，公司将及时履行决策程序，及时披露信息。
谢谢！"
9,请问公司碳纤维相对于同行业，竞争优势是什么？,"您好。
公司全资子公司顶立科技是国内最大的碳复合材料热工装备制造和技术服务企业。为航天工业长期提供装备和技术服务，同时也是我国内最大的光伏企业隆基股份的装备和技术供应商。公司在碳碳复合材料和碳陶复合材料方面有装备和工艺优势。而碳纤维是碳碳、碳陶复合材料产品的基础原材料之一，是上下游合作关系。国内碳纤维原丝企业发展迅猛，产能很大，为碳碳复合材料提供更大的发展舞台，而碳碳复合材料国内尚在起步阶段，是替代粉末冶金和石墨材料的新一代材料，碳碳刹车盘广泛用于飞机刹车、高铁刹车和赛车刹车，大量需要进口，具备很大的市场空间。公司复合材料产业化项目将充分利用国内原来供应条件，利用自身优势，高起点建设，在军民应用领域实现进口替代。
谢谢！"
10,您认为公司股价目前是否被低估？,根据中证指数有限2018年5月7日的统计数据，有色金属冶炼及压延加工业的滚动市盈率为37.53倍，而公司最新滚动市盈率为19.55倍，远低于行业平均水平。
11,控股股东质押是自身融资需求还公司的融资需求？,"尊敬的投资者，您好！
控股股东安徽楚江投资集团有限公司将其所持有的本公司部分股份进行质押是自身融资需求。
谢谢！"
12,请问公司有军工订单吗？占比是多少？,尊敬的投资者，您好！军工订单及占比涉军数据属于保密信息不便透露，请您谅解。感谢您对本公司的关注，谢谢！
