,Question,Answer
0,公司负责“互动易”投资者提问的同事好像不太负责任，很多提问都是长期得不到公司的正面和及时的回答，盼改善。,感谢您的建议，公司一直以来重视投资者关系管理工作，日后将继续加强。
1,请问收购华南工厂的负商誉产生的营业外收入在年初有1.4亿，在年报中为什么只有0.47亿了？,收购交割在2017年4月1日，但收购的全部工作完成是在2017年12月。经审计确认后，负商誉为0.47亿。
2,公司半年度的业绩预计是6-8亿元，其中非经营性收益大概是多少呢？,敬请关注半年报
3,18年公司的非经营性收益预测大概是多少？,暂不确定
4,公司应收账款中，除了华为小米VO苹果之外，对其他厂家的应收规模有多大？,公司前5名客户应收账款占比为65.53%，非前5的客户占比为44.47%。
5,请问公司经营性现金流去年下降、今年一季度流出8个亿的原因？,销售规模扩大和提前备货导致流动资金占用增加
6,去年分红10派0.56元，是否偏少？明明利润创下新高。,符合分红政策
7,您好，请问公司17年年报与18年一季报资产中中存货占比快速上升的原因？,公司存货增加系因销售收入增加，采购增加，同时为满足生产增加了部分备料
8,现在镜头的自给率能达到20％吗,目前还没有，不过通过目前向客户的大力推广，会很快超过这一比率。
9,公司对美国下游市场的依赖度有多大？本次中美贸易战中有多方传闻苹果可能受到中方反制制裁，请问是否对公司潜在市场产生影响？,公司目前产品对美国市场的依赖度不高，贸易战对公司业绩没有影响。
10,目前看，今年还会有大额的计提减值准备吗？,企业经营总有各种各样的风险存在，我们会加强风险控制，减少意外发生。
11,公司高管打算增持了，怎么不见蔡董增持啊？,董事长一直承诺不会减持公司股份，本次主要在高管及核心管理者的增持。
12,公司的生物识别传感器目前在市场需求的开拓进行的如何？技术和研发上有什么提升？,目前开拓在超声波、车载等领域，已经完全具备量产应用能力
13,"请问下，
1、年报中 单项金额不重大但单独计提坏账准备的应收账款的4亿金额，是否是华为，OV小米，苹果外的小型手机厂商未能收回的金额？
2、按照公司的会计准则100万以下 可算作 单项金额不重大但单独计提坏账准备的应收账款，也就是说至少有40家小型的移动终端厂商的货款存在收回困难的情况吗？",公司对金立、乐视等应收账款存在不确定性的客户单项计提了减值准备。不知道您说的40家小型终端厂商的货款存在收回困难是依据是什么？请您持续关注公司，谢谢！
14,请问今年建设生产线的支出预计有多少？,根据实际情况决定
15,公司近期打算在东莞设置一个新的子公司，是出于什么考虑呢？是为更好地服务华为和其他在东莞的大客户吗,出于公司战略发展考虑，详见公司相关公告
16,公司未来是否有打算降低对苹果的业务依赖度以规避未来潜在的贸易争端风险？,公司会按照既定战略执行
17,公司股价踏入4月份后，下挫20%以上，作为投资贵公司一年多的股东来说，始料不及，公司有无分析到底出现了啥原因，导致短时间股价大幅度下跌呢？,公司各项业务进展顺利，正常经营。短期股价的波动虽然也和基本面有关，但更多受市场情绪的影响。希望投资者能充分意识到股市波动的风险，谨慎投资。董监高们看好公司的长期发展前景，已公告增持计划。
18,对于未来的发展，公司是否会有进一步收购扩张的战略？,公司会按照既定战略执行发展规划
19,摄像头60KK的产能包括广州厂的产能吗？,不包括
20,公司是否有参与柔性显示业务和市场开拓？目前的占有率情况如何？,公司在积极开展柔性相关市场的拓展，目前进展顺利。
21,已详查阅公司的年度报告，报告中并未提及销售计划和利润计划的数据,您好，请持续关注，我们适当时候会进行公布
22,摄像头产能今年只有双摄增加5KK/月，那摄像头模组今年的营收目标还能增长多少？,公司看好双摄渗透率的进一步提升，因此持续增加双摄的产能，预计2018年双摄的收入会有较大幅度的增长。
23,公司今年双摄的比例大约能提升到多少？,双摄占比将根据市场渗透率和客户订单大幅提升
24,公司在正式公告中说介入CMOS，已经有一段时间了，目前是什么状态呢？已进入还是调研阶段？,在巩固模组领先的优势基础上，公司将积极向上游的关键零组件延伸。CMOS是摄像头模组的关键零组件，但CMOS具有技术难度大、投资大的特点，因此对公司而言，需要找到合适的机会切入。
25,公司的lens出货量目标是多少，是5p还是6p,目前主要在3p，4p，5p都有出货；6p的样品预计将于近期送样给客户测试
26,在国际大客户处的触控业务，出了Pad，Phone有没有呢？,公司的目标是，在大客户的全系列产品中，都有供应触控。
27,公司对VIVO的X21和华为的P20机型的销售收入确认大概在什么季度会达到高峰？中期的业绩预测已包含了上述热门机型的销售考虑了吗？,第二季度会到高峰；已经包含在业绩预测中
28,触控贴合业务，我们目前主要还是集中在平板么？,触控贴合在平板及手机项目上都有大批量的应用
29,公司已经突破VCM的关键技术，但是新思考也是公司的关联公司，技术是来自新思考吗？,对于新技术，公司坚持自主开发与外部引入消化相结合的方式。
30,今年一季度CCM的出货量同去年相比怎么样？触控贴合业务和指纹模组同比出货量怎么样,第一季度比2017年同比大幅增长；主要是高端产品出货数量增加。
31,上海融创公司下一步公司怎么打算,下一步将进一步优化业务方向，整合优势资源及调整市场策略，深耕智慧城市的行业垂直应用
32,公司怎么看今年的手机市场,公司对今年的智能手机市场充满信心
33,屏下指纹的利润是否比传统的指纹模组的利润高？预计18年屏下指纹的业务大概能占到指纹模组的比例是多少？,屏下指纹产品利润高于传统指纹，预计18年占比会大幅提高
34,请问屏下指纹从目前来看，各大厂商的采用的前景如何？会成为主流配置么？如果大规模采用的话，产能是否能跟上？谢谢~,现在主流的手机客户都在积极采用屏下指纹方案，会成为较为主流配置之一
35,公司的VR显示研发进展如何？未来在VR显示上公司是否有打算继续拓展核心技术的收购和研发？,目前进展顺利，公司会加大在VR产业上加大投资形成核心竞争力
36,公司生产线的自动化和智能化水平是否已经达到最巅峰的水平？还是说未来还能有继续升级生产线的可能？,公司在自动化和智能化设备上在加大投入，会持续提升产线的自动化和智能化程度
37,你好，公司和艾特智能科技公司到底属于什么关系。？为什么官网上的智能家居一栏的产品都是艾特的？,艾特智能为公司关联方。
38,中美贸易战开打，对公司的经营业绩是否会产生不利影响？,目前对公司业绩没有任何影响
39,请问屏下指纹从目前来看，各大厂商是否会大规模导入？产能能否跟上？谢谢,屏下指纹整体需求旺盛，公司在产能方面积极准备，完全满足客户要求
40,请问屏下指纹从目前来看，各大厂商是否会大规模导入？产能能否跟上？谢谢,屏下指纹整体需求旺盛，公司在产能方面积极准备，完全满足客户要求
41,请问屏下指纹从目前来看，各大厂商是否会大规模导入？产能能否跟上？谢谢,屏下指纹整体需求旺盛，公司在产能方面积极准备，完全满足客户要求
42,请问屏下指纹从目前来看，各大厂商是否会大规模导入？产能能否跟上？谢谢,屏下指纹整体需求旺盛，公司在产能方面积极准备，完全满足客户要求
43,金立的账款有收回的可能吗？毕竟冻结了对方不少资产。,对于金立的应收账款问题，公司正在积极应对，希望能早日收回。
44,对融创后续发展如何规划？,力争盈利。
45,去年整体营收和净利润都保持增长势头，请问今年是否还可以继续维持增长？,公司有信心在18年继续维持增长的良好势头。
46,公司的主要客户有哪些企业？是否容易受到下游需求和市场环境变化的影响？,公司的主要客户包括国际国内的主流智能手机品牌厂商，以及国产汽车品牌厂商，在一定程度上会受到行业需求的影响。
47,公司估值在同行中处于一个什么水平？有没有向上提升的空间？,从17年的数据来看，公司的估值处在行业的中间偏上位置。
