,Question,Answer
0,公司未来打算如何解决同质化问题？,您好！感谢您对公司的关注与支持！未来公司将以客户需求为出发点，从产品设计、样式打版、生产加工等多个方面增强公司自主研发设计能力。同时，公司也将加快引进国内外优秀的设计人才，满足消费者对服装高品质、科技感和个性化方面的要求，提高公司产品在同类产品中的竞争力。
1,公司认为自己产品的品牌竞争力如何？,您好！感谢您对公司的关注与支持！公司核心品牌“步森男装”是国内男装驰名商标，集中国名牌、中国驰名商标、国家免检、中国最具竞争力品牌等多项国家级荣誉于一身。在国内市场具有较高的知名度，且拥有一批忠诚、稳定的消费群体，多年来保持了较高的品牌美誉度，深受客户青睐。
2,谈一谈公司目前的现金流，流入、流出以及资金运作的基本情况？,您好！感谢您对公司的关注与支持！公司目前资金运作情况良好，具体的现金流情况，您可参见公司2017年度报告“第四节、经营情况讨论分析”之“二、主营业务分析”之“5、现金流”部分。
3,公司的核心竞争优势体现在哪里？2018年客户的拓展有什么规划？,您好！感谢您对公司的关注与支持！公司的核心竞争力主要体现在品牌优势、营销网络优势、产品优势、供应链优势等方面。2018年公司在客户拓展方面会以客户需求为出发点，积极拓展高端定制市场客户，同时通过优化设计、提高产品质量等方式增加客户粘性。
4,谈一谈公司布局“实施时尚产业新零售+新链融战略”将会面临怎样的挑战？,您好！感谢您对公司的关注与支持！未来公司在转型的过程中面临的挑战主要包括政策变化、宏观经济变化及行业周期性波动带来的风险，行业竞争带来的挑战，存货带来的风险等。为降低上述风险和挑战带来的负面影响，公司未来将通过积极关注国家政策及行业发展动态、积极参与行业竞争合作、减少库存等方式增加公司整体的市场竞争力。
5,公司面临产能过剩的问题，但却没有找到合适的方式突破，由此陷入企业发展的困局，如何破局？,您好！感谢您对公司的关注与支持！库存问题是服装行业企业面临的普遍问题，未来公司将采取更多的措施，通过增加产品投放精度、提高内部管理效率等方式降低存货带来的压力。
6,公司如何应对汇率波动问题？,您好！感谢您对公司的关注与支持！公司目前以国内服装市场为主，外销营业收入占公司整体营业收入比重较小，因此汇率波动对公司影响有限。未来公司将采取套期保值等多种方式减少汇率波动对公司经营方面产生的影响。
7,谈一谈公司的研发投入占营收比是多少？公司的研发的利用率和成果转化率是否存在过低？,"您好！感谢您对公司的关注与支持！2017年度公司研发投入为5,198,931.98元，研发投入占营业收入比例为1.51%。详情可见公司披露的2017年度报告“第十四节、经营情况讨论分析”之“二、主营业务分析”之“4、研发投入”部分。
综合考虑公司研发投入金额及其在营业收入的占比，公司研发的利用率和成果转化率属行业正常水平。未来公司将加强对研发的重视程度，努力提升自主研发能力和设计能力，增强公司的技术储备和市场竞争力。"
8,公司发展金融业务，是否有足够的能力控制相关风险？,您好！感谢您对公司的关注与支持！2017年度，公司已通过设立供应链管理公司等途径切入供应链金融领域，积累了一定的管理及风险控制经验。未来，公司拟通过引入供应链金融专业人才，相关板块治理结构，建立健全风险识别、控制与规避机制，不断提升公司风险控制能力。
9,公司2018年一季度净利润预亏560万元至760万元，原因何在？公司做了那些有效措施进行止损？,您好！感谢您对公司的关注与支持！受行业季节性影响，一季度属于服装行业销售淡季，公司整体营业收入较少，因此预计有一定亏损。公司采取的止损措施主要包括：（1）完善商品管理、零售管理、绩效管理、供应链管理的体系，提高企业运行效率。（2）创新与经销商、加盟商的经营模式。通过试点的方式，对现有的代理渠道进行改造，激活各渠道合作方的活力。（3）优化加盟与直营渠道、注重店铺质量，增强店铺生存能力。（4）公司积极拓展供应链金融业务，为公司发展打造新的利润增长点。
