,Question,Answer
0,请问公司在财务结构上有什么不足，打算采取哪些举措。,公司2016年末资产负债率55.97%、资产负债率适中，财务结果较稳健。
1,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",公司将深化战略转型，创新商业模式和管理。调整商品结构和商品品质，优化网点布局。加强成本费用的管控，完善绩效考核体系，提升门店人效、坪效，降低费用率，合理控制成本，不断提升公司核心竞争力。
2,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,"您好！ 公司坚持公平对待所有股东，切实保障股东特别是中小股东的合法利益。公司管理层力争做好业绩，积极实施现金分红政策，努力做好市值管理工作，回报广大股东和投资者。 
"
3,贵公司员工一个月能挣多少？, 公司坚持以人为本，把员工视为企业生存和发展的宝贵资源，将人才战略作为企业发展的重点，严格遵守相关法律法规，尊重和维护员工的个人权益，切实关注员工健康、安全和满意度。公司重视人才培养，通过加强内部职业素质提升培训等员工发展与深造计划，提升员工素质，实现员工与企业的共同成长，构建和谐稳定的劳资关系。  
4,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,您好！具体请您查阅公司披露的募集资金使用情况报告。谢谢！
5,今年人工费用是否还会出现阶段性上涨？,随着新开门店增加，人力成本金额会有增加，但公司会将人力成本费用率控制在可控范围内。
6,公司的负债比率有多少？,公司2016年末资产负债率55.97%.
7,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,公司将通过不断完善内部控制制度，强化规范运作意识，加强内部监督机制，促进公司健康、稳定、快速地发展。
8,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,"公司可能面临的挑战
（1）消费需求波动的风险
公司收入和利润的主要来源是商品零售业务，而日用及百货零售业的市场需求受消费者实际可支配收入水平、消费者收入结构、消费者信心指数、消费倾向等多种因素影响，这些因素则直接受到经济周期波动的影响。虽然近年来，我国经济发展保持了持续快速增长的态势，国内生产总值、社会消费品零售总额、城镇居民人均可支配收入等重要经济指标持续向好，但未来的经济走势依然可能受到国内外多种因素的影响而发生波动，从而可能对日用及百货零售业的消费需求带来一定的不利影响。
（2）市场竞争的风险
零售业是我国最早开放、市场化程度最高、竞争最为激烈的行业之一。伴随着国内外零售巨头、区域零售集团等积极推进网点扩张，电子商务的快速发展，使得国内零售市场的竞争日趋激烈。虽然公司在经营区域内取得了一定的市场份额、拥有了较高的品牌知名度和美誉度，但一定时期内特定商圈的市场购买能力有一定的稳定性和局限性，如果区域内竞争进一步加剧，公司的市场占有率和盈利能力存在下降的风险。
（3）跨地区经营的风险 
公司的连锁经营已拓展到湖南省的14个地市和江西省、广西壮族自治区、四川省、重庆市部分城市。由于不同地区消费者的消费习惯与喜好存在差异，不同地区消费者对公司品牌的认知以及公司对该地区市场情况的深入了解都需要一定的时间，导致不同商品在不同城市的销售情况也存在差异。因此，公司在新进入地区或进入较晚地区开设的门店可能出现业务发展迟缓、部分商品滞销或者部分当地热销商品无法及时充足供应等情况，导致门店实现盈利所需时间与成熟区域门店相比较长，从而可能对公司的经营发展带来一定的不利影响。
（4）新业务发展不达预期的风险
公司新业务大平台项目尚在初期阶段，未来取得的实际效果尚待观察。该业务对公司业务形式和管理模式上都将存在一定挑战，可能存在不达预期的风险。
针对上述可能面临的风险，公司将深化战略转型，创新商业模式和管理。调整商品结构和商品品质，优化网点布局。加强成本费用的管控，完善绩效考核体系，提升门店人效、坪效，降低费用率，合理控制成本，不断提升公司核心竞争力。
"
9,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,您好！公司管理层会综合考虑，谢谢！
10,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,您好！请您及时查阅公司2017年一季报。谢谢！
