,Question,Answer
0,请问公司2017年一季度业绩亏损的原因是什么,投资者您好，感谢您对公司的关注。公司目前正处于产业转型的时期，原有的铜加工产业已经全部置出，在完成对广东合利的股权收购事项后，公司已经转型成互联网服务行业。公司在产业转型前期需在团队建设、系统开发、产品研发、销售渠道建设等方面加大投入，对报告期内业绩产生一定的影响。随着公司对新产业的整合工作不断进行，后期将不断加强和丰富业务结构，扩大业务规模，除了继续大力拓展第三方支付业务外，积极拓展保理、供应链管理、征信服务等业务，打造以支付为入口的金融科技生态闭环，通过多元化的业务模式，为公司的业绩提供有力支撑。经营效益将在后期逐步显现。
1,2016年公司转型为金融科技公司，请问目前进展如何？在哪些领域有布局？,投资者您好，感谢您对公司的关注。2016年，公司转型为金融科技公司，公司目前已全部剥离铜加工相关资产，同时，公司以收购广东合利为契机，积极布局和拓展第三方支付相关业务。同时，公司出资设立了共青城民盛金控投资管理有限公司、霍尔果斯民盛创业投资有限公司、深圳前海民盛天宫供应链管理有限公司、深圳民盛大数据技术有限公司、民盛金控（香港）有限公司等公司，切入供应链金融、消费金融、互联网普惠金融、大数据、征信、保理等多个细分领域，进一步搭建商业金融、科技金融、资产管理等创新金融领域的业务，形成第三方支付相关业务的上下游产业链。
2,公司是如何进行子公司之间的协同整合的？效果如何？,投资者您好，感谢您对公司的关注。在公司之间的协同整合方面公司董事会不断完善公司法人治理结构，健全内部控制体系，在公司控股股东及实际控制人发生变更时调整了董事会、监事会的成员组成，充分发挥独立董事的职能和监事会的监督作用，约束实际控制人的决策和经营行为。公司经营层、相关部门进一步完善了资金管理制度、重大合同管理制度等内控制度，规范资金及合同审核流程及审批权限，研究拟定了子公司风控管理办法；落实防范控股股东及关联方资金占用管理制度、关联交易管理制度、信息披露管理制度、重大信息内部报告制度、大股东定期沟通机制等相关制度的执行力度；加强对内部审计部门的建设，对内部控制管理制度进行整理，强化资金管理力度，提升运营质量。
3,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,投资者您好，感谢您对公司的关注。为充分调动公司员工的工作积极性及创造性，公司将结合实际情况，积极探索激励约束机制，建立更为完善、科学的绩效考核机制。公司目前暂无推出股权激励的计划，谢谢！
4,公司的负债比率有多少？,投资者您好，感谢您对公司的关注。公司2016年末的资产负债率为49%。
5,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,投资者您好，感谢您对公司的关注。在企业经营上，公司将努力改善公司治理结构，提高经营管理水平，提升核心竞争力，实现公司的可持续发展。二级市场股价受多方因素影响，不在公司控制范围内，请投资者谨慎投资。
6,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,投资者您好，公司现在的负债情况，可详见公司2016年的年度报告和2017年第一季度报告相关内容。
7,公司除了在第三方支付方面进一步拓展，未来有考虑其他金融科技的细分领域吗？,投资者您好，感谢您对公司的关注。公司战略是全力构建金融科技闭环生态圈，公司将以第三方支付业务为入口，切入保理、供应链、消费金融、互联网普惠金融、资产管理、大数据、征信等多个细分领域，打造金融科技闭环生态圈。
8,民盛金科未来两年的规划重点是什么？消费金融、保理、供应链金融方面打算如何布局？公司对当下的发展以及未来的盈利情况怎么看？,"投资者您好，感谢您对公司的关注。公司未来将会全力构建金融科技闭环生态圈，将在第三方支付、保理、供应链、大数据、征信等业务的基础上，进一步搭建商业金融、科技金融、资产管理等创新金融领域的业务。公司将以第三方支付业务为起点，通过内延式生产和外拓式发展，打造金融科技生态圈，完善金融科技产业链。
公司正处于重组事项实施后产业调整、转型升级时期，新业务的盈利能力正在提升。为支持公司产业转型升级，促进上市公司稳健发展，保障广大股民的利益，公司控股股东柚子资产针对广东合利2017年、2018年的净利润自愿单方面地作出了业绩补偿承诺，并签署了《业绩承诺补偿协议》，同时为支持公司产业转型升级战略的实施，补充公司日常经营及项目投资的流动资金需要，公司控股股东柚子资产与公司签订借款不超过20亿元的借款协议。因此相信在控股股东支持下，在公司战略稳步布局多项业务巩固扩大下，公司未来盈利情况一定会给投资者一个满意的答案。具体业绩情况请关注我司定期于巨潮网上披露的业绩预告与季度报告。"
9,请问具体联系证券代表的电话是多少？,投资者您好！公司董秘、证券代表的联系方式具体详见公司2016年度报告首页。
