,Question,Answer
0,就现阶段公司股价，谈一谈公司市值管理？,尊敬的投资者，您好！股价受证券市场环境、投资者偏好、公司经营情况等多种综合因素影响。公司一直按照深交所的有关规定开展投资者关系管理工作，通过接待实地调研、路演、电话等多种渠道保持与投资者的互动沟通。同时，公司管理层一直关注公司股价，对公司未来发展充满信心，看好公司长远价值，感谢您的关注。
1,介绍公司董事长、总经理刘正军被要求协助调查最新进展？目前公司经营是否稳定、运作是否正常？,尊敬的投资者，您好，该事项公司已经于2018年4月11日及时进行了披露，目前，公司经营稳定、运作正常。谢谢关注。
2,贵公司比较看好环保行业里哪方面的业务？,尊敬的投资者，你好，公司以成为提供区域环境综合服务的平台型环保公司为发展目标，将构建形成以土壤修复为工程核心、以危废处置为运营核心，并结合以大气、固废、咨询、新能源协调发展的综合性环保产业平台。上述业务均为公司看好的业务，详细情况请查阅公司2017年度报告“第四节 经营情况讨论与分析”之“九、公司未来发展的展望”部分。谢谢关注。
3,公司现在除湖南外的主要市场是哪里？,尊敬的投资者，您好，除湖南市场外，公司在全国大部分省份目前均已经取得业务，公司将继续推进覆盖全国的战略布局，继续加快在全国其他重点市场区域的地布局，谢谢！
4,谈一谈公司的核心的发展战略？相比同业竞品公司有何技术优劣？,"尊敬的投资者，您好！公司以成为提供区域环境综合服务的平台型环保公司为发展目标，在各业务领域深入布局，目前已建立形成了包含土壤修复、危废处置、固废处置、大气污染治理、环境咨询、新能源发电在内的综合环境服务平台。
    公司作为高科技的环保企业，始终以创新技术作为企业发展核心动力，目前在环保领域已掌握了一批具有国际水准、国内领先水平的关键核心技术。公司在技术方面的突出特点在于全方位的技术储备，在各个领域均掌握其中的核心技术，并保持其在业内的领先性和前瞻性。
    在土壤修复领域，公司是国内最早布局该业务领域的环保公司之一，是国内首家自主研发生产土壤修复药剂的公司，也是国内最早承接耕地修复第三方治理项目的公司。近年来，公司在土壤修复领域已储配了大量修复技术，可以处理包含有机物、无机物等各类污染源，也包含场地、耕地、矿区等不同土地类型，成为国内为数不多的，在技术上覆盖土壤修复全业务领域的公司。
   在大气治理领域，公司近年来所研发的湿式静电烟气深度除尘和高效旋转电极静电除尘等关键技术，与公司原有的脱硫、脱硝等技术有机结合，成为业内少数能提供“超低排放” 综合解决方案的公司之一。报告期内，公司承担的“钢铁冶金行业烧结与球团烟气新型超低排放耦合技术研发与应用”获得 “湖南省战略新兴产业科技攻关与重大科技成果转化专项”立项，新研发的“燃煤锅炉、工业窑炉烟气超低排放一体化集成技术体系”荣膺“首届中国节能环保创新大赛铜奖”。
     在垃圾焚烧领域，公司是国内为数不多独立掌握垃圾焚烧发电技术的环保公司，并利用自身在大气治理领域所积累的优势开发针对垃圾焚烧烟气特点的烟气处理技术。同时，公司在土壤修复药剂的基础上，开发了针对垃圾焚烧所产生飞灰的飞灰处理药剂技术，处理成本低于目前主要的处理方式。
     公司在2016年年底获批“国家企业技术中心” 称号。至此，永清环保已拥有“ 农田土壤污染控制与修复技术国家工程实验室” 、 “ 国家企业技术中心” 两大国家级科研技术平台，成为湖南省唯一、全国少数同时拥有两个国家级科研技术平台的环保企业。
    感谢您的关注。
"
5,公司认为现在环保行业的机遇和潜在危机在哪里？,"尊敬的投资者，您好，从党的“十八大”将生态文明建设提高到国家战略、纳入建设中国特色社会主义“五位一体”总布局以来，我国生态文明建设的战略定位已达到新高度。2017年10月，党的“十九大”将生态文明建设的战略地位再一次提高，生态环境建设的工作成为解决我国社会当前主要矛盾的重要内容，是中华民族永续发展的千年大计。2018年3月，全国人民代表大会正式将生态文明建设写入宪法，以国家根本大法的形式确立了生态文明在我国社会生产生活中的重要地位。生态文明建设的战略定位不断提高，环保行业面临巨大的发展机遇。
    虽然环境产业正在面临历史性的发展机遇，但也需要认识到在发展过程中存在的问题，如商业模式、融资环境、去杠杆等阶段性问题。公司在深刻认识环境产业发展逻辑的基础之上，始终坚守“领先环保科技，共创碧水蓝天”的企业发展理念，从战略层面、组织架构、投融资等领域进行有机整合，以实现公司发展目标。谢谢关注。
"
6,公司现金流的状况如何？能否谈谈公司财务杠杆？,尊敬的投资者，您好！公司2018年一季度经营活动产生的现金流量净额为6129.14万元，资产负债率为52.80%，目前现金流状况良好。谢谢关注！
7,对于新能源这部分的业务，贵公司是如何规划的？,尊敬的投资者，您好，近年来，新能源发展的产业政策不断落实，新能源发电项目的上网电价不断下调，对各地新能源项目的审核也进一步趋严。但可以明确的是新能源发电产业在不断稳健成长，将逐渐摆脱过去几年粗犷增长所带来的历史包袱，市场规则越发清晰，市场竞争更加合理，组件成本、能效上也有着不断的突破。长周期来看，能源结构的调整思路清晰，我国可再生能源发电量占比仍较低，我国能源消耗巨大，虽然目前新能源产业面临着一些阶段性的问题，但仍具有巨大的发展空间，未来必然成为伟大的产业。公司未来将结合自身环保产业优势，积极在风电、分布式光伏、多能协同上积极探索，适当开发优质新能源发电项目，探索创新商业模式，将新能源与环保结合，共同建设碧水蓝天。谢谢关注。
8,谈一谈公司土壤修复业务？2018年有怎样的愿景？,"尊敬的投资者，您好，随着2016年“土十条”的颁布以来，土壤修复市场的发展不断提速，2017年度，公司斩获包括甘肃黄河上游白银段东大沟流域重金属污染整治及生态修复工程土以及湖北武汉智造园北区D区污染场地修复项目等一系列优质项目合计达20余项，位于市场前列。其中耕地修复项目合计修复面积达7万余亩，业务范围覆盖了浏阳、湘乡、望城、攸县等湖南地区，也包括了江苏、四川等省外地区，修复面积继续领跑市场。从业务区域看，报告期内公司所承接的省外土壤修复项目占比不断提高，目前占比已超过60%，全国业务布局效果显现。公司在保持重金属污染治理行业标杆地位的同时，有机物污染治理也有了显著的发展，报告期内，公司先后中标苏州安利化工厂项目、湖北武汉智造园北区D区等有机物污染治理项目，其中苏州项目采用原位热脱附技术，武汉项目采用原位阻隔封存修复工艺修复，两者均有较高的技术难度。这表明了公司的土壤修复技术与工程应用体系在不断完善，有机物污染修复治理的短板在不断补足。总体来看，报告期内公司所斩获土壤修复项目相比上一报告期内有明显增加，公司业务布局、技术研发等基础工作开展逐渐彰显效果。报告期内，公司土壤修复业务实现营业收入27,337.78万元，同比增长192.86%。
    2018年度，公司将在技术、市场、模式上，全方位、多层次发力，以抓住土壤修复行业爆发契机，打造土壤修复领军品牌。技术上，将继续以技术突破及应用为工作方向，在重点领域以形成一批具有国际领先水平，得到国家、市场认可的核心技术。市场上，公司将凝聚技术、营销、工程等业务团队，以高标准、严要求为理念，在湖南省、上海市、雄安新区等重点区域打造一批具有国际影响力的优质项目，并继续发掘耕地修复市场空间，保持耕地修复领域的标杆地位。模式上，公司将在报告期内中标的嘉禾县黑臭水体整治及配套设施建设PPP项目的基础上，积极探索土壤修复加PPP的模式创新，做大做优土壤修复板块业绩。谢谢关注。

"
9,公司去年第四季度现金流同比有所下降，请问下降的原因是什么？,"尊敬的投资者,您好!2017年度公司经营活动产生的现金流量净额同比有所下降，要主要2018年度公司购买商品、接受劳务支付的现金较2016年度增加22,805.31万元 ，应付账款期末余额较年初减少了18,641.41万元。谢谢关注！"
10,哪一项业务是公司未来打算加大力气发展的？,尊敬的投资者，你好，公司以成为提供区域环境综合服务的平台型环保公司为发展目标，将构建形成以土壤修复为工程核心、以危废处置为运营核心，并结合以大气、固废、咨询、新能源协调发展的综合性环保产业平台。谢谢关注。
11,刘总协助调查一事有无回应？,您好，该事项公司已经于2018年4月11日及时进行了披露，目前，公司经营稳定、运作正常。谢谢关注。
12,公司2017年共接待机构投资者来访的频次？,尊敬的投资者，您好！公司2017年接待投资者调研情况已在《2017年年度报告》中披露，详细情况敬请查阅《2017年年度报告》中“第四节 经营情况讨论与分析”的“接待调研、沟通、采访等活动登记表 ”。感谢您的关注。
13,谈一谈公司2018年利润分配方案？,"尊敬的投资者,您好!2018年度暂未结束，故无利润分配方案。公司2017年度利润分配方案为： 以股权登记日公司总股本为基数，向全体股东每10股派发现金红利0.30元（含税），不以资本公积金转增股本，不送红股。谢谢！"
14,公司发展的定位是什么？,尊敬的投资者，您好，公司以成为提供区域环境综合服务的平台型环保公司为发展目标，在各业务领域深入布局，目前已建立形成了包含土壤修复、危废处置、固废处置、大气污染治理、环境咨询、新能源发电在内的综合环境服务平台。并在各领域均具有核心竞争力。随着经济转型的不断推进、国民环保意识的不断提高，传统碎片化的解决方式无法满足环保多样化的顶层设计需求，也无法解决错综复杂的环境问题。而公司所推行的区域环境综合服务将深入对接地方环境需求，能切实解决复杂、多样化的、系统性的环境问题，将成为未来中国解决环境问题的趋势。谢谢关注。
15,请问截止目前股东人数为多少人？,尊敬的投资者，您好！公司截止到2018年3月31日全体股东人数为24670 人。感谢您的关注。
16,请介绍和梳理公司2018年第一季度收入和利润情况？,"尊敬的投资者,您好!2018年一季度公司实现营业收入14549.27万元，归属于母公司股东的净利润1734.08万元，谢谢！"
17,请问上次购买江苏康博非公开发行的价格是多少？,尊敬的投资者，您好！公司本次通过发行股份购买江苏康博工业固体废弃物处置有限公司股权的发行拟定价格是10.02元/股。感谢您的关注。
18,谈一谈公司的外延式发展，有哪些有效的操作的工具？,尊敬的投资者，您好，公司将积极利用并购重组等资本市场工具进行公司的外延式的发展，谢谢关注。
19,公司未来是否打算加力发展其他地区市场？,尊敬的投资者，您好，公司在全国大部分省份目前均已经取得业务，公司将继续推进覆盖全国的战略布局，继续加快在全国其他重点市场区域的地布局，谢谢！
20,市场现在竞争的越来越激烈，请问公司打算如何提升自己的的竞争实力？,尊敬的投资者，您好，公司将发展创新环保技术、提高产业化应用水平、加强工程运营管理能力，通过技术护城河的构筑、商业模式的创新、发展思路的调整、业务布局的优化、管理效率的提升等，全面提升公司综合竞争力，以争取在竞争的市场环境中获得领先地位。
