,Question,Answer
0,公司的总市值、净利润等距离行业平均水平还有很长的路要走，要加强市值管理啊！,您好，公司在努力做好经营管理，努力提升公司业绩，感谢您的关心。
1,一季度公司业绩大幅增长的原因是什么？,您好，详情请关注公司第一季度定期报告。
2,公司年报显示研发费用较上年有较大幅度的提升，想了解下主要投入哪些领域的研发？,您好，公司在定期报告中已披露公司的重要研发项目，请予以查阅，谢谢！
3,中美贸易摩擦对公司经营有什么影响吗？,您好，公司主要产品分为超声热量表、超声水表和超声流量计三大类以及相关系统解决方案，面向供热计量、供水计量及流量过程控制等领域。该事项对公司影响较小。
4,公司的计量表产品是否已经实现互联网抄表读表？,您好，公司超声测流产品本身即是智能仪表，具备无线或有线数据传输功能，早已具备物联网功能。
5,自上次贵司与中国移动在雄安新区进行了智慧水务物联网挂表测试已过去这么久，请问目前是否有新的进展？,您好，目前还处于小批量适用阶段。
6,公司产品在印度市场是否有落地项目？2017年海外市场销售额占比能达到多少？,您好，公司目前外销收入比较小，详情请查阅公司2017年度定期报告，谢谢！
7,今年会有哪些新产品推出吗？,您好，公司在定期报告中已披露公司的重要研发项目，请予以查阅，谢谢！
8,请问公司在超声测流、供热计量、供水贸易结算等领域今年有什么新产品出来？,您好，公司在定期报告中已披露公司的重要研发项目，请予以查阅，谢谢！
9,公司在雄安新区是否有相应的业务布局？,您好，公司主要产品分为超声热量表、超声水表和超声流量计三大类以及相关系统解决方案，面向供热计量、供水计量及流量过程控制等领域，公司面向终端客户主要有热力公司、自来水公司以及相关代理商等，终端客户较大比重采用招标形式。公司有河北营销中心从事具体业务，公司作为整体全力支持业务开展。
10,公司是否正寻求并购和重组，并购的方向和领域大致是哪一块？,您好，公司主要产品分为超声热量表、超声水表和超声流量计三大类以及相关系统解决方案，面向供热计量、供水计量及流量过程控制等领域，公司在上述领域均会予以综合考虑。
11,目前海外市场开拓情况如何？,您好，公司目前正积极开拓海外市场，处于全力推广阶段，目前已实现的外销收入比重较低。
12,增值税退税政策对公司影响几何？,您好，根据《国务院关于印发进一步鼓励软件产业和集成电路产业发展若干政策的通知》（国发﹝2011﹞4号）、《财政部、国家税务总局关于软件产品增值税政策的通知》（财税﹝2011﹞100号），为进一步促进软件产业发展，自2011年1月1日起，增值税一般纳税人销售其自行开发生产的软件产品，按17%税率征收增值税后，对其增值税实际税负超3%的部分实行即征即退政策。2017年度公司享受增值税退税金额1663万元。
13,请问董秘，贵公司2017年年度股东大会临近，届时是否有大的变动或利好性消息出台？建议继续在全景网做网上交流，与股民互动。,您好，公司2017年度股东大会审议事项详见公司4月10日发布的股东大会。公司随时欢迎股东与公司交流，本次业绩说明会即是一种形式，包括互动易、电话等形式。
14,请问贵司物联网产业与三大运营商合作怎么样，是否有新的进展？,您好，公司正努力推动与三大运营商合作，目前还处于全力推广阶段。
15,请问贵司上次公告说使用自有资金1亿元拟建设超声智能生产线，目前是否取得相关部门批复？,您好，公司目前处于规划设计阶段，尚未开工建设，请随时关注公司公告信息。
16,今年剩余时间能维持一季度这样的高速增长吗？,您好，关于公司业绩问题请随时关注公司定期报告、业绩预告等相关公告，目前公司经营情况正常。
17,请问公司的销售体系这几年有什么变化？热量表的销售和超声水表等不同产品的销售人员重合吗？,您好，公司目前销售组织架构按照区域进行设计，各区域内销售人员可以同时销售本公司相关产品，比如河北区域既能销售超声热量表，又能销售超声水表和超声流量计。
18,请问公司的销售体系这几年有什么变化？热量表的销售和超声水表等不同产品的销售人员重合吗？,您好，公司目前销售组织架构按照区域进行设计，各区域内销售人员可以同时销售本公司相关产品，比如河北区域既能销售超声热量表，又能销售超声水表和超声流量计。
