,Question,Answer
0,公司的应收账款占到营收的一半，请问主要来自于哪个业务板块呢？,您好：公司一直非常关注应收账款的回收情况。2016年公司物联网解决方案的落地实施项目较多，此类项目验收后付款周期较长。谢谢！
1,刘总，不好意思没表达清楚，我的意思嘉圆环保2017年净利润达到多少，才能不继续计提商誉损失。不是指的2016年,您好：按照我国现行会计准则的要求，只要发生减值迹象，都可能计提减值准备。嘉园环保2016年有业绩承诺，业绩承诺没有完成，出现了减值迹象。谢谢！
2,祝您把企业做大做强，孩子大了还会有孩子，您说呢加油   加油   加油,风物长宜放眼量！
3,祝您喝您的同是互帮互助同甘共苦，继续创新，走一条不寻常的路，爱企业就向爱孩子，一代更比一代强,让我们携手共赴未来！
4,任总一直跟股民说我们对未来充满信心，第一，这个未来是多久？第二，投资者其实要的是实实在在的回报，怎么体现？没信心也不会买你们的股票,抛开资本市场大势，汉威一直在成长。相对于股价，各位投资者要注意资本市场的规律和趋势。投资有风险，还是要谨慎。
5,最为民营企业当地政府有多大政策优惠，会补贴吗，带来当地财政收入多少，就业，介绍下,政府支持创新和新兴业务，所以汉威有些政府补贴。我们更依靠内生增长。
6,今天完了明天会发布什么消息值得期待,心有理想，春暖花开。我天天都听到好消息！
7,任总 请问对今年的业绩有没有个大致的估算 营收还能大幅增长吗,一句话，我们对未来充满信心！
8,目前您最想对大中小投资者说写什么我期待，有什么难处可以说下,期待大家都是理性的投资者，获得良好的投资回报！事业发展的艰难，是每一个产业从业者面临的共同问题，且行且惜，持续努力！！
9,刘总，如果今年嘉圆环保要不计提商誉减值损失的话，净利润至少要达到多少呢？,您好！公司计提商誉减值3475.94万元，谢谢！
10,强强合作自己才能做大做强，目前有合作对象吗,合作是大趋势！汉威的物联网业务，和各大运营商、中兴、华为等都在全面深化合作中。
11,刘总，公司每年都计提大量的坏账准备（超过1000万），请问这些坏账有多大比例是真的坏账呢？这些坏账大多来自于哪项业务？,您好：公司计提坏账是按照会计准则和公司的会计政策进行计提的，主要是依据应收账款的时间长短来进行计提的。谢谢！
12,请问公司气体传感器的竞争力有多大呢？可不可以理解为目前市场空间太小，很多企业根本不想做，所以公司的市场份额才是第一？如果未来市场空间变大了，竞争者就多了，公司的技术优势还能保持第一么？,气体传感器市场方兴未艾，这几年已经吸引了大量从业者。但是传感器是一个高技术门槛、需要长时间积累工艺技术经验的行业，所以汉威继续保持业内领先的规模和技术水平。我们一直在努力强化领先优势。
13,科研院校合作又那些单位,中科院、清华、北航、西交大、郑州大学等，都有合作。
14,肖总您好，请问您对贵司近两年业绩是否满意？利润基数比较低，按说增长速度应该很快才对,总体发展良好，未来会更好！
15,财经频道公司有产品介绍吗最近有没有大领导视察参观汉威基地，产品线,请关注汉威网站。谢谢您的关心！
16,公司推广会借用什么，如微博，微信，报纸等  示范园区你们现在利用什么销售是否利用现在可利用的所有资源,包括您说的，线上线下，展会、示范，汉威全网营销。谢谢关心！
17,在工业互联网板块，汉威主要是安防领域吗？对于自动化这块会不会做呢？其实安防也不错，但也要做大才行，有什么具体措施吗？,汉威的产业物联网，主要是在工业安全、市政供水、燃气、环保信息化等领域，这个领域大有可为。工业自动化领域有大批厂家在做，竞争也很激烈，汉威暂无计划自主介入。谢谢关心！
18,肖总，请问公司的GIS业务和超图软件的业务是类似的么？公司的GIS业务有没有可能发展到超图软件那么大呢？,您好！底层的技术是类似的，而汉威GIS主要应用在物联网智慧城市、工业安全等领域，而超图软件更多是应用在消费领域。谢谢！
19,提问会获得什么礼品吗？哪怕是小小的。不强求，没有业没关系，我更关心后期的股价，有礼品那会更有意义不是吗,“礼物“送给你，祝你好运！
20,智能穿戴目前又那些品种销量大小，价格多少,请关注威果科技网站，未来机会多多，现在业务量尚不大，属于面向未来的培育业务。
21,赵董好，请问汉威母公司和各子公司整合情况怎么样，因为好多都没有完全控股，会不会相互推诿，不积极配合协作的情况！甚至各搞各的，造成资源浪费！,您好！一方面，汉威的外延并购一直坚持围绕着物联网产业链的上下游进行，被并购公司也清晰认识到只有完整物联网解决方案才能发挥更大的威力。另一方面，我们也一直在推行集团化管控，努力通过制度和流程等方式来强化母子公司整合效果，发挥资源平台的最大价值，促进集团母子公司的发展和凝聚。谢谢！ 
22,刘总，如果您认为公司的股价严重低估，请问您有增持公司的股票么？,您好：我有这个想法。在我资金、合规性条件具备时，如果还具备增持可行性，会按规定做相关信息的披露。谢谢！
23,创业容易守业难在市场激烈的竞争下，销量，技术，创新人才储备，专利技术，等诺基亚，飞利浦，柯达，还有最近的乐视公司应该从中吸取教训，用户满意度，回访是否会定期介绍下,客户满意是我们一贯的追求。汉威近几年业务的高速增长，说明客户对汉威产品和服务的认可。你说的那些案例，值得大家深思和警醒。与时俱进，提供有价值的产品和服务，才会基业长青。谢谢关心！
24,公司今年有没有新产品和新业务拓展？,我们一直在创新，新技术、新产品、新业务不断推出，请关注汉威官网。谢谢！
25,请介绍一下公司所处行业和主要产品？,这个问题年报有详细介绍，也可以关注汉威官网。谢谢！
26,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,除了台湾、港澳销售不多，汉威业务覆盖全国，燃气、供水信息化，安全生产信息化，环保监测与治理，相对来说，东部、西北地区业务占比较大，西南、东北较少。
27,今年如何分红，是否高送转，有计划吗？,您好：结合公司的发展状况，2016年每10股派发现金0.35元。谢谢！
28,IBM已经和北京市环保局在北京布局了一个“绿色地平线”项目，直接可以直接追溯污染源，请问公司有参与这个项目么？,没有参与你说的这个项目。我们在其他地区有类似的项目。环保检测与治理，是各地政府、各级政府普遍关心的问题，机会多多。谢谢！
29,公司的负债比率有多少？,您好：公司负债率是52.56%，谢谢！
30,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,您好！舆情监控也是投资者关系管理的一项重要内容，公司安排了专人负责。同时，公司制定了应急事项相关管理办法，并成立了专门的应急预案小组。谢谢！
31,请问公司公司的核心竞争力是什么？,表象上看，是创新能力和完善的物联网业务技术平台；实质上看，是汉威创新、尽责的文化和汉威人才队伍。
32,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,您好！今年一季度较去年一季度，收入增长30.92%，净利润增长36.49%，具体内容请在巨潮资讯网查询公司的相关披露信息。谢谢！
33,行业有没有周期性？,随着汉威产业布局的完善，周期性不显著。大的方面来说，物联网、信息化、智慧化正处于爆发期，这个大周期才刚刚开始，你我都在潮头。
34,您对公司应该多提宝贵的意见多支持大小股东的核心利益不要向万科A自己都不好好增持自己公司的股票最后怨谁，公司持有多少股份员工持有多少,您好！作为汉威电子的独立董事，我将勤勉尽责，请您监督。国家规定我不能做的，我也遵纪守法，也请你监督。谢谢！
35,PPP接单量如何,PPP项目要慎重，不能为了接单而接单，我们会优选此类项目。目前PPP占比不大。
36,网上资料显示2016年国内传感器市场达1200亿，而汉威号称气体传感器龙头才收一个亿。可见差距还是比较大的！在2017年汉威怎样才能在传感器这块取得更大的市场份额呢？有什么举措？在其他门类传感器如何突破？消费电子太弱，怎么办？,传感器的品种繁多，从业厂家也很多，造成行业高度分散，过亿的产出，业内已属于大个头。未来我们将加速汉威各类型传感器产业化步伐，并大力引进国外先进技术合作、合资，开展行业并购整合，以做大做强传感器板块。谢谢关注！
37,今年公司人力成本的大幅度上升？对公司产品价格影响有多大？,您好！做企业始终都要面对的问题就是，竞争不断在加剧，人力成本不断在上升，利润空间在不断地挤压。汉威始终都面对现实，始终坚持创新是汉威的发动机。谢谢！
38,去年监管层要求现金分红，各交易所也发布了现金分红指引，公司怎么看，有这个打算吗？,您好！一直以来公司重视回报股东，以实现股东价值最大化为目标。近三年来公司累计现金分红金额占合并报表中归属于上市公司普通股股东平均净利润的32.58%，为股东创造最大化的价值是公司对投资者负责的表现，也是对投资者最好的回报。谢谢！
39,任总您好！华北连年出现雾霾，北京去年试点了小学安装新风系统，请问公司的新风系统销量如何 ，市场竞争力如何,校园新风在郑州及周边有一定销量，目前营业占比不大。这个项目受政府政策影响，目前不是汉威关注重点。
40,公司的规模优势具体会体现在哪些方面？公司的品牌如何管理？互相间的市场是否有重合以及竞争关系？如何增强各品牌间的凝聚力？,汉威是国内气体传感器龙头，综合传感器也优势突出，完整的物联网技术平台在业内也有很好影响力。我们推进在汉威主品牌下的多品牌战略，以打造良好的生态圈，通过业务技术的高度协同，促进汉威品牌及子品牌的发展和凝聚。
41,最近股价是否合理还是低估，解说下为什么，什么价格才是合理地价格,您好！我认为汉威电子的股价被严重低估。截止2016年底，汉威电子在以传感器为核心的物联网解决方案建设中表现不俗。核心的气体传感器市场份额始终占据国内龙头地位。物联网解决方案已经实现了市政燃气、供水、热力、电力、大气污染、城市污水治理、河道及河流治理等近20个行业的解决能力，并且得到客户的好评及后续追加订单的意向。2016年底公司收购具有数据传输加密技术的公司40%的股权，为汉威云数据的后续运维及服务奠定了可行性的基础。放眼汉威的未来，蓝图规划宏伟壮观，实现路径清晰可靠。投资买的就是公司的未来，对于汉威价值的判断要用时间的尺子来衡量。友情提醒，股市有风险，投资需谨慎。谢谢！
42,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",加强内部创新，不断强化核心竞争力。优选产业链上的项目，积极外延扩张。两者协同，管理出效益，做大做强自然有望。多谢关心！
43,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,新一代信息技术蓬勃发展，我们觉得行情不错。围绕智慧市政、环保，我们觉得机会巨大。请关注汉威网站和本次相关回复。谢谢！
44,请任董介绍一下汉威在海外的情况，包括消费电子，物联网！,汉威的海外业务目前主要是传感器、仪表产品销售，工业品和消费品都有，目前占营业收入约4%.  海外扩张在准备中，受制于国家外汇政策，目前进展较慢。谢谢关心！
45,公司前几年的重点都在布局，营收一直保持增长，但是净利润都不是很理想，2017年在这方面会有较大的改善么？,您好！感谢您的关注！如您所讲，汉威前几年都在围绕物联网行业做纵深的战略布局，整合效果明显，但也使得相关财务费用一直居高不下，间接影响了净利润的增长。而通过前几年的业务布局，汉威的业务生态体系建设日趋完善，行业解决方案也得到了客户的高度认可，复制推广效果明显，我们对未来发展充满信心！谢谢！
46,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,目前我们的主要困难是蓬勃发展的新兴市场和人才队伍不匹配的问题，这也是快速成长的公司普遍面临的问题。我们正在培养加锻炼、招聘吸收并举，解决这个问题。满足客户是我们一贯的追求，这几年汉威业务的快速成长，说明我们能很好地满足客户需求。谢谢你的关心。
47,在企业文化方面，公司有什么特色吗？,创新、创业，是汉威文化的主流。关爱员工，满足客户是我们一贯的原则。
48,请预估一下未来十年公司的市场规模多大？谢谢！,物联网蓬勃发展，各行业智慧化升级，有关市场应该用万亿考量。所以，从空间上看，未来不可限量。谢谢！
49,公司营销，创新，业务，培训，知名度今年又什么打算，，财务今年会复合曾涨吗,您好！感谢您对汉威电子发展的关注。2017年是汉威电子集团化管控的执行年，今年汉威电子将加大对大项目落地能力建设，加强对研发创新、管理创新的集团规划管理力度，也将加强全体员工的业务技能培训和走进一些上市公司学习交流。相信汉威电子年终会给广大投资者一份满意的答卷。谢谢！
50,请问任董，公司有没有打算做物联网平台企业，将平台共享出去？介绍一下公司与华为，中兴的合作方向和合作方式！公司在国外有哪些合作伙伴？,开放共享是行业趋势，我们的物联网平台，软件、硬件架构都是按照开放原则搭建，可以整合接入各种相关设备和软件模块，正在共享到更大的生态圈。我们和中兴、华为的合作，正是基于开放共融的思路，发挥各自长处，共同满足客户要求。请关注汉威网站及有关信息。
51,请问任董，曾经看到一篇文章，讨论人工智能对物联网的促进作用。汉威有没有布局？若有.到了什么程度？若没有建议布局！,你说得对，人工智能是未来。传感器、大数据、算法是人工智能重要的基础，汉威的业务技术都在这个范围，我们在燃气、供水、环保信息化服务领域，已经采用了人工智能的初步技术。面向未来，我们在关注并研发储备相关技术，待时机成熟会逐步投放应用。谢谢关心！
52,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,您好！公司始终坚持“以传感器为核心的物联网系统解决方案服务商及提供商”的战略定位，深耕于传感器、智慧城市、智慧环保等五大业务领域。今年会继续推出相关的新产品，也会继续围绕城镇一体化发展做相关业务整合，争取取得更大的智慧城市整合性订单。谢谢！
53,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,内生增长+并购扩张，夯实了公司业务，有良好的业绩，市场自然会给一个良好的估值。当然，我们也会积极和市场沟通，通过市值成长助力业务发展。谢谢！
54,您好 传感器是公司的核心竞争力 请问今年公司的mems气体传感器有没有希望应用在移动通信设备上,您好。我们一直在向这个目标努力，谢谢。
55,公司是否向国外物联网巨头亚马逊学习，合作，人家收入占了世界的总收入的3分之1，今年公司收入会爆发时曾涨吗,物联网蓬勃发展，国际巨头有他们的优势，我们也有我们的机会，随着行业进入爆发期，汉威的成长完全可以预期。敬请关注！
56,请介绍一下公司的行业地位？,您好。公司是公认的物联网标杆性企业，公司致力于成为以传感器为核心的领先的物联网解决方案提供商与数据服务商。谢谢。
57,公司的业务布局都比较长远，请问公司认为2017年的增长点主要来自哪些业务板块呢？,您好！公司所处的物联网行业面临巨大的发展机遇，汉威通过近几年的物联网战略布局，已经取得行业客户的高度认可，在智慧城市、智慧环保等领域取得了良好的业务复制推广效果。2017年，我们认为在传感器、智慧城市及智慧环保板块都将取得较好的业绩。谢谢！
58,公司生产经营的季节性如何?哪个季节是旺季?,你好！公司近几年生态圈的建设，淡旺季不是特别的明显，相比之下一季度受我国传统春节的影响会是最淡的季节。谢谢！
59,今年又没有员工执股计划，对过去员工亏损持股又什么可说的，持股可彰显公司高层对未来的信心，你们高管持股如何,激励是多方面的，包括股权激励。我们有相应的计划，员工不会有损失。汉威人对前途充满信心。请关注以往及未来有关公告。谢谢！
60,任总您好 公司入选2017年新一代信息基础设施建设工程和‘互联网+’重大工程项目对公司今年的业绩有影响吗,能在各大运营商、集成商、腾讯、小米等激烈竞争中入选这个专项，说明国家有关部门对汉威的认可，也说明我们项目的竞争优势。不仅是一个项目，也是汉威实实在在的业务，当然会对今年业绩有积极影响。谢谢关心！
61,公司财务是否充足17年的分红少的可怜,你好！我理解您的心情。汉威电子自2013年以来一直用自有资金完善生态链建设。为了汉威电子产业升级、基业长青，持续不断地回报股东，公司经营发展资金与股东分红金额需要平衡，希望得到您的理解和支持。谢谢！
62,公司未来发展前景如何?对目前这个行业的前途看好吗？,您好！公司目前处于物联网信息化行业浪潮之中，对未来的发展前景充满了信心。谢谢。
63,我是公司的一名小股东，请问我想现场参加股东大会，不知道应该怎么做？需要什么样的程序？,您好！感谢您对公司的关注！我们已在巨潮资讯网发布了《股东大会提示性公告》，对参加股东大会的相关程序做了详细的介绍。谢谢！
64,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,外延发展是汉威重要的成长路径，我们一直在扫描行业优质标的，择机实现更好的整合协同。谢谢您的关心。
65,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,您好!谢谢您的建议，这也是我们追求的目标。
66,肖总您好，公司2016年在嘉圆环保上计提了很多商誉减值损失，请问2017年嘉圆环保有可能继续计提商誉减值损失么？,您好！2017年，集团公司对嘉园环保做了大量的管理改进，我们对嘉园环保的未来发展充满信心！谢谢！
67,最近有没有并购计划,内生增长、外延发展并重是汉威事业发展的主线，基于业务技术高度协同的并购，我们一直在行动。
68,在千年雄安有没有投标，中标项目公司未来科技创新有计划吗，科技院校，企业合作有没有计划,汉威在河北市场有多年深耕，哪里有客户，我们就去哪里。没有切实的业务机会去赶潮流，每个人都因该慎重。
