,Question,Answer
0,公司去年主打产品的销量是多少？,"水轮发电机组：7.54亿元
核电设备：1.43亿元
节能服务：1.81亿元
感谢关注！"
1,请问老总， 2016年存货是多少，存货增加的内容是哪些？,2016年末存货账面价值为85917.88万元，存货增加主要系原材料及建造合同形成的已完工未结算资产的增加所致。谢谢关注。
2,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,公司目前没有独立的研发机构，但各个子公司有研发部门进行新产品的开发或者技术创新升级。感谢关注！
3,能简单的介绍下新项目的情况吗？,感谢您对公司的关注！截止目前公司对外投资的项目为印尼巴丹图鲁水电站项目，可参考公司公告2016-52，2016-101.该项目建设周期为59个月，目前项目正在做前期准备工作。
4,请问2017年全年预计销售目标是多少亿元？实现净利润的目标是多少亿元？,公司2016年度营业收入为112214.33万元，2017年度销售目标预计会有所增长。2017年度净利润预计请回看问题16的回复。谢谢关注。
5,公司募投项目，预期如何？是否谨慎？,公司的募投项目均已投产或者达到可使用状态，正在或者未来给公司贡献利润。感谢关注！
6,新投资的项目今年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,感谢您对公司的关注！目前公司对外投资的项目为印尼巴丹图鲁水电站项目，该项目建设周期为59个月，目前未能产生效应。
7,请问今年预计主要产品的销售目标是多少？净利润是多少？,公司主要产品为清洁能源设备，2016年度营业收入为89735.2万元，2017年度销售目标预计会有所增长。2017年度净利润预计请参照问题16的回复。谢谢关注。
8,请问公司的分配预案达到承诺的分红比例吗？,感谢您对公司的关注！分配预案达到分红比例。
9,公司是否会计划多元化发展？,感谢您的关注！公司的主营业务以水电、核电 以及清洁能源为主，同时以互联网等新兴领域投资为辅助。
10,公司截止至今的产品有多少个种类？,公司目前的产品有：水轮发电机组（混流式、灯泡贯流式、轴流转桨式）、核电控制棒驱动机构、控制棒、特种电机等。详细产品种类敬请关注各个子公司网站。谢谢！
11,公司2016年管理费用较上年同期相比如何，原因是什么？2017年会下降吗？,2016年度公司管理费用为17700.84万元，同比增加13.72%，主要系技术开发费及中介机构费增加所致。2017年度管理费用未知。感谢关注。
12,公司截至目前为止都有哪些子公司和参股公司？,感谢您对公司的关注！公司子公司情况您可参考公司2016年度报告“第四节 ”之“七、公司主要控股参股分析”中披露的详细内容。
