,Question,Answer
0,公司每年都能获得政府补贴吗？这对公司的业绩贡献率有多大？,公司持续保持大额研发投入，符合政府支持和鼓励方向，基本每年都有获得政府补贴，2016年大约贡献22%。公司2016年作为核心单位承接了国家级智能船1.0研发专项工作，以综合导航系统（INS）为核心，集成其他航行相关设备及多方位传感器，可实现船舶航行设备的数字化及集成化，通过智能航行及辅助决策系统，进而实现智能化；未来通过虚拟现实等技术手段，成为无人船的核心技术组成。该项目的承接为海兰信智能船技术的研发达到国际领先水平奠定了坚实的基础。
1,最近公司财务状况如何？,"2017年第一季度公司实现营业收入137,242,177.52元，比去年同期增长 13.69%；营业利润为23,494,441.56元，比去年同期增长52.53%；利润总额为31,755,064.79元，比去年同期 增长31.08%；归属于上市公司股东的净利润为20,398,886.34元，比去年同期增长77.82%。"
2,公司是否具备长期投资的价值？你是怎么看的？ 如果有机会，你会增持吗？,您好，公司聚焦海洋主业，十三五期间是国家智慧海洋建设、军民融合全球海洋观测等重大项目的实质启动年，国家海洋科技产业将迎来大发展的良好契机。公司在海洋领域丰富的产品线，也将面临历史性机遇。
3,公司是否在考虑开拓新的领域？取得初步进展没有？,尊敬的投资人，您好，智慧海洋领域处于国家海洋高技术领域20余年积累后的行业高速发展、需求爆发式增长的前期。未来10年，国家在海洋信息技术领域、海洋观测/监测的基础设施和立体观测网络投入将超过之前40年投入的总和的5倍。如“海洋强国”、“智慧海洋”、“新丝路”等等一系列的重大海洋专项建设。结合国家海洋强国战略，面对中国海洋领域的巨大市场空间和机遇，海兰信肩负“贡献海洋、献身国防”的使命，五年内将坚定不移的持续围绕强化海洋立体（空基、岸基、海面+水下）监测实施能力进行布局和投入，为国家海洋强国战略实施贡献我们的力量。
4,近年来，频频发生高管在解禁期前放出利好消息，如高分红等炒高股价，解禁期后又出现业绩亏损等其它负面消息，更有甚者，有的公司早在解禁期前一两年就策划好了这些方案。试问一下，你们公司的高管股解禁期是什么时候？,您好！公司目前限售股解禁期是2019年1月。
5,公司对今年的财务费用有预算吗？,公司根据年度经营计划和资金预算做财务费用的预算。并重视汇率变动对外币资金和往来的影响。
6,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,"尊敬的投资人，您好。公司不排除在合适时机，以人才为导向，开展包括但不限于股权激励等多种形式的激励方式，从而加强人才的竞争优势。
"
7,现在行业间的并购都比较频繁，导致上市公司并购的成本提高，你们今年有没有兼并收购计划？,尊敬的投资人您好，公司目前正在筹划重大资产重组事宜，本次重大资产重组的标的资产可能包括但不限于劳雷海洋系统有限公司（原“劳雷工业有限公司”更名）、Summerview Company Limited等航海智能化和海洋信息化领域技术服务行业相关资产。请关注公司公告。
8,独立董事对公司的内部控制有怎样的意见呢？,      公司现行内部控制体系和相关制度己基本建立健全，能够适应公司管理的要求和公司发展的需要；公司重点活动能够严格、规范地执行公司内部控制各项制度，对子公司控制、关联交易、重大投资、信息披露的内部控制符合国家法律法规和证券监管部门的规章要求，保证了公司正常运行；公司后续应根据内外环境的变化，及时进行内部控制体系的补充和完善， 针对内控体系建设中发现的问题积极整改，不断提高内部控制的设计水平和执行效力，以更好实现内部控制的管理目标。
9,公司未来3年发展前景如何?,尊敬的投资者，您好，公司聚焦海洋主业，十三五期间是国家智慧海洋建设、军民融合全球海洋观测等重大项目的实质启动年，国家海洋科技产业将迎来大发展的良好契机。公司在海洋领域丰富的产品线，也将面临历史性机遇。
