,Question,Answer
0,关于您的“久等必有禅”著名论断，海普瑞上市8年来的股价表现已经做了非常好的注脚。李董对于“久等必有禅”这一著名论断有什么新的补充吗？谢谢！,谢谢。
1,有人曾在互动易上跪求李董您在提高公司二级市场流动性方面做点实事，您都看到了吧？您准备在这方面如何撸起袖子加油干？谢谢。,我们会积极做好公司的业务和提高经营业绩，并加强与市场的交流和沟通，谢谢。
2,公司和枫海资本的合作有好几年了，为什么还没有什么成果？,请参见公司年报中的披露，谢谢。
3,今天股价涨了点，是为了减少说明会的尴尬吗？,股价走势受二级市场众多因素的影响，谢谢。
4,在自闭症新药还没批准的情况下，spl的胰酶原料药为什么大幅增长？,您好！请见前述回复！感谢您的关注
5,关于公司如何提高二级市场的流动性，李董打算如何撸起袖子加油干？,我们会努力做好公司的业务并提高经营业绩，并加强与市场的交流和沟通，谢谢。
6,17年对天道的粗口销售量占公司年度销售量的占比是多少？公司年报没有相关内容，只有销售额占比,感谢您的关注！
7,公司坪山基地预计何时可以开始生产？生产那些产品？,请参考其他类似问题的回复，谢谢。
8,请问李董是否后悔说出“久等必有禅”这句话？,不后悔，谢谢。
9,李董，对那些被海普瑞套牢7-8年的股东说两句暖心的话吧。谢谢！,我们会继续努力，谢谢。
10,坪山基地的新品种是什么？是RVX208吗？,请参考其他类似问题的回复，谢谢。
11,坪山基地的厂房什么时候投入生产？生产的品种是什么？,请参考其他问题的回复，谢谢。
12,李董，您的人生还有几个8年？另外建议撤换单宇总经理一职，另觅高人。谢谢！,谢谢。
13,董事长您好，请问粗品加工的山东成都两工厂的环评和技改这么多年都没有完成，其中的难点在什么地方呢？17年因为粗品价格的大幅上涨导致公司业绩大幅下滑的背景下为什么没有着重解决粗品工厂的问题呢？,公司已经在肝素原料供应端进行了有效的优化和改善，具体请参加公司年报，谢谢。
14,在自闭症新药还没批准的情况下，spl的原料药为什么大幅增长？,您好！SPL按照协议提供产品。感谢您的关注！
15,坪山项目一期二期已经验收竣工了吗？一期和二期装什么内容？三期和四期开始施工了吗？未来装什么内容？谢谢。,请参考其他问题的回复，谢谢。
16,据说李坦女士对下属脾气暴躁，您认为作为管理人员，是否应该控制自己的情绪？,不存在您说的情况，谢谢。
17,久等还有蝉吗?黄金十年是什么时候开始的?结束了吗?李董还有信心吗？,我对公司有信心，谢谢。
18,股价长期下跌，董事长您有何感想！,我们会努力，谢谢。
19,健友的主营毛利和营收都超过了海普瑞母公司，制剂也出现快增长，存货一季度14亿，海母公司是4亿存货，制剂是依诺肝素，那曲肝素，肝素钙都在国内通过，天道目前只有伊诺，其他两种还没申请吗，公司将如何反制对手,依诺是低分子肝素中最大的品种，公司会加强依诺肝素制剂市场销售和推展工作，同时保持与肝素原料药业务核心客户的良好合作关系，谢谢。
20,请问李董，海普瑞目前二级市场流动性有问题吗？为什么长期交易量换手率低于1%？经常一天只成交60-100万股，换手率只有区区0.05%！您对此想说点什么吗？,公司超过75%的流通股由公司大股东和一致行动人持有是导致公司换手率比较低的主要原因之一。此外交易情况也受到二级市场众多因素的影响。我们会加强与市场的沟通和交流，谢谢。
21,赛湾的毛利率明显低于同行，什么原因？成本构成为什么没有披露？公司长期看好赛湾的依据是什么？,"您好！毛利率的波动是扩产过程中的成本变动相关。公司按照相关要求进行披露。公司长期看好赛湾是基于行业信息的综合判断！
感谢您的关注！"
22,请问李董是否认为海普瑞现在已是“大象”？如是是否能够跳舞？,不是，谢谢。
23,公司收购赛湾后，毛利率下降了20%，什么原因？,您好！毛利率的波动与赛湾扩大生产能力带来成本波动有关。感谢您的关注！
