,Question,Answer
0,公司盘子过大，已经成大盘股，不利于未来发展。公司是否注意到这点？未来会有回购后注销股份的可能？,您好，为激励公司员工，提升公司经营业绩，回报各位股东，公司近期股份回购计划所回购的股份拟用于公司股权激励，如未来股权激励计划不能顺利获得权力机构审批通过，所回购的股份将被注销。谢谢。
1,当初投资百融金服花了多少钱?,您好！出资额5千万元。谢谢！
2,你的回答是敷衍我们股东！,您好！我们一直致力于为股东创造价值，对待网上路演也是全力以赴，尽心尽力。感谢您的理解与支持！！
3,为何答非所问？让人猜！看看你们怎么回答的：问会继续回购吗？上次回购价在11.9元/股，现在股价11.1元，为何不回购了？,您好！公司回购相关事宜还请关注公司的回购进展公告。根据证监会、交易所相关要求，每月月初的前3个交易日内、回购期届满或回购方案已实施完毕的公司将及时发布回购进展公告。公司股份回购事宜已于2018年2月9日、3月15日作了信息披露，相关信息还请关注该两次公告。关于股权激励事宜还需另行制定股权激励方案并经公司权力机构审批后执行。公司会严格按照证监会、交易所的规定及时履行回购事宜的信息披露义务，请关注，公司回购期尚未届满，且尚未发布回购实施完毕的公告。再次感谢您的理解！
4,公司是否有建设汽车金融平台的考虑？把公司两大独立的业务真正链接起来。,您好！公司近期已与北汽福田签订《战略合作协议》，拟共同推进智能汽车制造及周边产业的金融科技服务，该项目成熟后将被复制在其他相关项目领域中进行推广。谢谢。
5,公司有无考虑做市值管理，二级市场也是增加公司知名度的好方法,您好!为股东创造价值是我们管理层义不容辞的责任，在未来的时间里，公司管理层会继续围绕董事会制定的战略目标，持续开发新产品，创造新客户，实现较好的经营业绩回报股东、回报社会。谢谢！
6,"公司在加拿大设置了跨境支付公司，而在中国人出境旅游消费热门地区日韩及东南亚却没有设立。
公司跨境支付是为高管解决移民的噱头吗？",您好，为更好的开拓海外市场，公司先后在香港、北美、加拿大等地区先后成立了全资子公司，配备市场、风控、产品、技术、运营等相关岗位，真正了解海外市场，拓展海外商户，也成为搭建国内外企业间桥梁的重要条件，这也成为公司海外国际业务的核心竞争力之一。谢谢。
7,第一次回购股价11.9元，现在11.1元，既然有钱买理财产品，为何不继续回购？想不通！,您好！公司回购股票有很多限制条件，何时买、何价买、资金来自于哪里均需要按照规则操作。感谢您的理解！
8,好的公司股价不会让股民失望!为什么公司发展这样好!股价去让股民失望二年多？中间有猫腻？,您好，公司的股价受多重因素影响，公司董事和管理层一直致力于公司的各项管理，为股东创造更大的价值。谢谢。
9,公司增发二项目延期，对公司业绩影响如何,您好!公司在制定各期经营规划时已经考虑到项目运行过程中可能出现的问题，虽然目前募投项目的投入有些滞后，但对整体业绩并未产生很大影响。谢谢！
10,跨境业务市场平均收益如何？网上看风险很大，如WISH的经营方式非常不利于支付公司，这方面的风险公司是否已有考虑,您好，联动优势未来跨境支付产品将持续完善现有的跨境收银台产品，升级现有收结汇产品，瞄准出口电商结汇市场，在以支付为核心业务的同时，大力发展以支付为基础的金融衍生服务，如跨境供应链金融等其他增值服务，为新兴的跨境电商小额、高频业务提供综合解决方案，输出技术平台服务+金融服务。另外，在具体行业服务方面，公司还将向客户提供行业场景化的支付综合解决方案，同时和服务商户所在行业产业链条的上下游服务商深度耦合，提供场景综合支付服务解决方案。谢谢。
11,这几天公司股价机构资金一直外流，任何关联版块大涨公司股价仍然下跌，有人说机构已知一季报不乐观。请问提前泄露是否属实。如果一季报真不乐观，公司为了撇清泄露嫌疑将会采取哪些提振股市的举措,您好。公司一直严格按照证监会及交易所的规定规范运作，目前公司一季度报告编制工作尚未结束，不存在您说的情况。谢谢。
12,最近，微信和支付宝在移动支付竞争越演越烈，公司是否也感受到强大的竞争压力？ 公司还能否在移动支付领域增加份额？,您好！公司将通过对金融科技行业发展趋势的深入研究、探索，全面打造联动优势“平台化、智能化、链化、全球化”四项核心能力，为即将到来的金融科技大潮夯实基础。谢谢。
13,请问公司参股网联，该股份未来会对公司带来多少收益？公司对此有无做过测算呢？,您好，网联平台作为金融基础设施，是监管意图的落地，为广大支付行业参与主体提供服务。联动优势参股网联，将更好的参与行业规则、标准的制定，发挥行业影响力，有利于自身支付业务的稳步发展。谢谢。
14,2018年，公司还能取得50%以上的增长率吗？ 管理层对此是否乐观？,您好！18年，公司董事已经制定了明确的战略发展方向，管理层、各个板块均制定了详细的经营计划，相信经过全体员工不断努力，18年的战略目标一定会达到预期。谢谢！
15,请问十大股东中的“中信证券股份有限公司客户信用交易担保证券账户”是否就是“深圳市华美达一号投资中心(有限合伙)”？其减持是否已完成？,您好，深圳市华美达一号投资中心(有限合伙)目前持股低于5%，公司未知该股东具体事宜。谢谢。
16,请问如何做大做强公司的支付平台，与支付宝和微信支付形成差异化竞争？,您好，公司将通过对金融科技行业发展趋势的深入研究、探索，全面打造联动优势“平台化、智能化、链化、全球化”四项核心能力，为即将到来的金融科技大潮夯实基础。谢谢。
17,国家下调汽车关税，对零部件企业影响如何？,您好！国家下调进口汽车关税，在一定程度会对国内汽车厂商产生一定影响。但近年来，由于我国汽车制造企业的产品技术与质量发展已经赶超世界先进水平，且在消费者中的认知度不断提升，总的来说对汽车零部件企业影响不大。谢谢！
18,如何做大做强公司的支付平台，与支付宝和微信支付形成差异化竞争，请问公司有哪些具体的发展措施？,您好，2018年，公司将通过对金融科技行业发展趋势的深入研究、探索，全面打造联动优势“平台化、智能化、链化、全球化”四项核心能力，为即将到来的金融科技大潮夯实基础。其中，场景、行业将是重点发力的两个方向。行业市场未来几年仍将有较大上升空间，同时也伴随着激烈的竞争，明确以金融行业为主要目标市场、产品细分等策略，加速推进业务发展，在此基础产品上扩展短信LOGO、短信公众号等增值产品，以此增加客户粘性并作为新客户的切入点，进而提升业务量。谢谢。
19,近日工信部宣布筹建全国区块链和分布式记账技术标准化技术委员会，请问贵司有无参与该标准的制定？,您好，公司子公司联动优势参加了工信部信通院牵头的可信区块链标准的制定。谢谢。
20,6月央行断直连对公司公司在银联网联会有金融服务方面的应收增加吗？,您好！联动优势严格遵守人民银行对第三方支付的相关规则规范，联动优势作为国内领先的独立第三方支付品牌，具有支付全牌照优势和多年垂直行业客户合作经验，在第三方支付市场已形成差异化竞争优势。谢谢！
21,在雄安设立股权投资基金投资方向是哪些？,您好，该基金投资方向含公司金融科技板块相关产业，包括信息服务、大数据与云服务、区块链技术开发、人工智能及高端制造等，谢谢。
22,和车车科技的技术开发合同中明确“在开发周期内完成”。请问开发周期是多少时间？,您好！与车科技合作的开发项目合作期限较长，项目有一定挑战性，开发时间会视实际情况而定。谢谢！
23,刘董，您好！公司跨境业务前景如何？网上看竞争异常激烈，目前贵公司该业务的成效能否介绍一下,您好，为更好的开拓海外市场，联动优势先后在香港、北美、加拿大等地区先后成立了全资子公司，配备市场、风控、产品、技术、运营等相关岗位，真正了解海外市场，拓展海外商户，也成为搭建国内外企业间桥梁的重要条件，这也成为公司海外国际业务的核心竞争力之一。2018年，公司国际业务将聚焦跨境结汇产品，为海内外企业提供跨境支付服务、跨境金融服务等跨境综合解决方案，扩大销售规模，通过参加国内外知名展会、联合跨境电商产业上下游企业共同进行业务宣传，线上线下共同发力，提升品牌影响力和收益率。谢谢。
24,"公司和北京市等合作的一卡通地铁刷手机项目，能否介绍一下情况。刷手机收费经过公司的支付系统吗？
公司是否有收入？",目前联动优势主要为一卡通提供支付系统建设和运营支撑服务， 联动优势与一卡通保有良好的合作关系，也在积极探讨双方新的合作点。谢谢。
25,能否介绍一下公司地铁一卡通刷手机业务情况,您好，目前联动优势与中国移动合作，已为全国20多家省移动提供基于NFC_SIM卡解决方案及服务， 此外与北京一卡通合作提供平台及运营支撑服务。谢谢。
26,据2017年报，公司支付领域费用大幅上升，今年会费用方面有改善的具体举措吗,您好！为了快速布局支付业务，公司在2017年对支付领域的业务加大了投入，导致费用有较大上升，未来，该部分的投入会随着业务规模的不断增大而摊薄。谢谢！
27,张斌先生中诚信征信当了董事长，毛振华 吴鹰同时做了中诚信董事。请问对公司和关联企业 中诚信征信业务有何影响？,您好！公司与中诚信征信业务的合作不会因为董事长、董事的变化而产生影响。谢谢！
28,公司有没有考虑收购车车科技？,您好！车科技与我公司是战略合作伙伴，伙伴间的合作会随着业务的深入而愈加密切，如有其他考虑会及时发布公告。谢谢！
29,2018年公司业绩展望一下，特别是一季度业绩咋样，有增长吗,您好！未来几年，公司仍将在持续夯实汽车及配件在智能制造板块主力地位的同时，重点发展金融科技板块业务，结合产业政策方向，积极部署金融科技板块结构，以支付服务为主线，发挥数据、信息服务优势，强化智能营销、安全、资金服务能力，形成平台化、场景化、模块化、体系化的业务格局，聚焦为企业服务、为产业升级提供支付+的金融科技创新解决方案。同时，顺应金融科技与汽车产业的融合发展形势，推进智能汽车制造及周边产业的金融科技服务，构建区块链、大数据、云服务、第三方支付等技术的工业互联网产业模式，深度挖掘并加强金融科技板块与智能制造板块的黏性，实现双主业协同发展。公司18年1季度报告拟在4月26日披露，具体内容请查询报告。谢谢！
30,公司和北京市一卡通搞得手机刷地铁项目，收费系统走公司的支付系统不？如果走公司的支付系统，每年给公司带来多少资金流量 ？,您好。目前联动优势主要为一卡通提供支付系统建设和运营支撑服务，同时也在积极探讨双方新的合作点。谢谢。
