,Question,Answer
0,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",公司同行业的的主要竞争对手可见公司招股说明书，产品介绍章节。公司保持稳定增长的措施详见2016年度报告第四节经营讨论分析。
1,行业有没有周期性？,医药市场是刚性需求，无明显周期性
2,公司生产经营的季节性如何?哪个季节是旺季?,您好，医药消费是刚性需求，没有明显的周期性。对制药企业来说，考虑春节运输因素，节前发货较多，节后有一个短暂的销售淡季。
3,公司未来3年发展前景如何?,公司未来3年发展前景良好
4,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,2016年度报告已充分披露，请自行查阅
5,请问公司目前产能多少？,详见公司招股书，目前产能无变化
6,眼镜叔叔，你的名字有问题啊！应该是冒险先生。哈哈！,谢谢
7,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,公司将按照发展战略，做好各项经营工作，努力提升公司的核心竞争力，加强投资者对公司投资价值的认同，稳步提升公司市值，实现公司价值最大化
8,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,感谢您对公司的关注，公司将牢记股东重托，扎实做好各项工作，以良好的业绩回馈广大投资者。
9,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,今年以来，公司销售趋势良好，公司销售目标和销售规划请见公司2016年年度报告第四节管理层讨论分析。
10,公司未来发展前景如何?对目前这个行业的前途看好吗？,2016年是国家“十三五”规划的开局之年，亦是医药行业深化改革全面推进的一年，行业环境发生了深刻变革，改革力度和进度超出预期。面对药品招标限价、医保控费、医疗机构严控药占比、行业增速有所放缓等诸多因素影响，公司管理层积极应对，紧紧围绕企业发展战略与经营目标，根据董事会制定的年度经营计划，继续加大产品市场推广力度和产品研发投入，适时调整销售策略，努力挖潜提升原有市场的销售能力及开拓新的销售市场，提升企业管理水平等一系列措施，实现了公司业绩的稳定增长。医药产业关系着国计民生，随着国民生活水平的提高和医疗保健需求的不断增加，医药行业越来越受到政府和公众的关注，医药行业将会处于持续、稳定、快速的发展阶段。
11,请问公司公司的核心竞争力是什么？,公司有一支熟悉医药行业的管理团队，有一支专业的研发团队，后续有一批高附加值的研发储备项目。
12,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,"投资者您好，感谢你的参与！
在销售工作中，公司与客户建立了长期合作、共同开发市场的关系。对一些临床路径产品，公司在相关医院不断举办临床应用研讨会等学术活动，同时帮助客户提高产品知识，加大临床推广力度。谢谢"
13,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,公司视质量为生命，将药品质量安全作为压倒一切的任务来抓，全面严格执行药品生产质量管理规范，为消费者提供高质量的产品。公司制定了严格的内部管理规范，确保公司资金安全和管理规范。对于您所说的负面事件，为公司上市前不良媒体的恶意报道，公司已经予以澄清。未来，公司将加强与媒体的沟通与互动，树立公司良好的社会工作形象。
14,我对贵公司是长期投资的，请问预计今年上半年会盈利多少？,"您好！
根据我公司在2016年年度报告中第四节之经营情况讨论与分析披露：预计2017年可实现销售收入增长20%至50%，净利润增长20%至30%。公司目前经营情况一切正常，正在按照年度经营计划，扎实推进各项工作。 
谢谢！"
15,请问公司今年是否有对外扩张的打算？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,投资者您好！公司上市后将积极稳妥地利用好资本市场，在坚持内生增长为主同时、关注、研究并适时介入外延式增长，通过多种形式进一步扩大产业规模，形成合理的、良性的产业布局，稳步提升公司市值，实现公司价值最大化。在市场开拓方面，公司将以新一轮招标周期启动为契机，加大重点产品的销售推广力度，巩固公司重点品种的市场地位，加大二线品种的推广力度，顺应两票制改革，完善精细化销售模式，稳步提升公司销售规模。
16,近一年来，贵公司高管考虑增持吗？,目前，公司尚未收到高管准备增持的计划和报告。
17,目前公司享有的国家优惠政策有哪些？,"投资者您好！
2014年10月，本公司由江苏省科学技术厅、江苏省财政厅、江苏省国家税务局、江苏省地方税务局认定为高新技术企业，证书编号为GR201432002437，根据《高新技术企业认定管理办法》及《中华人民共和国企业所得税法》等有关规定，本公司自获得高新技术企业认定后三年内即2014年至2016年企业所得税税率为15%。
谢谢！"
18,请问老总公司今年净利润同比增长多少？,"投资者：您好！展望2017年，公司将围绕总体发展战略及董事会制定的年度经营计划，继续深化管理，加强技术创新，加大市场开拓力度，保障公司稳健经营，促进业绩持续增长。据行业发展和市场状况，并结合公司的实际情况，制定了公司2017年经营目标：公司预计2017年业绩与2016年业绩相比仍会保持持续、稳定增长，预计2017年可实现销售收入增长20%至50%，净利润增长20%至30%。
上述经营计划、经营目标并不代表公司对2017年度的盈利预测，能否实现取决于市场状况变化、经营团队的努力程度等多种因素，存在很大的不确定性，请投资者特别注意。"
19,叔叔好，介绍一下公司的主营业务，什么时候上市的？,您好，公司主要从事化学药物的研发、生产及销售，公司现有产品主要包括利尿剂类、抗生素类、消化类、免疫调节类等临床用药。公司于2017年1月12日在深交所创业板挂牌上市。
20,您好，请问贵公司2017年上半年的经营情况如何？,投资者您好！公司一季度报告已于4月26日在巨潮资讯网上公布，公司一季度销售收入同比增长46.89%，归属上市公司股东净利润增长49.75%。公司在2016年报中已经披露了今年的发展规划，公司预计2017年业绩与2016年业绩相比仍会保持持续、稳定增长，预计2017年可实现销售收入增长20%至50%，净利润增长20%至30%。公司目前经营情况一切正常，正在按照年度经营计划，扎实推进各项工作。
21,董秘你好！公司药品撤了！公司又少了一个重磅产品！公司有何打算！重现申报到获批又需要几年！公司不会就安于现状吧和现有品种打天下吧,投资者您好！随着国内药品审评审批政策的进一步收紧，公司和其他制药企业一样，面临已申报产品撤回重新研究的状况。公司将认真研究各项新药审评审批法律法规，进一步提高公司的研发质量；扩充研发队伍，加快推进后续产品的研发。同时通过合作研发、委托研发、购买技术等多种形式，为公司未来发展储备产品，力争将申报产品撤回带来的影响降至最低。
22,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,投资者您好！公司目前尚无发行债券进行募资的计划，也暂无设立并购基金的计划。公司上市后，资本实力进一步增强，公司将根据发展战略，在充分调研的基础上，灵活运用资本市场融资手段，进一步提升企业规模，提升企业市场竞争力。谢谢！
23,董秘你好！公司西非它片撤了！今年有机会重现报批吗！公司毛利这么高！怎么净利润这么低啊只有几百万！这么低的毛利要持续到什么时候啊！,"您好！因公司该产品申报时间较早，基于临床试验的历史局限，结合国家食药监总局最新有关药品的审评、审批政策，经与临床研究机构协商及根据实际情况，公司审慎做出主动撤回上述产品的注册申请，在批准撤回后将按照国家食药监总局关于药品注册审评审批若干政策的公告（2015 年第 230 号）和化学药品注册分类改革工作方案的要求，补充完善有关研究后重新申报。
一季度公司实现净利润785.75万元，较去年同期增长49.75%。影响本报告期净利润的因素主要有：1、销售费用投入较大：原因系公司积极响应国家“两票制”政策，并借此机遇，加大销售市场开发及学术推广力度，故报告期内销售费用增长较大。2、管理费用与去年同期相比有较大增长：主要原因系报告期内公司加大了研究开发费用的投入，另一方面公司上市路演、广告宣传费用增加。
根据我公司在2016年年度报告中第四节之经营情况讨论与分析披露：预计2017年可实现销售收入增长20%至50%，净利润增长20%至30%。
谢谢！
 "
24,董秘你好。公司为什么要把1.1类新药‘’枸地氯雷他定‘’转让给别人。一个新药研发成功需要多少科研人员的心血，而且还是1.1类的，而且转让费区区只有300百万，公司目前不是正缺少独家药品和拳头产品吗，为什么公司不自己把它收购回来，还请董秘告知,‘’枸地氯雷他定‘’的转让问题已经在公司招股说明书的“风险提示”、“管理层讨论分析”中充分披露。谢谢！
25,董秘你好。老麻烦你了，还请理解啊，公司年报中提到的甲磺酸达比加群酯和利伐沙班这2种药，国内有企业有申报这2种药的生产批件吗，我在网上查了一下，好像都是国外企业生产的。该药品需求怎么样，还请董秘告知，谢谢,投资者您好！甲磺酸达比加群酯和利伐沙班是公司正在进行的研发项目，两产品目前只有进口品种，尚未有国产品种。国内目前已有若干家企业进行了申报。甲磺酸达比加群酯用于预防卒中和心血管事件、利伐沙班治疗关节置换术后患者深静脉血栓和肺栓塞。两个产品刚刚进入2017年新版国家医保目录，属于指南推荐的临床路径药物，市场前景广阔。公司目前正按计划推进两产品研发工作。
26,董秘你好，那‘’川阿格雷‘’如果研发成功，其科研成果是和公司共享还是公司拥有优先购买权和使用权，谢谢,“川阿格雷”系公司早期与合肥医工医药联合开发的产品，该品种目前已进入一期临床阶段，产品上市尚存在诸多不确定因素。产品的权益归属问题尚未与合肥医工医药达成协议。
27,董秘你好，那这个‘’猪牙皂总皂苷胶囊；如果研制成功，成果是属于公司的还是属于药科大的，最近公司股价跌幅巨大，不知道公司高层可否有增持公司股价。总市值已经低于目前任何一家医药公司，,“猪牙皂总皂苷胶囊”项目系公司十年前和中国药科大学的合作项目，已取得阶段性成果。因后期需投入较大资金，所以该项目处于暂停状态。
