,Question,Answer
0,公司生产经营的季节性如何?哪个季节是旺季?,您好！我公司的主营业务为大气污染治理，业务量总体较为平稳，但也会受到春节等假期因素影响，体现一定的季节性。谢谢！
1,好，离职后，所控制的公司今年有无减持股份计划？选好接班人了没？,您好！公司大股东暂无减持公司股权的相关计划，相关信息会严格按照证监会和深交所的相关规则进行披露。管理团队工作交接顺利，目前公司经营一切正常。谢谢！
2,在做项目之前是否对项目进行严谨的可行性研究？,您好！公司进行对外投资前会进行项目立项、可研分析、投资决策、具体实施等规范化制度化的决策流程，以保证投资项目的风险可控性和回报合理性。谢谢！
3,公司在一季度报预测上半年利润增长10-30%，是不是上半年收入也大概是这个增长范围，如果按照这个增速，今年股权激励10亿的目标能完成不？,您好！公司收入和净利润增长数据请参考定期报告数据，公司目前按照既定规划目标努力完成各项业绩经营指标。谢谢!
4,去年监管层要求现金分红，各交易所也发布了现金分红指引，公司怎么看，有这个打算吗？,"您好。鉴于公司目前盈利状况良好以及对公司未来发展的良好预期，为回报股东，综合考虑公司未来的盈利水平和公司未来的发展潜力，公司 2016 年度利润分配方案如下：以分配方案披露前的总股本 1,073,196,600 股为基数，向全体股东每 10 股派发现金 1 元 人 民 币 （ 含 税 ）， 共计派发现金股利 107,319,660 元。本次不进行资本公积转增股本。谢谢！"
5,今年公司人力成本的大幅度上升？对公司产品价格影响有多大？,您好。随着公司业务规模的扩大，人力成本会有所上升，但属于正常范围，不会对公司整体成本及利润结构有较大影响。公司是一家以工业烟气治理为主业，集技术研发、项目投资、工程设计、施工建设以及运营服务为一体的综合性服务运营商。
6,公司有没有股权激励计划？,您好！股权激励相关事项请参考公司公告发布的信息。感谢您的关注！
7,请问公司里是否有专人负责回答全景网投资者关系互动平台里股民的问题？股民的问题是否会传到公司的高层？,您好！公司董秘和证券部同事会负责全景网投资者关系互动平台的投资者问答，相关重要信息和建议会传达给公司管理层。谢谢！
8,请问净利润的增长率和销售收入增长同步吗？,您好，净利润除与销售收入相关以外，还受成本、费用等因素影响。具体信息请您及时关注公司公告及公司指定信息披露媒体及公司官方网站。谢谢！
9,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,您好！公司今年年初公告现金收购北京博惠通公司80%股权并公告了该公司相应的业绩承诺数据，请参考相关公告。谢谢！
10,除了在巨潮网上查看公司公告，还可以在哪里了解公司的日常经营情况？,您好！如果您想了解更多关于行业和公司的详细情况，您可以关注公司官方网站（http://qingxin.com.cn）和公司的微信公众号“清新环境”。谢谢！
11,市场普遍担心贵公司在电厂超低排放业务完成后，收入无法再保持增长，即使公司涉足非电业务，但一直比重不大？有什么举措能保持公司未来业务持续高增长呢？,您好！公司布局的非电行业理论市场空间大于电力行业，包括非电行业用煤量大于电力行业、非电行业单位投资额不小于电力行业、非电领域还包含各种工业过程烟气治理等因素。非电领域烟气治理有望进入快速增长期，公司技术储备丰富。大气治理以火电作为开端，经过十一五、十二五直到十三五的超低排放改造，公司非电行业布局始于2014年，经历三年时间，2016年业绩上已有体现，非电领域增长明显。此外，公司在火电烟气其他污染物治理、脱硫废水处理、资源综合利用等方面的提前布局，将有效保障公司业务的相关多元化和可持续发展。谢谢！
12,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,您好！分区域营业收入构成情况请您参见公司已于2017年4月27日在巨潮资讯网发布的《2016年度财务报告》中“营业收入构成”表。感谢您的关注。
13,请问公司明年净利润能做到多少？,您好！公司这几年的营收和利润增速都超过行业平均水平，今年的业绩目标依然是保持持续平稳增长。谢谢！
14,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,您好！公司的股价受宏观环境、行业政策、股票市场及投资者偏好等多种综合因素的影响，目前公司的经营情况正常稳定。公司管理层将继续勤勉尽责，并对公司未来发展充满信心，力争以优良的业绩回馈广大投资者。谢谢！
15,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,2016年度财务具体数据，请您参阅公司已于2017年4月27日在巨潮资讯网发布的《2016年年度财务报告》。
16,公司今年有没有新产品和新业务拓展？,您好！公司目前以燃煤电厂超低排放业务为基础，大力拓展非电领域业务，全面拓展环保、节能、资源综合利用等行业，长期目标是成为节能环保领域的综合性、创新型科技企业集团。感谢关注！
17,今年如何分红，是否高送转，有计划吗？,"您好！鉴于公司目前盈利状况以及对公司未来发展的预期，为回报股东，综合考虑公司未来的盈利水平和公司未来的发展潜力，公司2016年度利润分配方案如下：以分配方案披露前的总股本1,073,196,600股为基数，向全体股东每10股派发现金1元人民币(含税)。本次不进行资本公积转增股本。谢谢！"
18,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,您好！股权激励相关事项请参考公司公告发布的信息。感谢您的关注！
19,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,您好！公司目前以燃煤电厂超低排放业务为基础，大力拓展非电领域业务，全面拓展环保、节能、资源综合利用等行业，长期目标是成为节能环保领域的综合性、创新型科技企业集团。随着公司业务布局不断拓展，公司的各项营收和利润规模体量也将不断增长壮大，具体数据和占比请参考公司定期报告发布的数据。感谢关注！
20,去年公司经营遇到的最大困难是什么?今年有望改善吗？,您好！公司处于快速发展过程中，当前面临的主要问题包括业务规模扩张、分子公司增加带来的管理难度加大和优质人才持续培养等问题。公司将持续改善内部管理制度、优化人才培养机制，为公司持续发展做好充分保障。谢谢！
21,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,您好！我国经济发展进入新常态，新常态要有新动力，促进实体经济创新发展，推动经济发展方式转变和经济结构调整。而在城镇化和去产能的宏观背景下，工业行业全产业链清洁高效生产成为必然趋势。在公司业务最为相关的燃煤电厂和其他非电领域，推进煤炭清洁高效利用，促进节能减排和大气污染治理，已经成为重要的政策方向。公司目前以燃煤电厂超低排放业务为基础，大力拓展非电领域业务，全面拓展环保、节能、资源综合利用等行业。感谢关注！
22,截至目前，公司的同比销售额有增长吗？,截至目前，公司一季度营业收入同比增长115.64%。
23,公司目前面临的最大问题是什么？,您好！公司处于快速发展过程中，当前面临的主要问题包括业务规模扩张、分子公司增加带来的管理难度加大和优质人才持续培养等问题。公司将持续改善内部管理制度、优化人才培养机制，为公司持续发展做好充分保障。谢谢！
24,请问今年预计主要产品的销售目标是多少？净利润是多少？,您好！预计销售量仍会保持平稳增长；公司近几年的营业收入和利润增速都超过行业平均水平。2017年预计净利润依然将保持增长，具体数据请参考公司定期报告发布的信息。谢谢！
