,Question,Answer
0,请问，全国那些地方可以养猪？养猪是否需要牌照？江浙一带限制养猪，如何才能够和温氏股份合作？,总体来说，生猪的养殖主要分布在北方，南方水网区域较多，不适宜大规模生猪养殖。生猪养殖环保要求较高，需达到国家环保排放标准。需与公司进行合作，合作农户需在养殖公司的附近。
1,公司未来产能扩张的主要在什么地区？目前优质农户稀缺是否阻碍公司扩张？,公司未来主要的发展区域在西南、华北、西北、华中、华东等区域。公司的合作农户发展，是与公司的扩张相匹配的。目前没有影响公司的扩张。谢谢。
2,关注到贵公司旗下的温氏投资，目前投资的几个公司有几家已经上市，还有的正在排队，这部分收益将在什么时间体现出来？,温氏投资作为PE投资者，已经上市的企业按照规定，在上市一年后才能流通，流通后实现收益。
3,根据政府部门的统计，目前我国的猪肉消费除了在肉类中的占比下降，绝对量也是有所减少的。请问公司如何看待这种趋势及其对行业的影响？,从更长趋势来看，我们认为猪肉的消费量总体会缓慢增长，但增长幅度不大。养猪企业关键要练好内功，降低成本，才能赢得竞争。
4,公司重视研发创新和成果转化吗？每年投入研发费用大概有多少？,"谢谢你的提问。
研发、创新和成果转化始终是温氏发展所依托的核心和基础。温氏最初的扩张和发展就是依托了华南农业大学的研发科技力量。2017年公司直接投入的研发经费约2.33亿元，占公司收入的0.42% （未计国家和政府科技经费）。公司的研发力量主要依托于公司总部研究院（技术中心）同时延伸到下属事业部、区域管理公司生产技术部、养殖一体化公司技术小组。目前公司有10多名行业专家、68名博士为研发带头人，531名硕士为研发骨干的人才队伍。"
5,作为一名投资者，很关注贵公司的股票，对于股票一路下跌贵公司如何保证投资者的权益？,公司一直致力于做好生产经营管理工作，提升公司的价值。谢谢。
6,能否对比下公司生猪养殖核心指标（比如PSY、料肉比）与国际先进水平的情况,公司的生猪养殖核心指标与国际先进水平，存在一定的差距。我们正在加强我们的科技创新和技术水平，不断提升我们的养殖技术水平。
7,生猪平均出栏周期多少天？多少重？,生猪育肥阶段平均出栏周期在160天左右，平均上市不超过240斤。
8,请问贵公司目前的订单结构是怎样的？近几年有什么变化？为什么？,近两年我们主张家禽业务接订单生产，已经有不少订单。
9,如何申请一个与公司合作的养猪家庭农场？,公司+农户（或家庭农场）的生产经营模式，在公司组织架构中，专门设立养户服务部。合作农户想要与公司进行合作养殖，首先向养户服务部提出养殖申请，养户服务部会对合作农户的养殖条件作出评估；评估合格的，公司指导合作养户建设养殖场；建设完成后，公司与农户签订委托养殖合同，安排排苗；农户领取鸡苗和猪苗进行养殖；达到出栏条件后，公司统一组织销售。
10,简单来说，牧场相对于农户的养殖规模大好几倍，请问当前与公司合作的农场中，生猪出栏量超过5000头的占比有多少？,占比不高。公司不主张太大规模的家庭农场，不超出家庭农场的管理能力，饲养效果才会好。
11,请问，公司使用的信息系统是自主搭建还是外包形式？如是自主搭建，请问贵司投资的相关公司在搭建信息系统过程中贵司的相关技术团队是否会提供无偿或者有偿服务？,公司的信息系统建设以引进和外包为主，适当进行二次开发。谢谢
12,温氏一直在大力发展养猪，但也如公司所说，目前市场存在供过于求的情况。两者之间是否矛盾？如何才能达到平衡？,供求关系是一种动态平衡的关系，有供过于求的时候，也有供不应求的时候，公司的发展战略一直按计划实施。
13,请问：3月农户平均每头猪代养费多少？目前生猪价格低于成本，农户是否承担养猪风险？,3月代养费详见季报披露。温氏的农户不承担市场销售风险。谢谢
14,关注到贵公司发现生鲜也许，想咨询一下2017年生鲜业务盈利没有？,生鲜业务处于投入、探索阶段，我们相信将来会实现盈利。
15,请问，公司3月份生猪出栏196.7万头，同比增速23%，为历史单月最高头数；牧原股份3月生猪出栏接近100万头，同比增速130%。这有可能是3月份猪肉价格环比大跌了18%的主要原因吗？,从历年的猪价走势看，春节后猪价下跌是阶段性、季节性特征之一，生猪养殖行业受产能、行业结构、出栏体重等多因素影响，此外还有中小型养猪场、散户快进快出和非理性增减存栏量等原因，国内生猪价格经常会有一定的波动，存在所谓的“猪周期”。谢谢。
16,我们从投资人角度看，温氏的猪肉产品缺乏高端产品，如天然散养类，难以创造高额利润，随着消费升级的趋势，人们越来越喜欢食用牛肉、羊肉，低端大众化的猪肉，只能创造营业收入，不能带来多少利润，不知公司有无认识，并作战略调整？,过去两年我们的业绩都不错，大部分利润来源于肉猪产品，说明我们当前的产品结构是合理的，今后我们会根据市场的变化，不断调整产品结构，包括增加高端产品的供应。
17,相信进来提问的都和我一样是公司的忠实股东，但作为温氏的长期股东，股价已近腰斩，对我们打击很大。公司目前的发展策略是否有问题，是否有提振股计的具体计划？,公司的发展战略清晰，业务持续发展，规模不断扩大，有较好的盈利能力和盈利水平。下一步，公司将加强各项业务的管理，用良好的业绩回报投资者。
18,同业竞争者众多，公司的独特竞争优势是什么？,模式、科技、文化是公司的三大竞争优势。
19,2017年公司肉鸡上市量有所下降，2018年及后几年肉鸡上市量走势会如何,在确保盈利水平的前提下，我们会适当安排肉鸡的产量。肉鸡生产的季度性安排是养鸡业务盈利的重要影响因素。
20,近期是否有非公开发行的计划？,请留意公司公告。谢谢。
21,请介绍一下公司的核心业务及业绩做好的业务板块？该核心产品的市场占有率情况如何？同行业内最有竞争力的对手是哪些？能否举例说明下谢谢！,公司的主要业务为黄羽肉鸡、肉猪的养殖和销售。目前，黄羽肉鸡的市场占有率达到20%以上，肉猪的市场占有率接近3%。同行业的肉猪养殖企业有牧原股份、雏鹰农牧、中粮肉食、正邦科技等上市公司。肉鸡养殖企业中，黄羽肉鸡类的暂无同行上市公司。尚未上市且规模较大的黄羽肉鸡企业有江苏立华牧业股份有限公司，白羽肉鸡养殖的上市企业有圣农发展、仙坛股份、民和股份等。
22,公司2018年会对产品结构做相应的调整吗？,公司主产品是肉猪和肉鸡。我们会顺势而为，继续做大养猪业务，在确保盈利水平的前提下，适当安排养禽业务的产量。
23,您好，部分地区生猪养到300斤左右，请问生猪达到220斤之后，猪每天吃多少饲料长多少斤肉？,公司肉猪料肉比在2.45左右。谢谢。
24,公司对外延扩张的计划？公司外延考虑独立研发还是购买团队？,公司一直在寻找并购的机会，我们将根据标的项目的实际情况，使用原来的团队或者重新组建团队。
25,温氏的猪肉产品与境外进口猪肉的竞争情况如何？随着时间的推移，会不会压力愈来愈大？,国家现在已经限制美国猪肉进口。国外猪肉生产成本并不比国内低很多，而且他们到中国的产品是冻品，对国内热鲜、冷鲜产品冲击不大。
26,你好，在我国基本上有以下两种模式：1.以温氏股份为代表的公司+农户模式，2.以牧原股份为代表的自繁自养模式1两种模式两种发展，但是两种模式下对应的资本市场股票市值则截然不同，牧原股份上市4年来股价一路高歌猛进，翻了近10倍；温氏股份则从上市初的2000多亿市值一路下跌到现在的1000亿市值，对此贵公司认为原因是什么？有无稳定股价的计划措施？且唯一的一次非公开发行因某些原因失败了,影响公司股票波动的因素很多，公司近年来一直保持稳定发展，经营态势良好，短期波动经常无法充分反映公司价值。非公开发行终止主要是由于当时再融资政策法规变化、以及市场环境等原因，公司未能在中国证监会核准的批文有效期内完成该次发行。
27,请问，2017年生猪出栏每头均重是多少？,2017年，公司生猪平均出栏重量不超过240斤。谢谢。
28,提升生猪的单头体重有什么科学依据吗？从生产效率上来说是否值当？,我们会根据区域消费习惯，市场行情以及边际效益等方面来考虑上市重量。谢谢
29,“公司+家庭农场”的模式是否会朝着“公司+牧场”的趋势发展？,“公司+牧场”模式的定义是什么？
30,请问，贵司是否与同行有关生猪市场供求关系的探讨，目前生猪市场是否存在供过于求的情况，持续增加生猪出栏量和单猪中量是否会加重市场供求关系不平衡？,从目前的市场价格情况来分析，应该是存在供过于求的情况。如果持续增加生猪出栏量和单猪重量，会加重市场供求关系不平衡。
31,既然目前卖一头猪大概亏170元，公司有什么短期措施来减少损失吗？,公司将继续优化区域布局，调整业务结构，分散市场风险；持续提高专业化水平和管理效率，提升生产效率，加强采购管理，降低生产成本；加强产品质量管理，提高竞争力，以应对畜禽产品价格波动的风险。谢谢！
32,今年11月份有大量限售解禁，股价会不会承受较大压力，不断创新低？,我们对公司发展充满信心，公司生产经营一切正常，股价高低受多种因素影响。公司股票大部分已在2016年到期解禁，也没有对股价形成冲击。
33,请问您对生猪价格未来走势如何判断，今年养猪业务会亏损吗？,目前猪价在低位运行，从历史周期以及行业发展来判断，低价将在底部持续几个月的时间。今年养猪业盈利空间有限。
34,请问：目前生猪售价低于成本，公司生猪一般压栏几天？压栏期间料肉比多少？压栏期生猪最大养到多少重？3月份饲料均价目前多少？,公司的生猪没有压栏。目前一般的上市体重不超过240斤，部分地区会根据当地的消费习惯体重有所侧重，如西南区域基本要求250斤以上。由于原料成本上涨，3月份饲料的成本有所上升。谢谢
35,未来生猪养殖合作农户会持下降吗？对标美国SmithField单个养殖场生猪出栏5000头+的目标，公司是否有朝着此方向发展的计划？,中国的生猪市场养企业殖巨大，目前公司虽然是全国最大的生猪，但市场占有率仍然很低，未来还有很大的市场空间，因此，公司在不断增加合作农户的基础上，也不断对合作农户进行管理水平和养殖规模的提升，发展符合中国国情的适度规模化经营——“公司+家庭农场”。
36,请问，公司在国际上有无对标的企业？如果有，是哪些企业？,国际上有很多优秀的企业值得我们学习。我们很注意分析同行企业、上下游企业的优秀经营管理办法，虚心向他们学习。
37,请问公司的主要合作客户分布在哪些行业？能否举例几家合作商？,公司主营产品的主要客户群体为批发商、肉联厂、终端零售商；其他产品的客户情况为：原奶的主要客户群体为乳制品加工企业；农牧设备和兽药的主要客户群体为各养殖企业；生鲜类产品主要客户为连锁门店、团体采购等。谢谢。
38,您觉得此轮猪周期是否已经见到最底端的价格了呢？后续下行周期还要持续多久呢？大概率什么时候会触底反弹呢？,对于此轮肉猪价格的下跌，超出了行业内的预期，目前的价格已经是近10年以来的低位。是否已经是最低点，不好判断，但是已经在周期的底部。从历史周期以及行业发展来判断，低价将在底部持续几个月的时间。价格希望在2019年重新走入升势。
39,中美贸易摩擦可能主要影响的是豆粕，公司在豆粕上有什么替代产品吗？,我们还有很多的杂粕可供使用，如菜籽粕、棉粕等。
40,胡总，您好，请问公司将采取哪些激励措施，来保证公司的业绩增长,"首先谢谢你的提问。作为一个独立董事，认为温氏企业的文化始终体现了“精诚合作，齐创美满生活”。为了保证业绩增长，主要从人才方面着手。温氏发展的历史也是以大家共享成果的模式（员工持股+公司加农户）在社会上独树一帜，才能够成功的发展到今天。随着社会的发展，市场竞争的加剧，公司目前不仅继续考虑员工持股（详见股权激励计划），还从社会上广纳人才，使温氏的资金优势、规模优势、产品优势、质量优势和大数据的优势得到更好的发挥，也使新引进的高端人才有一个很好发展的平台。其次公司还通过扩展市场和延伸产业链方面加大力度保证公司的业绩增长。
"
41,请问，2017年生猪出栏每头均重是多少？相比2016年，每头增重7.31斤，是在相同的时间内取得的效果吗？未来还会继续朝着增重的方向发展吗？,未来还会继续提升生猪的单头体重。
42,"未来，我国的人工成本、环保成本、土地成本都会持续上升，公司有无计划在境外国家选择养殖基地？以境外土地资源和粮食来服务和满足境内的肉制品
市场需求",我们暂未考虑在境外开展生产业务
