,Question,Answer
0,"问16年公司收购德州的油田7成股份，当时油价27米金，在公司临时股东会上周总说过油价低咱们可以少采油，能维持正现金流，油价高了，能加大产量，请问在现在油价50米金时，德州油田的日产量加大了多少？德州油田收购时，公司报告生产井合计35口，待打井位有54个，能不能尽快开发,给公司培养出现金奶牛，以增强公司实力，促进公司高速发展？","在行业低迷时紧抓机会，充分展示公司技术在油田资源评价的优势，成功收购CHEVRON MIDCONTINENT, L.P持有的Reinecke油田区块，该油田目前开展地面地下油藏及井口大调查，编制合理的勘探开发生产方案、降低现场的操作成本、根据开发方案及油价高低时时调整，在油价达到一定的高度，加大产力度，提高经济利益最大化。"
1,请问周董，贵司目前还和哪些国际知名石油公司合作？据媒体报道，海外石油巨头计划增加勘探投资，公司有无信心取得他们的业务，谢谢！,公司一直跟踪并做强做精公司的服务业务，寻找合适的油气资源并购整合机会，在行业低迷时紧抓机会，充分展示公司技术在油田资源评价的优势，实现以低成本并购高价值的资产。
2,公司在经营活动中主要对哪些环节进行质量控制？,公司在油气勘探全生命周期进行质量控制
3,公司有没有哪些项目创新模式？,公司技术服务通过三个一体化实现创新，即采集处理一体化、处理解释一体化、地质工程一体化服务，形成公司在找油领域勘探开发一体化整体路线
4,海上勘探取得4口探井3口成功的优秀成绩---都是预探井吗？各个圈闭面积多少？,都是初探井，圈闭面积仍需评价井落实并经中海油确认
5,请问周董，贵司收购德州油田以来，油价持续稳步上升，但是今年一季度仅贡献业绩30万元；那么今后如果油价下跌，那么这一项目给公司的贡献岂不是负数？谢谢,美国项目现金流为正数，目前开展地面地下油藏及井口大调查，编制合理的勘探开发生产方案、降低现场的操作成本、根据开发方案及油价高低时时调整，在油价达到一定的高度，加大生产力度，提高经济利益最大化。
6,看了公司的回复，总体感到欣慰；但是仍期待周总能对未来是否减持做出一些明确的说法，谢谢！以提振大家信心！,周总本人不减持。
7,2015年的时候目前正在2015年度钻井基础上，开展有利目标区的攻关处理解释，落实评价井井位，请问现在评价井井位落实好了吗？,尚在落实中。
8,"勃海区块周边目前的开采成本约是多少?在公司预估中,正常情况下,油价多少是成本线?",渤海邻近区块目前开采成本大约在每桶30美金以内
9,"内蒙古区块周总当年是为了不使上市公司有续约风险，但又不让油气区块旁落，所以自己承担风险收购了维光科技。现在风险已经解除两三年。什么时候能把内蒙古区块注入上市公司？是不是要等《赛罕乌力吉区块三维地震解释及地质综合研究》合同执行完（也就要等4口初探井打完）？
 
公司除了用现金收购、增发股票收购，还有什么方式可以用来收购维光科技？
 
内蒙古二连浩特赛罕乌力吉区块如果有开采价值，铁定要注入潜能恒信的。原因是：1周总不能搞同业竞争。2只有潜能恒信放弃收购周总才能转让给第三方。今年在赛罕乌力吉区块上要打4口初探井，能不能像渤海05/31区块一样对打井进展及时公告？",内蒙区块仍处勘探期，为减轻上市公司勘探投入压力，暂时由控股股东投入运营，待风险消除，将由上市公司董事会或股东大会决定是否收购。
10,"内蒙古区块周总当年是为了不使上市公司有续约风险，但又不让油气区块旁落，所以自己承担风险收购了维光科技。现在风险已经解除两三年。什么时候能把内蒙古区块注入上市公司？是不是要等《赛罕乌力吉区块三维地震解释及地质综合研究》合同执行完（也就要等4口初探井打完）？
 ",内蒙区块仍处勘探期，为减轻上市公司勘探投入压力，暂时由控股股东投入运营，待风险消除，将由上市公司董事会或股东大会决定是否收购。
11,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理？,近几年的固定资产和技术改造等投资，满足了公司的原本计划目标。
12,公司每次投资项目的可行性报告是否有详细说明公告？,公司公告请在巨潮资讯网查询
13,尊敬的周锦明董事长：加油！！！,感谢您的鼓励。
14,请问公司如何看待上市公司的并购和市值管理？,感谢您对公司的关注。公司会努力做好经营管理工作，做好市值管理，继续寻找合适的油气资源并购整合机会，并抓住国家加快油气上游开放和市场化改革机遇，充分运用公司找油技术优势进行地下资源及经济性评估，科学决策，将控制投资风险放在首位，收购优质在产油气田项目，与公司现有勘探区块形成有效风险对冲，提升公司整体业绩。
15,公司今年合同情况能否介绍下吗？,公司2017年的技术服务项目正处于启动或前期阶段，会尽力实现全年盈利目标。
