,Question,Answer
0,麻烦介绍一下公司的主营业务。,公司的主营业务是塑料包装材料的研发、生产及销售，主要产品包括塑料包装膜、塑料托盘、塑料缓冲材料等包装材料，主要应用于计算机、智能手机、家用电器等电子产品的生产周转及销售包装。谢谢！
1,请问董事长目前市场上公司主要的竞争对手都有哪些公司？在细分行业公司处于行业处于什么排名？谢谢,我国电子产品塑料包装行业呈现小企业众多而分散的特点。公司目前为国内电子产品塑料包装行业的龙头供应商之一。谢谢！
2,建议公司在做好业绩的同时也要积极邀请各家机构前来调研，让更多人关注。,公司欢迎各家机构和投资者前来公司调研指导！谢谢您的关注与建议！
3,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,"2016年，在宏观经济增长乏力、下游行业增速放缓和行业竞争不断加剧的背景下，公司管理团队紧紧围绕年初经营计划和发展战略，公司上下齐心协力，稳扎稳打。报告期内实现营业收入47,350.37万元，同比上升7.36%；实现营业利润5,219.85万元，同比上升35.71%；归属于母公司的净利润3,711.15万元，同比上升40.76%。去年公司业绩虽然取得较大幅度的增长，但公司管理团队不会满足于现在的成绩，仍将再接再厉，为广大投资者创造更大的利益！公司编制了2017年度财务预算报告，预计2017年度销售收入目标为5.51亿元，预计净利润目标为4,350.93万元。此财务预算是公司2017年度内部管理控制指标，并不代表公司对2017年度的盈利预测，能否实现取决于市场状况变化、经营团队的努力程度等多种因素，存在很大的不确定性，请投资者注意投资风险。详情请查阅公司《2017年度财务预算报告》的公告。谢谢！"
4,请问公司如何看待市值管理的？近期管理层新出的增发新规对公司以后资本运作有何影响？,二级市场股价受多重外部环境影响。公司目前经营情况良好，公司2016年度及2017年第一季度业绩均有较大增长。公司未来将继续做好主业，加强内控管理、加大营销推广力度，以良好的业绩来回报股东，是市值管理的核心所在。如未来公司启动相关事项，将严格遵守证监会、交易所的最新相关法律法规进行运作，并及时履行相关公告义务。谢谢您的关注！
5,请问，今年会否考虑请问，今年会否考虑收购一些公司或者扩展新的领域?收购一些公司或者扩展新的领域?,公司将充分利用上市公司平台优势，在做好原有主业的基础上，积极寻求在新兴产业领域的切入契机，培育新的利润增长点，促进上市公司持续、健康地发展。如未来公司启动相关事项，将严格遵守证监会、交易所的相关法律法规，及时履行相关公告义务。谢谢！
6,我对贵公司是长期投资的，请问预计今年一季度会盈利多少？,首先感谢您一直以来对公司的信任与支持！公司将继续做好主业，以良好的业绩回报广大投资者！根据公司已披露的《2017年第一季度报告》，2017年第一季度归属于上市公司股东的净利润约815.85万元，比去年同期增长74.65%。谢谢！
7,2017年有重组计划吗？,根据相关规定，公司承诺自终止公告刊登之日起至少1个月内不再筹划重大资产重组事项。如未来公司启动相关事项，将严格遵守证监会、交易所的相关法律法规，及时履行相关公告义务。谢谢！
8,请问公司的分配预案达到承诺的分红比例吗？,"根据公司在《招股说明书》中披露的《股东分红回报规划（2014-2016年）》，承诺：公司在足额提取法定公积金和任意公积金，综合考虑所处行业特点、发展阶段、自身经营模式、盈利水平以及是否有重大资金支出安排等因素后，每年以现金方式分配的利润不少于当年度实现的可分配利润的20%。
为回报股东，与所有股东分享公司快速发展的经营成果，公司拟以2016年12月31日的公司总股本8,000万股为基数，向全体股东每10股派发现金红利1.20元（含税），不送红股，不以公积金转增股本。
公司2016年度利润分配预案中，现金分红金额占当年实现归属于上市公司股东的净利润比例为25.87%。已达到公司分红承诺的比例。该利润分配预案尚需提交公司股东大会审议。谢谢！"
9,对比大股东而言，中小投资者的合法权益有哪些特别之处？,您好！中小投资者目前仍是中国股市的基石，公司坚持公正、公开、及时披露相关信息，并遵守证监会及交易所等监管机构的相关规定，公司重视保护中小投资者的合法权益。感谢广大股东对公司的支持！谢谢！
10,公司的前5名供应商是什么，与公司存不存在关联关系？,公司前五名供应商与公司不存在关联方关系，详情请参阅公司2016年年报相关说明。谢谢！
11,公司去年主打产品的销量是多少？,关于公司相关产品销量数据已在2016年年报中按相关规定进行披露，具体请参阅2016年年报的相关说明，谢谢。
12,公司的前5大客户是哪些？,公司已在《2016年年度报告》中披露，详情请参阅公司2016年年报的相关说明，谢谢！
13,请问未来公司对稳定股价会做出哪些举措？,二级市场股价受多重外部环境影响。公司目前经营情况良好，公司2016年度及2017年第一季度业绩均有较大增长。公司将继续做好主业，加强内控管理、加大营销推广力度，以良好的业绩来回报股东。谢谢！
14,公司是否会计划多元化发展？,公司将继续做好主业，加强内控管理、加大营销推广力度，以良好的业绩来回报股东。同时，继续秉承内生增长和外延发展并举的方式，在做好原有主业的基础上，结合公司的实际情况，寻求更多的发展机会，培养新的利润增长点。如未来公司启动相关事项，将严格遵守证监会、交易所的相关法律法规，及时履行相关公告义务。谢谢！
15,请问董事长，您名下有没有未注入上市公司的其他资产（公司）呢？,本人暂无此方面计划。谢谢！
16,请问开完股东会后，如果送股通过几日内会送股？,"2016年度利润分配预案：2017年4月21日，公司召开第三届董事会第十六次会议审议通过了关于公司《2016年度利润分配预案》的决议，拟以2016年末总股本8,000万股为基数，对全体股东每10股派发现金红利1.20元（含税），不送红股，不以公积金转增股本。该利润分配预案尚需提交公司股东大会审议。具体分红时间请关注公司公告。谢谢！"
17,你怎么看公司的业绩和公司的股价和市值的？,二级市场股价受多重外部环境影响。公司目前经营情况良好，公司2016年度及2017年第一季度业绩均有较大增长。公司将继续做好主业，加强内控管理、加大营销推广力度，以良好的业绩提升公司内在价值，回报广大投资者。谢谢！
18,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,详情请查阅公司《2017年度财务预算报告》。谢谢！
19,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,公司坚持市场驱动与技术驱动两条路线，以技术创新为基础，以市场拓展为带动，通过内生培育或外延式扩张的方式增加新的利润增长点，巩固公司在塑料包装行业的领头地位。公司坚持以市场需求为导向，充分利用自身全方位服务能力优势，进一步巩固与扩大公司在电子产品塑料包装行业的领军优势，并积极开拓日用品、家具、医药等其他塑料包装材料市场需求。谢谢！
20,公司目前的股东结构是怎样的？是否有利于优化公司治理结构和企业长远发展？,公司2016年年度报告已对公司股东结构进行详细披露，敬请查阅！本公司按照《公司法》、《证券法》等相关法律、法规和规范性文件的要求，制定了《公司章程》，建立了由本公司股东大会、董事会、监事会和高级管理层组成的公司治理架构，形成了权力机构、决策机构、监督机构和管理层之间权责明确、运作规范的相互协调和相互制衡机制，各司其责，切实保障所有股东的利益。谢谢！
21,公司截至目前为止都有哪些子公司和参股公司？,具体内容详见公司《2016年年度报告》。谢谢！
