,Question,Answer
0,中国三大运营商 5G 时间表都已经确定，6G 研究也以开始，公司相关产品是否用于5G、6G相关通迅产品中，公司有无在光纤激光器方面进行研发？,目前公司产品在通讯领域运用较少，暂未对光纤激光器方面进行研发，谢谢。
1,姚总，公司一季报亏损加大，二级市场表现会不会创新低？,二级市场表现公司无法左右，公司唯一能做的就是把业绩做好，更好的回报投资者，谢谢！
2,公司毛利率很低，想问下公司算高科技吗？技术含量怎么体现？,公司近期在新业务领域投入费用较多，拉低了综合毛利率，公司将坚持研发创新，不断开发毛利率较高的新产品，目前正全力推进在智慧消防和地下综合管廊领域的应用拓展。谢谢。
3,理工光科业绩下降较明显，公司有无推出股权激励机制计划？,您好！公司会采取多种方式给予激励，谢谢！
4,总感觉光科始终只在原有市场寻找市场，作为高科技技术企业，除了加大研发外，更应将产品推向所有涉足领域，加大销售才是重中之重，同时想问下，公司产品与电科院旗下公司产品有无同业竞争的情况存在。,公司产品市场较为独特，目前暂未发现电科院旗下公司与公司有同业竞争，公司将积极拓展应用领域，做大公司规模，谢谢！
5,理工光科在光纤传感器方面，是否具有“独角兽”特质？,公司暂未达到“独角兽”企业的标准，公司将继续朝着成为一家“独角兽”企业努力，谢谢！
6,国产C919大飞机预计2021年完成试飞，到时将大量投产，光纤传感器作为机体压力控制的前端设备，公司有无计划争取相关订单。,公司目前产品未有应用在上述领域，谢谢！ 
7,去年业绩主要增长点在哪里？,公司今年将不断开拓新市场，加大公司产品在新业务领域的应用，提升业绩回报投资者。谢谢！
8,公司去年业绩下滑 股价也持续慢跌 不知公司今年是否有新动作，提升业绩等，回馈投资者？,公司积极面对市场竞争，不断开发新产品，提升业绩回馈投资者。谢谢！
9,公司是技术密集型公司，所处行业又是日新月异，保持产品技术优势非常关键。请问，2018年公司的研发预算是多少？在研发工作上将如何做计划？,公司每年研发费用保持在收入的10%左右，研发工作仍然围绕公司的主要产品应用场景进行，谢谢！
10,公司净利润增速放缓，且净利润现金含量低，这是什么原因造成的？公司如何保障现金流的稳定？,公司去年回款未达预期，且支出加大。今年公司将积极清收，控制支出，预计现金流有较大幅度的好转。谢谢！
11,公司光纤传感器产品有无应用在新能源汽车上？如有，合作伙伴有哪些汽车品牌？,公司产品未应用在新能源汽车领域，谢谢关注！
12,公司今年的业绩增长点主要会有哪些？,公司今年新布局智慧消防和地下综合管廊等应用领域，目前进展顺利。感谢关注！
13,理工光科公司“十三五规划” 具体主要项目内容有哪些，请一定讲解一下！,您好！具体内容主要是涉及公司经营等相关方面，谢谢！
14,公司光纤传感器产品有无用在国产C919大飞机或其它军工产品中，请姚总帮回答，谢谢。,目前未应用于上述领域，谢谢！
15,可否跟踪查一下武汉智慧地铁不按规定的期间公示年报是什么原因？有没有实质性道德或财务数据虚假情况！,武汉智慧地铁公司经营较好，具体相关情况请参阅年报，谢谢！
16,可以方便分享一下公司“十三五规划”文本吗？谢谢！,谢谢您的关注，请关注公司公告。
17,请问传感器芯片是公司自行研制生产还是外购组装？,公司传感芯片是公司自主研发，未来公司将不断加大技术投入，实现技术升级。谢谢！
18,预计光纤火灾报警系统产品今年的产销量是多少？销售额占比是多少？,光纤火灾报警系统产品是公司的主要产品，销售额一直占据公司主要比例，谢谢！
19,公司2017年净利同期下降17.73%，请问下降的主要原因有哪些？,2017年下降主要是公司新业务处于投入期，导致成本加大，原有市场面临竞争较为激烈，谢谢！
20,利润下降还分红，贵司管理层对此是如何考虑的？,公司一贯重视现金分红，将投资者的利益放在首位。未来，公司将加大分红比例，给投资者以优异的回报。谢谢！
21,请问贵公司生产销售的传感器主要有哪些种类？分别应用于那些行业？市场占有率如何？,公司主要生产传感系统，主要有温度、压力、应变、振动等系统，分别在石油石化、公路隧道、轨道交通、消防、电力、地下综合管廊中应用，市场占有率较好，谢谢！
22,公司对消防、安防领域的技术开发和研发新产品有哪些？运营情况如何？,公司未来以阵列光栅传感系统、智慧消防云平台为核心技术，在消防、安防领域推广公司新产品，目前进展一切顺利。谢谢！
23,北京光科关闭的原因是什么？光纤隧道火灾报警系统在北方市场的拓展为何这么差？,按照公司董事会的要求，以及内部减少层级和管理的需要，公司拟注销北京光科。相关的业务全部由武汉进行，谢谢。
24,请问刚上市就预计业绩暴降230% 是不是太多了点！,公司业绩受季节性影响，由于每年一季度基数较低，因此比例较大，公司在后续的三个季度内会努力经营，以优异的业绩回报投资者。谢谢！
25,天眼查显示收购的武汉智慧地铁与2016年7月14日被武汉高新工商分局列入经营异常名录，收购这样有问题的公司，是出于怎样的考量？难道不觉得“不与坏人做生意”这句话吗？,您好！上述情况由于未及时更新工商信息，公司目前已经处理，谢谢。
26,近期股票质押风险加大，请问公司实控人与各大股东有借助杆杠质押股票吗？质押比例是多少？是否有被强制平仓的风险？,公司目前没有大股东借助杠杆质押股票的，没有强制平仓的风险，谢谢！
27,公司有专人负责投资者关系管理吗？近期有机构去调研吗？机构对公司的发展持什么看法？,公司董事会办公室安排专人负责投资者关系，机构调研后，公司会第一时间发布相关公告，请关注，谢谢！
28,预计第二季度公司经营业绩如何？,公司将不断努力，以优异业绩回报投资者。谢谢！
29,请说说公司在智慧科技、智慧城市功能领域有什么特色产品和竞争优势？公司打算如何拓展该领域的业务？,公司目前以光纤传感系统为主，主要是涉及到温度、应力、振动传感系统。后续，公司将以开发出来的阵列光栅产品，迭代升级，拓展上述领域。谢谢！
30,请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,公司产品销售按照计划进行，销售向好，谢谢！
31,公司在传统领域有哪些市场资源优势？,公司在石油石化、高速公路隧道、轨道交通具有明显的先发优势，产品广泛应用于上述行业，在行业内无论是技术、服务、品牌具有明显的优势。谢谢！
32,公司有没有一个具体可行的持续增长计划？,公司制定了较为详细的“十三五”规划，并且也明确了相关责任人，将努力经营回报投资者。谢谢！
33,公司近期有没有重组计划？,公司目前经营正常，感谢关注
34,公司子公司去年只挣了1万多？请问后续公司有哪些计划？,子公司北京光科时代科技有限公司系公司在北方的销售公司，公司计划在2018年进行注销，谢谢！
35,贵司认为未来的利润增长点在哪？,公司以光纤传感技术领先，并且在物联网行业进行应用。未来随着智慧城市、智慧消防、地下综合管廊等行业市场的建设，应用将会越来越广，也将会成为公司利润的增长点。谢谢！
36,油罐火灾报警业务的增长空间有多大？,油罐火灾报警业务属于公司的核心业务，随着国家石油储备战略的实施，未来油罐业务仍然是公司业务增长的重点，谢谢！
37,预计今年利润能否恢复增长？,公司2017年利润较2016年有所下滑，主要是因为新投入领域还未产生效益。公司相信，今年能够给投资者一份满意的答卷，谢谢！
38,请问贵公司对区块链领域怎么看？有涉足区块链技术吗，或者有没有意向涉足此领域，跟上行业发展的潮流和风口。,公司目前没有涉足区块链，仍然是将现有的光纤传感技术在物联网领域的应用做深做透，谢谢！ 
39,今年一季度为什么亏损？接下来的季度有望扭亏么？,公司业绩受季节性影响，每年一季度均为亏损。接来下公司将努力做好经营，以优异的业绩回报投资者。谢谢！
40,贵公司今年是否还享受多项国家补贴？,公司属于高新技术企业，光纤传感技术在国内处于领先地位，未来公司仍然会积极申报科研项目，申请国家补贴，更好的促进公司的技术发展，谢谢！
41,"贵公司2016年11月1日上市，但公司官网自2016年10月20日开始就没有更新，想询问一下:
1、公司在正常运作吗？
2、募集资金基本未投入，公司的招股说明书内容真实吗？
3、公司目标仅仅是圈这一个多亿吗？
4、“国内领先，国际知名”的口号还有效吗？
5、“凡是过去，皆为序章”怎么理解？",谢谢！公司目前经营正常，募集资金由于去年忙于前期的项目规划、设计和报批，导致有所滞后，今年会有明显的投入，公司招股书真实、完整、及时、准确。上市只是公司的起点，未来公司仍然以做国内领先、国际一流的企业努力。
