,Question,Answer
0,公司对新疆、内蒙、宁夏等西部同行竞争对手怎样的考量？你们的成本、管理、市场等优势体现在哪些方面？,"您好，感谢您的关注。目前，国际焊接行业市场集中度相对较高，而我国国内焊接设备行业的产业集中度较低，除少数具备自主研发创新能力的厂商规模较大以外，其余厂商规模普遍较小、技术实力也明显偏弱。随着市场竞争加剧，领先企业研发水平与自主创新能力的提高、规模效应的增强，以及客户对具有高效、节能环保产品需求的进一步提升，一些靠简单抄袭、生产价低质次产品的小企业将逐步被市场淘汰，市场集中度将逐步提高。经过多年的经营发展，公司已具有深厚的逆变焊接相关技术积累及丰富的行业经营经验，产品市场竞争力强，对市场需求变化有敏锐的触觉。目前，公司在国内焊接设备行业中处于领先地位。
公司将依托已取得的技术、品牌、渠道和人才优势，在不断提升自身管理能力的基础上，充分发挥资本市场的作用，在业务发展模式上努力创新，积极把握海内外的行业并购整合机遇，逐步完善焊接产业链，以内涵式增长与外延式增长为驱动，相互促进，相互带动，快速、稳健地实现公司的战略目标。谢谢！
"
1,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,"您好，感谢您的关注。截至2017年3月31日，公司负债总额27,346.47万元，具体内容详见《2017年一季度报告》。谢谢！"
2,截至目前公司的同比销售额有增长吗？,"您好，感谢您的关注。2017年第一季度，公司实现营业收入16,213.43万元，较上年同期上升19.96 %。谢谢！"
3,请问公司目前产能多少？,您好，感谢您的关注。公司目前整体产能利用率较高，能够满足目前销售需求。谢谢！
4,请问今年的营销额，公司给的任务是多少？去年的有没有完成？,您好，感谢您的关注。2017年度，公司根据焊接行业发展现状及未来发展方向，围绕公司发展战略，加强产品研发和技术创新，大力发展中高端产品；加强渠道管理和市场开拓，完善销售服务体系；深入推进企业内部经营管理，提升公司整体管理水平；积极开展对外投资工作，加速实施公司发展战略。公司管理层将努力实现经营目标。谢谢！
5,一季度业绩怎么样？有没有机构来调查？,"您好，感谢您的关注。2017年第一季度，公司实现营业收入16,213.43万元，较上年同期上升19.96 %，利润总额为3,310.04万元，较上年同期上升40.38%；归属于上市公司普通股股东的净利润为2,864.40万元，较上年同期上升36.41%，具体内容参见《2017年一季度报告》。如有投资者到公司调研，公司将严格按照相关规定进行信息披露。谢谢！"
6,公司每次投资项目的可行性报告是否有详细说明公告？,您好，感谢您的关注。公司根据相关监管规则和公司制度规定，对相关重大项目均组织相关部门进行详细的可行性研究和分析，并根据要求提交有权机构审批。相关重大投资项目，公司已在中国证监会创业板指定信息披露网站进行披露，具体内容请参见公司相关公告。谢谢！
7,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好，感谢您的关注。相关内容请参见公司《2016年年度报告》，谢谢！
8,公司新项目何时能对公司贡献利润？预计每年可实现净利润多少？,您好，感谢您的关注。相关内容请参见公司后续各期的定期报告。谢谢！
9,公司海外业务都在哪些国家？,您好，感谢您的关注。公司海外销售市场主要分布在东南亚、澳洲、中东、俄罗斯等国家和地区，也正在加大在美洲、欧洲等地区的业务开拓力度。谢谢！
