,Question,Answer
0,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,投资者您好：公司专注自身发展，连续14年位居装饰行业全国百强前十，始终保持着行业领军地位。公司在为业绩增长方面正在构建六大领先优势和六大服务承诺。谢谢！
1,请问公司在财务结构上有什么不足，打算采取哪些举措。,投资者您好：公司财务状况良好，结构较为合理，公司将进一步加大应收账款的结算和收款力度。谢谢！
2,最近公司财务状况如何？,您好，公司财务状况良好，结构合理。谢谢。
3,公司的负债比率有多少？,投资者您好：请关注公司2017年4月26日公告的2016年度年度报告以及2017年第一季度报告。谢谢！
4,"国家要求实行经济节约型政策,公司具体是怎么做的?",您好，公司积极响应国家政策号召。谢谢。
5,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,投资者您好：公司营销业务保持良好的发展势头，经营业绩持续稳步增长。谢谢！
6,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理呀。,"您好，公司不是制造型企业，现就研发方面进行解答。公司本年度研发投入金额为80,194,697.03元。本年度内开展全方位的技术和管理创新研发活动，包括：创新开发信息化管理平台，提高信息化精细工程管理效率，开拓互联网+精装定制创新模式，扩大市场领域；推进标准化建设工作，制定了企业内部信息化管理标准、施工工艺技术标准、施工质量管理标准、设计管理标准等企业标准管理体系，有效提高了工程管理水平和工程施工质量；以建筑装饰绿色建造技术为导向，积极开展产学研活动，提高创新研发技术水平；率先开展BIM技术的应用技术开发，结合数字化测量和放线技术，大幅提升数字化建造技术水平；另外，开展新工艺技术、新材料、新施工设备机具的创新力度，提高整体工程技术水平，提高施工效率和质量、降低材料和人工消耗，降低工程成本；通过开展以上全方位的技术开发活动，提高公司的管理和技术水平和效率，大大提升了公司整体竞争力。谢谢。"
7,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,投资者您好：公司推行了六大领先和六大承诺服务，给客户提供了增值服务，也取得了客户的信赖与支持。谢谢！
8,今年人工费用是否还会出现阶段性上涨？,您好，公司按照完善积极的薪酬体系，保障员工利益，谢谢！
9,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",投资者您好：公司同行业竞争对手林立，但公司采取了一系列的管理变革措施，打造了核心竞争力。主要表现在BIM技术的应用，优化供应链，ERP信息化管理，提升工艺水平，实施大客户战略，采取精准营销的方法，涉足光伏产业和家装领域等一系列的举措，大大提高了企业的竞争力和营销水平，使企业保持稳定增长的前提下不断做强做大。谢谢！
10,公司未来3年发展前景如何?,您好，公司未来发展前景请查阅公司2016年年度报告“公司未来发展的展望”章节，谢谢。
11,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,您好，感谢您的关注。
12,近一年来，贵公司高管考虑增持吗？,您好，目前公司没有收到高管进行增持的意向和计划，若有相关情况，请关注公司公告。谢谢。
13,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,您好，公司募集资金进展在2016年年度报告中相关章节有详细阐述，并由保荐机构、会计师出具了相关核查意见和鉴证报告。请您查阅公告。谢谢。
14,请问4月底股东人数,您好，最新股东人数请查阅公司2016年年度报告，谢谢。 
15,公司今年利润分配方案什么时候实施,您好，利润分配方案将按照监管规定在2016年年度股东大会后两个月择机实施，谢谢。
16,贵公司员工一个月能挣多少？,投资者您好：根据公司的薪酬结构，公司员工的薪酬水平保持在同行业的中等偏上水平。谢谢！
17,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,您好，兼并收购情况请以公司公告为准。谢谢。
18,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,投资者您好：瑞和的目标是强化自我，不断提升企业盈利水平，以良好的业绩打造投资价值平台。回报股东，回馈社会。谢谢！
19,4月底股东人数,您好，最新股东人数请查阅公司2016年年度报告，谢谢。
20,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,投资者您好，公司独立董事履职情况在2016年年度报告中相关章节有详细描述，请您查阅。谢谢。
21,李先生很多人提问是尊重你。不是电脑在回答吧,投资者您好：公司非常认真的对待每一位投资者的提问。谢谢！
22,李先生很多人提问是尊重你。不是电脑在回答吧,投资者您好：公司非常认真的对待每一位投资者的提问。谢谢！
23,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,投资者您好：公司对新三板的扩容表示密切的关注。谢谢！
