,Question,Answer
0,请问我国电气化列车发展的怎么样，它和动车及高铁有什么区别？,"您好，中国电气化铁路的发展可以说已进入世界前列，这一点作为中国人我们是有亲身感受的。我理解，动车和高铁应属于电气化铁路的范畴，动车组和高铁在运行速度上是不同的。
要想了解更准确的信息，可能需要查阅专业方面的资料。"
1,请问公司今年理财资金规模有多少？收益情况如何？为什么不拿钱去做大做强而是去理财市场炒一把？,您好！公司根据经营发展规划对资金需求的综合安排，并考虑收益性和安全性，将暂时闲置的部分资金主要用于购买流动性较高的低风险理财产品。谢谢！
2,高盛预计2018年末铜价将位于8000美元/吨，请问贵公司对该价格如何看待？,您好！铜价波动受国内外宏观经济形势等综合因素的影响，公司生产用原材料主要为电解铜，为了降低远期订单的原材料价格波动风险，公司已通过购买沪铜期货的方式实现套期保值，因此铜价波动对公司经营业绩影响较小。谢谢！
3,请问董秘，公司市值才33亿，什么时候能上百亿？是否考虑并购扩大主营？,您好！公司将借助多年累积的市场优势和客户基础，进一步拓展国内外市场，提升公司在相关行业中的竞争优势，并将不断优化产品结构，提高公司持续盈利能力，以良好的业绩不断回馈广大投资者。谢谢！
4,国家现在大力搞大飞机，公司在这方面有没有新的业务增长点，为国家大飞机贡献自己力量呢？,您好，公司在稳健经营现有业务的同时，也会积极寻找新的业务增长点，创造更大利润来回报股东对公司的信任，谢谢！
5,贵公司与楚江新材和博伟合金算是竞争对手吗？,您好！公司主要产品为电气化铁路接触线系列产品和铜母线系列产品，细分产品结构等方面与上述公司存在一定差异。谢谢！
6,请问公司目前有哪些对外担保？担保资金是否安全？子公司的融资是否到位？,您好！公司仅对全资子公司进行担保，并且履行了相应的审批程序，除此之外不存在其他对外担保情形。子公司按照资金需求融资。谢谢！
7,高铁的电气化承办索、接触线多久要更换，使用期限多久？,您好，我国电气化铁路上所使用的接触线及承力索的实际使用寿命通常为12年，其后便需要进行换线维护。
8,请问公司目前的产销率大约是多少？库存是否紧张？为何要使用以销定产的战略？,您好！为控制经营风险，公司采用以销定产的经营模式，公司产品分为电气化铁路接触线系列产品和铜母线系列产品，主要原材料为电解铜，原材料供应充足。因铁路接触线及承力索产品单笔业务量大、客户施工周期长，公司根据对方施工进度分批发货，部分订单存在生产和销售跨期情况，导致部分年度产销率存在一定的波动，但总体产销均衡，生产经营正常。谢谢！
9,请问复兴号高铁是否使用贵公司的电气接触线？另外公司的产品是否远销国外？,"您好，过去几年中，公司先后参与了埃塞俄比亚铁路、兰渝线、京广线、湘桂线、石太线、哈齐客专、成渝铁路、长昆线、兰新二线(新疆段、甘青段)、贵广客专、西成客专、山西中南通道、海南西环铁路、云贵铁路、渝黔铁路、通让铁路、平齐铁路、张呼铁路、杭黄铁路、京沈铁路、京原铁路等重要铁路工程项目的建设。
我了解目前复兴号在京沪线运行，标准时速为350km，公司未供货京沪线，但是公司完全有能力提供相应的接触线系列产品，例如公司已供货的沪昆客专、成渝客专为350km。"
10,贵公司的应收账款明显高于同行，曾有媒体发文质疑，为何不正式回应他们？,您好，公司主要产品分为铁路接触网系列产品、铜母线系列产品，应收账款对应的客户主要为铁路接触网系列产品下游的铁路系统施工单位类客户。该等客户绝大多数为国资背景、资信情况良好，结合历史回款情况，不予还款的可能性较小，公司对该等客户的回款情况正常。谢谢！
11,请问公司作为我国高铁接触网主要供应商，在习主席推进一带一路的高铁战略下，公司是如何把握时代赐予的发展契机?,"您好，公司秉承“超越自我，引领创新”的企业理念，围绕产业化发展趋势，以市场为导向进行技术研发投入，优化产品结构，坚持实施高端化、规模化、品牌化、国际化的战略，充分发挥客户优势、技术优势、品牌与品质优势、管理优势、区位优势，加强综合优势资源整合，为下游客户提供高附加值、高质量的铜加工产品。在现代公司治理理念的指导下，公司将不断改善治理结构，持续推动产品质量管理和技术研发双轨并行，进一步巩固公司在国内同行业细分门类中的领先地位，同时积极开拓国外市场，打造引领行业未来发展的国际一流“超新”品牌。
在公司战略指导下，公司将会积极拓展新的业务、市场，任何国家重大的发展战略都会给公司带来新的契机。"
12,公司采取项目投标模式，还是二级销售商分销，全国销售网点情况怎样？,您好！公司主要通过参与竞标以及商业洽谈的方式来获取客户和业务，并且主要采用直销模式实现产品销售，部分通过“投标代理”及“贸易商”的方式实现产品销售。谢谢！
13,董秘您好，请问您对目前二级市场股价如何看待？能否反映贵公司的现有价值？对于散户来说股价上涨才是硬道理。,您好！公司目前不存在应披露而未披露的事项。公司经营情况一切正常，2017年度净利润同比去年增长超过10%。公司将继续稳健经营，在现有客户资源的基础上，加大技术创新，进一步拓展国内外市场，提升公司竞争优势，不断优化产品结构， 提高公司持续盈利能力。谢谢！
14,贵公司产能应用是百分之多少？,您好！公司在手订单充足，其中，铁路接触线及承力索产品单笔业务量大、客户施工周期长，公司根据对方施工进度分批发货，部分订单存在生产和销售跨期情况，因此年度产能利用率和产销率会存在一定的波动，但总体保持均衡。目前，生产经营情况一切正常。谢谢！
15,沪铜下跌，对公司经营成本有好处吗？,您好！公司主要产品为电气化铁路接触网系列产品和铜母线系列产品，产品销售价格主要按照“原材料价格+加工费”模式制定，为了降低远期订单的原材料价格波动风险，公司已通过购买沪铜期货的方式实现套期保值。公司原材料主要为电解铜，当铜价下跌时，公司经营所需资金量适当降低。
16,公司有没有积极跟随国家一带一路战略积极开拓非洲铁路业务，现在那里国家正在大力修建铁路，有的话请多多介绍下？,您好，公司积极参与一带一路铁路建设的相关招投标项目，希望为国家铁路建设做出一份贡献，相关中标结果如达到披露标准，将会及时、完整地披露在指定媒体上，确保所有投资者平等地获取相关信息，谢谢！
17,贵公司的产品除了应用在高铁方面，还有哪些方面？,您好，公司主要产品除应用在高铁外，还被广泛应用于大型建筑、核电机组、风力发电机组、水力发电机组、输配电设施等领域。
18,公司采取项目投标模式，还是二级销售商分销，全国销售网点情况怎样？,公司主要通过参与竞标以及商业洽谈的方式来获取客户和业务，并且主要采用直销模式实现产品销售，部分通过“投标代理”及“贸易商”的方式实现产品销售。
19,董事长，您好！请问公司产品主要服务轨道交通还是航空材料？,您好，公司主要产品分为电气化铁路接触网系列产品和铜母线系列产品两大类，具体包括电气化铁路用接触线、电气化铁路用承力索、电工用铜母线以及铜制零部件等，公司的产品被广泛应用于电气化铁路、城市轨道交通、大型建筑、核电机组、风力发电机组、水力发电机组、输配电设施等领域。
20,最近股价波动较大，请问怎么看？,您好，公司目前经营情况一切正常，不存在应披露而未披露的事项，感谢您的关注！
