,Question,Answer
0,请问公司在中国罗非鱼食品出口市场份额是多少？,您好，2017年公司在中国罗非鱼食品出口市场份额约是9%，谢谢！
1,公司2018年饲料及饲料原料业务是如何布局的？,您好，经过这几年的不断发展，公司饲料及饲料原料业务的整体产能不断扩大，产品的市场覆盖区域也从广西区域扩展到了广东和海南、山东地区，业务品种也更加丰富，是公司重要的收入来源和主要的利润支柱之一。未来，随着饲料板块企业产能的进一步释放，预计未来两到三年内，公司饲料及饲料原料业的产销量还将继续保持稳步增长。谢谢！
2,公司如何看待目前教育文化行业走势？,您好，第十二届全国人民代表大会常务委员会第二十四次会议审议通过了《关于修改＜中华人民共和国民办教育促进法＞的决定》，修改决定自2017年9月1日起施行，民办教育发展稳步推进。教育行业呈现良好的发展态势，长期看好教育文化行业发展，谢谢！
3,请问公司高管，公司近年来新建、收购项目形成的新产能估计何时能完全释放？,您好，明阳年产22万吨水产饲料加工项目2017年实现了较好的收益，预计未来两年产能基本能完全释放；北流年产1.54万吨水产食品加工厂建设项目、佛山更合镇年产18万吨水产饲料项目预计要三至五年才能将产能完成释放。谢谢！
4,请问公司高管如何看待北流年产 1.54 万吨水产食品加工厂建设项目？,您好， 北流年产1.54万吨水产食品加工厂建设项目自投产以来，受生产产能释放不充分，汇率因素等影响，导致该项目未能达到预计收益。公司将不断提升企业的产能利用率，尽快使该项目实现盈利。谢谢！
5,火星时代去年业绩情况如何？是否符合公司预期？,"您好，火星时代 2017 年扣除非经常性损益后归属于母公司所有者的净利润为8,253.33 万元，符合公司预期，谢谢！"
6,请介绍一下公司的水产食品加工业务2018年一季度的发展情况，接下来打算如何布局？,您好，公司2018一季度公司食品加工业务实现营业收入1.48亿元，同比下降15.9%，亏损885.92万元，同比增加亏损470.89万元，主要系汇率因素影响所致。后续随着汇率市场逐步趋余稳定及融资成本的下降，在公司食品加工业务保持现有生产能力的基础上，通过努力拓展海外市场、新增海产品加工贸易业务及开源节流等措施，公司食品加工业务在2018年亏损额将大幅减少。谢谢！
7,公司如何保证农户散养的罗非鱼品质达到公司要求？,您好，公司的自有养殖业务所占公司的业务比重很小。公司通过在百色、防城等地的自有养殖基地的建设，大力推广标准化、规范化、产业化水产养殖模式，并以向合作养殖户提供技术指导和服务为工作重点，为各地合作渔业养殖户起到了良好的示范和带动作用。谢谢！
8,从公司年报看到研发投入增幅达648.12%，请问这一部分的投入具体是在哪个业务板块呢？,您好，公司2017年的研发投入大幅增长主要是由于并购了火星时代，研发投入主要是教育板块，谢谢！
9,请问公司在水产品加工和饲料业务方面如何保证生产废料的合理回收和利用？公司在环境保护这一块的投入是多少？,您好，公司水产品加工过程中的废料主要为加工后的下脚料，上述产品全部回收并用于鱼粉、鱼油的生产加工。饲料加工过程中的废料主要为回收的粉料，上述粉料构成主要为各类饲料原料，回收后可用于再加工或直接出售。公司环保投入集中在除尘、污水处理等方面，上述设施一般在建厂时已一次性投入，后期只有少量的运维成本。谢谢！
10,公司2018年一季度净利润大幅增长的原因是？,您好，公司第一季度业绩大幅增长主要原因是火星时代业绩纳入合并范围后新增教育业务利润所致，谢谢！
11,请问公司为什么提前终止实施乐业罗非鱼养殖基地建设募投项目？,您好，公司提前终止实施乐业罗非鱼养殖基地建设募投项目的原因请查阅公司年度募集资金实际存放与使用情况的专项报告，谢谢！
12,公司的业绩也不差，为啥股价如此平庸不能反映出贵公司的真是价值？还是公司故意压制二级市场。或者其他投资者对公司的业绩存在疑问，有作假嫌疑。特别是子公司星火时代 我真的不敢认可他们。谢谢。当初出于什么考虑要收购这家公司。谢谢,您好，公司收购火星时代是基于教育行业呈现良好的发展态势做出的公司战略调整，同时火星时代是非常优秀的教育培训公司，在国内CG教育培训细分领域属于龙头企业。火星时代作为数字艺术教育的龙头，有望充分受益数字创意产业的成长带来的持续增长，将成为公司净利润的重要增长点，公司业务规模与盈利能力也将得到显著增强。谢谢！
13,人民币升值所带来的汇兑损失，同比增长1999.03万元，这个数字其实说小不算小，请问公司对这方面未来可能的损失怎么看？,您好，结合近期利率形势，公司计划自2018年起按照公司外币资产余额情况配套相应额度的外币融资并引入远期结售汇工具，一方面可降低融资成本，另一方可在一定程度上规避汇率风险。目前上述工作正在稳步推进中。谢谢！
14,公司今年是否有打算并购教育文化类公司？,您好，公司将在巩固和夯实现有主营业务的同时，继续推进公司在教育产业的拓展，以火星时代为核心，利用并购、投资、合资经营等方式，持续布局艺术教育领域，谢谢！
