,Question,Answer
0,尊敬的杨总监：30万套车电子产品，应该不全是DA产品，有ADAS产品，但是合正应该不是从14年开始做ADAS产品的吧？我想是不是由合正其他子公司15年生产但是15年未并表的业务单位生产的？您能不能给予我们更加直接直观的回答，而不是反复考验投资者的专业能力？谢谢！,谢谢你的关注！
1,杨总：您对盛路公司有何抱负或者说期待？vision,公司将以优异的业绩回报广大投资者。
2,目前盛路公司与合正，合正与南京恒电之间有哪种业务合作？能合力开拓市场吗？,您好！盛路、合正、恒电在产品技术、客户体系等方面都具有协同性，能够合力开拓市场。
3,非常喜欢合正这个名字：以奇胜，以正合！合比胜更重要！,感谢支持！合正的团队很喜欢这个名字，股东很喜欢这个名字，客户也很喜欢这个名字，谢谢！
4,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,公司通过内生增长与外延整合双轨式发展，进一步强化在研发技术、产业布局及品牌质量等方面的核心竞争力。扩大了公司军工电子板块，强化公司在军工领域的业务布局。公司目前正在积极引进海外高端营销人才，积极参加国际化大型展会，努力开拓海外市场。提升上市公司的综合竞争力和盈利能力，实现公司持续稳定发展。谢谢您对公司的关注！
5,郭总：在投资者互动网上，2016年8月26日公司回复年累计DA销量是26套。2016年全年DA的销量是35套。表明16年前8月每月销量是3.25万套，后4月平均销量是2.25万套。请问为什么会有月销量明显下降的现象？此现象是否会成为常态？或者是持续下降？,您好，我们16年全年销售DA35万台套，其中9-12月销售近15万台套，仅仅是DA，还不包括其他智能设备，如远控、行车记录仪等智能设备。
6,杨总：您说我们公司在国际化的道路上还有欠缺。那么我们接下来有什么提升计划吗？,公司一直围绕运营商战略、大客户战略、海外战略开展业务。公司目前正在积极引进海外高端营销人才，积极参加国际化大型展会，努力开拓海外市场。谢谢您对公司的关注！
7,非常感谢杨总主动回答了我向杨振锋总提出的有关军工的问题。振锋总是有别的更重要的事而没有时间参与与投资者之间的年度业绩沟通会吗？,南京杨总在线回答各位投资者的问题，感谢您对公司的关注！
8,郭总：合正DA年产量100万套的新车间何时能达产？,您好！合正目前已经能满足100万套的产能，谢谢！
9,杨总：非常感谢杨总主动提到了合正向整车产直接供货的重大策略变化！我希望今后此类重大策略的变化能否再在年报里有主动的体现？再次感谢杨总的沟通！,谢谢
