,Question,Answer
0,在目前中美贸易关系的情况下，公司在美子公司是否收到了影响？影响多大？,公司提供的是To Business的企业软件服务，中国企业软件服务在美国市场占比很小；公司在海外的业务完全基于云计算的业务，主要采用开源平台，不依赖于传统软件企业的底层技术，公司的服务也可以架构于所有主流的云平台，公司在海外业务的发展依靠产品和技术的领先而不依赖于价格优势，公司在海外的产品也全部通过了业界最高等级的安全认证，同时公司海外子公司也将严格遵守所在国的相关法规，因此公司认为公司海外业务及美国市场业务受到贸易战冲击的可能性较小。感谢您对公司的关注。
1,公司前5大供应商占比超50%，请问公司如何管理供应商集中可能带来的风险？,公司对供应商集中的风险管理采用的方式为根据市场的变化选择相关领域在全球的领导厂商做为我们的供应商，谢谢关注。
2,公司对宝库在线收购完成没有，多少钱收购，能对公司业绩带来多大利润？,公司对宝库在线收购目前没有完成，目前正在整合当中，主要是考虑利用我们酒店的资源优势对差旅服务业的一种尝试，暂时没关注利润影响。
3,公司的研发投入占营收比是多少？同比上年管理费用增加了多少？,公司的研发投入占营收比是9.71%，在公司2017年年度报告全文\第四节\管理层讨论与分析的研发投入中可以看到。管理费用增长，可以在年报的审计报告中看到。
4,基于平台数据优势，公司未来会否涉足互联网金融,公司将根据业务发展情况及结合公司发展阶段整体考量，谢谢关注。
5,贵公司的发展战略是什么？,经过10多年的发展，公司已经基本完成了人才，技术，行业知识，客户，服务网络，资本等积累，具备了从软件开发服务商向应用平台运营商转型的基础。公司的发展战略是平台化和国际化。公司的核心优势主要体现在对行业需求的准确把握并能与整个信息技术的发展趋势结合起来对未来信息系统研发设计做出前瞻性判断，使得公司的产品在技术上能始终处于相对领先地位。谢谢。
6,谈一谈公司市值管理？,"公司历来注重市值管理工作，以公司业务的良好发展和不断推进公司业务的战略转型为基础，通过投资收购助力公司业务实现快速拓展，通过注重与投资者、媒体、监管层的关系管理工作，帮助投资者理解公司发展战略和业务发展情况，从而理解公司真实价值。
公司首先着力做好公司业绩，以便积极回报股东；其次公司重视与每一位投资者的交流沟通，做好公司投资者关系管理，2017年度公司召开投资者见面会达十几次之多，接待人数达200人之多，回复投资者问题达150多条，公司会继续积极做好市值管理，谢谢您的关注。
"
7,公司与支付宝、微信的支付合作 如何获得收益？以交易额为基础吗？,公司与支付宝、微信的合作均以交易额为基础计算收益，谢谢关注。
8,公司和飞猪、首旅合作的未来酒店，目前运营情况怎么样？？,合资公司浙江未来酒店网络技术有限公司目前已经运营超过2万家酒店，感谢您对公司的关注。
9,贵司与阿里集团子公司Alibaba Investment Limited的股权合作目前进度怎么样？,"2018年4月4日，公司、石基（香港）、石基零售与阿里SJ投资达成SPA中约定的交割条件，完成了全部股权转让款支付等交割相关事项。交割完成后，阿里SJ投资正式成为石基零售的股东之一，持股数量为38,000,000股，股权比例为38%；石基（香港）持股数量为62,000,000股，股权比例为62% 。详细请见公司关于本次交易的公告，谢谢。"
10,公司已经正式开发完成Token服务平台并即将为全球客户服务，这是怎样的一个平台,TOKEN是一种利用加密技术的软件服务平台。感谢您对公司的关注。
11,公司是否正处于转型时期？公司净利润几乎呆滞？,公司业务尚处于转型时期，目前的重点是平台化和国际化，需要针对下一代信息系统进行大量投入，公司希望通过加快转型从而实现未来业绩的快速增长。感谢关注。
