,Question,Answer
0,贵公司近年来，有哪些研发产品成功商业化的？具体取得多少营收以及净利润？,您好！感谢您对公司的关注！公司近年来一直推出新产品。2017那年，公司推出了如防雾车灯用有机硅密封胶胶、1077弹性体防腐材料、装配式建筑接缝胶等新产品。为适应市场需求，公司不断对现有产品进行升级换代。
1,贵司是否考虑开拓海外市场？,您好！感谢您对公司的关注！公司已开拓海外市场，公司产品已在韩国、德国、马来西亚、新加坡、伊朗、印度等多个国家持续销售，逐步建立和完善海外市场销售体系。2017年，公司设立了美国子公司，旨在积极开发在美国及北美地区的市场。
2,公司的产品用于了哪些知名项目和建筑呢？,您好！感谢您对公司的关注！公司产品已应用于北京城市副中心、北京大兴国际机场、济南第一高楼“济南汉峪金谷”、国家体育场“鸟巢”、全球最大单体幕墙建筑新世纪环球中心、东方迪拜”三亚凤凰岛、超高层建筑苏州东方之门、福州海峡奥林匹克体育中心等知名建筑工程。
3,今年以来公司接订单情况如何？,您好！感谢您对公司的关注！2018年以来，公司订单有一定增长
4,为什么西南地区业务的毛利率会同比下跌25.17%那么多？具体是什么原因？2018年还会继续下跌吗？,您好！感谢您对公司的关注！2017年，公司毛利率下降主要系原材料价格大幅上涨原因所致，西南区域毛利率下滑主要是受公司内部结算方式的影响。
5,海外业务营收2017年同比增长76.5%，请问增长主要来自哪个地区？增长的主要原因是什么？毛利率是多少？,您好！感谢您对公司的关注！2017年，公司进一步加强海外市场拓展力度，随着客户的增加，销售业务同比实现较大增长，主要来源于韩国、德国等地区，产品毛利率约14%。
6,董秘您好：美国迈图高新材料集团近日发布涨价公告，贵公司的原材料近来也在涨。请问贵公司的有机硅密封胶什么时候提价？,您好！感谢您对公司的关注！2017年以来，公司原材料持续上涨并维持高位，公司已对部分产品提价，后期仍将根据市场情况适时调整产品价格。
7,公司称目前装配式建筑用胶、建筑幕墙用胶等产品已应用于雄安市民服务中心，请问该产品在雄安新区是否存在大规模铺开的可能，中长期能给公司带来多大利润？,您好！感谢您对公司的关注！公司产品已应用于雄安新区市民服务中心项目，但目前用量较小；公司将持续关注雄安新区建设，未来将随着雄安新区建设情况逐步放量。
8,从公司今年的工作重点看，今年似乎还不是有大的发展的一年，毕竟现有产品和新能源竞争比较大，您认为呢？,您好！感谢您对公司的关注！2018年，公司的经营指导策略是“改变、提升、跨越”。公司将继续扩大现有产品的市场占有率，大力推进技术创新，开发新型有机硅产品、不断拓展有机硅材料在新领域中的应用；同时择机进行投资或并购，加速外延式增长，提升公司竞争力。
9,请问贵公司预计上游原材料价格高企，供应紧张的局面仍将维持多久？,您好！感谢您对公司的关注！公司预计，供应紧张局面改善需要等到上游单体厂的扩产完成，目前来看预计要持续到2019年
