,Question,Answer
0,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,到目前为止，公司董事会尚未讨论和研究兼并收购的相关事项。
1,公司有没有哪些项目创新模式？,目前公司一站式项目和SPT技术项目就是在种业企业经营模式和高新技术方面的创新。
2,贵司目前有哪些销售渠道？是否存在大客户依赖？,公司不同的产品不同的区域有着不同的营销渠道，但不存在大客户依赖的情况。
3,公司所处行业有没有周期性？,种业有着明显的周期性，这个情况在公司的招股说明书和定期报告中都有详细的说明。
4,公司在经营活动中主要对哪些环节进行质量控制？,公司对质量控制环节主要在种子的生产、仓储和物流等环节。
5,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,近几年，公司现有的优势品种”H优518“和”兆优5431“的销售量在逐步扩大，具体情况在公司2016年年报中有相应的披露。在传统业务逐步退出的情况下，公司将会把更多的资源向优势品种倾斜。如果再考虑到其他营收增长预期，预计今年公司的营收将在去年的基础上继续快速增长势头。
6,雄安新区的设立，对公司存在哪些机遇？,截至目前，公司及各子公司无在雄安新区三县存在业务经营和资产权属等情形。因此，雄安新区的设立对公司无直接影响。
7,您对神农基因在2017年的经营和发展，有何建议或意见？,正如公司2017年的经营规划，其工作重点就在于主营业务的转型、SPT技术的研发和传统产业的逐步退出。
8,截至4月30日，“国家队”即证金、中金、汇金合计持有贵司多少股份呢？,截至2017年4月底，上述机构未持有公司股份。
9,公司如何进行投资者关系管理，如何规划进行投资者回报的？,除继续重视日常的投资者关系管理之外，要给予投资者丰厚的汇报必定要不断增强公司的盈利能力和持续经营能力，因此，尽快实现公司目前的战略转型是当前公司各项工作的重中之重。
10,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,"截至2017年3月31日，公司负债总额1,178,156,603.84元。"
11,如果公司进行定增，那大股东及高管们会考虑参与、进行增持吗？,如果公司进行再融资，大股东和高管会积极考虑参与，这本身也是公司实施股权激励的一种方式。
12,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,一方面公司会继续实施积极的利润分配政策；另一方面，尽快实现公司现有的战略转型，改变传统种业企业的盈利模式，从根本上增强公司的盈利能力和持续发展能力。
13,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,股票价格受多种因素影响，敬请投资者注意投资风险；截至目前，公司生产经营情况正常，没有应披露而未披露的信息；公司将认真做好各项经营管理工作，回报投资者的关爱。
14,公司是否在考虑开拓新的领域？取得初步进展没有？,公司已确定三大经营方向——生物育制种技术服务、“一站式粮食生产供应链管理服务”和农村电商服务，2016年紧密围绕上述经营方向，努力推进各项工作，在提升自主研发核心技术、推动经营模式创新升级、优化产品结构和完善运营机制等方面取得了积极成效，为公司的可持续性发展打下良好的基础。
15,今年以来，原材料都迎来涨价潮，对公司会有什么影响？,由于租地、人工等成本不断上涨，预计制种成本和原材料成本将呈上升趋势。公司将进一步加强生产管理，控制生产成本，提高生产质量。
