,Question,Answer
0,请你们认真回答前面投资者的问题！你们的减持公告引发股价跳水，然后一句不减持了就不负责任了吗？投资人买你股票是看好公司发展，难道一句股市有风险就交待了吗？你的意思是不是神剑非常烂大家谁也不要买呢？,好！感谢对公司的关注！公司大股东减持行为严格按国家现行法律法规要求进行，其减持与否与股价下跌并不存在必然联系。但过去的一年，广大股民确实没赚钱，您的心情我们理解，我们能做的只能是把企业经营好，大家共同努力！
1,公司对外延扩张的计划？公司外延考虑独立研发还是购买团队？,您好！感谢对公司的关注！公司坚持走化工新材料与高端装备制造双主业发展之路，具体请及时关注公告。
2,刘叔叔好，公司是2010年3月3日在中小板挂牌上市的，介绍一下公司的主营业务,你好，感谢对公司的关注，公司目前主要经营两大业务板块，一是化工新材料领域，二是高端装备制造领域。详细信息请关注公司2017年报披露内容。
3,如果股价30多块钱你们随便减持啊。你说你不容易我们也相信，但是投资者就容易吗？,你好，感谢对公司的关注。大家相互包涵！
4,"神剑股份2017年净利润1.24亿元,同比下降26.33%，公司利润率下降的主要原因是什么？公司有做原材料套期保值吗？",你好，感谢！公司2017年度利润下滑的原因是化工原材料的上涨带来聚酯产品毛利的下降。目前未做原材料套期保值，主要是除PTA外其他化工原材料不具备操作条件，而PTA价格波动幅度并不明显。
5,请问今年内公司有并购重组或者资产注入计划吗？有没有投资新建厂等计划？,您好！感谢对公司的关注！请及时关注公司公告。
6,贵公司控股股东减持公告引发股价崩盘式杀跌而现在一句不减持就没什么事了。公司在互动中曾经预计马鞍山项目2018年中期投产而现在又预计2018年底投产而在此之前又预计过2017年底投产那么公司为何对自己公司投产预计的那么不准确还是有其他目的？,您好！感谢对公司的关注！公司大股东减持行为严格按国家现行法律法规要求进行，其减持与否与股价下跌并不存在必然联系，上市8年大股东未减一股还进行了增持也不容易，还请您理解！公司建设项目的投产，受多方面因素影响，有时超出企业的控制范围，我们会抓紧时间推进。
7,公司控股大股东减持公告引发股价崩盘式杀跌跌完了大股东一纸不减持公告就了事了难道不用负责吗？同时个人非常怀疑公司的预计能力对于投产多次预计而投产时间一推再推比如从预计马鞍山项目2017年年底投产到预计2018年中期投产再到现在的预计2018年底投产公司到底对自己的产业了解多少？预计没个准头那你预计什么呢？从2017年股价高位由于这些预计误导了多少投资者？请贵公司高管们认真回答都是血汗钱呀,您好！感谢对公司的关注！公司大股东减持行为严格按国家现行法律法规要求进行，其减持与否与股价下跌并不存在必然联系，上市8年大股东未减一股还进行了增持也不容易，还请您理解！公司建设项目的投产，受多方面因素影响，有时超出企业的控制范围，我们会抓紧时间推进。
8,子公司黄山神剑年产5万吨聚酯树脂项目运营情况如何？,你好，感谢对公司的关注，目前黄山公司5万吨项目正在安装调试阶段，预计2018年上半年投产。
9,请问公司同业竞争对手都有哪些？公司现在有没有新的利润增长点？或新的盈利模式来增加收益呢？,您好！感谢对公司的关注！公司的化工新材料业务在国内居于绝对龙头地位，市场占用率第一，行业竞争对手主要有新中法高分子材料股份有限公司、浙江光华新材料公司等。聚酯树脂新项目的投产将为公司带来新的利润增长点；另一方面，公司将进一步加大对高端装备制造领域的持续投入，规模不断扩大。
