,Question,Answer
0,您好！神雾的主要客户是国企吧，公司在提高项目落地效率方面有哪些体会和经验？,公司客户包括国企和民企。公司愿意和积极推动和各种所有制形式的公司进行技术和项目合作，推动公司创新技术的产业化。谢谢！
1,请问神雾环保2017年一季报什么时候出来？,您好，公司2017年第一季度报告将于2017年4月27日披露，谢谢。
2,请问公司的煤炭提质主要产出物是什么？,"您好，煤炭提质的主要产物是，人造石油（煤焦油）,人造天然气（煤气）以及提质煤，谢谢。"
3,请问上市公司怎么应对未来十万亿的市场空间的？,您好，简单来说就一句话：抓好科研提升实力，练好内功增强效率，推动项目尽早落地，确保项目预期效益。”谢谢。
4,我怎么看不到最新回复？,您好，公司目前回复正常，谢谢！
5,请问刘总，双欣项目建成后，乙二醇的年产量是多少？,您好，双欣项目乙二醇年产量是10万吨/年，谢谢
6,请问吴总：为什么厚此薄彼？吴总带领神雾节能高管增持神雾节能后，为什么不增持神雾环保？,您好，神雾环保高管已于2015年9月份实施过高管增持，请查看相关公告，不存在厚此薄彼。谢谢！
7,既然你们说上市公司与华福工程不存在同业竞争问题，请告诉一下集团上述两家公司分别是干什么的，谢谢。,您好，华福工程公司作为一家拥有行业甲级资质的工程公司，主要面向石油化工、炼油化工企业客户提供工程咨询，总包设计，项目管理等服务，是一家基于总包设计服务的平台型工程公司，与神雾环保和神雾集团业务上存在非常明显的区别。谢谢。
8,神雾乙炔法煤化工，作为革命性颠覆技术，理应做轻资产模式，因为如果只是做EPC的项目工程公司，不科学。,感谢您对公司的关注和建议。
9,技术商业化两种模式：一是卖技术；二是卖产品。如果神雾对自已技术有信心，为什么不卖产品？比如：乌海做工程，总投资100亿，工期2-3年才赚20亿。做工程总有做完时候。如果自建，总投资100亿，每年收入64亿，4年回收期，净利16亿，即每年赚16亿，这是巨大现金奶牛。如果通过资本市场融资，在全国自建20个项目，总利润可达320亿，按20倍估值，市值6400亿元，就第二个中石化。请问吴总是否有这个计划,感谢您的良好建议。谢谢！
10,请问公司3月中标的乌海乙炔化工新工艺 40 万吨/年多联产示范项目中，“40万吨”是指什么产品？,您好，产品为PE，谢谢关注！
11,你好，内蒙赤峰的项目今年能动工吗？,您好！相关事项请以公司披露信息为准，敬请随时关注公司最新公告情况，谢谢！
12,请问年报中提及了水处理业务，请问这块业务在上市公司的未来规划是什么？这块业务我们公司在技术竞争力如何，有无创新（独特、唯一）性？谢谢！,您好，凭借差异化竞争策略和细分市场领域的优势，公司水处理业务板块近几年发展较快，随着公司乙炔法煤化工全产业链的逐步形成，该业务在化工段领域拥有更大的发展空间，将日益成为公司业绩增长的新亮点。未来公司将通过自身研发，合作引进，收购兼并等各种方式，进一步增强水处理业务的市场竞争力。谢谢。
13,您觉得神雾环保在二级市场应该价值每股多少钱？,公司随时关注公司股票的二级市场表现，同时相信，长期来看，良好的经营业绩将带来良好的市场表现，谢谢！
14,神雾突出的是技术能力，而国内企业普遍存在的问题是创新能力不强，技术上容易被国外的竞争对手超越。您怎么看待和解决这个问题？,您好！神雾积极进行节能技术创新及产业化，并不断在产业化实践中进行持续改进和提升。因此，技术与产业的密切结合是神雾的优势，这一点能够始终保持自身的创新活力。谢谢！
15,吴总您好，针对最近某媒体提出的神雾环保大客户大多为关联方，同时大量合同为关联交易存在虚假和利益输送的嫌疑的报道，吴总对此有什么评论和回应？,您好！相关事项公司已在2016年年报及审计报告中进行陈述及披露，敬请查阅公司年报第四节及审计报告相关内容。谢谢！感谢您的公司的大力支持
16,公司在招聘对二甲苯工艺人才，是在准备进军PX吗？,您好，谢谢你的关注，目前我们正在往相关方向拓展。
17,吴博士你好，神雾作为一个独角兽类的科技公司，又正在向乙炔+的下游产业链延伸，未来您个人认为市值的目标是多少？另外如果当前资金对公司的发展有所掣肘，公司是否寻求找一些风投公司融资？,您好，公司追求的主要目标，是以自身创新颠覆技术，推进各大项目落地实施并达产，推动行业变革和自身业务的跨越式发展，给股东带来长期价值回报。在这一过程中，公司当然希望市值能最大程度地体现自身的价值。鉴于公司单体项目规模大，对资金需求持续较大的业务特点，公司正通过直接、间接融资，商业模式和金融模式创新等有效手段，积极应对和妥善解决业务发展资金瓶颈的问题。谢谢。
18,公司目前能否应对合计高达200亿左右的项目，以及以后更多的订单？公司目前承接工程的能力（即每年能有效执行多少订单？），以及对工程承接能力的扩张计划,目前，公司作为工程总包方，主要负责技术服务和工程项目管理，现有人员结构能够保障在手订单的执行。同时，公司也在积极引进和培养技术研发与项目管理人员，做好人才储备，以有效应对未来订单的快速增长。谢谢！
19,请问乌海项目是联产30万吨乙二醇，还是在生产40万聚乙烯的同时，利用尾气可以再生产30万吨乙二醇，谢谢！,您好，乌海项目是生产40万聚乙烯的同时，利用预热炉热解气和电石炉尾气生产30万吨乙二醇
20,请问对证券市场周刊一再刊登的问题，为什么不做出正式的解释。其三番五次的对相同问题提出质疑应给出正面回应，增强投资者信心！！谢谢,您好！相关事项公司已在2016年年报及审计报告中进行陈述及披露，敬请查阅公司年报第四节及审计报告相关内容。谢谢！感谢您的公司的大力支持
21,300156 : 吴董事长：作为公司股民，我十分看好公司前景，并一直持有公司股票。前段时间证券市场周刊一篇文章反映公司关联交易多，您是如何看待的？,您好！相关事项公司已在2016年年报及审计报告中进行陈述及披露，敬请查阅公司年报第四节及审计报告相关内容。谢谢！感谢您的公司的大力支持。
22,请问麟游县、阿拉善、金昌等电石项目贵公司证券代表回答，这几个电石乙炔+项目不是上市公司的，请问是集团下面那个公司的？,谢谢关注，具体以上市公司公告为准。
23,请问一下金昌煤化工项目，阿拉善项目及麟游项目是否由上市公司总包？,谢谢关注，具体以上市公司公告为准。
24,双欣项目是新建项目还是在原有电石项目上改造？如果是电石改造的话，后面制乙二醇项目是否为新建？,双欣项目电石及乙二醇均为新建，谢谢关注！
25,公司证券部电话老是打通没人接听？希望改进，密切和投资者保持互动,您好！我们已设置了专门的投资者专线010-80470166，并在工作时间安排专人接听，随时保持与投资者的互动交流，欢迎随时来电，谢谢！
26,吴董您好，您在16年年底演讲时说神雾节能的市场空间上万亿，请问您认为神雾环保的市场空间有多少？,您好，随着神雾乙炔法煤化工全产业链的逐步形成，神雾环保将开辟全新、更广阔的氯碱化工及乙炔法煤化工市场，对我国未来聚氯乙烯、聚乙烯、苯乙烯、乙二醇、乙二烯、汽柴油、甲醇、天然气等产品市场带来颠覆式的变革，由此将带来十万亿级的产品市场空间。谢谢。
27,吴总，您好！公司的客户主要集中于内蒙古和新疆，请问国内其它地方的订单和国外订单何时可以落地？谢谢,您好！公司以创新技术推动煤炭清洁高效利用，因此，目前公司乙炔化工项目主要集中在煤炭资源丰富的内蒙、新疆等地。我们也在积极开拓其他煤炭资源丰富地区的订单机会，同时公司其他业务板块也有在除新疆、内蒙之外的其他地区开展，水处理业务也已有海外订单执行。谢谢！
28,目前公司是否已经规划在今年解决华福工程的同业竞争和关联交易的问题？,谢谢关注，公司与华福工程不存在同业竞争的问题。
29,目前公司是否已经规划在今年解决华福工程的同业竞争问题？,谢谢关注，公司与华福工程不存在同业竞争的问题。
30,刘总您好，可不可以介绍一下麟游县80w吨pe项目进行情况,您好！相关事项请以公司公告为准，敬请随时关注公司最新公告情况，谢谢！
31,吴总，您好！您辞去神雾节能董事长的职位而继续保留神雾环保的董事长，是不是代表您更重视后者？或者说您还没找到合适的人选接任您呢？谢谢,您好！神雾环保与神雾节能作为神雾集团控股的两家上市公司，分属不同的业务板块，我们都高度重视，希望通过多种方式全面促进上市公司业务的全面快速发展。谢谢！
32,你好，请问以后的合同项目pe化工段都让神雾环保上市公司去签订吗？还是有些还是神雾集团签呢？,您好，每个合同约定的具体条款和内容，均是与业主方进行了详细的商谈、论证和确认，且经过严格招投标程序后才最终签定。近期公司成功签订pe化工段的合同，不但充分说明市场客户对公司全产业链业务能力的认同，也是公司乙炔战略顺利推广实施的关键一步。谢谢。
33,请问，公司目前是否具备向下游PX延伸的技术储备？,您好，谢谢你的关注，目前我们正在往相关方向拓展。
34,请问丁总，能否介绍一下浙大主持研发的氢等离子无水法乙炔，与神雾第三代电石乙炔法工艺的对比？,据我所知，目前等离子法乙炔依然处于实验室阶段，相比而言，神雾环保的乙炔法煤化工现阶段已全面产业化，谢谢。
35,请问您认为要做好一个企业，最重要的理念是什么？为什么？,"您好！作为节能环保企业，神雾专注研究赚钱的节能减排前沿技术。
第一，一定要研究赚钱的技术，就是让企业赚钱，让企业要产生明显的经济效益，投资回报快；第二，聚焦主业，专注从事节能减排、节约能源提高能效的技术领域的研究，不从事其他各个领域的研究；第三，只研究前沿技术，不研究当代技术。这也是神雾二十年来一直追寻的一个创新的理念。"
36,丁博士你好，请问公司在高端化工原材料方面，我们上市公司都能做什么产品，哪种利润率最高？,就目前而言，上市公司在乙炔化工路线上，目前主要集中在电石（乙炔）、PE、乙二醇、LNG等化工产品，下一步我们会进一步拓宽乙炔化工的下游产品，谢谢关注。
37,"2014年到2016年, 营业收入和应收账款的增幅及经营性现金流净额流不相匹配, 请问原因为何?",2014年-2016年，公司经营收款与营业收入的比例分别为86.06%、66%、79.53%，回款比例处于合理区间。2015年-2016年，公司的营业收入增长率分别90.95%、157.28%，应收账款增长率分别为91.26%、66.32%，回款能力增强。谢谢！
38,请问吴懂，公司未来的订单增长趋势明确，在手订单巨大，公司是否有足够的各方面的技术人才去承接，您认为公司发展的主要瓶颈是什么？,您好！公司具有强大的科技研发实力和科研技术人才，足可支撑目前的在手订单执行。目前公司发展需要大量的资金支持，我们将多渠道拓展融资，保障公司项目建设与市场开发，谢谢！
39,请问卢总：年报后网上业绩说明会，是每个公司必须搞的吗？,您好，对，根据地方监管局和交易所的要求。谢谢
40,请问吴董事长：目前公司的年工程施工能力大概在什么样的水平（或说一年能执行多大的订单金额）？未来公司有什么样的产能扩大计划吗？,您好，工程总包的执行能力关键在人和团队。目前公司通过对外招聘、集团输入、内部培养等多种方式，积极培养和储备了一大批项目现场、计划、采购、费控等方面的人才和执行团队，完全能够满足和保障公司项目总包和业务发展的需要。谢谢。
41,请问双欣项目后，今年还有其他改造项目落地吗？如果产业延伸到后端PVC，那么工艺将采用乙烯法PVC还是无汞乙炔法PVC？预计PVC改造市场空间多大？,随着双欣项目的落地，相信会对后续的改造订单起到推动作用；目前乙烯法PVC和无汞乙炔法PVC两种方法，我们都可以往下游延伸，谢谢。
42,请问公司16年11月中标的包头博发项目和今年3月签约的乌海项目预计何时可以签约？,您好！目前合同条款正在积极商谈，我们将推动尽快签约，敬请随时关注公司公告情况，谢谢！
43,证券市场周刊 记者老提集团的关联交易说事，是不是真有其事，还是他造谣呢？集团有没有应对？,"您好！创新的商业模式将作为创新节能技术的加速器，促进颠覆性技术的应用与产业化。公司乙炔化工项目单体投资规模较大，需要充分发挥国有资本、产业资本、金融资本等多渠道合力，以颠覆性技术为依托和支撑，充分发挥各方自身优势，推动创新技术落地与产业化，共享良好的投资回报。
神雾环保或其控股股东分别通过产业基金、直接投资等方式参股项目公司，在夯实技术性能保障措施的前提下，该等由公司作为工程总承包与技术服务提供方的项目，都先后成功引入包括地方国资、产业资本及金融资本在内的各类投资主体，共同入股项目公司。在此创新模式下，既有效兼顾了各投资主体的利益，又加快了项目后续建设运营效率，同时也保障了项目进度款资金给付，达到各方共赢的目的。
该商业模式吸收和借鉴了PPP模式的特点，又具有投资周期短、效益回报高等自身优势，在推动公司乙炔化工项目建设过程中将发挥越来越重要的作用。
谢谢！
"
44,请问神雾环保上市时神雾集团承诺解决同业竞争问题，请问准备什么时候解决？近期很多地方报道集团乙炔+项目包括电石项目都不是上市公司做，集团怎么定位上市公司的？,您好，自神雾2014年入主原“天立环保”以来，相关电石项目均由上市公司独立承接承做，集团未再参与任何电石项目。相关报道请以公司公告信息披露为准。谢谢。
45,工程进行过程中，在安全性方面如何把控？,您好！公司高度重视工程质量与安全问题，并建立了完善的HSE管理体系及专业的质量管理人员，保证公司重大项目的生产安全。谢谢！
46,pe何时能够量产，能保证质量吗,您好！根据目前公司订单执行情况，预计内蒙古乌海项目将最先实现PE量产。目前来看，技术及质量不存在任何问题。谢谢！
47,近日国家刚宣布成立雄安新区，请问集团将来是否参与到整个新区区域的节能环保工作中去？,您好，如果有这样的机会，神雾非常乐意以自身的创新技术为新区建设做出积极贡献。谢谢。
48,请问化工段业务的毛利率和电石段业务的毛利率相比哪个更高些？,您好，电石段业务因为富集了公司较多的核心技术和专利成果，它的毛利率确实比相对成熟的化工段毛利率要高。谢谢。
49,"2014年到2016年, 净利润和营业收入及应收账款不相匹配, 请问原因为何?",2014年-2016年，公司的净利润率分别为13.04%、14.45%、22.66%，净利率逐年上升；2014年-2016年，公司经营收款与营业收入的比例分别为86.06%、66%、79.53%，回款比例处于合理区间。谢谢！
50,请问吴博士，神雾环保上市时集团承诺解决同业竞争问题，而现在煤化工电石乙炔+项目神雾电力华福工程仍然在做，请问什么时候解决同业竞争问题？谢谢,您好，公司目前业务与集团不存在同业竞争问题。谢谢。
51,.参股湖北碳排放交易所股份的事，有进展吗？湖北国资委批准了吗？以乌海40万吨聚乙烯项目为例，预计每年可带来的碳排放收益有多少?,您好！目前公司参股湖北碳排放交易中心事项，已进入产权交易所挂牌程序，公司正在积极推进。同时公司乌海项目每年预计减排二氧化碳量近一百万吨。
52,请问公司发展的同时，如何对普通投资者进行回报？是否进行过相关长期规划？,公司高度重视投资者回报，并于2015年初发布《公司未来三年股东回报规划》，敬请查阅相关公告，谢谢。
53,请问乌海二期中标项目是否包括了30万吨乙二醇生产的全部装置，谢谢！,包括，谢谢。
54,请问最近中标的乌海二期是否包括了达产30万吨乙二醇的全部装置，谢谢。,包括，谢谢。
55,请问公司有无通过发行债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好！公司已于2017年2月13日公告非公开发行公司债券预案，目前相关事项正在积极推进。同时，公司有积极意愿通过产业基金、并购基金等方式，充分发掘节能低碳、水处理、固废综合利用等领域的投资机会，与公司主业成长形成双轮驱动。谢谢！
