,Question,Answer
0,公司FibroScan仪器市场拓展的怎样了？,您好！Fibroscan目前的全球市场拓展正在有序进行。在成功获得美国FDA批准后，公司大力推动在美国的队伍和渠道建设工作，美国现已成为Fibroscan最大的单一国家市场；Fibroscan在中国的国产化工作正在积极推进，预计将给中国带来更加符合市场需求的产品，形成新的增长点；在亚太、东欧、南美、中东的市场也有较快增长；西欧市场的深入挖掘也产生了新的业务模式和正面效果。谢谢您对公司的关注！
1,医药分家、“两票制”等政策的落实对公司产生了哪些影响？,您好！医药分家、两票制都是国家推进的医改进程的重要组成部分，这对相关行业均产生了重大影响。对公司来说，医药分家降低了医院对药品利润的依赖，使药品能够更多地采用零售渠道进行销售，并且能够参与更多药品品种的销售业务。两票制减少了药品的中间渠道环节，有利于建立更加规范透明有序的药品销售环境，对于早已采用自营方式进行药品销售的企业是一种利好。谢谢您对公司的关注！
2,王董，停牌前大家都亏的挺惨的，您之前增值价格也挺高，补补仓在增持点吧。提振下股价，给我们关了半年的股东一点安慰吧。,您好！增持公司股票是基于对公司未来发展的信心并非短期的财务投资，受股票停牌、窗口期、内幕信息等诸多因素限制，目前不具备增持公司股票条件。谢谢您对公司的关注！
3,去年政府补贴有多少？,您好！公司2017年收到政府拨付的福瑞健康科技园基础设施配套专项资金556万元，属于与资产相关的政府补助，暂计入递延收益科目。
4,公司将如何保持在肝纤维化领域的行业领先地位？,您好！公司在过去20年内深耕肝纤维化领域，目前拥有全球独家的肝纤维化无创诊断标准和市场占有率第一的肝纤维化专业治疗药物，公司通过与肝病领域专家的专业合作建立学术网络提升业务壁垒，通过持续的研发增强公司在肝纤维化诊断领域的产品技术优势，通过搭建慢性肝病管理平台提升患者依从性和粘性，通过爱肝一生健康管理中心为患者提供更多的增值服务，在未来，公司还将进一步整合肝病领域的其他诊断和治疗技术，结合医疗信息技术，形成更多的产品，运营肝病诊疗服务平台。谢谢您对公司的关注！
5,子公司法国Echosens对公司作出了哪些贡献？营收状况如何？,"您好！Echosens是我公司最重要的子公司之一，其产品Fibroscan在国际肝病诊断领域享有独特的专业地位和良好的市场声誉，更是公司与全球肝病专家和市场资源对接合作的重要平台，并对中国肝病市场产生重要的影响，极大地提升了福瑞在肝病领域的整体专业地位。2017年度，法国Echosens 共销售Fibroscan853台，同比增长177台，增长26%；实现销售收入6,507万欧元，同比增长1,318万欧元，增长25%。谢谢您对公司的关注！"
6,公司收购力思特是基于怎样的考虑？,您好！公司在药品和医疗器械两条业务线均有良好的业务基础和行业资源，在此基础上丰富产品线是公司既定战略。我们认为力思特的主打品种长托宁具备一定的产品优势和发展空间，公司的现有资源和产品结合后能够产生协同效应，对公司的业绩是有力的支撑。谢谢您对公司的关注！
7,"郑总  您好 
    公司的应收账款/主营收入比例较其他医疗上市公司较低，且公司自留现金较多，能否推荐公司在销售方面再激进一点，给予供应商再多一点的账龄账期，增加销售。谢谢",您好！公司一贯注重对应收款项的风险控制，同时设置有专人从事与客户的发货、对账、催收工作，这是促进公司销售回款情况较好的主要原因。另一方面，公司主要产品软肝片和Fibroscan的销售增长与给予客户的信用账期长短关联度较弱，相比之下我们更愿意保证收入增长的质量。谢谢您对公司的关注！
8,公司旗下子公司有无单独上市计划？,您好！公司根据发展阶段和战略需要会有针对性地制定旗下子公司的单独上市计划。谢谢您对公司的关注！
9,在2018下半年的什么时间里“福瑞医生”医患移动端互动平台会开展互动活动？,您好！“福瑞医生”医患移动端互动平台会不定期的组织互动活动，届时会提前通知，敬请留意。谢谢您对公司的关注！
10,公司在家庭医生儿科领域方面有哪些探索或发展？,您好！家庭医生和儿科医疗均为我国医疗服务体系中必不可少而又亟待发展的服务板块，目前公司对此也予以关注。
11,“福瑞医生”医患互动平台建设目前进展如何？,您好！为了惠及更多的肝病患者，拉近患者和医生的距离，2018年公司搭建 “福瑞医生”医患移动端互动平台。互动平台采取直播的形式，患者可以在线上与专家进行零距离沟通；医生可以给予健康评估、康复指导、家庭护理建议等特色服务。公司目前已在全国开展多场移动平台端的互动活动。谢谢您对公司的关注！
12,公司利润增长靠的是国外子公司带动。国内销售利润严重受冬虫夏草的价格影响。我们的企业转型目标又是要向服务型企业转变，现在服务型企业有什么大的赢利点吗？还是贵企业抢先进入会给后进入的企业产生较高的贸易壁垒，如果都没有还不如专心点搞研发，哪怕去上游种虫草。,您好！随着国家医改政策的逐步出台与实施，医疗服务行业迎来了快速发展的历史性机遇，公司从肝病医疗服务开始，逐步向更多门类的医疗服务领域拓展，打造机遇核心产品的上下游一体的医疗服务体系。与此同时，公司也积极通过并购、研发等方式获得更多的新技术和新产品。产品和服务是并行的两条业务线，彼此相辅相成。此外，软肝片所用的原材料冬虫夏草不可人工种植，而是天然长成的。谢谢您对公司的关注！
13,预计重组要多长时间？,您好！福瑞发行股份购买资产事项目前正在进展过程中，公司股票将于2018年6月4日前复牌，后续还需经公司董事会、股东大会、证监会等的批准和审核，请留意公司公告。谢谢您对公司的关注！
14,这次收购优德医疗58.69%股权，占到了绝对控股权，那这家公司有什么优势？让企业如此看好,您好！优德医疗是一家在康复设备领域有一定特点的企业，其所在行业也是很有前景的朝阳行业，从目前披露的公开信息看，该公司业绩增长迅速，具有高速发展的潜力。关于并购优德医疗的后续情况，请关注公司公告。谢谢您对公司的关注！
15,资产重组五个多月才出来一份意向协议，莫名其妙的停牌期间我们到底做了什么？是不是应该提高下效率？,您好！公司发行股份收购力思特股权事项，自停牌以来，各方积极推进本次重组工作，待相关审批程序履行完毕后，公司董事会将召开会议，审议本次重组的相关议案，披露相关公告并向交易所申请复复牌。公司公告的签订重大资产重组意向协议标的公司是优德医疗。谢谢您对公司的关注！
16,停牌半年啥重组实质性的进展都没有，公司利润主要来自于子公司，真不知道要你们个总部干嘛,您好！公司发行股份收购力思特股权事项，自停牌以来，各方积极推进本次重组工作，待相关审批程序履行完毕后，公司董事会将召开会议，审议本次重组的相关议案，披露相关公告并向交易所申请复牌。谢谢您对公司的关注！
17,公司主营业务集中在肝纤维化诊疗药品和肝脏诊断设备，如何克服主营业务单一的风险？,您好！主营业务单一的风险的确是公司管理层需要重点关注的问题，为此，公司正在积极开展并购，增加产品品种和业务种类，降低单一业务对公司业绩的影响程度，提升公司的总体抗风险能力。谢谢您对公司的关注！
18,公司目前股东人数是多少？,您好！公司股票处于停牌状态，2018年3月31日的股东人数为18766。谢谢您对公司的关注！
19,公司目前研发实力如何？,您好！公司目前有研发人员130多人，主要的研发力量主要集中于法国Echosens公司，致力于研发更多的新型号新产品和业务系统，包括更适用于中国市场的产品。谢谢您对公司的关注！
20,公司海外业务目前发展如何？,"您好！公司子公司法国Echosens 2017年度继续保持较快增长，合计销售Fibroscan 853台，同比增长177台，增长26%；实现销售收入6,507万欧元，同比增长1,318万欧元，增长25%。谢谢您对公司的关注！"
21,公司海外业务发展的怎样了？,"您好！公司子公司法国Echosens 2017年度继续保持较快增长，共销售Fibroscan853台，同比增长177台，增长26%；实现销售收入6,507万欧元，同比增长1,318万欧元，增长25%。谢谢您对公司的关注！"
22,在医药控费的政策环境下，多地区实施药品招标限价政策，公司如何降低此政策对药品销售的影响？,您好！药品招标限价是大势所趋，对此公司主要的应对措施是增加产品品种和业务种类，降低单一药品对公司业绩的影响程度，提升公司的总体抗风险能力。谢谢您对公司的关注！
