,Question,Answer
0,贵司与爱立信的合作在2017年会有哪些突破？,"您好，报告期内，公司持续推进战略新客户爱立信的供应商认证，2016年底至2017年初，公司成功中标2017-2019 年度瑞典爱立信户外机柜项目，共计4类7项产品。公司产品得到行业知名公司的认可，提升了公司的国际知名度和品牌影响力，有力促进了公司海外业务的高效拓展。
    截至目前，关于爱立信项目，公司已完成部分产品的试样工作，并通过爱立信的审核，公司正在组织力量对公司的生产运营、品质管控、市场对接、产品交付等内部体系进行调整和完善，以应对大批量、高质量、高效率的产品交付需求，谢谢。"
1,公司是否在考虑开拓新的领域？取得初步进展没有？,"你好！
公司将积极利用上市公司平台，积极布局资源，初步构建行业研究与投资管理团队，完善投资决策流程和风险控制。依托客户、公司级专家顾问、行业组织、投资机构、中介机构等渠道，尝试开展物联网、数据中心、5G、智慧家庭等领域研究分析及投资布局，在聚焦主业内生增长的同时，适度推进业务延伸型、资源互补型等具有协同效应的外延式增长。"
2,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,"你好！
公司主要客户为国内三大通信运营商及铁塔公司，包括中国移动、中国联通、中国电信及铁塔公司，产品销售范围覆盖全国主要省市地区，其中华北地区、华南地区、西南地区贡献了70%的销售收入。"
3,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,"您好！公司主营的ODN产品、无线接入产品、传输网物理连接设备在FTTX光纤宽带网络、3G/4G无线网络、传输网等通信网络中得到广泛应用。公司主要客户为我国三大通信运营商及其合资设立的铁塔公司，基于其自身业务发展需求，其资本支出存在一定的波动，其投资方向、投资结构及重点、投资方式等处于不断变化中，从而影响公司相关业务市场规模。公司对三大运营商及铁塔公司的收入均通过招投标方式产生，中标结果对公司业绩亦具有较大影响。同时，招投标定价和定制化选配的业务特点，使得产品价格受具体招投标竞争情况影响较大。 
中长期看，通信行业呈现以下发展趋势：（1）全球FTTX接入网技术的应用普及，4G网络的快速部署，5G网络的试点推进，传输网的持续扩容，将带来全球IP数据流量的持续增长和网络扩容，推动全球信息化网络加快发展；（2）在我国政府政策大力支持下，我国三大运营商仍将保持规模化的网络建设；（3）移动互联网、云计算、大数据、物联网、视频直播、IPTV等网络新技术、新应用的应接不暇，将不断催生消费及工业级互联网用户旺盛的网络需求，促进通信网络发展演进。下游投资和需求发展共同推动通信网络物理连接设备行业发展。
短期看，根据各通信运营商年报中披露的2017年资本开支计划，中国移动、中国电信继续稳中略降，分别较上年下降6%和8.1%，中国联通继续较大幅度缩减资本开支，较上年下降38%，公司下游市场规模短期将继续出现波动。但同时，运营商资本开支的结构也在优化调整，积极拓展新业务。中国移动在建设数据中心、大数据平台、IT资源池、CDN等方面的资本开支不降反升，中国电信也要在新兴业务上增加资本开支，孕育了新的业务机会。公司将据此科学制定经营计划，合理制定销售目标。
"
4,目前公司享有的国家优惠政策有哪些？,你好！公司主要享受的优惠政策包含税收优惠和政府补助：税收优惠主要有（1）高新技术企业15%企业所得税优惠；（2）符合规定的研发费用享受“加计扣除”的优惠 。政府补助主要有（1）《深圳市人力资源和社会保障局深圳市财政委员会关于做好失业保险支持企业稳定岗位有关工作的通知》稳岗补贴；（2）《深圳市知识产权专项资金管理办法》和《光明新区知识产权专项资金管理与奖励办法》专利及知识产权补贴；（3）《深圳市光明新区经济发展专项资金管理办法及配套实施细则》研发投入补贴。
5,公司2016年度的业务经营情况符合公司预期吗？,"您好！2016年公司所处行业发生较大变化，主要运营商投资均不同程度下滑。针对行业和市场变化，公司管理层及时调整经营思路，经营策略上重点跟踪中国移动、中国电信的光纤宽带网络建设和铁塔公司的无线网络建设，积极研发推出具有高附加值的产品，高效拓展战略新客户爱立信，扎实推进营销系统变革与能力提升，并严格控制低价值订单的招投标策略，内部积极推进精细化管理和成本控制，取得了一定的成效。
    报告期内，公司总体经营情况保持正常。2016年全年，公司实现营业收入70,833.69万元，较上年同期下降7.62%；营业成本46,082.13万元，较上年同期下降10.11% ；毛利率34.94%，较上年同期提升1.79%；销售费用9,457.35万元，较上年同期下降11.16%；实现营业利润7024.23万元，较上年同期增长0.54%；实现利润总额7,170.11万元，较上年同期下降0.25%；归属于上市公司股东净利润6,182.39万元，较上年同期下降1.61%。2016年度公司研发投入2,766.09万元，较上年同期增长9.41%，经营活动产生的现金流量净额1,918.49万元，较上年同期增长134.16%。
"
6,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,公司将综合考虑公司经营状况、预期发展、员工意愿、资本市场现状等因素，在合适的时机考虑实施股票期权、员工持股计划等适宜的股权激励方式，激励骨干员工与公司共同成长，实现共赢。
7,公司如何进行投资者关系管理，如何规划进行投资者回报的？,"您好！公司投资者关系工作涵盖信息披露与信息沟通、筹备会议、接待投资者、公共关系、网络管理、重大事件处理等多项工作，公司董事会办公室将充分利用公司公告、股东大会、公司网站、各种推介会、广告、媒体、报刊和其他宣传资料、一对一沟通、邮寄资料、电话咨询、邮件回复、现场参观、媒体采访与报道、路演等多种途径有效推进投资者关系管理。
公司将积极响应监管层号召，充分考虑对投资者的回报，同时兼顾公司的长远利益、全体股东的整体利益及公司的可持续发展来合理规划公司的利润分配。"
8,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,您好，公司致力于不断提升经营业绩，推动业务长期持续发展，促进公司整体价值的不断提升，从而提高股东所持有公司权益的价值；同时，公司未来将采取现金、股票或现金与股票结合的方式，回馈投资者，谢谢。
9,公司的前三大客户是哪些公司？,公司主要客户为中国移动、中国联通、中国电信三大通信运营商及铁塔公司。
