,Question,Answer
0,去年汇兑损失2400多万元，差不多占到境外收入的百分之三，而去年全年人民币对美元升值百分之六左右。按照日期分摊，即使不做外汇套保也就损失百分之三。那公司所做的汇率对冲似乎没什么效果？,公司汇兑损失的形成还包括前期外币应收账款所产生的，且公司远期结售汇业务具体开展时期是在第四季度，所以2017年度对冲效果未完全体现。
1,公司未来一年的发展前景怎么样,2018年公司将从加大市场开拓力度、提高产品品质及技术含量、加大产能投入等方面入手，力争保持公司经营业绩的稳定发展。
2,中广核联达新能源有限公司去年达到业绩承诺了吗,鉴于中广核联达新能源有限公司尚未完成相关工商变更手续，因此尚未向公司提供相关审计报告。
3,海外业务的布局如何，汇率波动和贸易战对公司经营影响有多大？,公司海外业务已建立十几个海外分支机构，本次中美贸易战目前来看对公司影响并不大；针对美元汇率波动的风险，公司已经采取相关风险对冲措施，不会造成太大影响，感谢您对公司的关注。
4,4季度的应付款为何大幅增加,你好，公司第4季度订单增加，采购额增加，货款结帐期未到。谢谢！
5,对子公司增资9700万元，主要是出于一个什么考虑？,您好，提高该子公司经营能力的同时，积极提升该子公司在军工领域的市场竞争力等方面的考虑。
6,一季度是否有中标城市地铁、军队机房指挥所集采项目？,您好，如有达到需履行信息披露义务的中标项目，公司将及时在指定信息披露媒体公告。
7,近些年来的营收和利润都有稳步增长，请问2018年是否还可以保持这样的增长势头？,您好，公司近几年在外部环境复杂多变的情况下仍能保持持续的业绩增长，这是与公司管理层前瞻性的战略布局以及公司自身管理能力提升分不开的，未来公司还会在现有产品和市场优势的基础上，开拓新的产品和业务，提升管理效率，将有望保持公司利润的稳定增长。另外，公司已经在年报中披露了2018年公司的发展战略和经营计划，请您查阅，谢谢！
8,公司今年在储能项目上计划会追加投资多少？,公司的储能产品已在国内及海外市场实现一定的销售收入，公司未来将在产能及业务拓展方面加大投资力度。
9,公司的产能利用率情况如何？,您好，公司的供应链是采用柔性设计，在产能扩充和各产品系列的生产上调节具有较强的弹性。因此，公司的产能能满足订单需求，感谢您对公司的关注！
10,充电桩业务布局怎样了，将会对经营业绩带来多大的提升？,公司充电桩业务收入在2017年实现同比增长108.55%，且公司充电桩模块市场占有率得到了显著提高，预计未来将对公司经营业绩带来很好的刺激作用
11,去年海外光伏市场增长是否达到预期？几年预计会是怎样的一个情况呢？,公司海外光伏业务增速大致符合预期，且仍具有较大的提升空间，未来公司将继续加大在海外市场的开拓力度，争取继续保持稳定快速增长的步伐。
12,公司去年研发费用同比增长51.38%，这么大的投入，有什么突破性成果吗？,2017年度公司分别在光伏逆变器产品、储能产品、电动汽车充电桩系列产品、直流电源产品及驱动产品上取得了相关进展，具体内容请查阅公司于2018年4月4日在指定信息披露媒体上披露的《2017年年度报告》之“第四节 经营情况讨论与分析”。
13,公司主营产品的下游客户主要是在哪些行业？其中有哪些未来的需求有望进一步提升？,公司数据中心一体化业务主营产品的下游客户涉及多个行业，其中政府、金融、通信、军工等行业均属于公司大力拓展的方向。
14,光伏逆变器一季度实现了多少收入？,您好，公司2018年第一季度报告已预约4月26日在指定信息披露媒体对外披露，请您留意。感谢您对公司的关注！
15,去年公司新能源产品增速翻倍，主要得益于什么呢?,您好，2017年度公司新能源产品增速翻倍主要是在市场需求及政策驱动的影响下，得益于公司在市场的大力开拓及产品的市场认可度不断提升等因素。
16,2017年年报分红预案10派2元，相比业绩增长而言，这是不是有点少了？,您好，2017年度公司现金分红比例占合并报表中归属于上市公司普通股股东的净利润的比率的31.27%，符合公司战略发展及资金使用规划。
17,公司所处行业的景气度主要受什么因素影响？公司所在行业地位如何？,公司处所行业景气度受市场需求及国内政策等多方面因素影响，公司三大主营业务均处于行业领先地位。
18,公司是否存在国内光伏行业需求波动风险？,有一定的波动风险，但公司将在积极拓展国内市场的同时，加大在海外市场的拓展力度。
19,新能源充电桩业务目前都在哪些城市有布局？,您好，公司新能源充电桩业务在全国均有布局。
20,目前在境外都有哪些业务，增速情况如何？,您好，公司在境外业务主要涉及数据中心一体化业务、新能源光伏及储能业务。目前公司境外业务保持稳定增长。
21,数据中心产品一体化解决方案的市场布局如何，预期这块对营收构成会有多大的提升？,您好，公司数据中心一体化业务2017年发展符合预期，微模块产品均进入了多行业的目标选型，未来该业务将继续作为核心业务，力争保持稳定增长。
22,公司估值在同行业中处于一个什么样的水平，是否还有进一步提升的空间？,您好，公司估值是二级市场对公司的一个整体评价得出来的，也由多个因素决定。公司需要做的就是努力做好公司业绩，保持稳定增长，提升公司价值。
23,在国内逆变器市场份额大概有多少？是否有大幅提升的空间？,您好，公司新能源光伏业务目前处于行业领先地位，鉴于公司新能源光伏业务目前主要销售收入来自国内市场，因此在海外及国内市场仍有较大提升空间。
