,Question,Answer
0,去年公司经营遇到的最大困难是什么?今年有望改善吗？,您好，2016年度，公司管理层积极应对国内外经济和产业环境的新形势，努力践行公司发展战略和年度经营计划，以客户为中心，以业绩为导向，以研发创新为驱动，以人才为根本，稳步推进各项业务顺利进行。 未来公司经营过程中将不断面临不同的挑战和机遇，公司将努力提高经营能力，创造良好的业绩回报投资者。
1,请问公司的企业文化是什么？请介绍公司的企业文化建设情况？,您好，公司积极倡导创新和谐、以人为本的企业文化，为人才的培育与发展提供良好的环境，对人才具有较强的凝聚力。未来公司将继续加强企业文化建设，增强客户、员工等对企业的认同感和归属感。 
2,今年一定加大广告宣传，提高销售额度。继续争取好成绩,您好，谢谢您的建议，公司将会根据行业特点及实际需要进一步加强品牌营销，努力提高公司业绩。
3,请问公司是品牌为先还是品质为先？谢谢！,您好，感谢关注，公司进过十多年的发展，已在行业内树立了良好的口碑及品牌效应，高品质的产品和解决方案是赢得品牌影响力和行业客户的核心。
4,行业有没有周期性？,您好，感谢关注，公司所处行业为软件和信息技术服务业，是国家战略新兴产业，正处于蓬勃发展时期，市场前景巨大。
5,公司今年有没有新产品和新业务拓展？,您好，感谢关注，公司一直在加大研发投入和创新，新产品和新业务相关信息已在公司《2016年度报告》详细披露，请查阅公司年报。
6,请问，未来十年预估市场规模多大。谢谢,您好，软件行业是国家战略新兴产业，根据国家发布的《软件和信息技术服 务业发展规划（2016-2020年）》中提出，到2020年，软件和信息技术服务业业务收入突破8万亿元，年均增长13%以上，占信息产业比重超过30%，其中信息技术服务收入占业务收入比重达到55%，信息安全产品收入达到2000亿元，年均增长20%以上，软件出口超过680亿美元，软件从业人员达到900万人。
7,今年公司人力成本的大幅度上升？人力成本上升后公司产品提价的能力有多大？,您好，感谢关注。公司为了更好的服务客户和加大公司研发创新能力，近年来公司人员规模不断扩大。随着公司的研发实力增强和客户服务能力提高、品牌提升等，公司在市场的地位也将有相应提升。
8,有些上市公司在信息披露方面做不好，还经常披露虚假信息欺骗投资者，希望贵公司在这方面能做的尽可能规范！,您好，谢谢您的建议，公司将一如既往的按照监管机构的规定，真实、准确、及时、完整的履行信息披露义务。
9,董叔叔好，我在公司网站上看到宣传片了，国元证券很拼啊，哈哈，好几个项目都是他们选择的，已经成功上市了，目前公司的主营业务是什么？,你好，感谢关注，国元证券是一家优秀的券商。公司目前主营业务为行业应用软件研发、IT解决方案及信息技术服务。
10,请问公司公司的核心竞争力是什么？对产品质量是怎么进行控制的，从采购到生产到存储运输等，有专门的检测环节吗？谢谢！,您好，公司目前的核心竞争力为行业经验优势、技术创新优势和客户持续经营能力。公司设立了质量管理部，对公司软件研发进行全流程的品质管理，确保为用户提供高品质的软件服务。谢谢。
11,能不介绍一下公司现在各大区域的销售和占有率等基本情况?,您好，公司各区域销售情况已在2016年度报告中详细披露，请查阅公司年报，谢谢。
12,公司所处行业和主要产品？,您好，感谢关注。公司所处行业为软件和信息技术服务业，公司是国内领先的行业软件及大数据解决方案服务商，主营业务为行业应用软件研发、IT解决方案及信息技术服务。
13,除了在巨潮网上查看公司公告，还可以在哪里了解公司的日常经营情况？中小投资者有哪些渠道可以客观的了解和跟踪公司服务在行业内的差异性和优异性？,您好，感谢关注。巨潮资讯网是证监会指定的创业板公司信息披露媒体，除此之外投资者还可以通过公司官方网站、投资者邮箱、深交所互动易平台、现场参观调研、投资者电话等多种渠道了解公司情况。
14,近期有机构密集调研吗？,您好，公司机构调研信息将通过深交所互动平台及时披露，请您届时关注相关披露信息，谢谢。
15,请问今年公司的扩产计划和渠道计划？,您好，感谢关注，公司2017年经营计划已经在公司年报中披露，公司将继续在市场开拓方面加大力度。
16,公司生产经营的季节性如何?哪个季节是旺季?,您好，感谢关注，公司业务存在明显的季节性，通常来说，公司营业收入及相应销售回款第一季度较少，第二、第三季度开始有所增加，第四季度最多。
17,今年如何分红，是否高送转，有计划吗？,您好，公司2016年度利润分配预案已经在巨潮资讯网上披露，请查阅相关公告，谢谢。
18,请介绍一下公司的行业地位？,您好，公司是国内领先的行业软件及大数据解决方案服务商，经过十多年的发展，公司在行业经验、技术创新和客户持续经营能力等多方面具有优势。具体请关注公司《2016年度报告》。谢谢。
19,去年监管层要求现金分红，各交易所也发布了现金分红指引，公司怎么看，有这个打算吗？,您好，感谢关注，公司严格按照监管机构关于现金分红的相关规定执行分红政策，具体标准可查阅公司《章程》。
20,随着公司规模的扩大，建议公司引入具有国际化快销品工作经历的高端人才。,您好，谢谢您的建议，公司会关注高端人才的引进。
21,请问，你们的分红有什么标准没有？,您好，感谢关注，公司严格按照证监会关于现金分红的相关规定执行分红政策，具体标准可查阅公司《章程》。
22,去年底公司其他流动资产较年初变化情况，原因是什么？,您好，感谢关注，公司其他流动资产变化主要系报告期内购买银行理财产品所致。
23,普通投资者投资一只股票不是来亏钱的，公司有能力、有条件推出高送转、适当派现，就应该公开、透明的发公告。,您好，感谢关注。公司一直按照中国证监会和深圳证券交易所的监管要求，真实、准确、及时、完整的开展信息披露工作。
24,请问公司里是否有专人负责回答全景网投资者关系互动平台里股民的问题？股民的问题是否会传到公司的高层？,您好，公司证券部是投资者关系对接部门，董事会秘书是投资者关系管理的负责人，公司非常重视投资者关系的维护，安排专人查看并解答投资者的提问，并将相关问题及时反馈给公司董事会，谢谢。
25,我是公司的一名小股东，请问我想现场参加股东大会，不知道应该怎么做？需要什么样的程序？,您好，感谢关注。公司欢迎广大投资者参加公司股东大会，具体参会流程公司在每次的股东大会通知公告中已经详细说明，投资者根据程序要求提供相关资料即可来现场参加。谢谢。
26,什么时候开股东大会？,您好，感谢关注，公司2016年度股东大会召开时间将由公司董事会另行通知，具体请关注公司公告。 
27,: 请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好，公司目前暂无发行债券进行募资计划，公司也将将积极探索外延式发展，具体实施方式也在研究，不排除设立并购基金，最终请以公司公告为准。谢谢。
28,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好，公司目前暂无发行债券进行募资计划，公司也将将积极探索外延式发展，具体实施方式也在研究，不排除设立并购基金，最终请以公司公告为准。谢谢。
