,Question,Answer
0,请问公司以后每年会用什么形式回馈股东？,您好，尊敬的投资者，对于股东回报，唯有以不断提升公司业绩作为保障，才能给予投资者回报。因此未来提升公司业绩，确保公司持续稳定发展才是回报股东的重要基础，谢谢。
1,公司是否在考虑开拓新的领域？取得初步进展没有？,您好，尊敬的投资者，公司在积极考虑开拓新的业务领域，若确定且有最新进展后，公司将会予以及时披露，谢谢。
2,公司是否具备长期投资的价值？你是怎么看的？ 如果有机会，你会增持吗？,您好，尊敬的投资者，是否具备投资价值需要由你个人判断做决定，谢谢。
3,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好！尊敬的投资者，公司目前暂无在建项目。谢谢！
4,募投项目资金使用情况如何？,您好！尊敬的投资者，公司募投资金在2014年已使用完毕。谢谢！
5,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,您好，尊敬的投资者，公司股价一方面受公司业绩影响，另一方面也受股票市场波动影响，未来公司将加强开拓，努力提升公司业绩，谢谢！
6,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,您好，尊敬的投资者，目前阶段公司实施的是限制性股票股权激励计划，未来是否有其他激励方式，需要根据公司发展情况而定，谢谢。
7,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,您好！尊敬的投资者，公司2016年财务费用和管理费用请详见2016年年度报告。
8,请问公司股票上市时期价格多少，现在多少，还具有投资价值吗？,您好，尊敬的投资者，公司股票发行价为16元每股，经2014年转增股本后，公司目前阶段的股价在12-13元之间，谢谢。
9,目前公司享有的国家优惠政策有哪些？,您好！尊敬的投资者，公司现享有的国家优惠政策有西部大开发所得税优惠政策。谢谢！
10,请问公司今年是否有对外扩张的打算？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,您好，尊敬的投资者，关于2017年工作计划，敬请查阅公司披露的2016年度报告里的相关内容，谢谢。
11,请问具体联系证券代表的电话是多少？,您好！尊敬的投资者，公司证代的电话是08388265111。谢谢！
12,公司未来3年发展前景如何?,您好，尊敬的投资者，未来公司将继续坚持做精主业，做活辅业，做好投资，适时加强产业布局，积极寻求新的业务，往上下游或向相近相关业务方向拓展，努力不断增强公司的整体盈利能力。谢谢！ 
13,请站在独立董事的角度 评价一下这家公司。您的专业态度对我很重要！,您好，尊敬的投资者，本人作为从事法律工作的独立董事来讲，我认为：科新机电管理规范，经营诚信；截至目前，公司未出现重大法律风险。虽然公司所处行业的整体经营形势不乐观，但科新机电自去年以来，经营形势有所好转，总体情况向好。谢谢！
14,请问公司明年净利润能做到多少？,您好！尊敬的投资者，现在暂时无法预测明年的净利润额。敬请关注公司的公告。谢谢。
15,请问公司目前产能多少？,您好！尊敬的投资者，公司2016年的生产量是1.62万吨。谢谢。
16,将来公司的下属公司会有上市的打算吗?,您好，尊敬的投资者，目前公司仅有一个全资子公司-科新奥莱，未来需要根据其成长速度和经营情况而决定，谢谢。
17,请问公司今年营收的增长能超过行业的平均水平吗？,您好！尊敬的投资者，目前暂时无法预计今年的营业收入情况。谢谢！
18,截至目前，公司的同比销售额有增长吗？,"您好，尊敬的投资者，具体情况敬请届时关注公司披露的2017年1季度报告，谢谢。
"
19,公司目前面临的最大问题是什么？,"您好，尊敬的投资者，公司所处的压力容器行业，属于传统实体经济，公司业绩对石油化工压容主营板块依赖程度高。就目前阶段而言，近几年受国家宏观经济政策和石油、化工固定投资影响，市场竞争充分，产品毛利率越来越小，缺乏新胡利润增长点，未来几年依托主营业务持续稳定提升公司业绩面临较大压力，谢谢。
"
20,作为一家上市公司，为了更有利于与投资者交流，能不能在公司网站上设置交流互动功能？,您好，尊敬的投资者，你的建议很好，我们将会认真考虑，同时欢迎在科新机电投资者互动平台积极提问，谢谢。
21,"请问董事长,关于公司最新项目进展如何？达到预期了吗？",您好，尊敬的投资者，公司目前没有重大投资的最新项目，公司建成的募投项目因宏观经济形势影响，未达到相应预期，谢谢。
22,请问净利润的增长率和销售收入增长同步吗？,您好！尊敬的投资者，公司2016年的净利润增长受多方面影响，销售收入的增长是其增加原因之一。具体分析请详见公司2016年度年度报告。
23,公司有没有股权激励计划？,您好，尊敬的投资者，公司2016年已经启动实施股权激励计划，目前正在实施期中，谢谢。
24,如果我想对贵公司长期投资，能给我一个长期持有的理由吗？,您好，尊敬的投资者，感谢对公司的关注，对于我公司来讲，我们将做精主业，加强外延式发展，争取不断提升公司未来业绩，谢谢。
25,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,您好！尊敬的投资者，我公司现没有对外借款，没有负债产生的利息支出。其他数据详见公司2016年度年度报告。
26,如若公司股价在走下坡路的情况下，是否会推出高股价股权激励计划？,您好，尊敬的投资者，就目前而言，公司暂时没有此方面的计划；若未来有，将会及时披露，谢谢。
27,业绩说明会本来应该是恳谈会，将企业目前的处境，面临的困难，预计的风险和相应应措施清晰告诉股东。,您好，尊敬的投资者，你的看法很好，再次谢谢你的建议，谢谢。
28,请描述一下公司未来的发展前景，谢谢！,"您好，尊敬的投资者，谢谢提问。
未来公司将继续坚持创新常态化、市场国际化、标准模块化、信息数字化、核算项目化的五化驱动管理，做精主业，做活辅业，做好投资，适时加强产业布局，积极寻求新的业务，往上下游或向相近相关业务方向拓展，努力不断增强公司的整体盈利能力。谢谢！"
