,Question,Answer
0,虽说股价波动是市场行为，但是，还是希望公司在提振股价、提升股东信心方面有所作为，不知公司有何想法举措？,公司将依法合规的进行市值管理，切实履行好信息披露义务。
1,"这几年社会道德严重滑坡,不讲诚信，为了个人利益突破道德底线的行为屡屡发生，你作为企业高管如何看待？",感谢您对我个人的关注，我将认真履行好自己的职责。
2,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,"1、环保业务方面可能受宏观经济下行，存在业务拓展不及预期的风险。同时，各类企业因转型需求进入环保行业，市场低价恶性竞争加剧，存在毛利率下滑的风险。最后，实体经济景气度不高，企业资金普遍紧张，可能会对公司应收款的回收带来一定影响。
2、绿色能源业务方面可能面临政策风险 、进入全新业务领域的风险 及行业竞争加剧风险等。"
3,公司公告一个接一个，股价一直不动，市场并不认可，请问公司打算如何宣传业务模式？,今天的业绩说明会就是一种很好的沟通宣传方式。
4,目前光伏站投资毛利润大约多少？贵公司在行业内的最大优势是什么？最大的劣势是什么？,作为一家初次进入的公司，还需要在市场竞争中检验。
5,公司新的领导班子成立至今，短短几个月时间做了很多事，为你们点赞！签订的合同均是公司为设备采购及工程施工方，请问行业利润是多少？,感谢您对公司的关注，行业利润率因市场的变化也存在一定的波动，您可关注同类型上市公司已披露业务情况。
6,如果公司这次分红计划没通过。请问是否有后备计划？,"您好！公司《2016年度利润分预案》符合《公司章程》的相关规定，同时也符合中国证监会关于上市公司现金分红的相关规定。
2016年底，公司实际控制人变更，为增强公司的可持续发展能力和盈利能力，公司在坚持大环保的整体战略背景下，已开始逐步布局具有较为稳定现金流和持续盈利能力的光伏发电行业。公司陆续签订了光伏发电项目的合作协议，公司未来的业务发展需要大量的资金支持，考虑未来的资金需求及更好的回报投资者，制定了本次利润分配预案。
谢谢关注！
"
7,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,您好！公司有专人负责舆情监控，公司非常重视与各类专业机构及个人投资者的沟通，开设了专门的投资者热线，在互动易等平台与投资者沟通交流，同时，公司还制定了《突发事件应急管理制度》，完善各项措施，积极应对可能出现的突发事件，谢谢关注！
8,。公司在选择项目上，也会认真考察项目所在区域的电力消纳问题？为何公告上都没有体现？,对于存在弃光限电的项目风险，公司将在风险提示的方式进行披露。
9,今年为何不送转股？,"你好！公司《2016年度利润分预案》符合《公司章程》的相关规定，同时也符合中国证监会关于上市公司现金分红的相关规定。
2016年底，公司实际控制人变更，为增强公司的可持续发展能力和盈利能力，公司在坚持大环保的整体战略背景下，已开始逐步布局具有较为稳定现金流和持续盈利能力的光伏发电行业。公司陆续签订了光伏发电项目的合作协议，公司未来的业务发展需要大量的资金支持，考虑未来的资金需求及更好的回报投资者，制定了本次利润分配预案。
谢谢！
"
