,Question,Answer
0,现在花花牛开始仿造公司的明星产品透明袋了 请问公司是否会采取相应措施,公司在今后的经营中将加强知识产权的保护力度，并将通过法律途径积极打击侵权行为。
1,公司2016年度的业务经营情况符合公司预期吗？,低于公司预期。主要是由于公司IPO募投项目及其他项目于2016年内投产，公司固定性费用增幅加大，但消化相关产能需要一定的时间，上述原因是造成业绩低于预期的主要原因。
2,请问公司对洛阳子公司今后的发展有什么规划,公司将洛阳巨尔作为公司开拓豫西及周边市场的主体，为了更好的发挥其在当地市场的竞争力，公司在坚持洛阳巨尔现有优势产品的基础上使其积极开发新产品。
3,公司离城里太原了，投资者参加股东大会不方便，有没办事处之类的？,目前，公司在住所之外其他地方暂无办事处，但我公司为股东参加股东大会提供了网络投票的途径。
4,请问公司以后每年会用什么形式回馈股东？,公司将严格按照公司章程中规定的利润分配政策和公司制定的分红规划的形式积极回馈股东。
5,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,公司销售趋势良好，销售目标参照公司于2017年4月8日在巨潮资讯网发布的2017年度财务预算报告。
6,公司有没有哪些项目创新模式？,我公司在传统销售模式的基础上新增了线上线下联动的销售模式。
7,公司是否在考虑开拓新的领域？取得初步进展没有？,公司一直在积极开发新产品和开拓新的销售区域，目前开发的新产品有透明袋纯牛奶、老酸奶、牛奶豆浆及多种新口味的爱克林包装酸奶等新产品；目前新开发的市场主要为华东市场。
8,公司2017年一季度经营业绩如何？,公司目前正在积极编制2017年一季度报告，届时请及时关注我公司发布的2017年一季度报告。
9,公司在经营活动中主要对哪些环节进行质量控制？,公司从奶牛的饲养、原奶的运输、储存、产品的生产、保存及运输全过程进行质量控制，确保产品质量合格。
10,公司今年叶绩不如去年，依然实施高送转，主要考虑什么？,基于对公司未来发展的预期和信心，结合公司2016年度的经营盈利情况和资本公积余额情况，为积极回报股东，与所有股东分享公司发展的经营成果，让公司的股本规模满足企业未来发展、做大做强的需求。
11,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,详见公司已披露的2016年度报告及审计报告。
12,雄安新区的设立，对公司存在哪些机遇？,公司将积极利用设立雄安新区的机遇，积极开拓相关市场。
13,请问公司如何看待上市公司的并购和市值管理？,并购是上市公司响应国家政策，快速做大做强的有效手段。公司将严格按照证监会及交易所的相关规定，合规进行市值管理，以维护中小股东的利益。 
14,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,公司认为目前股价低估了未来发展前景。
15,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理？,公司近几年固定资产投资基本在2016年5月份完工并投产，截至目前，新增固定资产投产时间较短，产能未完全利用。毛利情况合理。
16,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,我公司于2017年4月7日审议通过的董事会工作报告中，制定的2017年重点工作之一即为：积极寻找并购标的，通过并购重组实现公司跨越式发展。
17,公司所处行业有没有周期性？,没有。
