,Question,Answer
0,格力电器听说要并购精艺。。,您好！公司目前不存在应披露未披露的信息，请投资者通过我司指定信息披露媒体《证券时报》、《证券日报》、《中国证券报》和巨潮资讯网（www.cninfo.com.cn）查阅相关公告。谢谢！
1,格力电器听说要并购精艺。。,您好！公司目前不存在应披露未披露的信息，请投资者通过我司指定信息披露媒体《证券时报》、《证券日报》、《中国证券报》和巨潮资讯网（www.cninfo.com.cn）查阅相关公告。谢谢！
2,请公司加快并购重组步伐。。,好的，感谢您对公司的关注！
3,公司上市十年。。股票价格跌破十年前发行价。这也是绝无仅有。。公司去年产值规模已经达到60亿。。今年一季度继续增长。。如果公司再不抓住有利机会。。很可能会被其他公司收购,感谢您对公司的关注。
4,公司有没向军工发展。或者考虑做芯片公司。。可以重组一些芯片公司。。股票持续下跌。应该增持股价.b不然格力电器可能会收购了,您好！公司目前暂无此计划。谢谢！
5,公司是否进一步增持股份。。,您好。公司暂无收到有关增持股份的信息，谢谢！
6,你们的直接竞争对手是那些公司？,您好，公司产品主要用于空调制冷行业，是格力、美的、科龙等空调企业的战略供应商，万和、万家乐的“最佳协作供应商”，海信空调的“优秀供应商”，业务关系相对稳定。谢谢！
7,请公司谈一谈环保方面的责任和贡献？,您好！公司是国内重要的有色金属加工制造基地，省级铜管清洁生产示范企业、民营企业创新产业化示范基地，“粤港清洁生产优越伙伴” ，佛山市细分行业龙头企业。公司一直致力于自主创新、大力发展绿色制造、巩固壮大业务规模，以技术优势、循环经济成本优势、业务规模优势，不断挖掘公司增长潜力。谢谢关注。
8,你们有做市值管理吗？,您好，公司管理层致力于提高企业经营效益，为投资者创造更多的价值。谢谢您的关注。
9,你们的主要客户有哪些？有没有大客户依赖症？,您好，公司2017年度前五名客户合计销售金额占年度销售总额比例为65.35%，谢谢！
10,请问公司今年一季度，在创新上有什么成效？,您好！公司一直致力于持续创新，请持续关注公司的发展，谢谢！
11,你们期货业务做的好吗？,您好，公司根据已制定的《期货套期保值业务管理制度》开展了电解铜期货套期保值业务，根据期货市场状况适时锁定部分原材料成本，降低现货市场价格波动给公司经营带来的不确定性风险。目前公司的期货业务主要是基于客户订单的套期保值业务。
12,公司有拓展海外市场吗？,您好，公司目前海外销售占公司销售比重不大，谢谢！
13,请公司谈一谈自有资金填充供应链环节如何逐步改善？,您好！公司已在逐步改善融资结构，推进适当利用财务杠杆、核心企业资源、多联互通供应方式解决单一资金来源支撑供应链业务的模式。谢谢！
14,公司的产品主要销售往珠江三角洲方向，是否考虑向内部市场加强拓展？,您好，公司两大生产基地分别位于珠三角的广东顺德和长三角安徽芜湖，基本覆盖下游空调厂家生产基地。谢谢关注。
15,公司谈谈如何降低各方面成本？,您好！公司2018年度将通过坚持持续创新，广挖潜能，降能耗等方式进一步降低生产制造成本、管理成本，同时构建多渠道、多层次的融资结构，以解决原料采购端模式为抓手，释放资金压力，降低财务费用。谢谢！
16,如何应对成本上升？,您好！公司2018年度将通过坚持持续创新，广挖潜能，降能耗等方式进一步降低生产制造成本、管理成本，同时构建多渠道、多层次的融资结构，以解决原料采购端模式为抓手，释放资金压力，降低财务成本。谢谢！
17,请公司谈谈如何加强供应链管理中的风险管控和善后？,您好！感谢您对公司的关注。公司供应链贸易业务自开展以来，风控体系也逐步完善，建立了一套客户征信评价体系、资金回笼催收体系以及客户管理办法，通过跨部门联合征信、实地走访考察、资产抵押、股权质押、物流与资金流监控等手段，实现了公司供应链贸易业务与客户业绩共同增长的双赢效果。公司在报告期内荣获国家“绿色供应链管理示范企业”，贸易业务收入规模和利润得以较大增长。 
18,很多公司现在都跨行业发展了，你们有新业务领域的拓展计划吗？,你好！公司铜加工业务方面继续以“做精做细、做深做透”为经营指导思想，坚持持续创新，广挖潜能，降能耗、减成本，以高、精、尖的高附加值产品为优先导向，优化产品结构和客户结构。同时以铜加工上下游需要为基础，扩展如电解铜、铝锭、塑料等大宗商品或物资贸易业务。在做好主业基础上，公司积极转型升级，致力于以产业为基础，以资源优化配置和产业转型升级为目标寻找并购重组机会，加快产业结构的调整，以此为契机推动公司又快又好地发展，提升公司价值。谢谢！
19,请问公司在优化产品结构上有哪方面举措？,您好。公司铜加工业务通过坚持持续创新，深挖潜能，降能耗、减成本，以高、精、尖的高附加值产品为优先导向，优化产品结构和客户结构，提升高端产品的占比。感谢您的关注！
20,今年的业绩预计怎样？,您好！公司2018年一季度实现归属于上市公司股东的净利润1736.52万元，预计上半年实现净利润3400万-4000万元。谢谢关注。
21,未来的盈利增长点在哪？,您好！公司将继续致力于通过坚持持续创新，深挖潜能，降能耗、减成本，进一步提升产能，增加效益；继续构建供应链生态圈，打造供应链国家级示范企业，找准核心行业并以此为依托，发展多产业、多形式联动的供应链生态圈模型，提高收益；继续以资源优化配置和产业转型升级为目标开展并购重组，加快产业结构的调整，以此为契机推动公司又快又好地发展，提升公司价值。谢谢关注！
22,请公司谈一谈上游行业对公司的影响?,您好。公司铜加工业务产品的销售价格按照“电解铜价格+约定加工费”的模式来定价，公司主要原材料电解铜采购价格、采购量与销售合同紧密挂钩，以应对铜价波动风险。谢谢！
23,你们在同行业中有什么竞争优势吗？,您好。公司业务具有技术研发和品牌优势、贴近市场的地缘优势、持续创新的研发优势以及品质优良的产品优势、管理优势等，我们将一如既往将优势转化成经营成果，谢谢关注！
24,公司的工艺是否有排他性保护？,您好。公司在工艺方面有知识产权，包括商标、专利等排他性保护。感谢您的关注！
