,Question,Answer
0,请问沪深上市公司中有无与公司同产品的上市公司？,与公司主业相近的上市公司有：建研集团、科隆精化、三圣股份等。
1,女性一出轨，公司就暴涨，打算改名吗？这红墙,感谢您的关注，您与媒体一样的幽默。
2,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,感谢投资者对公司的关注。公司近年来均排名行业前十，公司的核心竞争优势主要体现在于：1、为客户提供定制化产品和整体解决方案这一经营模式；2、技术研发优势；3、以技术为先导的营销策略；4、完善的质量控制体系；5、较高的品牌知名度；6、精细化的管理体系。具体还请参见公司年度报告。
3,在企业文化方面，公司有什么特色吗？,公司强调执行力第一的管理原则，推动企业各项工作贯彻落实；合作共赢、诚信守诺为公司对外市场开拓与对外合作的基本前提。
4,去年公司经营遇到的最大困难是什么?今年有望改善吗？,2016年，公司产品的主要原材料出现大幅、持续性上涨，虽然公司产品发货量与上年基本保持持平，但由于原材料上涨较快，导致公司销售利润及净利润出现下滑，具体情况请参阅2016年度业绩报告。今年一季度，公司通过大力开拓市场，以开发客户数量增加、发货量增长抵销原材料上涨的不利因素，同时，公司积极与客户进行协商，合理调整产品售价，从而导致今年一季度经营业绩较上年同期有一定的增长。具体情况请参阅公司一季度业绩预告。
5,为何贵公司的证券部相关人员在一些基础问题上面屡犯错误？如最初的招股说明书的“笔误”，到后面的公告编号的错误，再到之后的挪用募集资金转存款未发公告，公司是管理水平不够还是个别人士指使为之？贵公司是否对相应人员做出了处理？,感谢您对公司的关注，正是投资者的热情鞭策着我们不断进步！您提到的相关问题出现后，公司已强化了对信息披露方面的工作和要求。在此也对相关问题给投资者造成的不便表示歉意。
6,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,感谢投资者对公司的关注。公司已在技术研发方面取得了一定成果，截至目前，公司及子公司已在混凝土外加剂生产工艺、环保等方面取得授权和已申请专利75项（其中包含50项发明专利），专利数量位列同行业公司前茅。
7,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,感谢投资者对公司的关注。二级市场股价由多重因素共同决定，请投资者注意投资风险。
8,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,感谢投资者对公司的关注。公司已注意到股价的下跌，将按照相关法规履行信息披露义务。公司提示投资者注意二级市场价格波动风险。
9,请问公司未来还会不会推出新的重组计划，如果有希望公司不要只专注于水泥制品，应当多考虑向着新材料方向发展。,感谢投资者对公司的关注。公司暂无进军新领域的具体措施或计划，后续如拟开拓新领域或新行业，将依据相关法律法规履行信息披露义务，请投资者关注。 
10,注意到河北红墙新材料有限公司距雄安很近，随着新区的设立，未来是否会加大河北红墙公司的资金投入？,感谢您的关注。公司将会根据河北红墙的实际经营情况及需要进行资金投入。
11,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,感谢投资者对公司的关注。公司已搭建了符合法律法规要求的公司治理结构，并制定了相关决策制度。公司通过加强公司治理、建立内部控制规范的方法来防范各种经营风险。
12,贵公司在河北即将投产的项目位于雄安新区的周边，惠州的总公司地理位置也处于大湾区规划中，贵公司最近是否有专项讨论将如何把握这两个机遇？请明确认真回复,公司非常关注雄安新区规划及大湾区规划，二个新区建设对公司经营业绩的影响具有不确定性，公司暂未就此事项进行研讨。
13,你好，这两天股价大幅度下跌，连续跌停，今晚出不出异动公告或者明天停牌自查？谢谢,感谢投资者对公司的关注！公司已关注到近日公司股价的下跌，将根据相关法律法规履行信息披露义务，敬请投资者予以关注。 
14,公司有何措施稳定股价，避免崩塌式下跌？,感谢投资者对公司的关注！公司已关注到近日公司股价的下跌，将根据相关法律法规履行信息披露义务，敬请投资者予以关注。
15,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,感谢投资者对公司的关注。公司自成立以来，始终专注于混凝土外加剂业务，推动了公司在行业中竞争地位的不断提升。公司暂无进军新领域的具体措施或计划，后续如拟开拓新领域或新行业，将依据相关法律法规履行信息披露义务，请投资者关注。
16,今年人工费用是否还会出现阶段性上涨？,公司一直采取稳健、一贯的用工政策及积极的薪酬制度，薪酬政策未发生重大变化，预计今年不会出现人工费用阶段性上涨的可能性。
17,"这几年社会道德严重滑坡,不讲诚信，为了个人利益突破道德底线的行为屡屡发生，你作为企业高管如何看待？",感谢投资者的关注。国无德不兴，人无德不立。作为企业经营者，应坚守核心价值观。
18,公司是否考虑过在雄安新区设立子公司，这样更有利于业务的开展？,注册资本为4000万元，特予以更正。
19,您好，关于中央建立河北雄安新区请问公司有没有相关项目参与？,公司暂无考虑在河北雄安新区参与相关项目，感谢关注。
20,何时除权？,此问题已回复，谢谢关注。
