,Question,Answer
0,你好，请问公司关于军工方面有新的战略发展规划吗？,"您好！
公司的发展战略为：一、围绕公司目前的核心产品—电力设备状态检测、监测产品在发电企业、铁路与轨道交通、军工、石油石化等领域上进行拓展；二、充分利用公司在电网市场的积淀，在上述领域内积极拓展契合“十三五”规划的产品和服务。上述发展战略与公司现有主营业务保持一致，均致力于依托公司的自身技术优势、资本市场的力量等，实现公司现有主营业务在其他市场领域的布局和新产品、新业务的开发，努力为股东创造更大利益。
公司在各领域的新规划，请关注公司相关公告。
"
1,您好，业绩亏损的企业不能实施高送转，您怎么看？还有深交所规定有犯罪记录的不能减持,"公司将会严格按照深交所相关规定实施分红政策。
"
2,请问公司的分配预案达到承诺的分红比例吗？,"      您好！
      公司2016年年度利润分配预案已达到公司承诺的现金分红比例。
"
3,公司去年主打产品的销量是多少？,您好！具体请参考2016年年度报告“第四节 经营情况讨论与分析，二、主营业务分析”。
4,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,您好！公司2017年业绩请关注相关的业绩公告。
5,请问老总， 2016年存货是多少，存货增加的内容是哪些？,"回答：您好！公司存货2016年年末余额为60,545,001.23元，较年初增加了3.24%。"
6,请问公司明年净利润能做到多少？,您好！公司2017年业绩请关注相关的业绩公告。
7,能简单的介绍下新项目的情况吗？,"您好！
公司新项目的情况请关注公司相关公告。"
8,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,"您好！
    公司目前已建立了相对完备的研发平台，并拥有高压局部放电物理模拟实验室、高频电气测试实验室、超声波检测实验室、互感器检测实验室、电磁屏蔽室、环境实验室、电磁兼容实验室、电测实验室、机械声学实验室等多个研发中心实验室，具备了开发高性能产品的基础条件。
       同时，公司目前正在建设“高压电气设备故障仿真试验室”，通过“高压电气设备故障仿真试验室”提供的仿真试验平台可以进行局部放电产生机理、局部放电对绝缘介质劣化影响、局放电伴生信号演变的基础性研究，该实验室的建成将使公司成为国内先进的拥有全类别缺陷模型仿真试验室的厂家，实现了各种类型缺陷的试验室准备评估，为研发产品的技术优势奠定了坚实的基础。
     公司研发设备及条件的不断改进，为公司先进产品、技术、服务的研发、升级、应用提供了有利保证。
"
9,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,"公司今年将继续利用资本平台发展公司战略，相关的投资计划请关注公司公告。
"
10,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,您好！公司未来将根据发展需要，选择一些具有技术优势、良好目标市场渠道并且能够与公司现有主营业务产生协同效应的标的企业，同时开发一些新的产品和业务，丰富公司产品线和提高现有业务的覆盖领域，把握时机，积极开拓新的增值空间，努力为股东创造更大利益。
11,公司未来五年的目标是多少？能够实现吗？,您好！公司未来五年的发展战略为：一、围绕公司目前的核心产品—电力设备状态检测、监测产品在发电企业、铁路与轨道交通、军工、石油石化等领域上进行拓展；二、充分利用公司在电网市场的积淀，在上述领域内积极拓展契合“十三五”规划的产品和服务。    上述发展战略与公司现有主营业务保持一致，均致力于依托公司的自身技术优势、资本市场的力量等，实现公司现有主营业务在其他市场领域的布局和新产品、新业务的开发，努力为股东创造更大利益。
12,公司截止至今的产品有多少个种类？,"您好！公司及控股子公司主要从事以下产品的研发、生产、销售及服务：
1.电力设备状态检测、监测产品
  1.1一次设备状态检测、监测产品
  1.2计量装置状态检测、监测产品
2.电测产品
  2.1电测标准装置产品
  2.2电能表及用电管理系统
3.配网自动化产品
4.电力技术服务
"
13,公司的前5大客户是哪些？,您好！公司客户以国家电网公司和南方电网公司及其下属成员企业、发电企业为主。
14,公司募投项目，预期如何？,公司募投项目的执行情况已经在2016年年报中进行了披露，请参考相关内容，谢谢关注！
15,公司是否会计划多元化发展？,您好！公司目前暂无多元化发展计划。
16,公司目前面临的最大问题是什么？,"您好！公司上市以来，平稳发展，各项工作有序进行，感谢您对公司关注。
"
17,请问今年预计主要产品的销售目标是多少？净利润是多少？,您好！请关注2017年相关的业绩公告。
18,公司截至目前为止都有哪些子公司和参股公司？,"您好，截至目前，本公司拥有红相电力（上海）有限公司、RED PHASE INSTRUMENTS AUSTRALIA PTY LTD、厦门红相软件有限公司、厦门红相信息科技有限公司和浙江涵普电力科技有限公司五家子公司，并且拥有浙江涵普三维电力科技有限公司一家孙公司。
"
19,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,您好！公司目前正在筹备员工持股（一期）计划，预计在2017年实施。
20,杨叔叔好，公司地处厦门，目前的主营业务是什么,"您好！公司主营业务为电力设备状态检测、监测产品、电测产品，以及配网自动化产品的研发、生产和销售，并提供相关电力技术服务。
"
21,截至目前，公司的同比销售额有增长吗？,您好！请关注公司2017年第一季度业绩预告。
22,公司有没有股权激励计划？,"您好！公司目前正在筹划员工持股计划，具体内容详见2016年12月1日、2017年1月16日刊登在中国证监会指定的创业板信息披露网站上的相关公告。
"
23,请问公司今年营收的增长能超过行业的平均水平吗？,您好！公司2016年营业收入较去年同期增长34.50%，归属于母公司净利润增长了4.06%.
24,请问市场很多股都以翻倍，可红相电力却表现平平，业绩亏损，请问大股东为什么不增持，增加投资者信心，股价涨难道不好吗？,"您好！公司上市以来业绩平稳发展，公司股价受多种因素影响；目前大股东控股比例较高，暂无增持计划；上市以后公司充分利用资本平台做外延式并购，保持良好发展。
"
25,公司的前5名供应商是什么，与公司存不存在关联关系？,"您好，公司与前5名供应商不存在关联关系。感谢您对公司的关心和关注。
"
26,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,您好。公司上市以来业绩平稳发展，预计2017年公司将业绩稳步发展。具体业绩请关注2017年业绩预告。
27,请问老总公司今年净利润同比增长多少？,您好！公司上市以来业绩平稳发展，2017年业绩请参见2017年业绩预告。
28,在做项目之前是否对项目进行严谨的可行性研究？,"公司对募投项目的可行性和必要性进行了详细的分析。谢谢您的关注。
"
29,公司在税收方面有没有相关的优惠政策？具体税率是多少？,"您好！公司在所得税和增值税方面都具有相关的税收优惠政策，具体税率及优惠政策可见公司2016年年度报告“第十一节 财务报告, 六、税项”。"
30,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,"您好！公司的发展战略为：一、围绕公司目前的核心产品—电力设备状态检测、监测产品在发电企业、铁路与轨道交通、军工、石油石化等领域上进行拓展；二、充分利用公司在电网市场的积淀，在上述领域内积极拓展契合“十三五”规划的产品和服务。上述发展战略与公司现有主营业务保持一致，均致力于依托公司的自身技术优势、资本市场的力量等，实现公司现有主营业务在其他市场领域的布局和新产品、新业务的开发，努力为股东创造更大利益。
"
31,还有能否让大股东出个公告，说是将来会择机继续增持，并承诺不减持，让我们有个念想,"您好！ 公司控股股东实际控制人杨保田、杨成及其关联方杨力所持股份目前均处于限售状态，限售期至2018年2月17日。截止目前，上述俩位大股东及其关联方均无法进行任何减持操作，并且目前暂无增持计划。
感谢您对公司的关心和关注。
"
32,公司今年的财务费用会有多少？,"回答：您好。2016年公司财务费用为-1,075,210.74元；2017年的财务费用请关注相关公告。"
33,请问净利润的增长率和销售收入增长同步吗？,"2016年公司营业收入增长了34.50%，归属于母公司净利润增长了4.06%。
"
34,请问开完股东会后，如果送股通过几日内会送股？,"股东大会通过后，公司将会尽快向深交所和中登公司申请启动现金分红的程序，请关注公司相关公告，谢谢您对公司的关注。
"
35,公司业绩亏损，请问2017年预期盈利多少，,您好。公司主营产品为电力设备状态检测、监测产品和电能表产品，主要客户集中在在国家电网公司和南方电网公司，两大电网公司及其下属企业一般在每年下半年进行投资计划立项，次年的一季度对该些项目进行审批，项目实施和验收主要在第三季度末和第四季度。行业内公司的销售及回款一般集中在第四季度，因此受季节性的影响，公司第一季度亏损。自公司上市以来业绩平稳发展，预计2017年将稳定发展，具体业绩请关注2017年业绩预告。
36,公司截止目前的股东总人数是多少？,"您好！公司截止2017年2月28日的股东人数为31,537名，已在公司2016年年报中披露。截止2017年3月31日的股东人数，将在公司2017年第一季度报告中披露。请您届时关注。
"
37,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好！公司目前暂无发行公司债券或设立并购基金的安排。将来公司将根据外延式并购标的的需要，择机发行公司债券或设立并购基金。
