,Question,Answer
0,公司为其他新能源汽车公司提供产品或服务吗？,尊敬的投资者您好！福建万润为国内的新能源汽车整车厂提供动力总成产品，星恒电源为国内外的新能源轻型车和汽车整车厂提供动力电池。感谢您对公司的关注，谢谢！
1,"18年3月份国内新能源车产量6.5万辆,同比上涨95%,环比增长78%;其中纯电动车产量约4.4万辆,同比增长69%,插电式混合动力乘用车1.7万辆,同比增长250%;纯电动商用车产量0.4万辆,同比增长约226%。新能源未来的趋势不容小觑，对于纳川来说，也是机遇。",尊敬的投资者您好！感谢您对公司的关注与支持，公司将抓住机遇，行业发展趋势，及时调整公司战略规划和产业布局，优化业务线条，打造产品优势。谢谢！
2,公司今年的新能源投资较去年增长多少？,"尊敬的投资者您好：
  公司将积极推动正在筹划的重大资产重组，公司参与发起设立的启源纳川基金控股了星恒电源，随后经过谈判沟通，公司与启源纳川股东达成初步意向，拟收购基金持有的星恒电源股权，目前因筹划收购星恒电源构成重大资产重组，公司股票处于停牌期。公司已与标的资产部分股东进行过沟通并签订了意向性框架协议，就本次交易达成了初步意向，正在就本次重大资产重组的具体交易方案和交易细节进行进一步沟通协商，各中介机构正在积极开展各项工作。感谢您对公司的关注！谢谢！"
3,公司目前有多少股东？,"尊敬的投资者您好！截至2018年3月31日，公司有32,809位股东。感谢您对公司的关注，谢谢！"
4,近期有高管会增持公司股份吗？,尊敬的投资者您好！关于公司高管增持公司股份情况请关注公司相关公告。感谢您对公司的关注，谢谢！
5,公司未来在会聚焦在新能源汽车产业链中的哪些方面，有什么布局计划？,尊敬的投资者您好！未来公司将加快在新能源汽车领域的升级转型，加强现有动力总成技术的研发，继续保持在市场的核心竞争优势，加强DAT技术的应用及推广，努力探索开发其他核心零部件的技术；同时努力争取顺利完成对星恒电源的并购，跻身国内一流的动力锂电池供应商的行列，使得公司在未来几年实现盈利能力的快速发展，真正成长为涵盖了电机、电控和电池技术的全产业链条新能源汽车核心零部件供应商。感谢您对公司的关注，谢谢！
6,可不可以说一下公司新能源汽车方面的主要业务？,"尊敬的投资者您好：
     公司通过收福建万润切入新能源汽车产业，近年来不断提供万润研发能力，丰富产品线，实现了诸多核心零配件的自研自产自销，有效的降低了成本，保持了在激烈竞争环境下的核心竞争力。福建万润作为具有先发优势的新能源汽车动力总成提供商，掌握着较为全面的核心技术。与行业内企业相比福建万润在技术和产品上都具有较为明显的优势，市场拓展及业绩增长上升明显，目前已成为行业内龙头企业，目前其自产的优质电机获得了客户的广泛好评，同时自研自产的DAT技术产品，是万润独立正向开发、具有完整知识产权和原创性的产品，DAT采用干式摩擦离合器和制动器，控制机构外置，干湿分离，传动组件相对独立，维护方便，已经实现了销售，其高效节能的特点和良好的操控性大大的提升了客户体验，获得了客户的广泛关注。未来，公司将会持续升级福建万润产品的性能，提高技术壁垒，努力将福建万润打造成国内最大的动力总成提供商。
公司于2015年成立的福建川流新能源汽车运营服务有限公司，旨在搭建一个新能源汽车运营平台，通过这一平台，公司能够根据市场情况实现向新能源汽车产业链的上下延伸，是公司新能源汽车产业未来发展战略的重要一环。通过与公司控股子公司福建万润新能源科技有限公司相互借力，形成战略协同效应，加速公司在新能源汽车业务领域的战略布局，有利于进一步强化公司新能源汽车业务上的技术和市场优势，符合公司的长期战略规划和愿景。
2017年12月，公司中标 “泉港区新能源公交车和充电站设施PPP项目”，该项目的中标是公司在新能源汽车业务发展上的一大重要创新举措，推出城乡公交PPP项目，以“PPP+公交车电动化+互联网”的思维运作新能源汽车，为公司开拓了一个新的新能源汽车业务市场，开创并抢占了新的发展先机，有利于公司新能源汽车产业的持续发展。
目前公司因筹划收购星恒电源构成重大资产重组，公司股票处于停牌期。星恒电源是国内一线的锂电池制造企业，公司自2003年成立以来一直致力于动力锂电池的研发、生产、销售，在国内率先实现了电池的二次寿命和梯次利用。其主要瞄准新能源汽车和轻型车市场。在新能源汽车领域，星恒电源自2014年起开始布局切入，其具有极高性价比优势的超级锰酸锂产品使其快速成为国内众多新能源物流车制造商的第一供应商。未来三年，星恒电源将以新一代更高性价比的产品快速打开新能源乘用车市场并站稳脚跟。在轻型电动车领域，星恒电源精耕细作了14年，已经为全球超过500万终端客户提供电池和服务，稳居国内电动两轮车市场占有率第一，同时在欧洲长期保持稳定增长态势，在欧洲电动两轮车市场占有率第二。收购完成之后，星恒电源将会成为公司新能源汽车板块新的生力军。感谢您的关注！
"
7,公司人才方面有优势吗？,"  尊敬的投资者您好：
在人力资源管理方面，公司秉承传授、帮助、带领与激励相结合的方式，充分发挥人员主观意识，配合以公司业绩、战略及商业价值相关性衡量与考核，通过人员培养提升人均效益。在员工群体中，树立典型标杆作用，并将管理团队每个人的优势通过总结分享、实践指导，加速公司骨干人员锻炼与培养，为公司的快速规模化扩张和国际化发展储备更多优秀人才。其中：福建万润现有的核心团队由福建省新能源汽车产业联盟理事长、新能源汽车领域资深专家黄键教授作为技术带头人。技术中心核心团队有8年以上的新能源汽车动力总成开发经验。30%拥有硕士及以上学历，高级职称以上10人；管理团队：由原福建省汽车工业集团公司党组书记、董事长凌玉章先生出任万润董事长。作为福建汽车业的领路人，凌玉章先生曾成功创建了东南汽车和福建戴姆勒汽车。其带领的管理团队在汽车及其配套行业有几十年的管理经验；服务团队：万润新能源的服务团队已经覆盖全国20个省，3个直辖市，51个地级市，服务团队80%拥有本科及以上学历，能够为客户提供专业的售前、售中、售后服务。感谢您的关注！"
8,您好，我对贵公司新能源汽车方面比较感兴趣，能不能说说具体产业链布局？,尊敬的投资者您好！公司通过收福建万润切入新能源汽车产业，公司于2015年成立的福建川流新能源汽车运营服务有限公司，旨在搭建一个新能源汽车运营平台，通过这一平台，公司能够根据市场情况实现向新能源汽车产业链的上下延伸，是公司新能源汽车产业未来发展战略的重要一环。通过与公司控股子公司福建万润新能源科技有限公司相互借力，形成战略协同效应，加速公司在新能源汽车业务领域的战略布局。目前，公司正筹划收购星恒电源，本次收购星恒电源是公司加快在新能源产业的布局，收购完成之后，将填补公司在动力电池领域的空白，完善公司新能源产业链。感谢您对公司的关注，谢谢！
9,星恒电源目前成本情况怎么样，公司的核心竞争力是什么？,"尊敬的投资者您好：
    星恒电源是国内领先的从事锂离子动力电池自主研发、生产和销售的企业之一。星恒电源主要为轻型车（主要指电动两轮车、电动三轮车与低速四轮车）、物流车与乘用车提供多元复合锂、锰酸锂、三元锂、磷酸铁锂动力电池与电池组。其中，基于三元锂与锰酸锂复合而成的多元复合锂离子动力电池为公司的创新产品，即突破了纯锰系产品能量密度的瓶颈、又保证了产品的性价比，目前公司在电动轻型车动力锂电池细分市场实现了全球布局并处于领先地位，在国内电动物流车锂电池领域出货量也名列前茅，又实现了乘用车动力电池销量的快速增长。"
10,今年来有基金公司到贵公司调研吗,尊敬的投资者您好！截至目前，暂时未有基金公司到公司调研。感谢您对公司的关注，谢谢！
11,请问公司HDPE 缠绕结构壁管产品在行业有什么优势？,"尊敬的投资者您好：
        HDPE 缠绕结构壁管作为公司一贯的核心产品，在国内外市场不断得到提升。公司在生产管理水平上不断完善，产品质量不断提高，顺利通过了美国石油天然气工业制造组织的质量管理体系认证（API 认证），获得认证证书，使得公司 HDPE 缠绕结构壁管和钢骨架聚
乙烯塑料复合管产品在欧美市场获得了准入认可，极大开阔了公司的市场空间，公司管材产品将与国际产品直接竞争。感谢您的关注！"
12,福建纳川股份预中标泉港区新能源公交车和充电站设施PPP项目，请问是否属实？如属实？,尊敬的投资者您好！2017年12月，公司中标 “泉港区新能源公交车和充电站设施PPP项目”，该项目的中标是公司在新能源汽车业务发展上的一大重要创新举措，推出城乡公交PPP项目，以“PPP+公交车电动化+互联网”的思维运作新能源汽车，为公司开拓了一个新的新能源汽车业务市场，开创并抢占了新的发展先机，有利于公司新能源汽车产业的持续发展。感谢您对公司的关注，谢谢！
13,公司未来有何新的增长点？,尊敬的投资者您好！公司整体发展战略以双轮驱动进行，一方面，结合公司现有技术、市场、资源优势，不断优化产品性能和质量，提升传统管材产品的核心竞争力，继续做大、做强传统管材业务。同时，经过公司两年多的探索，公司在前期的PPP项目中累积沉淀经验，未来将继续深入探索PPP模式下的项目合作，借力PPP项目的发展，提高公司产品的销量，在更多的PPP项目中积累项目建设和运营经验及优质资源；另一方面，公司将加快在新能源汽车领域的升级转型，加强现有动力总成技术的研发，继续保持在市场的核心竞争优势，加强DAT技术的应用及推广，努力探索开发其他核心零部件的技术；同时努力争取顺利完成对星恒电源的并购，跻身国内一流的动力锂电池供应商的行列，使得公司在未来几年实现盈利能力的快速发展，真正成长为涵盖了电机、电控和电池技术的全产业链条新能源汽车核心零部件供应商。感谢您对公司的关注，谢谢！
14,福建万润2017年的业绩情况如何？有什么竞争优势？,"尊敬的投资者您好：
    福建万润的技术来源主要依托自主研发力量实现技术创新,从主导产品的核心技术到生产工艺的系列流程,创立了系列的自主知识产权体系。具体为全系列新能源汽车总成的研发、生产能力，产品包含整车控制器、电机、电机控制器、变速传动系统以及储能器，各部件系列覆盖了新能源客车、新能源乘用车、新能源专用车等主要类别，形成从小到大的、较完整的产品型谱。目前拥有授权专利 31 项，其中发明专利 10 项；获得软件著作权 6 项。2017 年福建万润实现营业收入 1.6 亿元，净利润 0.37 亿元。"
15,星恒26148生产线有什么特别竞争力 ？未来星恒产品主要用在哪些领域？,"尊敬的投资者您好：
     星恒电源是国内一线的锂电池制造企业，公司自 2003 年成立以来一直致力于动力锂电池的研发、生产、销售，在国内率先实现了电池的二次寿命和梯次利用。其主要瞄准新能源汽车和轻型车市场。在新能源汽车领域，星恒电源自 2014 年起开始布局切入，其具有极高性价比优势的超级锰酸锂产品使其快速成为国内众多新能源物流车制造商的第一供应商。未来星恒电源将继续保持轻型车锂电池和物流车锂电池龙头地位，同时快速提升乘用车锂电池市场地位。感谢您的关注！"
16,请问星恒电源通过哪些方面提高电池量能密度，未来如何达到国家对量能密度日益提高的标？,尊敬的投资者您好！星恒电源是国内领先的锂电池生产企业，产品丰富，技术先进，对于高能量密度的大单体电池也有自己的规划和技术储备，足以满足未来国家对量能密度日益提高的标准。感谢您对公司的关注，谢谢！
17,公司对若干年后电池单体量能密度300wh/kg甚至500wh/kg的行业预期是否有规划？,尊敬的投资者您好！星恒电源是国内领先的锂电池生产企业，产品丰富，技术先进，对于高能量密度的大单体电池也有自己的规划和技术储备。感谢您对公司的关注，谢谢！
18,完成收购星恒后，公司下一步的计划是什么？未来发展方向呢？,"尊敬的投资者您好：
     本次收购完成之后， 公司将充分利用星恒电源动力在电池领域的生产技术优势，尤其是将继续以星恒电源新研发出的创新产品——多元复合锂离子动力电池为基石，采取差异化竞争战略，保持轻型车电池业务的全球领先地位，同时继续加强物流车和乘用车电池业务，突破更高比高能量密度和更高性价比的动力锂电池的研发生产工作，持续提高星恒电源在新能源汽车领域的市场占有率，为公司长期高速增长打下良好基础。感觉您的关注！谢谢！"
19,今年以来PPP项目已经签定的订单额有多少了？预计2018年的订单量相比2017年有何变化,尊敬的投资者您好！报告期内，公司持续加快PPP项目的推进，截止报告期内累计中标PPP项目金额突破50亿元，与泉港石化工业园区管理委员会签订了《泉港区北部城区防洪排涝及相关配套基础设施PPP项目合同》，中标 “宁城县住房和城乡建设局宁城县城市建设工程PPP项目”、“大理白族自治州剑川县澜沧江上游剑湖流域水环境综合治理工程（PPP）项目” 、“长泰县主要乡镇场区污水管网等设施建设工程PPP项目” 、“龙岩市永定区城区道路基础设施PPP项目”等多个项目。未来，公司在PPP项目领域的经验不断增加，逐步提高在PPP项目建设方面的投资建设运营一体化的经营能力，进而提升PPP业务市场竞争力及持续盈利能力，有利于进一步抓住市场机遇开拓PPP项目，推动公司业务的发展，对公司起到积极作用，为公司持续发展提供业务支持。感谢您对公司的关注，谢谢！
20,请问公司资金是否充裕，资产负债率大概多少？,"尊敬的投资者您好：
公司的资金运转正常，资产负债率约为43%，处于良性运行区间。感谢您的关注！"
21,市面上那么多管道产品，请问公司的管道产品核心竞争优势是什么？,"尊敬的投资者您好：
     目前公司管业板块在研项目超过 5 项，其中包括 1 项国家重点研发项目的子课题项目。 2017 年公司管业板块已申报发明专利 1 项，实用新型专利 4 项。加大研发投入力度使公司产品的核心竞争力得到进一步提高，品牌知名度和可靠性得到市场的进一步认可，有益于公司的长远发展。
2017 年，公司继续以开发核电专用 HDPE 管道及配件为重点，完成核电专用 HDPE 管道及配件的试制及性能验证，进一步深化和扩展配套技术的研究和应用，并同步推进其他高端HDPE 管道及配件产品的市场投入，完善全系列 HDPE 产品规格。目前该项目已提出申报专利
10 项，发明专利 5 项，实用新型专利 5 项。
此外， 2018 年初，中广核集团高密度聚乙烯管材（HDPE）相关技术成果深化研究和应用项目，获得美国电力研究院核电板块办法的 2017 年技术成果转化奖。"
