,Question,Answer
0,你好！公司研发的质谱仪的作用。应用于什么方面？谢谢。,由公司牵头的国家重大科学仪器设备开发专项“红外激光解离光谱-质谱联用仪的研制与产业化”项目将广泛应用于目前迫切需要解决的环境污染、能源燃烧、肝癌诊断等重大科技和民生问题。
1,应收账款、存货等指标绝对值今年是否还会持续下降？,公司将根据市场实际情况制定合理有效的经营策略，未来公司经营质量将会持续提升。
2,请问近期大股东是否有减持意向呢？,公司暂无收到大股东任何关于股份增减持的意向信息。
3,色选机业务目前在国内市场上占多少份额？,公司色选机业务国内市场份额约为30%，但由于缺少官方统计数据支撑，该数据仅为预估数据，仅供参考。
4,公司去年的管理费用率下降显著，是采取了什么措施吗？,2017年度公司逐步完善了企业管理体系，加强了内部统筹管理，有效地降低了部分管理成本。
5,2017年经营性现金净流量为4.42亿元，现金/利润比值超过1，今年是否会保持？,公司根据发展规划灵活调整销售策略，预计未来将继续保持高质量的发展态势。
6,今年的业绩能否增长呀？,2018年公司业绩将继续保持健康发展态势。
7,公司近期是否有签订重大项目？,公司近期未有签署相关重大合同。
8,今后发展重点放在哪里？,聚焦农产品检测、工业检测、医疗影像三大领域，三大领域协同发展，专注于光电识别技术在以上领域的产品开发与应用，以及市场营销规模的提升，同时公司的资源投入不断向医疗领域倾斜，力图在较短时间内提升医疗领域的研发能力、产品销售规模和市场占有率，加速高端医疗影像设备的国产化进程。
9,公司口腔X射线CT诊断机系列产品目前销量是否有超过国外产品的销量？,由于缺少官方统计数据支撑，公司目前尚不能明确同业相关国内外品牌的精确数据。
10,董事长您好：1、根据2017半年报、年报，口腔CT诊断机的上下半年销售收入增速分别为132.6%、28.6%，请问下半年增速大幅度放缓的原因是什么？2、下半年色选机销售有所好转，主要的原因是什么？3、今年一季度CBCT、色选机的销售情况如何？,"2017年下半年公司口腔CBCT诊断机销售增速放缓，主要系去年同期销售基数较大所致。
2017年下半年公司色选机销售增速表现较好，主要系公司加大国内外市场拓展力度所致。
2018年第一季度，公司各项业务继续保持健康发展态势。
"
11,你好！能否谈谈公司未来医疗方面发展战略。谢谢,目前，公司正积极加强口腔X射线CT诊断机系列产品的技术研发和市场拓展。未来，公司将以口腔医疗影像领域为突破口，积极向其他专科领域进行延伸，在骨科、耳鼻喉科等其他科室陆续推出拥有完全自主知识产权的系列新产品。
12,程总，您好。公司是否有近几年口腔X射线CT诊断机销售的具体数量，多少台（这个在之前年报中有公布过，但2017年报告内未找到），以及国内该行业主要同业公司的销售数据，谢谢。,公司2017年度口腔X射线CT诊断机系列产品销售量约为1000台。由于口腔诊疗行业尚处于发展阶段，当前缺乏相关官方统计数据。
13,目前口腔CT业务占比有多少，今年是否还会持续提升？,2017年度公司口腔CT的销售收入占比为23.78%，按照目前行业发展的状况，结合公司的发展策略和市场地位，预计2018年公司医疗领域业务还将保持较为快速的发展，其收入占比将会稳定提升。
