,Question,Answer
0,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,尊敬的投资者您好，公司2016年度的财务费用、管理费用及同比变动在2016的年报中均有披露；计入管理费用的折旧今年也会有；管理费用会受研发投入、经营规模等的影响，但整体保持与企业经营发展需要相适应，谢谢您的关注。
1,请问公司目前产能多少？,感谢您的提问，产能的具体数值请查阅2016年年度报告全文，谢谢。
2,请问截至到目前公司的营销有没有什么新进展，有看点吗？,提升产品质量及稳定性是最好的营销。
3,请问今年的营销额，公司给的任务是多少？去年的有没有完成？,"尊敬的投资者您好，2017年公司的计划销售量：氧化钨粉2000吨，综合钨/碳化钨粉末3000吨, 硬质合金产量260吨，谢谢您的关注。"
4,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,尊敬的投资者您好，公司目前的在建项目为年产600吨硬质合金，也是公司募投项目，该项目一直在加紧建设中，资金来源为首发募集资金，谢谢。
5,请问公司明年净利润能做到多少？,公司将努力做好各项经营管理工作，更高的利润收益是我们努力的方向。
6,请问公司今年是否有对外扩张的打算？在环渤海地区是否有意向？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,所有有利公司发展的项目，翔鹭都会进行考虑。公司将会严格准守信息披露准则，及时披露相关计划。
7,公司对新疆、内蒙、宁夏等西部同行竞争对手怎样的考量？你们的成本、管理、市场等优势体现在哪些方面？,"谢谢嘉宾提问。
目前新疆、内蒙和宁夏均没有从APT、钨、碳化钨粉末到硬质合金完整产业链的生产企业。
我们的优势是：具有完整的产业链，采用现代化的智能管理与营销手段，已经形成品牌战略，因此具有较好的成本优势。"
8,请问公司今年营收的增长能超过行业增速20%吗？,这将是我们努力的目标。谢谢您的关注于支持。
9,请问净利润的增长率和销售收入增长同步吗？,尊敬的投资者您好，感谢您的提问。公司的净利润增长率和销售收入增长不存在必然的同步关系；收入主要受钨产品年均价和产量的影响，净利润除收入外，还会受产品毛利率、期间费用等的影响；通常情况下，产品价格持续上涨会导致公司毛利率上升。
10,您认为目前公司面临的最大问题是什么？,公司目前各方面都在良性地发展，企业发展就是一个在解决问题中提升自己的过程。
11,公司目前面临的最大问题是什么？,公司目前各方面都在良性地发展，企业发展就是一个在解决问题中发展自己的过程。
12,请问公司股票上市时期价格多少，现在多少，还具有投资价值吗？,尊敬的投资者您好，公司发行价格为11.42元，公司股价与最近大盘走势相关性更高，公司无应披露而未披露事项。公司管理层对公司未来发展充满希望，谢谢 
13,公司有在国内外收购或参股钨矿的打算吗？,只要有利于公司发展的，翔鹭都会考虑。
