,Question,Answer
0,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,投资者您好，公司一直在努力进军新的市场并扩大占有率。但具体数据及量化目标难以估计，拓展的成果和进度将体现在公司未来的业绩表现中。谢谢提问。
1,我是公司的一名小股东，请问我想现场参加股东大会，不知道应该怎么做？需要什么样的程序？,尊敬的投资者您好，巨潮资讯网为中国证监会指定的信息披露网站，公司股东大会通知会及时在上述网站披露，参加现场会议的流程会在股东大会通知中有详细情介绍，敬请查阅，谢谢提问。
2,请预估一下未来十年公司的市场规模多大？谢谢！,尊敬的投资者您好，公司业务目前所处行业属于国家鼓励发展的高技术产业和战略性新兴产业，市场前景和市场规模都很大，但难以具体预估，敬请理解，但公司在2016年年度报告中对公司所处行业的规模有具体描述，敬请查阅。谢谢提问。
3,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,尊敬的投资者您好，股价波动受到多重复杂因素的影响，公司专注于技术产品研发及市场拓展，同时也关心公司的市值与股价，公司相信公司的价值能够得到长远体现，谢谢提问。
4,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,尊敬的投资者您好，公司产品主要为高技术含量、高技术门槛的专用产品，公司在导航、MEMS领域的领先地位显著。截至2016年底，公司拥有各项软件著作权66项，各项专利111项。公司的航空电子、无人系统、智能制造等业务以及导航、MEMS业务新市场的拓展都可能为公司带来新的利润增长点。未来三年，公司对业绩保持增长充满信心，这也是公司股权激励计划的考核条件。谢谢提问。
5,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,尊敬的投资者您好，2016年，随着公司业务板块的扩大丰富，市场开拓的范围和力度也在加大，公司除了拓展导航产品的不同应用市场外，MEMS业务方面积极进一步拓展各行业的巨头客户，航空电子、无人系统、智能制造业务均在不断拓展军用与民用客户。谢谢。
6,公司未来发展前景如何?对目前这个行业的前途看好吗？,尊敬的投资者您好，公司目前所处行业属于国家鼓励发展的高技术产业和战略性新兴产业，我本人及公司管理层非常看好行业的发展前途。谢谢提问！
7,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,"截至2016年12月31日，公司负债总额为367,184,346.03元，2016年利息总计2,639,806.43元。谢谢。"
8,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,尊敬的投资者您好， 2016年公司通过内生增长及外延并购，主要业务从“导航”拓展至“导航、MEMS芯片、航空电子、无人系统及智能制造”五大业务板块，对于城镇一体化的发展，公司导航业务中的卫星导航应用业务关系较大，公司卫星导航产品已有智慧城市方面的应用。谢谢提问。
9,公司生产经营的季节性如何?哪个季节是旺季?,"尊敬的投资者您好，公司导航业务仍占较高水平，由于惯性导航产品、航空电子产品客户主要为国防装备、航空航海等领域的客户，这类客户通常会在上半年度制定全年采购计划和指标，在下半年进行相关产品的技术交流、性能测试以及批量采购；而向境外出口的惯性导航产品，在正式签订销售合同前，需要先通过国家军品出口主管部门的审查批准，并由国家授权的军贸企业实施出口，审批程序复杂，耗时较长，因此相应的营业收入和净利润大部分在下半年实现，具有明显的下半年集中销售特征。因此，在公司新增“MEMS工艺开发和晶圆制造”业务后，虽然公司的营业收入季节性波动降低，但仍存在存在某一季度收入很低、甚至出现季度经营亏损的风险。总体而言，每年第三、第四季度属于旺季。谢谢关注。
"
10,去年监管层要求现金分红，各交易所也发布了现金分红指引，公司怎么看，有这个打算吗？,"尊敬的投资者您好，公司已于2017年4月26日在巨潮资讯网发布了《关于2016年度利润分配预案的公告》，拟以截至 2016 年 12 月 31 日公司总股本 185,187,144 股为基数，每 10股派发现金股利 0.5 元（含税），公司共计派发 2016 年度现金股利9,259,357.20 元。不送红股，不以资本公积金转增股本。该分配预案还有待2016年度股东大会表决审议。谢谢提问。"
11,请介绍一下公司的行业地位？,"投资者您好！公司主要业务的行业地位情况不同，主要如下：
1、导航业务：公司是少数具备惯性导航系统及核心器件自主研发生产能力且导航产品链比较完整的民营企业之一，自主掌握导航核心算法，自主研发并掌握了惯性和卫星导航产品的软、硬件设计核心技术，部分主导产品达到军事及战术级别的运用要求。
2、MEMS业务：公司全资子公司瑞典Silex是全球领先的纯MEMS代工企业，且公司正在推进建设“8英寸MEMS国际代工线建设项目”，有望继续保持纯MEMS代工的全球龙头地位。
3、航空电子业务：公司是少数具备航空电子系统自主研发生产能力的民营企业之一，公司的航空电子产品经过了用户严格的验证、试飞程序，已批量装备装备于某些型号的航空飞行器。
4、无人系统业务：公司是工业级、军用级无人系统的新进入者，正在积极拓展自身的优势领域。
5、智能制造业务：公司是海事智能制造软件服务领域的新进入者，正在积极开拓相关市场。谢谢提问！"
12,请问公司里是否有专人负责回答全景网投资者关系互动平台里股民的问题？股民的问题是否会传到公司的高层？,尊敬的投资者您好，投资者关系互动平台里的问题主要都是由我本人直接回复的，有价值的问题都会传递到公司管理层或董事会。谢谢提问。
13,请介绍一下公司所处行业和主要产品？,根据中国证监会发布的《上市公司行业分类指引》，公司导航业务、MEMS业务、航空电子业务所属行业为“计算机、通信和其他电子设备制造业”（行业代码C39）；公司无人系统业务所属行业为“铁路、船舶、航空航天和其他运输设备制造业”（行业代码C37）；公司智能制造业务所属行业为“软件和信息技术服务业”（行业代码I65）。公司现有业务分别涉及信息产业、航空航天产业和先进制造产业，均属于国家鼓励发展的高技术产业和战略性新兴产业。公司主要业务从“导航”拓展至“导航、MEMS芯片、航空电子、无人系统及智能制造”五大业务板块，从产品而言，原有导航业务推出了新的导航产品，因新业务而新增了MEMS晶圆、航空电子、无人机产品以及MEMS工艺开发服务、海事智能制造软件服务。
14,请问公司公司的核心竞争力是什么？,尊敬的投资者您好！公司的核心竞争力主要体现在自主创新及研发优势，惯性导航、卫星导航、组合导航技术及其综合运用优势，MEMS先进制造、工艺技术及项目经验优势，高端人才优势，资质优势，以及优质客户资源优势。谢谢提问！
15,行业有没有周期性？,尊敬的投资者您好！公司目前主要业务所处行业必然受到宏观经济周期的影响，但由于各行业正处于成长阶段，所处的微观驱动环境各有不同，且正是推动全球经济发展的新兴力量，因此该等行业更多受自身发展周期的影响，受宏观经济周期的直接影响有限。谢谢提问！
16,上月军民融合展会公司有无表现？公司目前是否有直接应用于军事用途的产品？参与程度如何？,尊敬的投资者您好！2017年4月12日至14日，保利国防科技研究中心有限公司和中国电子国际展览广告有限责任公司共同主办了“2017北京国际军民融合装备展览会”。本次展会中，公司不仅展出了传统主营产品如高精度激光惯导系统、高精度光纤惯导系统、光纤陀螺、石英加表等，还展出了小型化光纤组合导航系统、MEMS组合导航系统、高速信号处理仪、航空显示系统、航空备份计算机、工业级固定翼无人机等新增产品类别，吸引了众多观众。公司的MEMS业务主要服务于民用，导航、航空电子、无人系统及智能制造业务都属于军民两用的业务，主要看客户的需求及具体应用，公司产品在重点领域的参与程度较深，公司研制生产的惯性导航系统产品已批量装备某型号战斗机、某型号长航时察打一体无人机，且公司惯导产品（包括部分卫导产品）正在推进与某型号陆基导弹发射车等在内的六项型号装备相关的应用项目。谢谢提问！
17,公司的规模优势具体会体现在哪些方面？公司的品牌如何管理？互相间的市场是否有重合以及竞争关系？如何增强各品牌间的凝聚力？,"尊敬的投资者您好！在公司目前业务中，导航业务、MEMS业务的规模优势较为明显，该等业务在对应细分行业的相对体量较大（导航业务按民营企业考量），行业领先地位明显，与主要客户存在长期良好的合作关系。
公司目前各业务板块有不同的品牌，导航业务有“耐威”品牌，MEMS业务有“Silex”品牌，航空电子业务有“耐威”和“镭航世纪”品牌，无人系统业务有“耐威智能”品牌，智能制造业务有“耐威思迈”品牌。公司主要业务为高科技和新兴产业，品牌对业务的影响相对较小。公司目前所拥有的品牌之间不存在重合及竞争关系，未来也将采取措施尽量避免重合及竞争关系。公司拥有的各品牌之间分属不同的行业及领域，业务的相互促进与发展将主要依托于技术、产品及客户，受品牌影响较小，当然公司将考虑体现各品牌中的“耐威”集团品牌，以增强集团整体的影响力。"
18,今年公司人力成本的大幅度上升？对公司产品价格影响有多大？,您好！2016年，随着业务规模的扩张以及并购投资的进行，公司人力成本大幅上升，反映在成本和费用的同比上升。公司产品价格受人力成本变化的影响较小。谢谢提问。
19,公司未来发展前景如何?对目前这个行业的市场潜力有多大？,您好！耐威科技目前的主要业务分别涉及信息产业、航空航天产业和先进制造产业，均属于国家鼓励发展的高技术产业和战略性新兴产业，市场潜力巨大；耐威科技目前主要业务所处行业正处于成长阶段，拥有很好的发展前景。
20,去年公司经营遇到的最大困难是什么?今年有望改善吗？,尊敬的投资者您好，2016年，公司业务发展步入快车道，除了继续拓展导航业务，还实现了对传感器上游以及对航空电子的拓展。公司遇到的最大困难主要是资金瓶颈，公司将通过继续推动非公开发行股票、开拓其他融资渠道等方式进行改善。谢谢提问！
21,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,尊敬的投资者您好，公司目前销售的区域分布在年度报告中有详细披露，目前将销售区域分为境内、境外两大块，境内销售中，华北地区销售约1.39亿，占比约41%；西南地区销售约3390万元，占比约10%，境内其他地区合计约4700万元，占比约14%。境外销售中，北美地区销售约6900万元，占比约20%；欧洲地区销售约3500万元，占比约10%；境外其他地区销售约1160万元，占比约3%。谢谢提问！
