,Question,Answer
0,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理？,投资者您好，公司近几年固定资产投入与公司预期相符。感谢您的提问。
1,请问公司股价从最高价112元一路重挫至今日的67元，董事长聂总对此如何评价？管理层是否一贯致力于提升业务和财务状况，来提振公司股价以给予中小股东信心？,投资者您好，公司管理层一直致力于提升公司的业务和财务状况，股价波动是由市场环境等因素综合影响的结果，请您注意投资风险。感谢您的提问。
2,请问公司如何看待上市公司的并购和市值管理？,投资者您好，公司的并购与市值管理也是我们关心的问题，我们在做好主营业务的同时，期望能有机会通过并购的方式帮助公司做大做强，积极回馈投资者。感谢您的提问。
3,请问公司以后每年会用什么形式回馈股东？,投资者您好，公司将严格按照公司章程及相关法律法规要求，积极回馈投资者。感谢您的提问。
4,钟叔叔好，公司有哪些自动化设备？,投资者您好，公司的主营产品情况请参阅已披露的2016年年度报告相关信息。
5,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,投资者您好，公司产品销售趋势向好，公司将通过开发新产品、拓宽销售渠道等措施，实现今年的年度销售目标。
6,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,投资者您好，公司目前负债情况请参阅2016年年报中披露的相关数据，感谢您的提问。
7,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,投资者您好，公司股价的波动是由市场决定的，请各位投资者注意投资风险。
8,公司的前三大客户是哪些公司？,"投资者您好，公司前三客户依次为:
1、芜湖长信科技股份有限公司及其控制公司
2、信利国际有限公司及其控制公司
3、华为集团及其控制公司
"
9,目前公司享有的国家优惠政策有哪些？,"投资者您好，公司目前享有的政策有：
1.公司被认定为国家级高新技术企业，根据《高新技术企业认定管理办法》规定，高新技术企业可享受15%的所得税优惠税率缴纳企业所得税。
2、增值税税收优惠政策变化的风险
根据财政部、国家税务总局2011年10月13日联合发布的《关于软件产品增值税政策的通知》（财税[2011]100号），本公司嵌入式软件产品可以享受一般纳税人增值税即征即退的优惠政策，按17%税率征收增值税后，对其增值税实际税负超过3%的部分实行即征即退政策。"
10,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,投资者您好，公司董事会已经审议通过公司关于2017年限制性股票激励计划的相关议案，争取惠及更多的员工。
11,公司2016年度的业务经营情况符合公司预期吗？,投资者您好，2016年业务经营情况与公司实际情况相符，感谢您的提问。
12,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,投资者您好，公司分区域的销售情况请详细参阅2016年年度报告中披露的有关信息。感谢您的提问。
13,如果公司进行定增，那大股东及高管们会考虑参与、进行增持吗？,投资者您好，大股东与高管是否参与增持由其自主决定，截至目前为止，董事会未收到大股东与高管的增持计划。
14,请问聂总，公司在手订单额有多少，谢谢~~,投资者您好，公司目前订单情况，请关注定期报告的经营情况相关内容，感谢您的提问。
15,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,投资者您好，管理层十分重视与中小股东的沟通，积极听取投资者的建议，努力经营好公司，积极回报投资者。感谢您的提问。
16,公司所处行业有没有周期性？,"投资者您好，公司所处行业的经营业绩存在季节性波动，受客户结构、业务特点等因素的影响，公司行业营业收入均存在各季度分布不均衡的特点，投资者不能简单地以公司季度或中期的财务数据来推算全年的经营成果、财务状况及现金流量。感谢您的提问。
"
17,公司2017年一季度经营业绩如何？,投资者您好，2017年第一季度业绩情况将于一季报中披露，敬请关注！
18,请贵公司预计2017年上半年业绩经营情况如何？请问是否有分红送转的想法回馈广大中小股东？,投资者您好，2017年上半年业绩情况将于2017年半年报中披露，敬请关注！
19,公司每次投资项目的可行性报告是否有详细说明公告？,投资者您好，公司投资项目的可行性报告均在相关政府部门进行备案登记。
20,联得装备作为国内平板显示器件生产设备制造行业的领先企业，有没有参与雄安新区建设的规划？,投资者您好，公司目前暂无有关雄安新区建设的规划。感谢您的提问。
21,今年以来，原材料都迎来涨价潮，对公司会有什么影响？,投资者您好！市场普遍原材料成本上升，对毛利率有相应影响，但是公司将通过一系列管理优化及相关技术革新消除原材料上涨带来的影响。感谢您的提问。
22,股东、合伙人、员工利益都要共享，有短期、中期和长期。聂总看看公司股价，现在这样的表现，是严重高估了吗,投资者您好，股价的高低由市场环境和各方因素综合作用的结果，感谢您对公司的持续关注！
23,截至到2016年12月31日，“国家队”即中金、证金、汇金的持股比例有多大？,投资者您好！截至2016年12月31日，关于股东持股情况请参阅2016年年报相关信息。感谢您的提问。
24,公司目前有参与哪些PPP项目？,投资者您好！公司目前未参与任何ppp项目。感谢您的关注！
