,Question,Answer
0,公司17年净利大幅下滑，请问18年能否增长？,尊敬的投资者您好，2018年经营业绩情况请关注定期报告。
1,Newegg在国外的市场地位？,尊敬的投资者您好，新蛋是北美第二大IT/3C类电商平台，凭借多年来自主经营，形成了可观的流量基础与技术积累，目前已有3600万注册用户和超过10万的产品sku，除了占据北美市场优势，newegg已覆盖全球50个国家。
2,公司在手游和电子竞技上有何布局？,尊敬的投资者您好，公司近年来根据既定发展战略在产业上下游进行一系列投资并购，在电竞运营以及游戏软硬件开发、销售领域均有一定的产业积累和技术积累，详细投资情况请查阅相关公告。
3,公司在虚拟现实技术上有何新产品？,尊敬的投资者，虚拟现实领域目前公司仍然以研发和技术积累为主。
4,公司新的利润增长点在哪里？,尊敬投资者，经过转型升级，公司目前主营的跨境电商、文化传媒、智能硬件和联络金融四大板块，均有良好的发展前景，公司将深挖各个板块的潜力，充分协同，争取实现利润增长。
5,公司近期是否有融资计划？,您好！公司目前融资情况良好，公司将根据业务发展情况，开展融资工作。
6,公司的跨境电商业务经营如何？,您好！公司年报中披露的电商及经销板块的财务数据大部分 为跨境电商业务形成，请参见年报公告相关章节。
7,中美贸易战对公司有何影响？,尊敬的投资者您好，公司业务涵盖流量运营与应用分发业务、文化传媒业务、智能硬件业务、互联网金融和电商业务方面，目前来看此次中美贸易战对公司整体业务影响有限。公司将密切关注国内外经济政策的调整、宏观经济形势变化及自身经营情况。
8,公司有没有什么爆款的移动应用产品？,公司旗下的新蛋商城、TT海淘、联络电竞等APP均为移动应用产品，欢迎投资者下载使用。
9,电商业务现状怎样？,尊敬的投资者，电商板块的业务发展情况已在公司年度报告中披露，请参见公司年报。
10,公司领导层年龄段主要集中在多少岁？,尊敬的投资者您好，公司高级管理人员基本信息已在2017年年报中披露，请查阅相关章节。
11,联络跌了三年，市值缩水八成，原来以为季报出来后会好转，看来又被人当做逃跑的机会，可怜我们这些还深套没办法割肉的散户，何总，重视市值管理不是只停留在嘴巴上利好都已经用完了，你拿什么提升股价？,答：尊敬的投资者您好，公司各大板块之间相互协同效益日趋稳定，传媒、智能硬件、互联网金融板块发展态势良好。公司投资重质，股价波动原因受多种因素影响，公司将努力提高业绩增长，实现股东价值最大化。
12,公司最有潜力的板块在哪里？,尊敬投资者，目前公司主营跨境电商、文化传媒、智能硬件和联络金融四大板块，各个板块均为公司发展方向。
13,为什么任何利好都无法让联络摆脱下跌的结果，季报那么好为什么涨一天跌几周，现在股价还在谷底，何总不能只停留在口头上重视市值管理，带给散户们一点希望吧,答:尊敬的投资者您好，二级市场表现受多种因素影响，公司基本面一切正常。未来将会进一步做好经营，以优良的业绩为投资者提供更多的信心与回报。
14,涨一天跌四天，天天低位震荡，要折磨到投资者什么时候,尊敬的投资者您好，近期公司股价波动受市场环境等多方面因素影响，公司管理层高度重视，积极推进经营业务拓展，努力提升公司业绩。同时也请广大投资者谨慎决策，注意投资风险。
15,公司近期质押股权，有无平仓风险？,"尊敬的投资者您好，公司大股东的质押情况已经披露，请参见公告。目前质股票质押风险总体可控，如后续出现系统性风险造成的公司股价大幅下跌,何志涛先生将通过追加保证金、追加质押物、进行现金偿还或提前回购所质押的股份等措施避免风险以确保股权稳定性。"
16,公司奉行多元化的战略，请问如何做到多元优化而不是多元恶化？,尊敬的投资者，公司的四大板块相互协同，有良好的协同效应。
17,何总你好,尊敬的投资者，您好。
18,智能硬件业务发展情况如何？,尊敬的投资者，智能硬件业务的发展情况已在年报相关章节中披露，烦请参见相关章节。
19,未来有没有新的并购计划？,尊敬的投资者，外延并购发展是公司所处行业发展特性，公司将积极关注行业机会，实现转型升级。
20,会找房目前市场推广情况如何？,尊敬的投资者，目前公司租房分期业务发展良好，具体推广情况在公司年报中已披露，请参见公司年报内容。
21,公司的传媒业务收益如何？,您好，年度报告中有对传媒板块收入、成本和毛利的披露。
