,Question,Answer
0,公司未来五年的目标是多少？能够实现吗？,公司制定6年100亿元人民币产值目标。
1,一直比较关注公司，在公司网站上看到的：公司将加快转型升级步伐，进一步扩大规模——公司投资5亿元兴建的二期厂房将于17年下半年投入生产，目标产值50亿元；投资三千万元兴建的国家级PCB研究院也将同步投入使用，届时，企业生产能力和研发能力将迈上新的台阶，力争6年打造超百亿园区。这个6年从哪年开始计算？另外能介绍下公司的智能车间吗？,公司定增募集10.8亿元人民兴建的二期厂房计划2017年下半年投产。
2,请描述一下公司未来的发展前景，谢谢！,公司17年目标增长30%或以上。
3,朱叔叔好，公司是什么时候上市的？介绍一下公司的业绩情况,公司2015年6月11日在深交所创业板挂牌上市，自上市以来，公司营收、利润连年上升。
4,和赵叔叔做一下交流，公司的业务实质上和超华科技差不多，相比之下，公司和它相比，你们的优势是什么呢？,公司对超华科技不太了解，做不到横向对比
5,如果我想对贵公司长期投资，能给我一个长期持有的理由吗？,公司管理层及广大员工对公司未来发展有很大信心。
6,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,公司去年财务费用为负，管理费用处于行业平均水平，管理费用较稳定，与销售收入同步增长。
7,请问净利润的增长率和销售收入增长同步吗？,基本同步。
8,请问公司今年营收的增长能超过行业的平均水平吗？,PCB行业增速较缓，公司增长速度超过行业平均水平
9,公司目前面临的最大问题是什么？,公司经营情况正常。
10,截至目前，公司的同比销售额有增长吗？,截止目前，公司的同比销售额有所增长。
11,请问公司目前产能多少？,公司2016年产值18.2亿元人民币。
12,陈叔叔好，公司目前的印制电路板主要用于哪些领域？,公司产品应用广泛，如汽车电子（包括新能汽车）、电脑、数码产品、工控、医疗类产品等。
13,公司有没有股权激励计划？,公司2015年实施了股权激励计划，解锁期分3年。
14,公司多次pcb板原材料成本占比达46.9%，请问原材料中对于成本影响对大的是哪些？谢谢,主要为覆铜板、铜箔、PP、油墨、铜球。
15,请问老总公司今年净利润同比增长多少？,目标增长30%或以上。
16,公司募投项目，预期如何？,定增项目的产房基础设施已建成，现在装修阶段，预计下半年投产
17,公司去年主打产品的销量是多少？,公司16年销售额为18.2亿元人民币
18,能简单的介绍下新项目的情况吗？,定增项目的产房基础设施已建成，现在装修阶段，预计下半年投产
19,公司是否会计划多元化发展？,公司专注于印制线路板的研究、生产与销售。
20,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,公司2017年目标增长30%
21,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,公司专注于印制线路板的研究、生产与销售。
22,请问开完股东会后，如果送股通过几日内会送股？,2016年度分配计划：不分现金红利，不送红股，不做资本公积金转增股本，谢谢关注。
23,谢谢了。希望公司业绩高速增长.我们小散和公司皆大欢喜。谢谢各位领导。,谢谢对公司的支持
24,您好。目前与公司业务重叠.竞争的上市公司有哪几家？,依顿电子、崇达技术、博敏电子、景旺电子等都属于同行业上市公司
25,陈总你好，按目前的行业趋势发展，本公司在行业内有无明显竞争优势？对于规划中的二，三期产能能否按计划达到？公司在发展过程中外延并购的计划？,按目前发展趋势，公司在行业内有明显的竞争优势；公司而且定增项目目前在建设中，计划下半年投产，谢谢投资者的关注与支持。
26,您好.世界上智能化程度越高，是不是对公司的业绩影响越多.越有利？,会对公司产生积极影响，特别是高端产品方面。
27,公司原来股权激励计划三年递增的目标可以完成吗？,递增目标可以完成。
28,您好，公司公告2017年一季度净利润同比只增加10%-20%，请说明具体原因？增速环比下降幅度较大，公司是否为了保证再融资增发而故意压低股价？,尊敬的投资者，公司2017年一季度利润增长较慢原因：1、同比去年，今年产线假期较长；2、部分原材料涨价；3、汇率波动。
29,您好.2016年年报有没有送转的计划？具体能有多少？,尊敬的投资者，2016年度报告已披露，详情请关注巨潮资讯网具体公告。
30,你好陈总，请问目前的业绩包含了规划中的二期产能吗？,尊敬的投资者，公司目前业绩包含IPO项目部分产能，不包括定增项目产能。
31,您好。请问公司与依顿电子公司是竞争对手吗？,尊敬的投资者，公司与依顿电子是同行业公司，公司客户基本没有重叠
