,Question,Answer
0,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,公司按财政部、国资委等国家部委法律法规制定了较于完善的内部控制、全面风险管理体系，并严格遵守证监会、交易所相关规定，以此防范经营各类风险，降低负面事件发生概率。谢谢！
1,公司未来3年发展前景如何?,公司坚持创新驱动、人才强企、军民融合、资本运作、智能制造等举措，力争在产品结构、资本结构、人才结构优化取得实质性突破，努力争取规模和效益实现持续稳定增长。谢谢！
2,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,公司努力做好主营业务经营，积极实施现金分红等方式回报投资者的信任和支持。谢谢！
3,近一年来，贵公司高管考虑增持吗？,公司管理层在按年度刚要目标全力开展工作，目前未有高管增持计划，谢谢！
4,在企业文化方面，公司有什么特色吗？,公司在贯彻中国航天优良文化的同时，坚持“以客户为中心，勇于争先，体现奋斗价值”为核心价值观，以此形成自身的特色企业文化。
5,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",2017年公司营业收入目标为26亿元，公司全体员工积极为股东创造更多价值。谢谢！
6,我喜欢长线投资，请给我一个长期投资贵公司的理由，谢谢,公司市场意识强、业绩稳定增长、技术创新投入力度大。谢谢！
7,请问公司在财务结构上有什么不足，打算采取哪些举措。,公司总体运营也在围绕提升绩效目标和改善财务结构开展，近几年公司在积极推动相关资产周转率提升工作，谢谢！
8,公司是否在考虑开拓新的领域？取得初步进展没有？,公司积极拓展光器件业务，力争成为公司业务发展的新增长点。谢谢！
9,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",公司主要竞争对手为中航光电、航天电子和四川华丰，积极通过技术创新、开拓市场和收并购等措施，实现主业增长。谢谢！
10,贵公司员工一个月能挣多少？,公司员工收入略高于当地平均水平。谢谢！
11,今年人工费用是否还会出现阶段性上涨？,公司在积极推动自动化设备投入和智能制造工作，实施“自动化减人、机器换人”经营策略，以此缓解人工成本增长压力，谢谢！
12,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,上期公司募集资金已全部使用完毕，项目收益基本达成预期。谢谢！
13,希望公司在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力！,非常感谢您的建议！公司将积极研究论证实施股权激励的可行性。谢谢！
14,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,公司将于4月26日公告一季度报告，请您到时予以关注，谢谢！ 
15,公司的负债比率有多少？,公司2016年末负债比率30.36%，谢谢！
16,最近公司财务状况如何？,公司2016年规模和效益总体保持同步较快增长，主要运营绩效指标质量进一步趋好，2017年公司已按年度刚要目标全力开展工作，谢谢！
17,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,2017年公司资本运营重点是力争完成本次资产重组工作。谢谢！
18,你们啥时复牌啊？,公司积极争取在2017年5月10日股票复牌。谢谢！
19,光通信器件在公司主营收入中的占比是怎样的？,2016年公司光通信器件业务收入为6183万元，谢谢！
20,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,2017年公司销售收入目标26亿元，公司策划通过持续的研发投入，加大国内、国际市场开发力度等措施，力争保持业绩持续稳定增长。谢谢！
21,请问，今年会否考虑请问，今年会否考虑收购一些公司或者扩展新的领域?收购一些公司或者扩展新的领域?,公司正在积极推动本次重组相关工作，力争尽快完成。谢谢！ 
22,董事长好，请问公司这次重组为什么选择的是外延式并购，而不是航天十院的优质资产注入呢？谢谢！,公司开展外延式并购是实施经营战略的重要举措，也是促进提升公司市场竞争力的有效途径，公司本次资产重组有关进程和信息已及时作了公告，后续请继续予以关注，谢谢！
23,请问董事长目前市场上公司主要的竞争对手都有哪些公司？在细分行业公司处于行业处于什么排名？谢谢,公司主要竞争对手是中航光电、航天电子、四川华丰等，2016年中国电子元件百强排名，航天电器排名为第20名。谢谢！
24,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,在国内外整体经济增长乏力的大环境下，公司2016年规模和效益总体保持同步较快增长，主要运营绩效指标质量进一步趋好。2017年，公司经营目标和财务预算已制定，有关信息请关注公司公告。谢谢！
25,请问公司公司的核心竞争力是什么？,公司拥有的核心技术、敬业的团队、优秀企业文化和优质客户，我们认为这是航天电器的核心竞争力。谢谢！
26,请问公司如何看待市值管理的？近期管理层新出的增发新规对公司以后资本运作有何影响？,公司一直以来高度重视稳健运营和良好品牌形象维护，以此做好公司市值管理。公司有关资本运作都会严格遵守相关法律法规，规范运作，谢谢！
27,建议公司在做好业绩的同时也要积极邀请各家机构前来调研，让更多人关注。,公司欢迎广大投资者、机构到航天电器调研。谢谢！
28,2017年有重组计划吗？,目前，公司正在积极推动本次重组相关工作，力争尽快完成。谢谢！
29,我对贵公司是长期投资的，请问预计今年一季度会盈利多少？,感谢对航天电器的长期投资，公司将于4月26日公告一季度报告，请您到时予以关注，谢谢！
