,Question,Answer
0,刚才您回答到利盟国际当前亏损主要受并购费用、融资费用及资产评估增值摊销影响。可否告知各影响因素的具体占比？因为整个利盟亏损已达到11亿美元。,您好！公司完成收购利盟后，利盟亏损对公司业绩的影响已在定期报告中披露，请查阅公司定期报告的有关情况，谢谢！
1,公司526亿的总资产里，商誉有188亿，请解析下该部分商誉未来减值的风险？,您好，商誉主要是有并购利盟产生。并购利盟完成后至资产负债表日，利盟在被收购后有关的经营环境未发生重大不利变化，经营及财务状况、现金流正常，整合效应的影响短期内未体现，未发现存在商誉减值迹象，公司认为短期内利盟的商誉不会产生重大减值。
2,请问公司的分配预案达到承诺的分红比例吗？,您好，公司本次分配预案符合相关法规和公司章程的规定，达到相应比例，谢谢！
3,公司截至目前为止都有哪些子公司和参股公司？,您好！截止2016年末，公司共有204家控股子公司，具体情况请详见公司2016年年报，谢谢！
4,公司去年主打产品的销量是多少？,您好！2016年公司产品的销量，请参见2016年年报“第四节 经营情况讨论与分析 中 二、主营业务分析”相关内容。谢谢对公司的关注。
5,能简单的介绍下新项目的情况吗？,你好，公司在今年4月公告收购珠海欣威、珠海中润靖杰、珠海市拓佳科技三家公司的控股权，这些项目会在今年产生利润，具体金额取决于三家公司的实际经营情况。此外，公司正在审核中的非公开发行股票募集资金将投入以下项目：1、智能化生产改造项目；2、美国再生耗材生产基地项目；3、美国研发中心项目。本次非公开发行获得审核通过并实施后将按计划投入以上项目。谢谢！
6,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,你好，公司在今年4月公告收购珠海欣威、珠海中润靖杰、珠海市拓佳科技三家公司的控股权，这些项目会在今年产生利润，具体金额取决于三家公司的实际经营情况。此外，公司正在审核中的非公开发行股票募集资金将投入以下项目：1、智能化生产改造项目；2、美国再生耗材生产基地项目；3、美国研发中心项目。本次非公开发行获得审核通过并实施后将按计划投入以上项目。谢谢！
7,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,您好！公司的研发工作由研发部门牵头主导，未来公司将继续以持续打造专利领先优势为目标，不断攻坚和改良技术难点，通过不断创新研发，使公司保持全球通用行业竞争实力和龙头地位，同时协助国家实现信息安全产品的国产化替代。谢谢您对公司的关注！
8,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,您好！公司2016年的财务费用 3.85亿，管理费用12.57亿 ，已在年报中进行披露；公司每年均会按照会计政策及会计核算规定确认折旧摊销费用。 谢谢对公司的关注。
9,公司16年报中合并资产负债表的递延所得税负债一项竟然高达122亿，而15年同期只有2900万,您好！公司的递延所得税负债主要是2016年完成对利盟国际购并，溢价对应应确认的递延所得税负债。谢谢对公司的关注。
10,公司是否会计划多元化发展？,您好，公司未来拟通过外延式扩张及内生式增长进一步巩固扩大公司在通用耗材市场上的竞争优势。通过战略协同推动利盟中高端激光打印机在全球市场的扩张、尤其是在中国市场上的扩张。聚焦主营业务，出售利盟的软件业务，减轻公司的融资成本，进一步增强公司的盈利能力及抗风险能力。整合业内资源，在未来的几年内完成进入全球激光打印机业务的前三甲的战略目标。谢谢您对公司的关注！
11,公司目前面临的最大问题是什么？,您好，2016年公司原主营业务模块增长强劲，但由于公司对利盟实施控股收购产生大额费用，导致公司实现归属于上市公司股东的净利润较去年同期下降幅度较大。公司未来将继续秉承“忠诚、求实、创新、共赢”的核心价值观，全力打造拥有自主知识产权的全产业链的全球知名品牌企业，通过整合优质资源，实现协同效应；对内，加强梳理内部管理流程，改善提高产品品质，完善绩效考核机制，优化人才结构，实施股权激励，实现与员工共同发展。对外，积极促进与外部供应商、客户的战略合作，实现共同利益，纠正行业恶性竞争趋势，稳步扩大公司产品在中高端市场的占有率，努力实现公司及股东价值的最大化。谢谢您对公司的关注！
12,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,您好！2017年预计原有业务盈利会持续稳定增长，同时收购美国利盟公司评估增值产生的摊销和折旧影响以及并购贷款财务费用的影响，2017年上半年预计净利润-7亿— -11.5亿，全年利润还有不确定性，请您留意公司定期的报告，谢谢您对公司的关注！
13,截至目前，公司的同比销售额有增长吗？,您好！公司截止一季度较去年同期销售额有大幅增长，具体数据详见公司2017年一季报，谢谢您对公司的关注！
14,请问公司明年净利润能做到多少？,您好！2017年预计原有业务盈利会持续稳定增长，同时收购美国利盟公司评估增值产生的摊销和折旧影响以及并购贷款财务费用的影响，2017年上半年预计净利润-7亿— -11.5亿，全年利润还有不确定性，请您留意公司定期的报告，谢谢您对公司的关注！
15,请问开完股东会后，如果送股通过几日内会送股？,"您好！公司16年利润分配预案为：以1,012,024,028股为基数，向全体股东每10股派发现金红利0.30元（含税），不送红股，不以公积金转增股本。谢谢！"
16,请问老总， 2016年存货是多少，存货增加的内容是哪些？,您好！公司2016年末的存货余额为37.79亿元，期初存货余额为6.12亿元，期末存货增长主要是收购美国利盟财务并表所致，增加的类别主要是原材料、在产品、成品，具体数据可见公司2016年度报告，谢谢您对公司的关注！
17,公司16年报中合并资产负债表的长期应付职工薪酬15年是没有的，16年怎么有14亿？,您好！长期应付职工薪酬为本年购并利盟国际转入。谢谢对公司的关注！
18,请问公司今年营收的增长能超过行业的平均水平吗？,您好，公司预计原有业务有稳定增长。谢谢您对公司的关注！
19,2016年利盟国际出现营收下滑及巨额亏损，可否分析原因？,您好。利盟国际当前亏损主要受并购费用、融资费用及资产评估增值摊销影响。谢谢您对公司的关注。
20,利盟国际的营收下滑及巨额亏损，可否分析原因？,您好。利盟国际当前亏损主要受并购费用、融资费用及资产评估增值摊销影响。谢谢您对公司的关注。
21,公司有没有股权激励计划？,您好！公司已于2016年11月完成限制性股票激励首次授予计划，激励对象为516人。具体详见公司相关公告。谢谢您对公司的关注！
22,请问净利润的增长率和销售收入增长同步吗？,"您好！2016年公司销售收入较去年增长183.33%。2016年公司实现归属于上市公司股东的净利润6,107.51万元，较去年同期下降78.29%。主要是以下几项因素叠加影响所致：（1）公司原核心业务销售大幅增长，毛利率进一步提升，销售费用、管理费用占销售收入的比重保持平稳，利润总额及净利润有较大的增长；（2）公司对美国利盟公司实施控股收购发生大额的并购费用、融资费用；（3）美国利盟公司被并购后对净资产按公允价值调整账面价值，增加了折旧、摊销、存货转销等使得美国利盟公司利润大幅度减少。谢谢！"
23,2017年一季度预亏公告内所述原因是对资产科目进行了减值摊销，尤其是存货科目。请问2016年年报中是否也有相应减值摊销，具体数值多少？,您好，我司2016年报中包含了一个月的存货增值摊销金额。谢谢您对公司的关注！
24,公司截止目前的股东总人数是多少？,"你好，按照交易所相关披露要求，公司需在定期报告中公开披露对应报告期末的股东人数。公司一季报2017.3.31的股东户数为13,187。谢谢"
25,公司未来五年的目标是多少？能够实现吗？,您好，公司未来拟通过外延式扩张及内生式增长进一步巩固扩大公司在通用耗材市场上的竞争优势。通过战略协同推动利盟中高端激光打印机在全球市场的扩张、尤其是在中国市场上的扩张。聚焦主营业务，出售利盟的软件业务，减轻公司的融资成本，进一步增强公司的盈利能力及抗风险能力。整合业内资源，在未来的几年内完成进入全球激光打印机业务的前三甲的战略目标。谢谢您对公司的关注！
26,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,您好，公司目前主营业务包括集成电路芯片、通用打印耗材及核心部件和再生打印耗材的研发、生产、设计和销售，完成收购Lexmark之后，扩展至打印机整机、原装耗材等领域。谢谢您对公司的关注！
27,公司截止至今的产品有多少个种类？,您好！公司的产品主要有三类，一类是集成电路（芯片）业务，一类是打印机全产业链业务： 打印机耗材零部件业务；打印机通用耗材业务；激光打印机及打印管理服务业务。一类是企业内容管理软件业务。谢谢！
28,在做项目之前是否对项目进行严谨的可行性研究？,你好，公司在重大投资和重大项目决策时都会进行严谨的可行性研究和论证。谢谢 !
29,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,您好！公司已于2016年11月完成限制性股票激励首次授予计划，激励对象为516人。具体详见公司相关公告。谢谢您对公司的关注！
30,公司的前5大客户是哪些？,您好，根据本公司及控股子公司与美国外资投资委员会（CFIUS）签署的《国家安全协议》有关禁止性条款约束，不得对外披露利盟国际的客户、供应商的清单及相关财务数据，因此，本公司未能在本财务报告中披露前五名的客户营业收入、应收账款余额、供应商（采购额）、预付账款余额有关信息。敬请理解，谢谢您对公司的关注！
31,公司的前5名供应商是什么，与公司存不存在关联关系？,您好，公司前5大供应商与公司不存在关联关系。根据本公司及控股子公司与美国外资投资委员会（CFIUS）签署的《国家安全协议》有关禁止性条款约束，不得对外披露利盟国际的客户、供应商的清单及相关财务数据，因此，本公司未能在本财务报告中披露前五名的客户营业收入、应收账款余额、供应商（采购额）、预付账款余额有关信息。敬请理解，谢谢您对公司的关注！
32,公司今年的财务费用会有多少？,您好，公司2016的财务费用是3.85亿元，2017年的财务费用还无法准确预测。谢谢！
33,请问老总公司今年净利润同比增长多少？,您好！2017年预计原有业务盈利会持续稳定增长，同时收购美国利盟公司评估增值产生的摊销和折旧影响以及并购贷款财务费用的影响，2017年上半年预计净利润-7亿— -11.5亿，全年利润还有不确定性，请您留意公司定期的报告，谢谢您对公司的关注！
34,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,您好！2017年预计原有业务盈利会持续稳定增长，同时收购美国利盟公司评估增值产生的摊销和折旧影响以及并购贷款财务费用的影响，2017年上半年预计净利润-7亿— -11.5亿，全年利润还有不确定性，请您留意公司定期的报告，谢谢您对公司的关注！
35,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,您好，公司未来拟通过外延式扩张及内生式增长进一步巩固扩大公司在通用耗材市场上的竞争优势。通过战略协同推动利盟中高端激光打印机在全球市场的扩张、尤其是在中国市场上的扩张。聚焦主营业务，出售利盟的软件业务，减轻公司的融资成本，进一步增强公司的盈利能力及抗风险能力。整合业内资源，在未来的几年内完成进入全球激光打印机业务的前三甲的战略目标。谢谢您对公司的关注！
36,您好！请问公司2017年度的规划是什么？,您好，2017年公司将继续扩大芯片和耗材专利上的技术优势，在行业内继续保持领先地位；同时通过SCC整合带来的协同效应及Lexmark整合带来的技术与业务机会开拓高端市场和产品，获得新的利润增长点；推动利盟的中高端激光打印机在全球的市场扩张尤其是在中国市场的扩张。具体请参考公司年报有关内容，谢谢您对公司的关注！
37,公司在税收方面有没有相关的优惠政策？具体税率是多少？,您好！本公司在企业所得税方面现享受高新技术企业税率为15%。同时，根据《鼓励软件产业和集成电路产业发展的若干政策》（国发【2000】18号）、《国务院关于印发进一步鼓励软件产业和集成电路产业发展若干政策的通知》（国发【2011】4号）、《财政部、国家税务总局关于软件产品增值税政策的通知》（财税【2011】100号）的规定：增值税一般纳税人销售其自行开发生产的软件产品，按17%税率征收增值税后，对其增值税实际税负超过3%的部分实行即征即退政策。具体请参考公司年报财务报表附注有关税收优惠的具体描述，谢谢您对公司的关注！
38,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,你好，公司目前没有发行公司债券的计划；公司已决定设立集成电路产业基金，未来会适时开始运作。谢谢！
39,请问财务顾问向总会来参加本次会议吗？,您好，财务顾问会参加本次说明会，谢谢。
