,Question,Answer
0,发债券融资说明公司缺钱，现在又说有闲钱去买理财产品，这不是自相矛盾吗？能否说明一下原因,尊敬的投资者，您好！为降低公司的债卷融资成本，公司资金是根据规划和项目总投资来进行的，资金是按计划来使用，为提高资金的使用效率和收益，将暂时闲置资金进行投资短期的保本理财产品。谢谢。
1,请问贵州项目芭田二、三期项目还开发吗？贵州项目是公司一次决策失败的投资吗？,贵州芭田项目是芭田公司整个产业链往前端延伸的重要步骤。贵州芭田的核心工艺是中国独特的具有独立自主知识产权的新工艺，对养分的平衡特别是矿物质养分的提供，具有其他生产工艺无法实现的优势，随着铁路延伸线的即将开通以及自有磷矿的开采、独特优势的新产品的开发投入市场，将会对贵州芭田带来快速增长的势头。谢谢！
2,请问贵州芭田项目进展情况，何时可以盈利？,尊敬的投资者，您好！贵州芭田项目按规划在正常推进，特别在产品的品质和整个生产成本的优化都在不断创新。尤其近期的创新突破，开发新型产品，包括矿物质全水溶性复合肥、改土型的肥料的研发和生产。这些产品推出市场将会对贵州公司盈利带来积极的效果。谢谢！
3,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,感谢您对我公司的关注，我公司研发机构主要分为产品研发和工艺技术研发。产品研发主要分为根块类、叶菜类、瓜豆类、果树类、茄果类、大田作物类六大类研发项目部。未来产品研发将以总公司的复合矿物肥、包膜肥各项专利技术与北京阿姆斯的相关菌肥技术有机结合研发例如生物包膜肥等有市场差异化、功能化的新型肥料。根据农业合作社、种植大户的需求，以据作物种类、种植土壤、作物生长环境及生长阶段为其提供个性化的定制配方肥。谢谢！
4,公司募投项目，预期如何？是否谨慎？,尊敬的投资者：您好！2016年度募集资金全部用于补充流动资金。详见相关公告。谢谢！
5,请问公司的分配预案达到承诺的分红比例吗？,尊敬的投资者，您好！公司2016年度分配预案是严格按照《公司章程》和《未来三年（2015-2017年）股东回报规划》的相关条款制定的。谢谢您的关注！
6,公司去年主打产品的销量是多少？,尊敬的投资者，您好！请详见“2016年年度报告”第四节“经营情况讨论与分析”中的“主营业务分析”章节。谢谢。 
7,公司截至目前为止都有哪些子公司和参股公司？,"尊敬的投资者，您好！截至目前，公司的子公司有：好阳光、徐州芭田、贵港芭田、禾协肥业、贵港好阳光、芭田农资、和原生态、贵州芭田、贵州美加特、北京芭田、江苏临港、青岛新润、湖北芭田、广西芭田、北京阿姆斯、重庆阿姆斯、甘肃阿姆斯、阿姆斯工程、沈阳芭田。
公司的参股公司有：鲁化好阳光、农财大数据、泰格瑞、安徽阿姆斯、精益和泰。
谢谢您的关注！"
8,能简单的介绍下新项目的情况吗？,感谢您对我公司的关注，您所提的新项目具体是指哪个新项目，我公司所投资的项目目前均按计划正常开展。谢谢！
9,公司是否会计划多元化发展？,感谢您对我公司的关注，我公司将根据企业发展现状、未来业务发展趋势、产业发展结构、公司发展战略等综合考虑公司多元化发展是否具有可行性。谢谢！
