,Question,Answer
0,想问下公司的传感器技术在行业内处于什么地位？有何独特的竞争优势呢？,你好，公司是细分行业的重要供应商和领先者。公司的核心竞争力包括： 1、汽车油位传感器行业专业优势 2、技术研发优势 3、产品优势 4、客户资源优势 5、快速服务优势 6、经营管理团队优势等。 具体可详见公司2017年年度报告中的核心竞争力分析。谢谢！
1,腾讯无人车提及到激光雷达与传感器，请问对公司来说是利好吗？有这方面的发展方向和规划吗？,目前公司没有产品涉及无人驾驶领域。
2,目前公司和阿里在哪些方面有合作？,没有
3,物联网的不断发展，对公司会产生怎样的影响？,国家对物联网的重视和推动会对整个与之相关的部门、行业产生重大深远的影响。
4,公司海内外产品销售比重分别为多少？,您好！公司2017年度国内销售收入占主营收入的97.21%，出口销售占主营收入的2.79%。
5,2018年一季度，公司订单量有多少？,你好，公司预计在4月27日披露2018年第一季度报告，敬请关注。谢谢！
6,对于物联网的发展前景怎么看？有何业务布局？,我们注意到工信部2016年12月发布的《物联网发展规划（2016-2020）》，政府从国家层面高度重视物联网的发展。我们也密切关注江苏无锡物联网产业研究院的一些发展状况。
7,贵公司获得了MQB液位传感器等产品的开发权，请问目前已经有商业化的产品了吗？具体已经取得多少营收及利润？,您好！公司MQB平台产品已经批量生产，2017年该平台产品销售收入约1600万元。
8,请问目前贵公司在围绕燃油配套延伸布局方面，都进行过哪些动作？都取得了哪些成效？结果是否符合预期？,你好，公司的主要产品包括双接触点厚膜电路汽车用油位传感器、双回路厚膜电路汽车用油位传感器、燃油滤清器积水水位报警传感器、法兰等传感器及配件产品以及阀件等燃油系统附件产品，属于汽车电子设备和燃油系统关键零部件，具有技术复杂和生产难度大等特点，公司在上述产品的生产和研发上取得了多项突破，其产品在性能、成本和工艺等方面较同类产品处于竞争优势。谢谢！
9,相比于其他国际同类生产厂家，公司的核心竞争力是？,你好，公司的核心竞争力包括： 1、汽车油位传感器行业专业优势 2、技术研发优势 3、产品优势 4、客户资源优势 5、快速服务优势 6、经营管理团队优势等。 具体可详见公司2017年年度报告中的核心竞争力分析。谢谢！
10,据BCCResearch预计全球传感器市场规模在2017-2021年间复合增长率为11%，传感器市场前景广阔。请问公司在该市场的主要竞争力是什么？,"你好，公司的核心竞争力包括：
1、汽车油位传感器行业专业优势
2、技术研发优势
3、产品优势
4、客户资源优势
5、快速服务优势
6、经营管理团队优势等。
具体可详见公司2017年年度报告中的核心竞争力分析。谢谢！
"
11,已经给无人车配套了吗？,您好！公司目前没有给无人车配套。
12,无人驾驶技术日益普及，请问公司是否准备涉足该领域？,您好！公司目前没有涉及无人驾驶领域。
13,车联网成为发展趋势，请问公司目前为那些国产车提供车用传感器？,你好，国产车包括在国内生产的合资品牌和自主品牌，目前公司为上汽通用、上海汽车、江淮汽车、比亚迪、江铃汽车等汽车品牌供应传感器产品。谢谢！
14,公司是否有工业互联网的概念？,目前公司是一家以汽车零部件研发、生产及制造为主的企业。
15,贵公司传感器的市场占有率有点起伏不定，2016从2015年的30.5%下降到27.62%，请问主要原因是什么？2017年的市场占有率是多少？,公司2016年汽车油位传感器市场份额降低主要原因为2016年整个国内乘用车销量的增幅比较大，公司2017年的汽车油位传感器市场份额为29.73%，较2016年增长2.11%.
16,阿里云IoT的定位是物联网基础设施的搭建者，阿里云计划在未来5年内连接100亿台设备。请问苏奥传感在该计划中扮演什么角色？,你好，根据网上新闻，阿里云总裁胡晓明表示，互联网的上半场是将人类活动数字化，比如电商、社交、文化娱乐等，催生了今天蓬勃发展的互联网市场，背后是全球40亿网民。互联网的下半场是将整个物理世界数字化，道路、汽车、森林……甚至一个垃圾桶都会被抽象到数字世界，连到互联网上，实现“物”“物”交流，“人”“物”交互。苏奥传感身处汽车行业将密切关注这一发展动态。谢谢！
17,作为一家上市公司，在互联网时代为啥不建自己的网站？,你好，公司主要客户集中在大型制造企业，并有多年良好的协作关系，网站宣传的效应不大；如果未来有需要，会建立公司的官网。感谢关注，谢谢！
18,公司产品可用于新能源汽车吗？,可以
19,请问具体来说，车联网的大趋势对贵公司有哪些利好？对于此贵公司又有哪些布局？,你好，根据中国物联网校企联盟的定义，车联网（Internet of Vehicles）是由车辆位置、速度和路线等信息构成的巨大交互网络。通过GPS、RFID、传感器、摄像头图像处理等装置，车辆可以完成自身环境和状态信息的采集；通过互联网技术，所有的车辆可以将自身的各种信息传输汇聚到中央处理器；通过计算机技术，这些大量车辆的信息可以被分析和处理，从而计算出不同车辆的最佳路线、及时汇报路况和安排信号灯周期。依照以上定义，汽车、传感器是车联网的重要组成部分。
