,Question,Answer
0,苏州晶银今年的产能会扩张多少？,您好！市场需求对我们的认可度都在增加，虽然我们去年做了扩产，今年也在做相应的产能扩产准备包括设立新厂房和研发中心。感恩您的关注，我们后续的季报和公告。
1,母公司分立器件业务一季度表现如何？,您好！母公司分立器件是我们的主打产品，市场也很照顾我们。特别是知名公司的业务增长。一季度我们的销售额分立器件略有增长。具体情况我们将在一季报中披露。感恩您！
2,AICS公司持续亏损如何解决？,您好！AIC的管理团队及全体员工积极推动“家文化”的建设，把真爱带给所有的员工，员工把企业当做自己的家一样来经营，各种品质改善，效率提升，成本节约的项目在积极推进，并取得了明显的成果。目前的销售较收购时增长了一倍以上，人工效率也提升了一倍。相信这种真爱文化的注入也能够带来很好的回报。
3,请问公司有哪些知名的合作商？,"您好！与我们合作的合作商还不够多，如SONY，三星，意法半导体（ST）,通用，HONEYWELL。。。我们继续努力，感恩您！"
4,目前二级市场股价能否反映贵公司的现有价值?,您好！公司的价值是体现在员工的幸福、客户的感动、股东、社会的贡献。。。目前公司的股价主要跟随市场的波动。2017年中小板的市值有下滑，我们公司能够有些增长。我们今年继续努力经营好公司。感恩您！
5,近两年，基本没有机构调研过公司。也没有机构出过深度分析报告。建议公司，择时开一个机构投资者交流会。,您好！谢谢您的好建议。以前我们有些，我们今年要安排好大规模的机构调研活动。届时也欢迎您来现场指导。“凡出言，信为先！”感恩！
6,去年的营收同比明显增长，但净利润不增反降，是什么原因造成的？,您好！主要原因是汇兑损失同比损失达4000万，我们在年报里已经有说明了。谢谢您的关心！
7,预计今年苏州晶银的太阳能电池正、负极银浆浆以及二次锂电池正极材料增强剂产能是多少？,您好！晶银公司是我们的重要子公司。正在按照公司五年规划进行发展。公司的产品目前有各种太阳能银浆和其他领域的浆料。我们始终不忘初心，更多关爱地球，让银材料消耗更低。。。后续请您继续关注我们的季报和公告。感恩！
8,公司分立器件业务拓展情况如何？,您好！分立器件是我司的主营业务，也是我们公司未来发展的主要方向，我们秉持着一门深入、长时熏修的原则，把分立器件的业务做专、做深、做透、做精，我们将会推出节能型的整流二极管系列的产品。谢谢！
9,2017年三季报中，规划太阳能银浆，2018年产能达到360吨，不知今年计划是否有变？,您好！扩产产能已经达到预期了。今年的扩产计划我们吴董事长在致股东的信中有专门涉及。今年要建新厂房和研发中心楼。感恩您！
10,马来西亚封装公司AICS目前运营情况如何？,您好！AIC目前在按照年度计划稳步提升中，目前的单月销售教收购时增长了一倍以上，人均效率也提升了一倍。公司目前的士气高涨，谢谢您的关注。
11,iGBT，MOSFET， 现在的收入和扬杰科技，华微电子差距较大。是因为生产线的原因吗？还是销售的问题。,您好！这些产品主要是我们的硅能参股公司销售。杨杰目前是刚建立。华微电子主要产品是IGBT、MOSFET.感恩您！
12,在哪些细分市场将会有明显增长的业绩预期？,您好！每个人对明显增长的概念理解不同，不知道您对明显增长的幅度是多少？我们在传感器市场、整流器市场以及新能源材料方面会有较大的增长。谢谢您！
