,Question,Answer
0,请问开完股东会后，如果送股通过几日内会送股？,深交所上市规则第11.4.5条，“上市公司应当在股东大会审议通过方案后两个月内，完成利润分配及公积金转增股本事宜。”公司本年度无送股的利润分配方案。
1,公司的前5大客户是哪些？,谢谢您的关注！相关信息请查询公司年度报告！
2,公司的前5名供应商是什么，与公司存不存在关联关系？,谢谢您的关注，公司前5名供应商的相关数据请查阅年度报告！
3,公司未来五年的目标是多少？能够实现吗？,公司以成为“中国最优秀的医药健康服务商”为愿景，围绕“内涵式增长、外延式扩张、整合式发展、创新式提升”的发展路径，充分发挥上市公司平台作用，巩固提升药品分销核心业务，加快发展中药和保健品、生物制品、医疗器械战略业务，强化零售健康、现代物流、电子商务等支持业务，将公司打造成集现代营销、现代物流、电子商务、零售连锁、生产加工、健康服务为一体的综合服务商。我们将围绕该战略目标不断努力，谢谢您的关注！
4,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,公司以成为“中国最优秀的医药健康服务商”为愿景，围绕“内涵式增长、外延式扩张、整合式提升、创新式发展”的路径，充分发挥上市公司平台作用，巩固提升药品分销核心业务，加快发展中药和保健品、生物制品、医疗器械战略业务，强化零售健康、现代物流、电子商务等支持业务，将公司打造成集现代营销、现代物流、电子商务、零售连锁、生产加工、健康服务为一体的健康产业综合服务商。感谢您的关注！
5,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,相关数据将在2017年度的定期报告中披露，谢谢您的关注！
6,你怎么看公司的业绩和公司的股价和市值的？,市值管理的基础是价值管理，提升公司价值是公司追求的重要目标。主要包括两方面：一方面，公司立足于战略定位，巩固药品分销核心业务，打造中药完整产业链，发展生物制品、医疗器械等其他新兴业务，拓展电子商务业务和建立现代物流服务体系，推进分销、物流、电子商务一体化，苦练内功，做好经营，不断提升战略执行能力，搞好预算管理和全面风险管理，持续提高公司管理水平，不断提升公司综合竞争能力，实现企业持续、健康、快速发展。另一方面，公司进一步规范内部治理、做好信息披露工作，改进投资者关系管理，以维护公司在资本市场的形象。感谢您的关注！
7,公司截止至今的产品有多少个种类？,谢谢您对公司的关心！公司目前药品常销品规1万多个！
8,请问董事长平时与公司前十大流通股东有交流吗？,公司一直注重与投资者的交流，通过电话、现场接待、互动易问答等形式开展各种交流互动，2016年共举办了8次现场的投资者接待调研活动，共接待机构数量108个、个人投资者12名、其他对象1个。欢迎广大投资者来公司调研和指导！
9,公司截止目前的股东总人数是多少？,"截止2017年4月14日，公司股东人数10,487户，谢谢。"
10,公司今年的财务费用会有多少？,谢谢您对公司的关注！公司会按规定在定期报告中及时披露信息，敬请关注！
11,请问老总公司今年净利润同比增长多少？,谢谢您对公司的关注！公司会按规定在定期报告中及时披露信息，敬请关注！
