,Question,Answer
0,公司易开盖产能是否充足？有没有扩张需求？,公司根据已有的战略布局，市场需求状况推进各品类产品的发展，感谢您的关注！
1,贵公司在资产负债率65%，经营现金流为负的情形下，又向银行申请了40亿信用额度，请问贵公司此举是否会加重企业的财务风险？,不存在您所说的情况，请查阅公司的定期报告。感谢您的关注。
2,贸易战对公司有哪些影响？,公司目前主要业务集中在中国和新兴市场国家，和美国不存在直接的进出口业务，贸易战对公司无直接影响，但美元对人民币汇率的走势及大宗商品铝、钢材的价格走势，对公司生产经营产生一定的影响，感谢您的关注！
3,前总经理翁伟武先生辞职的原因是什么？是否持有公司股份？何时解禁？,"翁伟武先生辞去总经理职务主要是为了集中精力履行董事长职责，提高决策效率；翁伟武先生截止目前持有公司股份总数为57,792,000股，根据IPO时的相关承诺，该等股份将2020年2月解禁，感谢您的关注！"
4,请问公司未来的发展愿景是什么？有向整罐生产厂家发展的意图吗？,公司未来发展愿景是成为快消品金属包装行业的领跑者；公司未来发展将根据市场竞争情况、资金实力等综合因素决定。感谢您的关注。
5,翁氏家族直接共同持有公司股权比重达到多少？这种状况是否存在风险？,公司实际控制人为翁氏家族，截止目前，翁氏家族合计持股比例为69.05%；虽然公司建立了《关联交易管理办法》、《独立董事工作细则》、《监事会议事规则》等各项规定对公司治理结构进行规范，但仍然存在实际控制人控制不当的风险
6,对比去年10月创下的高位，您认为公司股价处于目前位置的原因是什么？有无提振举措？,公司管理层一直勤勉尽责，努力提升公司的经营业绩，努力为股东创造价值，感谢您的关注!
7,公司客户里面，有没有在雄安新区经营生产的？,没有。感谢您的关注。
8,公司一季度表现欠佳，请问主要是什么原因？今年余下时间能否改善？,公司今年一季度生产经营业绩出现一定程度下滑，主要是由于公司主要产品原材料价格高企，对毛利率造成一定程度的不利影响。未来公司将继续坚持以“标准化产品要规模，个性化产品要利润”的发展策略，加强新产品的技术研发，降低单位产品固定成本，提升高毛利产品比重，努力实现公司业绩平稳较快的发展。感谢您的关注。
9,请问公司去年投产的铝箔易撕盖生产线的产能是多大？今年正式开始批量化生产了吗？,公司去年有一条502铝箔易撕盖生产线建成投产，年产能7600万片左右，自去年12月份开始，已经开始批量化生产，感谢您的关注！
10,公司收购佛山宝润的出发点是什么？,佛山宝润在饮料易开盖市场深耕多年，具备雄厚的技术实力与丰富的客户资源，通过收购佛山宝润弥补公司在饮料易开盖领域的短板。感谢您的关注。
11,公司原材料主要包括哪些？今年来价格走势怎么样？,公司原材料主要包括铝材、马口铁，今年来价格出现上涨的走势。感谢您的关注。
12,公司位于港口区，出口便利，公司主要出口地有哪些？,公司的主要出口地包括突尼斯、埃及、印尼、马来西亚等地区，感谢您的关注。
13,公司股价有没有受“河南帮”操控？,公司密切关注二级市场股价走势，目前尚未收到监管部门关于公司股价受到操控的任何相关信息，感谢您的关注！
14,包装原材料涨价严重，对公司产品定价有哪些影响？,自去年以来，公司产品所需主要原材料价格持续上涨，对公司生产经营造成较大的压力，在产品定价方面，公司主要根据成本加成并结合市场价格的方式而确定，并综合考虑客户类型、信用等级以及付款方式等因素，感谢您的关注!
15,作为印刷行业，公司在环境污染控制方面有哪些措施？,公司自成立以来，在尾气处理、噪音等方面一直进行相关环保投入，严格遵守相关法律法规，感谢您的关注！
16,公司易开盖产品具有哪些技术优势？,公司是目前国内产品线最齐全的易开盖生产企业，公司一直致力于防腐蚀、减薄、省料等技术的研发，现在已经获得56项专利，其中发明专利3项，感谢您的关注
17,去年公司股价不断有机构操控，公司高层有何控制措施？,公司密切关注二级市场股票价格的变动，加强与各位投资者的沟通和交流，及时准确的进行信息披露，规范运营，尽最大努力为投资者创造价值，感谢您的关注！
18,公司在境外有哪些客户？海外业务占比达到多少？,公司出口业务主要集中在新兴市场国家和地区，2017年出口业务收入占比为29.74%。
19,公司包装客户主要有哪些？有没有可口可乐等著名品牌？,公司主要有联合利华、庄臣同大、六个核桃、王老吉等知名品牌大客户；可口可乐暂时不是公司客户。感谢您的关注。
