,Question,Answer
0,公司2015年报赵总信心满满公司市值目标500亿，现在赵总的目标能透露一下吗？,从2017年开始，蓝色光标将进入变革转型的第二阶段，我们将坚持营销智能化、业务全球化的核心战略，全力推动产品和服务的结合，技术与创意的融合，借智能营销变革的大浪潮实现弯道超车，成为一家新型的传播企业！这个阶段的战略目标包括：在收入继续保持较快增长的同时依靠业务创新和业务协同重点提升业务毛利率，经营利润的增长要快于业务增长速度；基于技术、产品、数据能力和我们传统的策略、创意、服务能力相结合的新型营销竞争力的养成，基本具备为我们的客户提供整合的智能营销服务的能力；全球化业务布局基本成型，国际业务占比达到50%以上，有能力为中国和国际的企业客户在全球各个主要市场提供服务。我们预计这个阶段也将是5-10年之期。
1,问赵总，两年来，中小股东损失惨重，公司管理问题不断，官司也没有定论。目前股票也是跌倒历史低位，管理层有没有市值管理的打算和想法,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展。
2,请问赵总，公司股价一年多来一直跑输指数，请问有何措施？如何切实保护好中小投资者利益？,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展
3,请问赵总，公司股价一直表现较差，跌破了股灾底，请问公司有什么措施？,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展
4,请问公司对股价一直重挫有何必要的措施？,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展
5,请问蓝标的主要市场竞争对手是谁，为何净利率那么低,公司主要竞争对手国际和国内的营销传播集团。公司将通过运营效率提升和智能营销业务转型逐步提升净利率水平。
6,股票质押率如此高。质押时有无充分考虑质押平仓的风险和对股价的影响？谢谢,大股东已经充分考虑了股票质押风险，在合理的范围内进行的股票质押和调整。 
7,赵总，公司与李芃的仲裁案相关人员是不是不作为？这种类型的案件判例太多了，怎么我们这么长时间都没有结果？,您好，公司仲裁尚待仲裁院最终裁决，公司已发布仲裁结果延期相关公告。
8,熊总：你说公司股价经历2016年谷底，我看现在17年价格比16年股灾底都底了，管理层觉得还正常吗？定增价12.26元，现价已打6折，公司的市值管理在做吗？,公司将持续做好主营业务，持续做大收入和经营利润，同时公司将积极做好与投资者的沟通，维护公司股价正常水平。
9,和李芃的官司打到什么地步了？解释下抽屉协议吧,您好，公司会对诉讼与仲裁发进展公告。感谢您对公司的持续关注！
10,为什么股权激励定价如此之低？按照50%折扣依据在哪里？另外只考核收入，不考核利润，而且标准也不高，定价又如此之低，如何面对坚守3年还亏损累累的股东,限制性股票的价格是按照董事会召开前120个交易日均价5折计算而来，公司前次股权激励大部分已注销，为了激励业务团队，公司决定此次股权激励计划。 限制性股票选择收入20%增长作为行权条件，同时仍在存续期的期权未来三期的行权条件为归母扣非利润达到6亿、8亿、10亿。
11,李凡的股份是否已经诉讼保全？,您好，公司已申请保全。谢谢！
12,现在大盘涨蓝标跌，大盘跌蓝标大跌，请问赵总对此怎么评价，是否会象其他公司那样大股东有增持计划？,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展。
13,公司在对中小投资者回报方面有没有什么关注？,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展，同时公司已制定2016年现金分红计划，拟每10股分派现金股利0.65元。
14,公司和机构投资者做过沟通吗？,您好，公司与机构投资者一直保持沟通。谢谢！
15,公司股价已处历史低位，管理层如果对公司有信心的话，有没有增持的想法,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展
16,公司在应对中小投资者来说，一直不够积极，对中小股东利益不关注，作为一家媒体公关公司，这样可以长远吗,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展
17,17年一季度营收增长而利润下跌，原因是什么？毛利率？管理成本？商誉损失？还是假账？,您好，营收增长而利润下跌主要是因为毛利率降低。
18,面对公司股价暴跌，有何措施？请务必尊重现实问题，给投资者信心！,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展
19,公司16年净利润和15年没有可比性，扣非净利是3个多亿，和14年比差很远,您好，2016年由于移动互联网业务还处于迅速扩张期，造成毛利率下降，2014年至2016年公司并未进行股权融资，而是以借款发债做为公司并购投资的资金支持，因此造成利息费用比2014年大幅增加。我们会在未来提高业务毛利率，降低财务费用，以实现扣非利润的增加。谢谢！
20,李芃案对公司的业绩有影响吗？赵总对案子有充分准备？,您好，李芃案属于公司非经营层面的诉讼，对公司业绩及净利润无重大影响。公司已做好充分准备应对相关诉讼及仲裁。
21,坚守公司股票已经三年了，那么我现在的股本亏损多少应该是一目了然的。其实我个人一直很看好公司的未来，但作为公司的管理层，我希望公司能够有切实做法来坚定我们中小投资者。我想知道，公司会有什么切实做法吗？,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展。 
22,定向增发股价12.26元，现在才7.9元。对股价这么差的表现公司没有说法？,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展。 
23,我今天只问一个问题就是年报中报告期末股东人数，熊先生第一次说高达19亿的是股本，不是股东，张总第二次说是第六节中已经披露，为82，328，但这个数字在报告中被标示为年度报告披露日前上一月末普通股东总数。您认为年度报告披露日上一个月股东人数（82，328 人）和报告期末股东人数是相同的么？,"您好，因相关工作人员失误，公司报告期末普通股股东总数为82,328人，年度报告披露日前上一日月末普通股股东总数为70,470人。公司因上述失误深表歉意。

"
24,限制性股票激励计划价格定的那么低是不是认为公司未来发展困难？还是无意中输出了利益，这个价格同时也打击了现在的流通股价格。,限制性股票的价格是按照董事会召开前120个交易日均价5折计算而来，公司前次股权激励大部分已注销，为了激励业务团队，公司决定此次股权激励计划。 限制性股票选择收入20%增长作为行权条件，同时仍在存续期的期权未来三期的行权条件为归母扣非利润达到6亿、8亿、10亿。 
25,公司与李芃的仲裁案进展这么慢是公司安排的吗？这种类型的案例太多了且一般都是判公司无争议的赢，公司法务或者外聘的律师是不是没有尽力?,对于仲裁事项，公司律师积极应对并推动仲裁进展，将切实保障全体股东，尤其是中小股东利益。
26,公司重新制定的股权激励计划，行权条件太宽松了，上次还有扣非净利的目标，这次怎么没有？,限制性股票的价格是按照董事会召开前120个交易日均价5折计算而来，公司前次股权激励大部分已注销，为了激励业务团队，公司决定此次股权激励计划。 限制性股票选择收入20%增长作为行权条件，同时仍在存续期的期权未来三期的行权条件为归母扣非利润达到6亿、8亿、10亿。 
27,雄安新区设立，对身处北京的蓝色光标来说，机遇体现在哪？公司准备如何参与呢？,您好，公司将持续关注雄安新区的相关政策和发展。
28,公司股票如此高质押率，质押式有没有充分考虑质押平仓的风险？？谢谢,大股东已经充分考虑了股票质押风险，在合理的范围内进行的股票质押和调整。
29,请问赵董，为啥此次股权激励定价如此之低，依据是什么？考核业绩只考核收入，不考核利润，出自什么考虑？定价低，考核标准也低，如何面对坚守3年亏损累累的股东们？,"限制性股票的价格是按照董事会召开前120个交易日均价5折计算而来，公司前次股权激励大部分已注销，为了激励业务团队，公司决定此次股权激励计划。
限制性股票选择收入20%增长作为行权条件，同时仍在存续期的期权未来三期的行权条件为归母扣非利润达到6亿、8亿、10亿。"
30,调整转股价格只是对还没转股的持有人，问题的关键是要把股价做上去，才能多赢，这条大船怎么越走越陷？,对于公司归母扣非利润影响较大的一项是财务费用，14亿可转债转股权公允价值摊销对财务费用的影响约每年五千万人民币。调整转股价，是公司降低财务费用的方式。同时经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展。
31,两年来，公司的股票一路下跌。大盘小跌，公司股票大跌；大盘大跌，公司股票直接跌停；而大盘大涨，公司股票只会小涨。公司不觉得这种情况与公司业绩的大幅上涨完全背离吗？请问，公司有没有计划提升股价？另外，有没有在二级市场增持的计划？,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展。
32,请问公司为何在桌面互联网在线广告没有拳头产品平台？是否竞争过于激烈？,公司未来发展发现将在移动互联、ott和自媒体领域，桌面互联网产品已处于饱和期。
33,去年四季度收入40亿今年一季度30亿，请问什么原因,您好，受季节性影响。谢谢
34,公司与分众传媒有业务往来吗,您好，业务往来是有的。谢谢
35,公司债转股的转股价和定增价格和现在股价相差甚大，公司有什么政策挽救这些股东的信心和保护他们忠诚公司的利益？,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展。
36,赵总，两年蓝色光标中小投资者损失惨重。公司管理也是问题不断。目前股价已经跌至历史低位，管理层有没有增持等市值管理想法？,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展。
37,公司股价表现一直弱于指数，且是逆势下跌，请问公司有什么措施？,您好，经过2016年谷底，公司已经向好发展，通过对财务费用、中央成本等控制，并不断提升经营单元的收入和利润率，业务会持续向好发展。公司高管持续看好公司未来发展。
38,在2016年度报告全文中，报告期末普通股股东人数为1，998，880，258。熊先生说该数字是股本数目，不是股东数目。那么正确的报告期末股东人数是多少？这是年报中要求披露的内容，恭请回答！,您好，年报第六节已披露，82，328。谢谢
39,公司并购多次，但股价和市值不断下跌，这样的并购赵总打90分的逻辑？,您好，公司发展是在并购的基础上实现的，没有并购也就没有今天的蓝标。虽然近期公司股价表现不理想，但是并购给公司带来的发展是巨大的。
40,公司债转股的转股价和定增价格和现在股价相差甚大，公司有什么政策挽救这些股东的信心和保护他们忠诚公司的利益？,您好，鉴于公司最近股票表现，按照可转债募集说明书的相关要去，公司拟在2016年年度股东大会召开完成后根据股东大会的授权对转股价进行调整。
41,公司质押那么多股票是否说明资金链有问题，还是为了扩张,您好，公司大股东质押股票属于个人行为，公司现金流及资金链不存在问题！谢谢
42,公司今年会进行境外并购吗？,您好，海外并购一直是公司未来发展的重点，一旦时机成熟，海外并购工作一定会开展
43,我看了年报，你们的分红是按照公式算的吧，精度太高了，下回应该不要太精,感谢建议！
44,管理方面是否有不到位的地方？,您好，公司自成立以来一直强化内部管理，建立内部审计制度和公司内部举报奖励机制，不断完善公司内部治理。
45,请问壁合股权是在2016年出售的，为何天威视讯是在2017年4月3日-19日收购的，公司是否提前得知该收购事项？,公司在2016年6月出售所持璧合不到1%股权时，并不知晓璧合后续的计划。
46,公司16年只增收不增利是什么原因？,2016年归属上市公司股东的净利润较2015年增长845%
47,请问原收购博杰有看重其影院广告方向，但收购后未有持续资金投入，并导致该业务完全放弃，是什么原因？,您好，公司收购博杰是看中其央视代理资源及所拥有的客户，影院广告只是其中业务一小部分。
48,请问博杰主要业务为传统电视广告代理，并不符合数字化方向，如何进行数字化转型，未来是否有让其独立上市，并逐步退出的可能？,您好，目前博杰已经开始数字化转型并开展ott业务，同时已与国内大部分品牌智能电视开展业务合作。
49,请问壁合股权是在2016年出售的，为何天威视讯是在2017年4月3日-19日收购的，公司是否提前得知该收购事项？,公司在2016年6月出售所持璧合不到1%股权时，并不知晓璧合后续的计划。
50,请问出售壁合后，在桌面互联网（除移动互联网外）在线广告是否还有布局？是否会进入桌面互联网效果广告，并同壁合竞争？,公司子公司snk作为游戏行业大客户代理，有全面的布局，和璧合科技属于上下游关系，不存在竞争关系。
51,请问2016年度报告全文中，报告期末普通股股东人数为1，998，880，258，接近20亿的股东，是否意味中国人民都不够满足公司胃口？还是公司眼高手低，乱放卫星？,1，998，880，258为公司报告期末总股本数量。
52,请问熊总为何2016年12月大宗减持股票，因为当初股价一直在下跌，是不是不好看公司发展？,您好，由于窗口期问题，解决个人贷款资金周转，所以转让了部分股票。本人作为公司工作了17年的高管，一直认同公司的发展战略，坚定看好公司未来发展。
53,请问壁合股权出售收益确认是计入2016年哪个季度？,第二季度
54,请问投入华泰瑞联注册资本金仅1亿，为何2017Q1公司会因其公允价值变动损益减少4874万元？,本公司根据华泰瑞联所投项目公允价值变动确认公允价值变动收益和损失，由于去年同期华泰瑞联投资项目公允价值多于本期
55,请问壁合股权出售收益确认是计入2016年哪个季度？,本公司于2016年6月由于改变投资目的，不再对璧合实施重大影响，因此对该公司的投资由长期股权投资转入可供出售金融资产核算并以公允价值进行计量。转换日公允价值与原账面长期股权投资的差额计入本期投资收益
