,Question,Answer
0,不好意思，董秘是女士，刚才公司在回复问题时打错字了，目前公司的主营业务是什么？公司的薄膜主要指的是？,"你好
目前公司主营业务是功能性双向拉伸聚酯薄膜，以中厚型规格为主。
公司的薄膜是指BOPET，就是经过双向拉伸成型后的一种塑料薄膜。
详细信息可以在网络上了解很多。"
1,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,"公司7大系列产品是高新技术产品，到16年12月31号有31个专利，部分产品是行业独有。
我们一直在加快研发速度，开发新的利润增长产品。"
2,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,"公司一直专注聚酯薄膜的细分领域并努力进入前三，努力扩大市场占有率。
新的领域占比我们会在公司定期报告中有所体现。
未来我们会通过加大研发投入；逐步减少和同行同质化的产品总量。尽快实现。
"
3,叔叔好，哪里可以看到公司宣传片？,公司网站www.czyuxing.com中有相关公司的介绍，谢谢！
4,去年公司经营遇到的最大困难是什么?今年有望改善吗？,"您好，去年公司经营遇到的最大困难是行业同质化产品产能急剧增加，功能性聚酯薄膜产品竞争趋于白热化。
今年，公司将充分发挥功能聚酯厚膜研发、生产和技术优势，拓展国内外市场，开发新的应用领域，提高功能聚酯薄膜销售比重，增强公司功能聚酯薄膜的市场竞争力，进一步优化公司的产品结构。
"
5,除了在巨潮网上查看公司公告，还可以在哪里了解公司的日常经营情况？,您好：巨潮网是监管层指定的上市公司信息披露的媒体，投资者还可以致电（0519-83905129），以及来公司现场调研。谢谢！
6,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,这个你可以从我们的定期报告中得到很详细的信息。
7,公司今年有没有新产品和新业务拓展？,我们公司专注于功能性厚聚酯薄膜的研发和生产销售，公司有研发中心，每年都有新品和新业务的发展。
8,去年监管层要求现金分红，各交易所也发布了现金分红指引，公司怎么看，有这个打算吗？,公司会按照《章程》和《股东未来分红回报规划（2013-2017年度）》的相关规定和计划实施现金分红。谢谢！
9,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,您好：作为公司高管对公司股价的看法其实和投资者是一样的，我们会努力经营好公司业绩，实现公司的持续发展，同时做好市值管理。谢谢！
10,请介绍一下公司所处行业和主要产品？,我们是属于塑料加工业，主要产品是厚型功能聚酯薄膜，更详细信息可以去公司网站了解一下。
11,今年如何分红，是否高送转，有计划吗？,您好：公司2016年的利润分配方案已经公告，请关注相关媒体。 谢谢！
12,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",您好，请关注公司2016年年报中“公司未来发展的展望”章节。
13,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,您好，请关注公司公告。
14,请预估一下未来十年公司的市场规模多大？谢谢！,公司会紧跟聚酯薄膜的发展趋势，用好上市公司的优势努力做大做强。
15,公司是否会拓展产品线，向其它种类的薄膜进军？如果会的话，下一代产品是什么？,你好，请关注公司定期公告。
16,今年公司人力成本的大幅度上升？对公司产品价格影响有多大？,您好！2016年公司人力成本略有增长，人力成本在主营业务成本中占比很小，公司产品价格主要由市场决定。
17,在企业文化方面，公司有什么特色吗？,"您好，我们公司的使命：拓展高分子材料更多的功能空间，为客户提供更好的创新产品和服务。企业愿景：成为中国最好的功能聚酯薄膜制造商。核心价值观：责任，勤奋，学习，创新。


"
18,请问公司里是否有专人负责回答全景网投资者关系互动平台里股民的问题？股民的问题是否会传到公司的高层？,您好：公司有专人负责回复全景网投资者关系互动平台里股民的问题，公司高层会及时关注相关内容。谢谢！
19,请问公司有没有做员工持股计划的打算？,您好：关于员工持股计划公司会适时推出，目前没有具体计划。谢谢！
20,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,今年我们成立了功能性薄膜销售部，专门负责市场开发和销售功能性薄膜并配套各类政策的支持。并已经取得一定效果。
21,公司有无专门的团队负责并购业务？随着IPO快速推进，收购好公司的时间窗口正逐渐关闭，公司在推动外延发展的方向上有哪些具体措施？,谢谢，我们将按照公司发展规划实施。
22,公司的规模优势具体会体现在哪些方面？公司的品牌如何管理？互相间的市场是否有重合以及竞争关系？如何增强各品牌间的凝聚力？,公司在功能聚酯厚膜领域产销量国内领先，我们有专门的部门负责品牌管理，目前裕兴是省知名商标。
23,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,您好：公司将以内生增长和外延扩展相结合的方式，实现公司的持续发展及市值管理。
24,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,"公司每年都有新品和新的业务，公司有专门的研发中心。
城镇一体化带来的聚酯薄膜用量的增加；功能的新要求等都是公司发展的机遇。"
25,请问公司对收购标的有哪些要求？是否有行业偏好？,谢谢关注。
26,请问公司公司的核心竞争力是什么？,您好：请关注公司年报之第三节公司业务概要，谢谢！
27,请问公司在收购标的的选择上有什么要求吗？是否必须和主业一致？,你好，我们关注产业链上的功能材料和功能膜，也关注感兴趣的其它行业。
28,行业有没有周期性？,聚酯薄膜应用领域比较多，所以所体现的波动性是不同的，有的行业在不断地增长中如太阳能背板，有的行业比较平稳如传统绝缘。也有的行业在开发之中。
29,公司一季报盈利同比下降三成左右，那么收入下降了多少？,您好！请关注公司的相关公告，谢谢！
30,我是公司的一名小股东，请问我想现场参加股东大会，不知道应该怎么做？需要什么样的程序？,您好：详情请关注公司《关于召开2016年年度股东大会的通知》的公告，谢谢！
31,公司未来发展前景如何?对目前这个行业的前途看好吗？,功能聚酯厚膜有广泛的应用领域，并不断有新的领域在出现和开发中，看好功能聚酯薄膜行业。
32,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？",您好：机构投资者调研公司会在互动平台上披露相关内容，谢谢！
33,公司生产经营的季节性如何?哪个季节是旺季?,您好！公司目前生产经营正常，不受季节影响，谢谢！
34,希望公司在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力！,谢谢，我们会这么做！
35,一直指望公司会推出高送转方案，不知道今年是否有希望，什么时候能出预告？,公司2016年的利润分配方案已经公告，请关注相关媒体。
36,请问公司未来几年的发展规划是怎样的？内生增长靠什么拉动？有并购的打算吗？,你好，我们将专注于功能聚酯薄膜的研发、生产和销售，做精做优功能聚酯薄膜产品。以市场需求为导向，创新和优化产品的功能，做强裕兴品牌，力争做中国最好的中厚型功能聚酯薄膜供应商。同时，公司将以内生增长和外延扩展相结合的方式，寻求并购标的，实现公司的持续发展。
37,请问公司有外延发展的打算吗？,有
38,请介绍一下公司的行业地位？,我们一直致力于功能性厚型聚酯薄膜的研发生产和销售，在太阳能背板，传统绝缘，电子绝缘和纺织行业用聚酯薄膜处于国内领先地位。
39,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,谢谢！这是我们一直的追求。
