,Question,Answer
0,券商分析师对公司下个季度的盈利一致预期是多少？,您好，公司下个季度的经营情况将在一季度报告中公布。分析师的盈利预期您可以关注各券商的研究报告，感谢关注。
1,公司产品创新能力强，科技投入大，专利多且应用广，有无核心技术或有无对手无法复制的竞争优势?,公司目前在行业中在技术工艺、规模、品牌、渠道、品质等方面均有优势。行业各细分领域均有优质企业，公司将继续向同行学习。
2,贵司平时如何管理富余的经营性现金流？, 您好，公司会结合业务需求做好资金使用计划，富余的经营性现金流会用于购买银行保本型理财产品，提高资金使用效率，感谢关注
3,相比竞争对手，公司具有哪些优势？,公司目前在行业中在技术工艺、规模、品牌、渠道、品质等方面均有优势。行业各细分领域均有优质企业，公司将继续向同行学习。
4,公司与哪些同业国际巨头存在合作？合作模式怎么样？,您好，公司及子公司与巴斯夫（中国）有限公司、阿克苏诺贝尔化学品（宁波）有限公司等国际化学巨头开展战略合作，共享资源和渠道，通过线上平台和线下销售团队进行全面合作，共同提升产品的市场占有率与品牌影响力。感谢关注
5,公司有没有参与设立产业投资基金？,您好，2014年公司作为LP与第三方合作，投资设立了嘉兴清石西陇股权投资基金合伙企业（有限合伙），详见公司相关公告。感谢关注。
6,公司今年生产的PCB用试剂的产量，价格，销量与去年相比有何变化？,您好，2017年度公司产品生产量同比增加5.72%，销量同比增加19.91%。PCB产品因原材料价格变化调整价格，毛利率同比减少1.55%，感谢关注
7,请问公司会否考虑再收购一些公司或者扩展新的领域?,您好，公司在高端医疗服务、基因检测、体外诊断等领域内寻求优质标的和投资机会，以此实现跨越式发展。公司会严格按照信息披露要求履行信息披露义务。感谢关注
8,你们怎么看待基因检测业务的增长空间？,您好，根据现有的研究和分析，预计未来几年依旧会保持快速增长，感谢关注
9,请问贵公司什么时候能复牌，有个预期吗？,您好，公司因筹划重大资产重组事项停牌，停牌进展及复牌安排敬请留意公司公告，感谢关注
10,西陇科学有料网与阿克苏诺贝尔宣布战略合作，请问对公司将会产生哪些影响,您好，能进一步提升公司的品牌影响力和集成供应能力，能满足客户更多的需求，感谢关注
11,佛山基地目前是否满产？,您好，佛山基地暂未满产，感谢关注
12,公司战略携手巴斯夫，合作的战略目标是什么？,您好，双方在产品及销售渠道等领域合作，互惠共赢，感谢关注
13,公司与巴斯夫的战略合作目前取得了哪些具体成果？,您好，双方主要是在产品、销售渠道上开展合作，感谢关注
14,公司PCB试剂主要供应给哪些公司？,公司电子化学品应用于电子、平板显示器、光电玻璃等领域，客户较分散，包括超声电子、美维电路、蓝思科技、华通电脑等等，感谢关注
15,请问公司高管对公司所处行业的未来发展怎么看,您好，化学试剂作为基础性行业，广泛应用于国民经济各行各业。随着科学技术的突飞猛进，各行业的研发试验和生产制造对化学试剂的纯度、品质、规格要求越来越高，行业不断向高端化、精细化方向发展。同时随着行业环保监管、安全监管、危险化学品仓储及运输监管逐步加强，以及原材料成本的不断上升，导致行业不断淘汰落后产能，马太效应凸显，试剂行业的集中度进一步提升。行业优质企业盈利能力与盈利水平将继续提升，逐步进入业绩释放期。因高环保将成为基本门槛，个性化、定制化、专业化将成为化工企业突围而出的主要卖点，高附加值将成为企业追求的目标，化工行业向产品高端化、服务优质化、定制、整体解决的方向发展。感谢关注
16,公司有没有糖尿病试纸产品？有没有考虑开发？,您好，公司目前体外诊断试剂产品为生化试剂、肿瘤标志物检测试剂盒、总抗氧化检测试剂盒等，暂不包括糖尿病试纸产品。公司会根据市场需求和自身技术条件进行全面的论证分析后决定是否开发，感谢关注
17,公司作为国内化学试剂龙头企业，主要的布局领域是什么？,您好，化学试剂作为基础性化工原料产品，广泛应用于国民经济各行各业。目前公司化学试剂主要应用在电子、医药、能源等领域等领域，并正在向生命科学领域延伸。感谢关注
18,贵公司刚刚获得中国境内人造微型胰腺项目的审批权，应该是长期的利好，此项目对公司发展有什么样的影响呢,您好，请见同一问题的回复，谢谢
19,贵公司获得中国境内人造微型胰腺项目的审批权，此项目对公司发展有什么样的影响呢？,您好，公司与以色列Betalin“微型人造胰腺”项目的合作意向是Betalin“微型人造胰腺”进驻园区，目前的合作暂不涉及研发、生产或审批、授权等合作事项，对公司生产经营暂无重大影响。现有合作意向仅为双方达成的初步合作意愿，具体实施具备不确定性，请以公司指定信息披露媒体发布的公告为准，敬请注意投资风险
20,请问贵司的电商平台“有料网”目前营收情况如何？今年营收能否突破10亿元大关？,您好，“有料网”上线运营后对公司化工原料的销售有很大的帮助。2017年度，化工原料销售已经超过10亿，感谢关注
21,请问有没有考虑在生物再造材料，人体组织修复方面有所涉足？,您好，公司目前在高端医疗服务、基因检测、体外诊断等领域内寻求优质标的和投资机会，以此实现跨越式发展，同时考虑相关业务和现有业务的协同性。目前在生物再造材料，人体组织修复方面没有涉足，感谢关注
22,公司的化学试剂主要销售模式有哪些？,您好，目前销售模式有线上和线下两种销售模式，线上主要通过电子商务平台，感谢关注
23,公司拟投资艾克韦，布局医疗健康领域，公司在这方面的布局有实战经验嘛？,您好，公司目前在医疗健康方面已经布局了生化试剂、体外诊断试剂、基因测序等业务，投资艾克韦作为公司在现有体外诊断领域扩张，有助于打造生化试剂—分子诊断—基因测序的产业链，共享和利用现有医疗资源，增强公司在体外诊断的竞争力。感谢关注
24,近期，公司两位副总裁级高层同时辞职，是不是公司治太不正规，对股东太不负责责任？！,您好，劳动合同的订立是劳资双方的双向选择，两位副总裁的离职为个人原因。公司目前生产经营正常，感谢您的关注
25,请问公司1季度业绩预告发了吗,您好，根据深交所信息披露规则，公司1季度业绩业绩同比变化幅度较小，可以不披露业绩快报。一季度经营可以关注公司披露的一季度报告，感谢
