,Question,Answer
0,我对贵公司是长期投资的，请问预计今年上半年会盈利多少？,您好！具体业绩预计情况请参见公司披露的一季度报告，感谢您对公司的长期支持！
1,请问公司目前产能多少？,经过近几年项目建设，公司主要产品产能有较大的提升。
2,公司未来发展前景如何?对目前这个行业的前途看好吗？,您好，医药行业不论在美国市场还是在中国市场，都属于一个刚需行业。随着国内人们生活水平的提升，对消费升级需求的提升，对自我健康要求的提升，医药行业肯定是一个增速较快、竞争力较强的行业。公司处于这个行业之中，肯定要顺应行业的发展，把握行业增长的趋势，持续做大做强。谢谢！
3,请问老总公司今年净利润同比增长多少？,目前公司业绩情况还有很大不确定性，目前尚无法预计2017年增长情况。
4,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,"您好！公司将继续加大对生产、质量、销售等环节的管理力度，避免重大风险的发生：
（1）继续提升GMP管理水平，增强生产合规性、精细化，力争产品100%合格；
（2）执行多部门联动的产品质量反馈体系，对各种产品质量风险实施监控，确保第一时间妥善处理个别质量问题；
（3）密切关注、解析各地医保目录的调整，根据新形势重新布局市场活动，最大限度地解除国家医保目录的限制、增补地方医保目录；认真研究各地招标政策，强化招投标过程的信息收集和价格反馈机制，拟定差异化的区域竞争策略，聚焦重点品种重点区域的招标工作，努力扩大重点产品的市场占有率；
（4）推行营销模式变革，充分整合、优化各省市渠道、产品、市场、资金、人员等资源，提升销售团队的战斗力，使受限产品的政策风险降低、市场规模趋于稳定，使机会产品的终端销量增长。
（5）通过对外合作、加强临床数据收集、推进上市后再评价等工作，进一步明确重点产品的治疗价值，提升产品资质。
"
5,你们的成本、管理、市场等优势体现在哪些方面？,公司在产品、医药资质、上下游客户、人力资源、财税优惠等方面积累了丰富的资源，公司正在整合共享，以提高资源盈利能力。产品资源方面：公司拥有或代理数个收入过亿产品，分布于心脑血管、骨科、营养类、糖尿病、抗生素等不同领域；公司以产品为目的并购战略取得了成功，储备了丰富的产品资源。资金资源方面：随着公司资产规模增加，公司融资能力逐年提升，公司在直接融资市场和间接融资市场的潜力增加，公司一季度成功发行中期票据10亿元，将为公司业务发展提供后续支持。
6,近一年来，贵公司高管考虑增持吗？,您好！如有相关计划，公司将及时履行信息披露义务。
7,公司去年主打产品的销量是多少？,2016年度公司心脑血管药物较上年同期增长14.78%；营养类药物较上年同期增长29.62%；由于福建地区未中标，骨科药物较上年同期下降17.20%。
8,目前公司享有哪些国家优惠政策？,目前公司有10家子公司为高新技术企业，享受高新技术企业所得税优惠政策；有4家注册在西藏的子公司，根据国家西部大开发战略税收优惠政策，按15%的税率征收企业所得税，同时在2015年至2017年期间，按9%的税率征收企业所得税；有1家子公司注册在香港，适用香港所得税，税率为16.5%。同时，公司正在积极争取国家和地区的其他优惠政策，以扶持公司的快速成长。
9,公司产品的技术含量如何？专利多吗？,您好，公司的主要产品都是公司拥有自主知识产权的品种，并已有多项专利获得授权。谢谢！
