,Question,Answer
0,公司有无市值维护的具体措施？让资本市场形象得以良好表现。前番暴跌让不少中小投资者受损严重，公司是否存在负面报道或财务治理等隐患需要澄清？ 【待审核】,您好，感谢您的关注和支持，公司生产经营一切正常，不存在应披露未披露的信息。公司2017年度经营效益稳步提升，盈利能力、可持续发展能力进一步增强。公司将努力做好经营管理，争取创造更好的业绩回馈广大投资者。
1,公司有无市值维护的具体措施？让资本市场形象得以良好表现。前番暴跌让不少中小投资者受损严重，公司是否存在负面报道或财务治理等隐患需要澄清？,您好，感谢您的关注和支持，公司生产经营一切正常，不存在应披露未披露的信息。公司2017年度经营效益稳步提升，盈利能力、可持续发展能力进一步增强。公司将努力做好经营管理，争取创造更好的业绩回馈广大投资者。
2,目前对公司股价运行是否满意？有无增持或回购或激励计划？五年坚守小股东,您好，感谢您的关注和支持。公司股价受市场、政策、行业等多重因素的影响。公司生产经营一切正常。公司立足超硬材料主业，致力于以市场为导向，以技术创新和管理创新为动力，以质量为保障，以品牌建设为引领，全面深入贯彻传统产品专业化，新型产品水平垂直多元化，向新兴工业、时尚消费方向外延，加速超硬材料在新能源、节能环保、智能制造、电子电器、医疗和军工等方面的应用，争取以更加优异的业绩回报广大投资者，与股东共享公司发展红利。谢谢！
3,目前对公司股价运行是否满意？有无增持或回购或激励计划？五年坚守小股东,您好，感谢您的关注和支持。公司股价受市场、政策、行业等多重因素的影响。公司生产经营一切正常。公司立足超硬材料主业，致力于以市场为导向，以技术创新和管理创新为动力，以质量为保障，以品牌建设为引领，全面深入贯彻传统产品专业化，新型产品水平垂直多元化，向新兴工业、时尚消费方向外延，加速超硬材料在新能源、节能环保、智能制造、电子电器、医疗和军工等方面的应用，争取以更加优异的业绩回报广大投资者，与股东共享公司发展红利。谢谢！
4,公司饰品业务的毛利率大概是多少？ 17年应收账款大幅增加，经营现金流净额大幅减少的具体原因是什么？  18年现金流公司有什么计划?,"您好，随着公司业务的拓展、经营规模的扩大和产品的不断丰富，为加大新市场的培育与产品应用的推广，公司对不同产品、市场、重点客户采取了不同的信用政策，致使公司应收账款增加。2018年公司将进一步完善和细化应收账款的管理，加大应收账款回收力度，有效控制应收款总额。
"
5,公司钻石级金刚石消费产业有无具体的规划布局？   目前收购的饰品公司进展到哪一步？      公司目前生产的宝石级人造金刚石的平均克拉大小是多少？ 已生产出的最大的人造金刚石是多大？   理论上能生产出多大的人造金刚石？,"您好，感谢您的关注。
1、公司将以郑州为发起点，在国内稳固生产基地，以标准化和定制的专业服务，打通钻石销售终端，通过深耕国内市场，沟通拓展国际市场，不断丰富品牌内涵，持续推广高品质钻石文化，以富有灵感的产品设计和专属时尚的服务体验，充分利用国外加工与销售渠道等优势资源，加强与业内与跨界沟通，通过组织参加珠宝钻石展会、与相关钻石设计院、珠宝商洽谈、合作等多种方式加速国际化进程，拓展全球消费终端布局，实现消费升级和共享共赢。
2、截至目前，公司与重组相关方及独立财务顾问、审计、评估、律所等中介机构正在积极推进重组的各项工作，重大资产重组涉及的审计、评估工作尚在进行，相关材料编制工作也正在有序开展中，交易双方就交易细节仍在谈判、磋商。
3、公司具有克拉级钻石的生产能力，单粒钻也有2克拉以上的产品。目前，公司主要根据市场需求进行规模化生产。"
6,请问消费级钻石17年营业收入多少？应收账款多少？,您好，公司2017年饰品收入为5.5亿元，应收账款在合理范围内。
7,公司目前股权质押情况如何？,您好，公司相关股东质押情况已在临时报告及定期报告中进行了披露，请查阅相关公告。公司关注大股东股票质押情况并根据相关要求及时履行信息披露义务。
8,公司在饰品珠宝行业布局现状如何？如何进行品牌建设,您好。公司已自创建立Multicolour、B&R两个时尚轻奢珠宝品牌。公司计划以加大品牌矩阵建设、产品设计研发、多渠道业务拓展等内生式经营模式为重点，提升消费者对培育钻石的认知及公司品牌的认识度。在提升业务内生增长的同时，亦通过收购重组、产业基金等多种投资方式加快产业布局，挖掘海内外具有一定规模及品牌影响力的时尚消费钻石珠宝品牌、文化创意产业及设计和渠道资源，收购时尚产业消费中游，布局消费下游。通过内生式积累和外延式发展深入融合和协同发展，全面布局培育钻石消费领域。
9,公司涉足珠宝业，是否准备完善产业链？,您好，公司致力于打造“钻石时尚生活体验中心”，构建时尚培育钻石生态圈。公司将积极把握产业升级和消费升级的良好发展机遇，以培育钻石为核心，以加大品牌矩阵建设、产品设计研发、多渠道业务拓展等内生式经营模式为重点，提升消费者对培育钻石的认知及公司品牌的认识度。在提升业务内生增长的同时，充分利用资本市场平台，通过收购重组、产业基金等多种投资方式加快产业布局，积极挖掘海内外具有一定规模及品牌影响力的时尚消费钻石珠宝品牌、文化创意产业及设计和渠道资源，收购时尚产业消费中游，布局消费下游，挖掘渠道和标的价值。通过内生式积累和外延式发展深入融合和协同发展，全面布局培育钻石消费领域，为消费者提供时尚培育钻石消费和产品体验，打造具有民族品牌烙印的高竞争力产品和时尚培育钻石生态圈。
