,Question,Answer
0,一季度共有多少家机构到贵司调研？,您好，机构调研情况详见刊登在巨潮资讯网的投资者关系活动记录表，感谢关注！
1,公司十大股东近期有无减持计划？,您好，公司未收到股东关于减持计划的通知。如有相关减持计划公司将按规定及时履行信息披露义务，谢谢。
2,目前公司业绩受哪方面影响较大？,您好，公司经营业绩与国家政策导向、行业景气度、客户IT规划、市场开拓程度、项目实施成果等因素相关。随着市场竞争日益激烈，在国内产业升级、两化融合、智能制造与“互联网+”加速推进的背景下，企业信息化服务市场潜力巨大。公司将牢牢把握住国家推进供给侧结构性改革、加快制造强国建设、发展工业互联网平台的历史性机遇，充分利用资本市场平台，围绕公司主营业务，不断夯实经营管理基础，提升公司核心竞争力，实现公司收入与利润规模的提升。谢谢。
3,在竞争市场上，外资的咨询公司市场份额是否在逐渐减少？,您好。本土咨询公司实施交付能力在不断增强，吸引了来自Oracle、西门子、SAP等原厂商的优秀人才不断加盟到本土咨询公司；加上国内商业环境的变化，本土咨询公司更接地气，因此国内具有较强实施交付能力的咨询公司承接原本由外资咨询公司服务的部分高端市场份额是一个越来越明显的趋势。感谢关注！
4,服务华为的团队是否主要在深圳？未来这一团队是否还会扩大？,您好，服务华为的团队主要在深圳，人数不一定会增加，但实施交付的业务范围预计会扩大。目前主要是财务、供应链方面的实施交付，未来会不断建设自身的多领域实施交付及运营能力，以期在华为更多的业务领域提供服务。同时，公司从2015年开始逐渐调整人员结构，提高人均产值，因此，业务规模的扩大不一定必然带来人员人数的增加。感谢关注！
5,公司为何一上市业绩就下滑？上市前业绩是否有水分？,您好。公司始终坚持规范运作，保证信息披露的真实、准确、完整。2014年、2015年和2016年，得益于企业级服务市场快速发展的势头，公司营业收入及净利润保持了较快的增长速度，2017年业绩增速在基数增大的情况下，依然保持合理水平。2017年实现营业收入7.09亿元，与上年同期相比增长15.85%；归属于上市公司股东的净利润1.01亿元，同比增长23.18%。2018年一季度，由于引入具有资深经验的行业专家及顾问，同时加大在自主产品方面的研发投入，实施差异化的薪酬策略，上调骨干员工薪酬，公司管理费用相应增加，归属于上市公司股东的净利润较上年同期有所下降。总体来看，公司业务发展保持良好势头，未来公司将不断夯实经营管理基础，通过内生增长和外延式并购相结合的方式，提升公司的收入与利润规模，实现企业的经营目标。感谢您对公司的关注！
6,公司目前主营业务毛利率大概多少？,您好，2017年公司毛利率32.75%，比上年同期增加1.36%；2017年公司软件实施开发服务毛利率33.72%，比上年同期增加1.63%。谢谢！
7,公司目前在市场开拓方面进展如何？,您好，公司根据战略和经营计划稳步推进市场开拓工作，进一步升级完善营销体系，通过扩充销售团队，完善销售激励机制，提升销售队伍的作战能力与积极性。同时，采取有效的市场策略进一步增加公司品牌的曝光率，扩大公司的品牌影响力。谢谢。
8,来源于华为的营业收入占比是？,您好。2017年，公司来自第一大客户华为技术的收入占比为60.64%。在营业收入逐年增加的情况下，华为的收入占比逐渐下降，表明公司在非华为市场的积累能够为公司带来较为稳定的增长。谢谢。
9,公司在股权激励方面有什么计划？,您好，公司重视人才，通过优化薪酬体系、完善绩效考核制度等方式来充分调动公司管理人员以及核心骨干等员工的积极性。同时，结合相关法律法规和公司实际情况，研究推出有效的激励计划，健全公司长效激励机制，吸引和留住优秀人才，促进公司健康发展。如推出股权激励计划，公司将按规定及时履行信息披露义务。谢谢。
