,Question,Answer
0,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,您好，公司目前主要销售的主要产品品类包括服装服饰类、3C电子类、安防产品类、家居园艺类、运动类等。公司自2014年进入跨境电商行业以来，跨境电商业务已经成为公司深耕细作的发展重点，未来将持续保持快速增长。谢谢。
1,公司的产品方向，看到在3C电子产品类的比重是最大的。请说明下，3C电子产品类下，具体哪些小类别的产品是公司的重点方向？2017年公司计划的重点又有哪些？否则我们投资者没法判断前景如何，谢谢！,您好， 公司主要通过数据采集、分析等将市场热卖产品快速导入公司平台，在产品品类上，服装服饰类、3C电子类、安防产品类、家居园艺类、运动类等产品均为公司未来增长的主要方向。谢谢。
2,请问我们跟同业其他平台相比，我们具有哪些竞争优势？谢谢,"您好，感谢您对公司的关注。公司的核心竞争力主要为以下几点：
（1）行业领先的大数据运营能力
大数据分析及运用贯穿公司销售、流量导入、采购、物流、客服等全业务链条。公司依靠数据分析来指导产品的采购、销售、备货、清仓等，实现公司良性库存周转。
在精准营销方面，公司构建客户、媒体、商品等多维度大数据分析模型，通过对销售数据、转化数据、用户行为数据等进行综合分析，确保将合适的商品通过合适的媒体推送给合适的用户，达到精准投放的效果。公司跨境出口电商业务近三年流量转化率分别为1.45%、1.55%、1.59%，处于行业领先水平。
（2）业内领先的团队优势
公司经营管理团队大多自公司创立初期即已加入，在长期业务磨合中形成较强的凝聚力，同时具有年轻、执行力强、效率高、经验丰富等特点，对行业、技术、市场需求的发展有前瞻性的把握。公司绩效管理体系设计合理，能充分调动团队积极性。目前经营管理团队稳定，能认同公司文化，愿意与公司共同发展。
（3）规模优势
截止2016年12月31日，公司旗下平台合计注册用户数量超过7,018万人，月均活跃用户数超过1,500万人，在线产品SKU数量超过35.6万个；2016年公司旗下主要平台重复购买率36.21%，流量转化率为1.59%。2016年度公司跨境出口B2C业务共计实现营业收入674,037.13万元，处于行业领先水平；公司自营网站在服装品类、电子品类均保持行业领先，形成较高的规模优势。利用规模优势，可以对行业内的优势资源进行整合，从而提高公司在行业内的竞争力。
（4）供应链优势
公司建立了适应公司业务快速发展的供应链管理及考评体系，通过数据分析对供应商进行管理及考评，实现高效的供应链管控。通过对产品质量、价格、回货速度等进行综合考评，从而提高产品质量，提高客户的体验。
在供应链整合方面，通过公司搭建的供应链管理系统，提升公司内部及公司与各供应商之间沟通效率,保障各项工作流程顺畅运行。
（5）先发优势
公司为较早进入跨境出口零售电商领域的企业之一，跨境出口零售电商涉及业务流程复杂和竞争激烈的特点决定行业中的较早进入者具有先发优势。凭借对互联网发展机遇的准确把握和多年的潜心经营，近年来公司跨境出口零售业务持续快速发展。同时，公司把握跨境电商快速发展的机遇，加快在“B2CB2B”、“出口进口”、“自营第三方平台”、“运营服务”、“线上线下”等领域的综合战略布局，保证未来业绩持续增长。
公司是国内A股市场唯一主营业务为跨境电商的公司。近年来，公司充分利用资本市场先发优势，加快在跨境电商产业的综合布局，相继收购前海帕拓逊90%股权，并参股广州百伦、跨境翼等多家在进出口电商及综合配套服务领域优势互补的优质企业。报告期内，公司拟通过发行股份及支付现金相结合的方式，购买行业内优质公司，进一步强化跨境电商全领域战略布局的完整性，在扩大公司规模的同时，抢占行业制高点。"
3,跨境进口业务单月盈利，请问有什么措施或做法保持其持续性吗？谢谢！,您好，主要通过以下途径：一是持续优化供应链，提升供应链端的竞争力；二是通过各种途径提升商品的周转速度，提高资金使用效率；三是加强终端把控能力及运营能力，加强业务技能培训；四是强化项目预算，搭建考评体系，不断优化流程。谢谢。
4,"看到公司未来发展战略里，有一点是：纵向深入大数据的价值挖掘,，预测客户需求，搭建以社区化、粉丝化为主的营销推广体系。现在这个方向做得如何，能否分享多点信息给我们投资者？","您好，感谢您对公司的关注。大数据分析及运用始终贯穿公司销售、流量导入、采购、物流、客服等全业务链条。目前各项工作正在有条不紊的进行中。
"
5,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,"您好，公司在巩固现有跨境出口电商业务的基础上，向跨境出口B2B业务、跨境进口电商业务延伸。2016年公司跨境进口业务实现营业收入42,297.09万元，比上年同期增长425.71%，占总营业收入的4.95%。随着新业务的不断成熟，预计2017年将保持快速成长。谢谢"
6,"公司采取了具体怎样的应对措施,在同业中不断做大做强?","您好，在过去的一年，公司主要在以下方面深耕细作以保证公司业务的快速成长：（1）充分利用公司跨境出口B2C的规模优势，发掘市场热卖产品，进一步扩大公司销售额；通过数据采集、分析等将市场热卖产品快速导入公司平台，充分发挥规模优势，服装服饰类、3C电子类、安防产品类、家居园艺类、运动类等产品均保持快速增长，公司2016年实现营业收入853,690.75万元，同比增长115.53%，继续保持快速成长。
（2）对公司业务体系中的各环节进行整合，将优势资源更加深入的融入公司业务体系中，推进公司在行业内纵深与横向布局；凭借在跨境电商行业多年的运营经验，公司将各业务环节与跨境电商业务体系中的物流、支付、推广渠道等优势资源进行结合，积极探索新业务合作模式，为公司在行业内纵深与横向布局奠定基础。
（3）加大对供应链的整合力度，进一步提高产品品质及产品配送效率，提升顾客满意度；为提升顾客满意度，提高公司平台影响力，公司在产品质量控制及产品配送效率等方面进行了优化，针对供应商设立了严格的准入门槛，将产品质量、回货速度等作为重要的考核指标。
（4）搭建覆盖自有平台、第三方平台、移动端、微商、O2O线下体验店的全渠道进口电商体系，并重点布局海外商品资源、跨境供应链、保税区仓储等资源。2016年公司依托自建品牌“五洲会”，初步搭建了覆盖自有平台、第三方平台、移动端、微商、O2O线下体验店的全渠道进口电商体系，第三方平台及O2O线下体验店初显品牌效应，海外商品资源、跨境供应链、保税区仓储等资源方面也取得一定成效。
（5）进一步优化企业流程，提升组织和运营效率，加强风险把控，提升抗风险能力；公司对业务流程进行梳理，在产品质量控制、发货速度、售后服务等各个流程环节都进行了进一步优化，既提升了组织和运营效率，又降低了运营风险，有利于公司未来健康成长。
（6）加强绩效管理，完善激励机制，充分调动员工工作积极性，加快梯队建设。 随着公司业务规模的快速增长，公司员工数量也快速增加，公司已建立了完善的绩效考核体系，每个关键流程、节点均建立了考核指标，保证公司运营体系高效运转。同时，公司建立了员工培训体系，包括内部培训及外部学习，保证员工快速成长，与公司共同发展。（7）进一步深化业务单元改革，提升成本控制与利润目标细化管理。公司对区域业务单元进行利润分解承包，区域管理人员与业务人员层层分解，极大的控制了区域业务单元管理成本和细化了业绩目标。
    （8）继续推进分店会员管理系统，通过营销活动降低分店库存。会员升级管理系统的培训及系统升级已完成，各连锁分店推广情况良好。
（9）持续聚焦产品，提升产品竞争力，优化供应链资源，打造在裤装行业内具有较强竞争力的供应链体系。
聚焦产品，优化供应链资源，保证产品在设计及品质方面处于行业领先地位。谢谢。"
7,去年公司经营遇到的最大困难是什么?今年有望改善吗？,答：1）您好，去年公司经营遇到的最大困难是：在管理层面上，人员快速扩张，若管理效率低，则会影响工作效率；另外海外政策的调整也是不可控因素。2）2017年在员工培训方面公司将制定多元化的培训体系与核心岗位人才培养机制，将着重对不同岗位制定个性化培训方案，鼓励员工加强创新能力，实现员工专业与素养等统性的提升。谢谢！
8,请介绍一下公司的行业地位？,"您好，公司目前拥有Sammydress、Gearbest等多个自建专业品类垂直电子商务销售平台，形成多品类、多语种、多维度的垂直电商平台体系，并在eBay、Amazon等第三方平台上拥有优质账号。2016年公司总体实现营业收入853,690.75万元，处于行业领先水平。公司自营网站在服装品类、电子品类均保持行业领先，形成较高的规模优势。利用规模优势，可以对行业内的优势资源进行整合，从而提高公司在行业内的竞争力。谢谢。"
9,除了在巨潮网上查看公司公告，还可以在哪里了解公司的日常经营情况？,您好，公司指定《证券时报》、《证券日报》、《中国证券报》、《上海证券报》和巨潮资讯网http://www.cninfo.com.cn为公司信息披露媒体，您也可通过公司网站（http://www.kjtbao.com）了解公司情况。谢谢您对公司的关注。
